Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.49,30.64,30.34,30.57,26.78,123432400
2010-01-05,30.66,30.8,30.46,30.63,26.83,150476200
2010-01-06,30.63,30.75,30.11,30.14,26.4,138040000
2010-01-07,30.25,30.29,29.86,30.08,26.35,119282800
2010-01-08,30.04,30.29,29.87,30.28,26.53,111902700
2010-01-11,30.4,30.43,29.78,30.02,26.29,115557400
2010-01-12,29.88,29.97,29.49,29.67,26.0,148614900
2010-01-13,29.7,30.13,29.16,30.09,26.36,151473000
2010-01-14,30.02,30.07,29.86,29.92,26.21,108223500
2010-01-15,30.13,30.23,29.41,29.42,25.77,148516900
2010-01-19,29.76,30.74,29.61,30.72,26.91,182501900
2010-01-20,30.7,30.79,29.93,30.25,26.5,153038200
2010-01-21,30.3,30.47,29.6,29.72,26.04,152038600
2010-01-22,29.54,29.64,28.17,28.25,24.75,220441900
2010-01-25,28.93,29.24,28.6,29.01,25.41,266424900
2010-01-26,29.42,30.53,28.94,29.42,25.77,466777500
2010-01-27,29.55,30.08,28.5,29.7,26.02,430642100
2010-01-28,29.28,29.36,28.39,28.47,24.94,293375600
2010-01-29,28.73,28.89,27.18,27.44,24.04,311488100
2010-02-01,27.48,28.0,27.33,27.82,24.37,187469100
2010-02-02,27.99,28.05,27.63,27.98,24.51,174585600
2010-02-03,27.88,28.6,27.77,28.46,24.93,153832000
2010-02-04,28.1,28.34,27.37,27.44,24.03,189413000
2010-02-05,27.52,28.0,27.26,27.92,24.46,212576700
2010-02-08,27.96,28.27,27.71,27.73,24.29,119567700
2010-02-09,28.06,28.21,27.82,28.03,24.55,158221700
2010-02-10,27.98,28.09,27.75,27.87,24.42,92590400
2010-02-11,27.84,28.54,27.72,28.38,24.86,137586400
2010-02-12,28.3,28.81,27.93,28.63,25.08,163867200
2010-02-16,28.85,29.1,28.79,29.06,25.45,135934400
2010-02-17,29.17,29.19,28.69,28.94,25.35,109099200
2010-02-18,28.8,29.13,28.7,28.99,25.4,105706300
2010-02-19,28.84,29.03,28.73,28.81,25.24,103867400
2010-02-22,28.91,28.93,28.46,28.63,25.08,97640900
2010-02-23,28.57,28.76,27.96,28.15,24.66,143773700
2010-02-24,28.32,28.78,28.26,28.67,25.11,115141600
2010-02-25,28.2,28.98,28.13,28.86,25.28,166281500
2010-02-26,28.91,29.31,28.86,29.23,25.61,126865200
2010-03-01,29.39,29.93,29.35,29.86,26.15,137523400
2010-03-02,29.99,30.12,29.68,29.84,26.14,141636600
2010-03-03,29.85,29.98,29.71,29.9,26.2,93013200
2010-03-04,29.9,30.13,29.8,30.1,26.37,91510300
2010-03-05,30.71,31.39,30.66,31.28,27.4,224905100
2010-03-08,31.43,31.44,31.18,31.3,27.42,107472400
2010-03-09,31.19,32.14,31.13,31.86,27.91,230064800
2010-03-10,31.98,32.21,31.89,32.12,28.14,149054500
2010-03-11,31.99,32.21,31.9,32.21,28.22,101425100
2010-03-12,32.48,32.53,32.25,32.37,28.36,104080900
2010-03-15,32.2,32.21,31.46,31.98,28.01,123375700
