Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.52,42.2,41.5,42.07,34.15,3650100
2010-01-05,42.1,42.45,41.98,42.33,34.36,2613000
2010-01-06,42.09,42.9,41.81,42.78,34.72,5772100
2010-01-07,42.5,42.9,42.24,42.74,34.69,4022900
2010-01-08,42.51,43.06,42.19,42.57,34.55,5069700
2010-01-11,42.44,42.81,42.23,42.53,34.52,4231900
2010-01-12,42.21,43.62,42.2,42.26,34.3,5557100
2010-01-13,42.45,42.93,42.2,42.74,34.69,4496800
2010-01-14,42.72,43.29,42.6,43.12,35.0,3312500
2010-01-15,42.96,43.59,42.74,42.81,34.75,4734200
2010-01-19,42.69,43.83,42.5,43.75,35.51,5343600
2010-01-20,43.36,43.89,43.05,43.51,35.32,4409900
2010-01-21,43.44,43.78,42.86,43.09,34.98,4578300
2010-01-22,43.02,43.02,41.89,42.18,34.24,4903400
2010-01-25,42.54,42.54,41.62,41.88,33.99,3665700
2010-01-26,41.76,42.19,41.53,41.83,33.95,3459000
2010-01-27,41.91,42.5,41.53,41.93,34.03,4562300
2010-01-28,42.15,42.15,41.1,41.29,33.52,4773300
2010-01-29,41.64,41.97,40.94,40.99,33.27,4618100
2010-02-01,41.16,41.6,40.91,41.19,33.43,3540100
2010-02-02,41.39,41.84,40.8,41.62,33.78,3817900
2010-02-03,41.55,41.69,41.39,41.6,33.77,2555100
2010-02-04,41.38,41.38,40.56,40.61,32.96,4069400
2010-02-05,40.21,40.75,39.7,40.54,32.91,5850400
2010-02-08,40.43,40.57,39.9,40.17,32.61,4514200
2010-02-09,40.47,40.78,40.18,40.24,32.66,4525700
2010-02-10,40.33,40.55,39.63,40.02,32.48,4885800
2010-02-11,40.02,40.6,39.61,40.27,32.69,4753300
2010-02-12,40.34,40.54,39.8,40.49,32.87,3347700
2010-02-16,40.7,40.84,40.22,40.84,33.15,2420000
2010-02-17,41.12,41.12,40.66,40.79,33.11,2480300
2010-02-18,40.84,41.34,40.73,41.31,33.53,2309400
2010-02-19,40.26,41.41,40.26,40.87,33.17,5039200
2010-02-22,40.99,41.09,40.55,40.7,33.04,2421400
2010-02-23,40.59,40.86,40.24,40.26,32.68,2600900
2010-02-24,40.42,40.63,40.24,40.28,32.7,3261600
2010-02-25,40.01,40.17,39.55,39.75,32.27,5548700
2010-02-26,39.75,40.25,39.72,39.97,32.44,4534000
2010-03-01,39.88,40.45,39.88,40.09,32.54,4157800
2010-03-02,40.32,40.92,40.25,40.6,32.96,3726700
2010-03-03,40.76,40.91,40.52,40.64,32.99,3194000
2010-03-04,40.56,41.0,40.44,40.91,33.21,3642900
2010-03-05,41.09,41.47,40.83,41.18,33.43,2781800
2010-03-08,41.06,41.61,41.06,41.46,33.65,4536100
2010-03-09,41.2,42.31,41.2,42.06,34.14,4826300
2010-03-10,41.96,42.15,41.67,42.06,34.14,3192100
2010-03-11,41.78,42.07,41.67,42.0,34.09,3282900
2010-03-12,42.29,42.39,41.78,42.12,34.19,2755900
2010-03-15,42.24,42.57,42.03,42.5,34.5,2619800
2010-03-16,42.58,42.6,41.57,42.0,34.09,4625500
2010-03-17,42.08,42.99,41.89,42.24,34.29,5203200
2010-03-18,42.35,42.77,41.94,42.28,34.32,2731700
2010-03-19,42.06,42.33,41.4,42.06,34.14,4329100
2010-03-22,41.87,42.52,41.79,42.43,34.44,2346200
2010-03-23,42.58,42.71,42.17,42.4,34.42,3822900
2010-03-24,42.29,42.4,41.67,41.79,33.92,3096400
2010-03-25,42.1,42.48,41.5,41.52,33.7,4643600
2010-03-26,41.31,42.5,41.28,42.4,34.42,6528800
2010-03-29,42.66,42.93,42.09,42.3,34.33,3810200
2010-03-30,42.11,42.33,41.9,42.21,34.26,3778000
2010-03-31,41.98,42.21,41.72,41.95,34.05,3026200
2010-04-01,42.17,42.65,41.65,41.84,33.96,3622700
2010-04-05,41.82,42.17,41.61,41.96,34.06,2561300
2010-04-06,42.02,42.31,41.45,41.52,33.7,5802000
2010-04-07,41.51,41.88,41.37,41.56,33.73,5314800
2010-04-08,41.41,42.04,41.23,41.9,34.01,6134100
2010-04-09,42.06,42.9,42.03,42.83,34.77,5265100
2010-04-12,42.71,43.08,42.71,43.07,34.96,3500800
2010-04-13,42.83,43.12,42.55,43.1,34.98,4201500
2010-04-14,43.16,43.36,42.88,43.04,35.24,4426100
2010-04-15,43.04,43.32,42.98,43.24,35.41,3651900
2010-04-16,42.95,43.36,42.95,43.15,35.33,4399800
2010-04-19,42.93,43.05,42.36,42.83,35.07,3700900
2010-04-20,43.29,43.74,42.9,43.67,35.76,4988100
2010-04-21,43.68,44.0,43.59,43.98,36.01,4875100
2010-04-22,43.53,43.97,43.29,43.92,35.96,3151900
2010-04-23,43.78,44.67,43.75,44.67,36.58,4864100
2010-04-26,44.18,44.52,44.02,44.07,36.09,3108200
2010-04-27,43.44,43.88,43.1,43.2,35.37,5239700
2010-04-28,43.46,43.6,43.13,43.52,35.64,2752300
2010-04-29,43.92,44.38,43.89,44.19,36.18,3849000
2010-04-30,44.1,44.21,43.59,43.64,35.73,3532100
2010-05-03,43.44,43.82,43.26,43.75,35.82,2423200
2010-05-04,43.24,43.31,42.73,43.0,35.21,3608900
2010-05-05,42.48,42.71,41.94,42.17,34.53,5743500
2010-05-06,41.94,42.3,38.75,41.09,33.65,10320000
2010-05-07,40.94,41.09,40.17,40.32,33.02,8319500
2010-05-10,41.27,41.73,40.79,41.05,33.61,7077000
2010-05-11,41.0,41.6,40.84,41.15,33.69,6271200
2010-05-12,41.39,41.61,41.3,41.46,33.95,5357600
2010-05-13,41.29,41.63,40.79,40.82,33.42,5403300
2010-05-14,40.37,40.5,38.71,38.99,31.93,10623700
2010-05-17,39.0,39.82,38.97,39.82,32.61,5350400
2010-05-18,39.8,40.35,39.21,39.26,32.15,4653900
2010-05-19,39.26,39.5,38.78,39.24,32.13,3782700
2010-05-20,38.56,38.91,37.82,37.96,31.08,6359700
2010-05-21,37.25,38.79,37.0,38.14,31.23,7745300
2010-05-24,38.09,38.75,38.05,38.34,31.39,3256800
2010-05-25,37.51,37.98,37.38,37.93,31.06,4567900
2010-05-26,38.02,38.51,37.4,37.41,30.63,5603600
2010-05-27,38.05,38.34,37.61,38.25,31.32,5282900
2010-05-28,38.11,38.22,37.46,37.52,30.72,5535800
2010-06-01,37.28,37.38,36.68,36.71,30.06,6240800
2010-06-02,36.83,37.12,36.46,36.83,30.16,6189700
2010-06-03,36.96,37.88,36.79,37.85,30.99,4418200
2010-06-04,37.21,37.84,36.87,36.93,30.24,3740100
2010-06-07,37.16,37.2,36.44,36.55,29.93,4902600
2010-06-08,36.46,36.64,36.05,36.44,29.84,6039500
2010-06-09,36.71,37.02,36.3,36.44,29.84,4115500
2010-06-10,37.01,37.69,36.99,37.66,30.84,3363700
2010-06-11,37.47,37.65,37.17,37.64,30.82,3064400
2010-06-14,37.74,38.24,37.74,37.8,30.95,2597900
2010-06-15,37.46,38.56,37.28,38.54,31.56,3651300
2010-06-16,37.78,38.88,37.74,38.69,31.68,3125000
2010-06-17,38.73,38.85,38.25,38.49,31.52,3530400
2010-06-18,38.7,39.34,38.44,38.93,31.88,4133700
2010-06-21,39.17,39.25,38.59,38.81,31.78,3832000
2010-06-22,38.55,39.1,38.22,38.24,31.31,4349300
2010-06-23,38.45,38.63,37.81,38.17,31.25,5422500
2010-06-24,38.14,38.29,37.37,37.55,30.75,6791800
2010-06-25,39.4,41.13,39.24,40.55,33.2,53159900
2010-06-28,40.36,40.55,39.56,39.72,32.52,8682500
2010-06-29,39.0,39.23,38.49,38.65,31.65,6533100
2010-06-30,39.34,39.45,38.52,38.65,31.65,5956900
2010-07-01,38.36,38.54,37.77,38.28,31.34,6624400
2010-07-02,38.19,38.43,37.68,37.94,31.07,3773400
2010-07-06,38.2,38.72,37.99,38.41,31.45,4655500
2010-07-07,38.4,39.26,38.34,39.26,32.15,4391400
2010-07-08,39.34,39.65,39.01,39.34,32.21,4044900
2010-07-09,39.29,39.52,38.88,39.42,32.28,3749400
2010-07-12,39.19,39.8,39.01,39.73,32.53,3226500
2010-07-13,39.78,40.35,39.78,40.25,32.96,5391800
2010-07-14,40.0,40.33,39.99,40.1,32.83,2947600
2010-07-15,39.96,40.09,39.57,40.02,32.77,3112600
2010-07-16,39.7,39.73,38.9,39.0,31.93,2709900
2010-07-19,39.12,39.46,38.99,39.17,32.07,3373600
2010-07-20,38.5,39.0,37.98,38.9,31.85,6895300
2010-07-21,39.27,39.27,38.39,38.61,31.61,5012400
2010-07-22,39.04,39.89,39.04,39.76,32.56,5482100
2010-07-23,39.59,40.42,39.38,40.38,33.06,4811500
2010-07-26,40.26,40.62,40.12,40.48,33.15,2429200
2010-07-27,40.39,40.57,40.17,40.33,33.02,5086100
2010-07-28,40.19,40.33,39.73,39.86,32.64,4180400
2010-07-29,40.27,40.27,39.16,39.25,32.14,4657700
2010-07-30,39.0,39.79,39.0,39.64,32.46,3355500
2010-08-02,40.17,40.33,39.79,40.33,33.02,3614200
2010-08-03,40.33,40.53,39.93,40.0,32.75,3803600
2010-08-04,39.97,40.43,39.92,40.34,33.03,3367300
2010-08-05,40.17,40.22,39.92,39.97,32.73,2836300
2010-08-06,39.75,40.37,39.65,40.27,32.97,3869300
2010-08-09,40.06,40.75,39.99,40.57,33.22,2820600
2010-08-10,39.85,40.74,39.7,40.47,33.14,3381500
2010-08-11,39.86,40.19,39.72,39.99,32.74,3015300
2010-08-12,39.31,39.58,39.18,39.46,32.31,3496600
2010-08-13,39.25,39.51,38.83,38.85,31.81,3434100
2010-08-16,38.88,39.23,38.48,38.91,31.86,2820400
2010-08-17,39.25,39.96,39.14,39.66,32.47,3161100
2010-08-18,39.71,39.76,39.39,39.66,32.47,2261500
2010-08-19,39.42,39.62,38.65,38.9,31.85,4763400
2010-08-20,38.71,38.76,38.19,38.42,31.46,4549300
2010-08-23,38.69,38.73,37.51,38.0,31.12,5212400
2010-08-24,37.53,37.94,37.19,37.19,30.45,5303000
2010-08-25,36.92,37.39,36.83,37.28,30.53,5689400
2010-08-26,37.5,37.7,37.1,37.14,30.41,3598200
2010-08-27,37.37,37.49,36.97,37.2,30.46,3928800
2010-08-30,36.96,37.34,36.8,36.9,30.21,2601900
2010-08-31,36.61,36.86,36.45,36.6,29.97,5827600
2010-09-01,36.97,37.83,36.97,37.4,30.62,5251900
2010-09-02,37.38,38.02,37.22,37.99,31.11,3656500
2010-09-03,38.47,38.6,38.07,38.58,31.59,2960900
2010-09-07,38.61,38.82,38.28,38.35,31.4,2669400
2010-09-08,38.37,38.67,38.09,38.13,31.22,3287800
2010-09-09,38.52,38.52,38.12,38.21,31.29,3693800
2010-09-10,38.33,38.93,38.33,38.82,31.79,3566600
2010-09-13,39.0,39.16,38.89,39.09,32.01,2373400
2010-09-14,38.87,39.31,38.87,39.21,32.11,2492400
2010-09-15,39.19,39.72,38.88,39.64,32.46,3281100
2010-09-16,39.57,39.93,39.55,39.87,32.65,2516000
2010-09-17,39.85,40.57,39.75,40.56,33.21,8160900
2010-09-20,40.47,41.58,40.47,41.55,34.02,4442000
2010-09-21,41.42,41.58,41.08,41.54,34.01,4646200
2010-09-22,41.58,42.26,41.0,42.26,34.6,4965700
2010-09-23,41.82,42.49,41.71,42.43,34.74,4480000
