Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,39.7,40.46,39.7,40.29,38.16,856400
2010-01-05,40.22,40.22,39.55,39.89,37.78,583400
2010-01-06,39.94,40.02,39.78,40.02,37.9,803300
2010-01-07,39.98,40.15,39.52,39.7,37.6,716500
2010-01-08,39.45,39.54,39.04,39.41,37.33,702200
2010-01-11,39.49,40.0,39.15,39.77,37.67,517300
2010-01-12,39.66,39.89,39.43,39.72,37.62,658300
2010-01-13,39.9,40.99,39.87,40.89,38.73,1396500
2010-01-14,40.93,41.28,40.64,41.1,38.93,817300
2010-01-15,41.22,41.23,40.78,40.9,38.74,777300
2010-01-19,40.93,42.5,40.93,41.83,39.62,1642200
2010-01-20,41.65,42.13,41.12,41.54,39.34,685200
2010-01-21,41.43,41.43,40.39,40.41,38.27,1330200
2010-01-22,40.02,40.13,39.45,39.51,37.42,1408000
2010-01-25,39.67,39.78,39.21,39.39,37.31,982900
2010-01-26,39.25,39.25,38.95,39.0,36.94,762700
2010-01-27,38.88,39.0,38.61,38.86,36.81,810700
2010-01-28,39.01,39.06,38.31,38.37,36.34,957000
2010-01-29,38.47,38.87,38.18,38.37,36.34,1089500
2010-02-01,38.47,38.71,38.02,38.4,36.37,1346700
2010-02-02,38.57,39.59,38.22,39.51,37.42,1646700
2010-02-03,39.33,39.55,38.47,39.36,37.28,1595900
2010-02-04,39.13,39.39,38.16,38.19,36.17,1103000
2010-02-05,38.1,38.3,37.42,38.19,36.17,1472400
2010-02-08,38.19,38.19,37.65,37.69,35.7,841800
2010-02-09,37.95,38.38,37.73,38.1,36.09,860200
2010-02-10,37.99,38.07,37.4,37.74,35.74,515400
2010-02-11,37.64,38.1,37.41,38.0,35.99,765100
2010-02-12,37.78,38.11,37.26,38.08,36.07,698600
2010-02-16,38.49,38.65,38.07,38.6,36.56,597400
2010-02-17,38.67,38.86,38.58,38.59,36.6,953800
2010-02-18,38.58,38.99,38.51,38.9,36.89,762200
2010-02-19,38.76,39.27,38.73,39.11,37.09,917400
2010-02-22,39.31,39.37,38.8,39.36,37.33,785400
2010-02-23,39.4,39.79,38.89,38.98,36.97,1487400
2010-02-24,39.12,39.68,39.08,39.61,37.56,1452200
2010-02-25,39.3,39.82,37.61,39.7,37.65,2251200
2010-02-26,39.69,39.92,39.48,39.79,37.74,1184500
2010-03-01,39.91,40.23,39.86,40.12,38.05,1505000
2010-03-02,40.12,40.43,39.88,40.08,38.01,1072400
2010-03-03,40.07,40.17,39.77,39.94,37.88,956500
2010-03-04,39.91,40.04,39.61,39.86,37.8,1197700
2010-03-05,40.02,40.61,39.83,40.56,38.47,1029500
2010-03-08,40.51,40.51,39.95,40.0,37.93,1695200
2010-03-09,39.9,40.51,39.46,40.18,38.11,1329100
2010-03-10,40.06,40.7,40.03,40.58,38.48,1176600
2010-03-11,40.48,41.04,40.38,40.98,38.86,1405100
2010-03-12,41.14,41.44,40.78,41.37,39.23,1798600
2010-03-15,41.26,41.26,39.77,40.28,38.2,4294500
2010-03-16,40.57,40.94,39.54,40.65,38.55,2163800
2010-03-17,40.65,40.82,40.33,40.63,38.53,1628100
2010-03-18,40.66,40.97,40.44,40.78,38.67,1318800
2010-03-19,40.42,41.34,40.23,40.42,38.33,1423700
2010-03-22,40.31,40.77,40.25,40.67,38.57,1038400
2010-03-23,40.88,41.51,40.79,41.4,39.26,1139600
2010-03-24,41.23,41.5,41.04,41.44,39.3,1231400
2010-03-25,41.72,41.76,41.35,41.38,39.24,1286000
2010-03-26,41.59,41.6,41.11,41.31,39.18,1190000
2010-03-29,41.31,41.92,41.26,41.83,39.67,1629200
2010-03-30,41.84,42.24,41.61,42.15,39.97,1173100
2010-03-31,42.07,42.09,41.68,41.77,39.61,960000
2010-04-01,42.0,42.44,42.0,42.4,40.21,1060700
2010-04-05,42.45,42.45,42.2,42.28,40.1,716300
2010-04-06,42.11,42.13,41.84,41.95,39.78,1125400
2010-04-07,41.9,42.04,41.75,41.98,39.81,1201300
2010-04-08,41.91,42.19,41.67,42.14,39.96,1181200
2010-04-09,42.1,42.55,42.0,42.31,40.13,647100
2010-04-12,42.23,42.42,42.2,42.34,40.15,817500
2010-04-13,42.35,42.47,42.12,42.44,40.25,819600
2010-04-14,42.5,42.5,41.93,42.3,40.12,1017200
2010-04-15,42.19,42.39,41.99,42.38,40.19,905900
2010-04-16,42.74,42.74,42.18,42.55,40.35,1297900
2010-04-19,42.4,42.67,42.32,42.63,40.43,1052900
2010-04-20,42.78,43.43,42.54,43.33,41.09,993600
2010-04-21,43.38,43.38,42.93,43.18,40.95,1387200
2010-04-22,43.02,43.02,42.08,42.76,40.55,1392700
2010-04-23,42.66,43.24,42.36,43.15,40.92,1356500
2010-04-26,43.0,43.56,42.91,43.1,40.87,1465900
2010-04-27,43.0,43.26,42.03,42.08,39.91,1321100
2010-04-28,42.95,43.11,42.54,42.73,40.52,1403200
2010-04-29,42.93,43.35,42.62,42.87,40.66,1125200
2010-04-30,42.97,43.2,42.79,42.82,40.61,1005700
2010-05-03,42.9,43.57,42.78,43.43,41.19,1065400
2010-05-04,42.97,43.56,42.88,43.0,40.78,1798000
2010-05-05,42.78,43.66,42.76,43.59,41.34,1369300
2010-05-06,43.41,43.76,40.75,42.37,40.18,1739600
2010-05-07,42.7,43.47,41.32,41.99,39.82,3583600
2010-05-10,43.68,43.68,41.25,41.57,39.42,3365800
2010-05-11,41.52,43.32,41.52,43.16,40.93,2922200
2010-05-12,43.3,43.47,42.63,43.38,41.14,1816800
2010-05-13,43.44,44.21,43.08,43.73,41.47,1498500
2010-05-14,43.6,43.64,42.49,42.75,40.59,1500800
2010-05-17,42.9,43.11,42.03,42.58,40.43,1199900
2010-05-18,42.76,43.19,42.35,42.43,40.28,1575200
2010-05-19,43.29,44.14,42.4,43.73,41.52,2992100
2010-05-20,43.22,44.0,42.78,43.35,41.16,3050600
2010-05-21,42.94,43.03,42.26,42.87,40.7,2353400
2010-05-24,42.65,43.41,42.29,42.61,40.46,1451400
2010-05-25,41.95,42.59,41.27,42.57,40.42,1478100
2010-05-26,43.18,44.15,42.79,43.53,41.33,2178100
2010-05-27,44.06,44.34,43.85,44.2,41.97,1392800
2010-05-28,44.14,44.8,44.12,44.16,41.93,1321700
2010-06-01,43.79,44.06,43.11,43.13,40.95,1237200
2010-06-02,42.79,44.44,42.79,44.43,42.18,1126700
2010-06-03,44.43,44.97,44.28,44.94,42.67,893500
2010-06-04,44.45,44.52,43.5,43.7,41.49,1558000
2010-06-07,43.8,43.94,42.81,42.88,40.71,1307100
2010-06-08,42.88,42.9,41.81,42.27,40.13,2350800
2010-06-09,42.67,42.78,41.84,42.02,39.9,1723900
2010-06-10,42.62,43.31,42.19,42.73,40.57,1639400
2010-06-11,42.18,42.74,41.35,42.67,40.51,1648500
2010-06-14,42.86,43.15,42.1,42.7,40.54,1902200
2010-06-15,42.97,44.13,42.67,44.13,41.9,1312000
2010-06-16,43.86,44.17,43.72,43.94,41.72,909800
2010-06-17,44.01,44.28,43.65,44.26,42.02,809600
2010-06-18,44.26,44.26,43.73,44.01,41.79,1731400
2010-06-21,44.32,44.47,42.8,43.03,40.85,1804500
2010-06-22,43.11,43.74,42.99,43.18,41.0,1153700
2010-06-23,42.92,43.06,42.37,42.72,40.56,1361800
2010-06-24,42.58,42.96,42.46,42.57,40.42,736700
2010-06-25,42.57,42.89,42.11,42.59,40.44,1547000
2010-06-28,42.6,42.68,41.93,42.11,39.98,1265800
2010-06-29,41.64,41.82,41.03,41.23,39.15,1643200
2010-06-30,41.15,41.36,40.5,40.57,38.52,1856200
2010-07-01,40.76,40.76,39.57,40.65,38.59,2139700
2010-07-02,40.9,41.24,40.35,40.59,38.54,978200
2010-07-06,40.94,41.77,40.8,41.38,39.29,1914000
2010-07-07,41.48,42.01,40.95,42.01,39.89,1332900
2010-07-08,42.26,42.49,41.71,42.46,40.31,1505600
2010-07-09,42.58,42.69,42.21,42.58,40.43,956600
2010-07-12,42.66,42.7,42.32,42.58,40.43,634000
2010-07-13,42.91,43.34,42.88,43.23,41.04,855500
2010-07-14,43.24,43.89,43.1,43.89,41.67,1287100
2010-07-15,43.94,44.08,43.5,43.8,41.59,1066500
2010-07-16,43.89,44.17,42.68,42.84,40.67,1147400
2010-07-19,43.07,43.83,42.94,43.57,41.37,1929000
2010-07-20,43.18,43.41,42.91,43.41,41.22,897000
2010-07-21,43.39,43.92,43.13,43.44,41.24,1102200
2010-07-22,43.81,44.42,43.37,43.54,41.34,872200
2010-07-23,43.16,43.16,40.49,41.64,39.53,5005800
2010-07-26,41.5,42.2,41.38,42.11,39.98,1099100
2010-07-27,42.37,42.44,41.33,41.39,39.3,1381900
2010-07-28,41.37,41.49,40.35,40.37,38.33,1893800
2010-07-29,40.6,40.89,39.42,39.86,37.84,2309200
2010-07-30,39.72,40.69,39.34,40.5,38.45,1841500
2010-08-02,40.84,41.19,40.57,41.09,39.01,1180500
2010-08-03,41.09,41.32,40.78,40.86,38.79,1529000
2010-08-04,40.81,41.42,40.35,41.33,39.24,970600
2010-08-05,40.99,41.63,40.54,41.36,39.27,1379800
2010-08-06,41.22,41.48,40.92,41.22,39.14,1004700
2010-08-09,41.71,42.0,41.28,41.69,39.58,594800
2010-08-10,41.43,42.08,41.12,41.71,39.6,931800
2010-08-11,41.27,41.51,41.06,41.21,39.13,1280100
2010-08-12,40.78,41.73,40.78,41.53,39.43,1180400
2010-08-13,41.4,41.97,41.29,41.73,39.67,923700
2010-08-16,41.48,42.47,41.42,42.43,40.33,1380500
2010-08-17,42.77,43.38,42.42,42.98,40.86,1008000
2010-08-18,42.9,43.05,42.49,42.98,40.86,897800
2010-08-19,42.71,42.88,42.1,42.32,40.23,1055800
2010-08-20,42.32,42.7,42.15,42.19,40.11,1079000
2010-08-23,42.46,42.82,42.33,42.37,40.28,570700
2010-08-24,42.12,42.36,41.75,42.23,40.14,1129300
2010-08-25,42.21,42.74,42.0,42.58,40.48,1324100
