Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.15,16.35,15.81,15.96,12.1,1938700
2010-01-05,16.07,16.37,15.89,16.36,12.41,2070700
2010-01-06,16.36,16.89,16.36,16.65,12.63,3797300
2010-01-07,16.59,17.36,16.43,17.26,13.09,3902600
2010-01-08,17.1,17.21,16.6,16.86,12.79,3825200
2010-01-11,17.06,17.11,16.86,16.99,12.88,1314000
2010-01-12,16.85,17.21,16.48,16.55,12.55,2220200
2010-01-13,16.59,17.04,16.59,17.01,12.9,1609900
2010-01-14,16.91,17.11,16.75,16.82,12.76,2133000
2010-01-15,16.63,16.81,16.23,16.43,12.46,2280800
2010-01-19,16.57,16.97,16.53,16.94,12.85,2030400
2010-01-20,16.8,16.87,16.47,16.65,12.63,1804200
2010-01-21,16.52,16.63,15.78,15.8,11.98,4178000
2010-01-22,15.8,16.13,15.26,15.33,11.63,2891800
2010-01-25,15.59,15.65,15.2,15.54,11.78,1865700
2010-01-26,15.53,15.79,15.38,15.42,11.69,1704500
2010-01-27,15.38,15.59,15.01,15.56,11.8,2567300
2010-01-28,15.68,15.72,15.25,15.48,11.74,1780500
2010-01-29,15.57,15.76,15.22,15.36,11.65,2357500
2010-02-01,15.43,15.74,15.34,15.74,11.94,1289900
2010-02-02,15.71,16.37,15.51,16.26,12.33,2619100
2010-02-03,15.99,16.09,15.66,15.93,12.08,2356200
2010-02-04,15.73,15.76,15.2,15.26,11.57,3633400
2010-02-05,15.43,15.78,15.11,15.69,11.9,3521800
2010-02-08,15.63,15.81,15.15,15.21,11.53,1807900
2010-02-09,15.42,15.56,15.1,15.48,11.74,2638300
2010-02-10,15.49,15.66,15.1,15.44,11.71,1678300
2010-02-11,15.38,15.56,15.16,15.53,11.78,1640100
2010-02-12,15.61,15.9,15.35,15.87,12.04,2537400
2010-02-16,16.08,16.65,16.08,16.64,12.62,2247500
2010-02-17,16.65,17.06,16.54,16.71,12.67,2053400
2010-02-18,16.73,16.99,16.57,16.89,12.81,2158200
2010-02-19,16.8,16.88,16.59,16.65,12.63,3038400
2010-02-22,16.64,16.78,16.48,16.63,12.61,3295500
2010-02-23,16.5,16.7,16.45,16.57,12.57,2718700
2010-02-24,16.61,16.88,16.55,16.73,12.69,2077200
2010-02-25,16.44,16.87,16.34,16.84,12.77,1479600
2010-02-26,16.78,16.94,16.66,16.69,12.66,2170300
2010-03-01,16.76,16.83,16.59,16.75,12.7,1053200
2010-03-02,16.8,17.03,16.74,16.97,12.87,1230400
2010-03-03,16.96,17.1,16.86,16.9,12.82,1344900
2010-03-04,16.92,17.02,16.81,16.94,12.85,978800
2010-03-05,17.11,17.65,16.95,17.6,13.35,1542500
2010-03-08,17.6,18.01,17.33,17.91,13.58,1154900
2010-03-09,17.75,18.28,17.66,17.89,13.57,2155400
2010-03-10,17.84,18.0,17.77,17.94,13.61,2151400
2010-03-11,17.86,17.88,17.62,17.77,13.48,1240000
2010-03-12,17.92,17.96,17.59,17.75,13.46,1831000
2010-03-15,17.73,17.95,17.4,17.75,13.46,1628800
2010-03-16,17.76,17.94,17.63,17.92,13.59,2621500
2010-03-17,17.94,18.44,17.91,18.35,13.92,1753900
2010-03-18,18.33,18.42,18.15,18.25,13.84,1957800
2010-03-19,17.95,18.31,17.91,17.95,13.61,3111000
2010-03-22,17.76,18.16,17.69,18.11,13.73,1686700
2010-03-23,18.15,18.33,17.94,18.27,13.86,1726200
2010-03-24,18.18,18.62,18.12,18.5,14.03,2858200
2010-03-25,18.56,19.17,18.56,18.77,14.23,2835100
2010-03-26,18.79,18.91,18.38,18.66,14.15,2487500
2010-03-29,18.8,18.8,18.34,18.38,13.94,2342100
2010-03-30,18.39,18.54,18.33,18.48,14.01,1822800
2010-03-31,18.39,18.64,18.29,18.41,13.96,2109800
2010-04-01,18.62,18.67,18.39,18.6,14.11,1622600
2010-04-05,18.71,19.44,18.59,19.43,14.74,1734000
2010-04-06,19.56,20.17,19.18,20.17,15.3,2941000
2010-04-07,20.09,20.23,19.32,19.5,14.79,2256700
2010-04-08,19.4,19.53,19.28,19.52,14.8,1949500
2010-04-09,19.54,20.05,19.43,19.92,15.11,1677800
2010-04-12,20.01,20.04,19.66,19.75,14.98,1400300
2010-04-13,19.72,20.49,19.7,20.42,15.49,1505900
2010-04-14,20.54,20.57,20.3,20.4,15.47,2021000
2010-04-15,20.23,20.41,19.69,19.69,14.93,2112800
2010-04-16,19.66,19.79,19.12,19.19,14.55,3299300
2010-04-19,19.04,19.43,18.53,19.39,14.7,1772400
2010-04-20,19.52,20.0,19.3,19.95,15.13,1575600
2010-04-21,19.88,20.86,19.83,20.52,15.56,2192300
2010-04-22,20.34,21.45,20.18,21.36,16.2,2036100
2010-04-23,21.35,22.19,21.1,22.11,16.77,3837400
2010-04-26,21.47,22.35,21.47,22.14,16.79,2439900
2010-04-27,22.0,22.28,21.64,21.67,16.43,3247300
2010-04-28,21.85,22.15,21.62,21.83,16.56,2910900
2010-04-29,22.0,23.3,21.71,23.13,17.54,3910300
2010-04-30,22.1,23.07,21.83,22.41,16.99,4205600
2010-05-03,22.57,24.04,22.51,23.68,17.96,4808700
2010-05-04,23.33,24.04,23.21,23.84,18.08,4232100
2010-05-05,23.33,24.21,22.91,23.32,17.69,3066000
2010-05-06,23.17,23.52,20.28,22.11,16.77,4310600
2010-05-07,22.03,22.61,20.91,21.23,16.1,3446900
2010-05-10,22.49,22.72,21.94,22.42,17.0,4080000
2010-05-11,22.13,22.92,22.0,22.35,16.95,3806000
2010-05-12,22.53,23.19,22.47,22.98,17.43,2725300
2010-05-13,22.88,22.98,22.17,22.29,16.9,2260300
2010-05-14,22.0,22.02,21.05,21.38,16.21,2115000
2010-05-17,21.47,21.94,20.57,21.44,16.26,2354100
2010-05-18,21.92,22.02,20.61,20.71,15.71,2789900
2010-05-19,20.59,21.14,19.82,20.43,15.57,2257300
2010-05-20,19.79,20.05,19.01,19.05,14.52,3249600
2010-05-21,18.77,20.04,18.44,19.99,15.23,3159900
2010-05-24,19.64,19.92,19.15,19.15,14.59,1834500
2010-05-25,18.41,19.54,18.14,19.45,14.82,2615800
2010-05-26,19.79,20.25,19.39,19.55,14.9,2604700
2010-05-27,20.09,20.95,19.88,20.91,15.93,2677900
2010-05-28,20.84,21.41,20.53,20.63,15.72,2548900
2010-06-01,20.36,21.06,20.34,20.46,15.59,2584000
2010-06-02,20.56,21.08,20.21,21.04,16.03,1879400
2010-06-03,21.16,21.59,20.96,21.29,16.22,2171400
2010-06-04,20.59,21.0,19.66,19.77,15.07,3148400
2010-06-07,19.93,20.35,19.55,19.58,14.92,2448600
2010-06-08,19.68,20.21,19.27,20.14,15.35,2525300
2010-06-09,20.35,21.42,20.3,20.43,15.57,2590300
2010-06-10,20.86,21.81,20.73,21.76,16.58,2908900
2010-06-11,21.45,22.06,21.33,22.02,16.78,2028900
2010-06-14,22.37,22.38,21.64,21.88,16.67,3566400
2010-06-15,22.13,22.44,21.95,22.34,17.02,3124000
