Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.63,26.06,25.53,25.92,25.92,3015600
2010-01-05,25.95,26.73,25.77,26.69,26.69,5421900
2010-01-06,26.7,26.86,26.4,26.47,26.47,2863900
2010-01-07,26.65,26.7,26.12,26.48,26.48,2919400
2010-01-08,26.44,26.73,26.26,26.48,26.48,2106600
2010-01-11,26.53,26.72,25.98,26.39,26.39,2898800
2010-01-12,26.13,26.32,25.78,26.16,26.16,3250300
2010-01-13,26.2,26.4,25.63,26.04,26.04,3142800
2010-01-14,26.04,27.0,26.04,26.88,26.88,4208000
2010-01-15,26.91,26.91,26.44,26.61,26.61,3455500
2010-01-19,26.51,27.27,26.43,27.22,27.22,6514100
2010-01-20,27.02,27.28,26.7,26.95,26.95,4774800
2010-01-21,27.15,27.28,26.5,26.72,26.72,3524400
2010-01-22,26.58,26.68,25.74,25.82,25.82,4257200
2010-01-25,26.02,26.15,25.17,25.67,25.67,3758900
2010-01-26,25.56,25.81,25.45,25.67,25.67,3573700
2010-01-27,25.55,26.0,25.45,25.83,25.83,2722500
2010-01-28,25.93,25.94,25.08,25.31,25.31,4001200
2010-01-29,25.59,25.85,24.5,24.7,24.7,5119000
2010-02-01,25.94,26.24,25.6,26.18,26.18,4985600
2010-02-02,26.41,26.5,25.96,26.37,26.37,3229600
2010-02-03,26.54,26.83,26.13,26.5,26.5,5038600
2010-02-04,25.58,26.17,25.35,25.51,25.51,7362900
2010-02-05,25.51,25.57,24.62,25.32,25.32,5719400
2010-02-08,25.32,25.5,24.94,25.04,25.04,2539400
2010-02-09,25.39,25.55,24.91,25.27,25.27,3456200
2010-02-10,25.17,25.31,24.76,24.96,24.96,2716300
2010-02-11,24.95,25.5,24.64,25.37,25.37,2675000
2010-02-12,25.11,25.43,24.83,25.33,25.33,2792300
2010-02-16,25.49,25.74,25.34,25.65,25.65,2339800
2010-02-17,25.72,25.87,25.44,25.69,25.69,1990600
2010-02-18,25.57,25.83,25.5,25.73,25.73,1983300
2010-02-19,25.62,25.99,25.61,25.89,25.89,2509000
2010-02-22,25.94,26.1,25.75,25.88,25.88,2395000
2010-02-23,25.76,25.96,25.48,25.63,25.63,2090800
2010-02-24,25.66,25.97,25.52,25.76,25.76,1632100
2010-02-25,25.41,25.73,25.17,25.66,25.66,2278300
2010-02-26,25.74,26.45,25.52,26.3,26.3,4167700
2010-03-01,26.53,27.27,26.53,27.19,27.19,2987000
2010-03-02,27.5,27.68,27.25,27.45,27.45,3098700
2010-03-03,28.04,28.75,27.75,28.12,28.12,7599400
2010-03-04,28.2,28.43,27.81,28.27,28.27,3773200
2010-03-05,28.45,29.34,28.25,29.2,29.2,4285400
2010-03-08,29.41,29.65,29.26,29.45,29.45,4947000
2010-03-09,29.56,30.45,29.43,30.41,30.41,7947100
2010-03-10,30.51,31.33,30.27,31.27,31.27,7390800
2010-03-11,31.19,31.44,30.88,31.41,31.41,4519300
