Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.05,18.5,18.05,18.5,18.5,374200
2010-01-05,18.5,18.5,17.7,18.01,18.01,431900
2010-01-06,17.97,17.97,17.37,17.48,17.48,667000
2010-01-07,17.49,17.49,16.95,17.43,17.43,450000
2010-01-08,17.41,17.8,17.05,17.66,17.66,675200
2010-01-11,17.26,17.76,17.26,17.54,17.54,440800
2010-01-12,17.38,17.61,17.11,17.23,17.23,317300
2010-01-13,17.23,17.7,17.12,17.58,17.58,296800
2010-01-14,17.48,17.51,17.05,17.13,17.13,379000
2010-01-15,17.22,17.22,16.47,16.93,16.93,706500
2010-01-19,16.95,17.35,16.95,17.34,17.34,492200
2010-01-20,17.18,17.79,17.14,17.68,17.68,646600
2010-01-21,17.7,17.75,16.83,16.85,16.85,931800
2010-01-22,16.76,16.93,16.47,16.53,16.53,667000
2010-01-25,16.65,16.89,16.25,16.7,16.7,549700
2010-01-26,16.6,17.04,16.4,16.46,16.46,494400
2010-01-27,16.41,16.78,16.11,16.69,16.69,575500
2010-01-28,18.74,19.25,17.99,18.03,18.03,2492500
2010-01-29,18.18,19.09,18.14,18.75,18.75,1092700
2010-02-01,18.73,18.75,18.5,18.58,18.58,594300
2010-02-02,18.0,18.52,17.97,18.12,18.12,1289100
2010-02-03,18.1,18.48,17.83,18.11,18.11,553300
2010-02-04,17.94,17.94,17.33,17.49,17.49,897800
2010-02-05,17.49,17.86,17.27,17.68,17.68,540600
2010-02-08,17.62,17.81,17.25,17.28,17.28,310500
2010-02-09,17.5,17.6,17.09,17.2,17.2,423500
2010-02-10,17.07,17.3,16.93,17.26,17.26,446000
2010-02-11,17.25,17.74,17.18,17.45,17.45,405300
2010-02-12,17.3,17.54,17.22,17.53,17.53,371700
2010-02-16,17.7,17.95,17.4,17.95,17.95,268400
2010-02-17,18.0,18.0,17.83,17.92,17.92,190100
2010-02-18,17.85,18.0,17.81,17.99,17.99,187200
2010-02-19,18.0,18.02,17.9,17.94,17.94,317100
2010-02-22,17.89,18.0,17.67,17.92,17.92,477200
2010-02-23,17.2,18.0,17.17,17.92,17.92,677800
2010-02-24,17.88,18.25,17.87,18.0,18.0,557100
2010-02-25,17.55,18.16,17.4,18.12,18.12,750500
2010-02-26,17.84,18.2,17.84,18.1,18.1,800400
2010-03-01,18.16,18.78,18.08,18.78,18.78,797400
2010-03-02,18.77,19.01,18.58,18.96,18.96,815200
2010-03-03,19.08,19.08,18.6,18.75,18.75,520200
2010-03-04,18.74,18.87,18.6,18.83,18.83,243600
2010-03-05,18.84,19.34,18.8,19.17,19.17,628000
2010-03-08,19.17,19.43,19.08,19.27,19.27,336400
2010-03-09,19.2,19.6,19.08,19.44,19.44,514500
2010-03-10,19.43,19.71,19.35,19.47,19.47,275500
2010-03-11,19.39,19.51,19.25,19.43,19.43,171100
2010-03-12,19.5,19.53,19.09,19.18,19.18,377700
2010-03-15,19.05,19.06,18.12,18.54,18.54,699300
2010-03-16,18.62,19.13,18.37,18.9,18.9,497900
2010-03-17,18.99,19.58,18.81,19.32,19.32,625500
2010-03-18,19.34,19.44,19.07,19.2,19.2,281000
2010-03-19,19.34,19.34,19.04,19.16,19.16,556600
2010-03-22,19.03,19.91,19.03,19.61,19.61,558100
2010-03-23,19.65,19.9,19.54,19.89,19.89,400500
2010-03-24,19.8,19.98,19.48,19.66,19.66,315200
2010-03-25,19.72,20.0,19.35,19.35,19.35,270500
2010-03-26,19.45,19.88,19.3,19.46,19.46,877300
2010-03-29,19.56,19.65,19.31,19.52,19.52,436000
2010-03-30,19.55,19.94,19.41,19.51,19.51,339900
2010-03-31,19.5,19.85,19.3,19.34,19.34,245700
2010-04-01,19.44,19.79,19.34,19.58,19.58,272800
2010-04-05,19.58,20.56,19.46,20.44,20.44,405900
2010-04-06,19.9,20.03,18.18,18.44,18.44,4069500
2010-04-07,18.37,18.89,17.96,18.17,18.17,1414600
2010-04-08,18.1,18.15,17.48,17.49,17.49,1831800
2010-04-09,17.54,18.13,17.33,17.57,17.57,1000700
2010-04-12,17.62,17.89,17.52,17.7,17.7,990200
2010-04-13,17.71,18.18,17.69,18.09,18.09,618200
2010-04-14,18.22,18.38,17.93,18.34,18.34,793400
2010-04-15,18.49,18.77,18.29,18.67,18.67,583200
2010-04-16,18.65,18.9,18.04,18.7,18.7,850200
2010-04-19,18.59,18.66,18.07,18.63,18.63,544600
2010-04-20,18.66,18.82,18.47,18.82,18.82,360600
2010-04-21,18.78,18.89,18.51,18.8,18.8,702800
2010-04-22,19.42,19.42,17.18,17.62,17.62,5676800
2010-04-23,17.74,17.79,16.42,16.88,16.88,4019800
2010-04-26,16.92,17.25,16.5,17.14,17.14,2787400
2010-04-27,17.04,17.13,16.73,17.0,17.0,3349400
2010-04-28,17.12,17.16,16.51,16.56,16.56,1182800
2010-04-29,16.7,18.2,16.58,17.93,17.93,3052300
2010-04-30,17.89,17.93,16.89,17.0,17.0,1533300
2010-05-03,17.0,17.59,16.93,17.4,17.4,1232700
2010-05-04,17.27,17.53,16.93,17.53,17.53,1469600
2010-05-05,17.45,17.59,17.25,17.49,17.49,1395000
2010-05-06,16.99,17.58,16.57,17.26,17.26,1772900
2010-05-07,17.11,17.11,16.36,16.52,16.52,2664900
2010-05-10,17.03,17.46,17.03,17.26,17.26,1066700
2010-05-11,17.07,17.4,17.0,17.17,17.17,1145000
2010-05-12,17.17,17.46,17.09,17.46,17.46,730600
2010-05-13,17.37,17.48,17.17,17.31,17.31,940400
2010-05-14,17.17,17.17,16.62,17.02,17.02,1088900
2010-05-17,17.01,17.37,16.94,17.31,17.31,798900
2010-05-18,17.31,17.91,17.22,17.3,17.3,997400
2010-05-19,17.21,17.37,16.67,16.91,16.91,862000
2010-05-20,16.63,16.64,15.8,16.01,16.01,1460000
2010-05-21,15.77,16.12,15.5,15.86,15.86,1333400
2010-05-24,15.81,16.22,15.81,15.84,15.84,993000
2010-05-25,15.54,15.61,14.87,15.25,15.25,1542200
2010-05-26,15.29,15.45,14.73,14.75,14.75,1535600
2010-05-27,15.02,15.22,14.87,15.19,15.19,1139400
2010-05-28,15.18,15.23,14.88,14.92,14.92,933500
2010-06-01,14.85,14.85,14.21,14.38,14.38,1673000
2010-06-02,14.42,14.79,14.31,14.77,14.77,1013000
2010-06-03,14.87,15.08,14.25,14.43,14.43,1199600
2010-06-04,14.0,14.05,13.38,13.79,13.79,2776300
2010-06-07,13.86,14.41,13.84,14.19,14.19,1935200
2010-06-08,14.19,14.19,13.44,13.51,13.51,1264200
2010-06-09,13.6,13.8,13.18,13.27,13.27,978800
2010-06-10,13.49,13.98,13.33,13.7,13.7,1452600
2010-06-11,13.61,14.56,13.43,14.54,14.54,1368700
2010-06-14,14.6,15.23,14.6,14.81,14.81,1223100
2010-06-15,14.87,15.03,14.8,15.0,15.0,692400
2010-06-16,14.9,15.02,14.69,14.85,14.85,362100
2010-06-17,14.86,15.02,14.71,14.88,14.88,431700
2010-06-18,14.97,14.97,14.69,14.75,14.75,1039700
2010-06-21,14.94,15.34,14.87,15.2,15.2,783200
2010-06-22,15.28,15.37,14.85,14.96,14.96,771000
2010-06-23,14.96,14.96,14.35,14.75,14.75,779400
2010-06-24,14.68,14.81,14.44,14.49,14.49,587300
2010-06-25,14.5,15.0,14.41,14.96,14.96,797600
2010-06-28,15.0,15.1,14.93,15.0,15.0,698200
2010-06-29,14.78,14.97,14.01,14.91,14.91,1107700
2010-06-30,14.95,15.17,14.78,14.87,14.87,1060500
2010-07-01,14.89,14.89,13.9,14.3,14.3,662500
2010-07-02,14.39,14.45,13.97,14.2,14.2,328800
2010-07-06,14.37,14.6,14.01,14.1,14.1,612500
2010-07-07,14.21,14.92,14.14,14.88,14.88,651900
2010-07-08,14.97,15.16,14.69,14.88,14.88,557200
2010-07-09,14.82,14.82,14.25,14.44,14.44,674800
2010-07-12,14.36,14.58,14.2,14.27,14.27,387900
2010-07-13,14.45,14.87,14.42,14.84,14.84,447300
2010-07-14,15.07,16.38,15.07,15.62,15.62,2141800
2010-07-15,15.62,15.68,15.05,15.27,15.27,651700
2010-07-16,15.12,15.12,14.46,14.57,14.57,790700
2010-07-19,14.6,14.74,14.19,14.29,14.29,207500
2010-07-20,14.13,14.51,14.0,14.44,14.44,1068500
2010-07-21,14.49,14.69,14.28,14.49,14.49,687000
2010-07-22,14.61,15.27,14.55,14.83,14.83,1459800
2010-07-23,17.26,17.5,15.86,17.12,17.12,3750700
2010-07-26,17.17,18.46,17.13,18.35,18.35,2234600
2010-07-27,18.35,18.5,17.81,18.05,18.05,973600
2010-07-28,17.89,18.23,17.24,17.37,17.37,1340800
2010-07-29,17.42,17.49,17.08,17.47,17.47,667100
2010-07-30,17.25,17.67,17.19,17.35,17.35,685200
