Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.96,69.06,67.88,68.88,67.57,306100
2010-01-05,68.78,69.5,68.27,69.43,68.11,324600
2010-01-06,69.21,71.47,69.21,70.79,69.44,486200
2010-01-07,70.45,71.04,69.97,70.47,69.13,434000
2010-01-08,70.04,70.69,69.31,69.82,68.49,382800
2010-01-11,70.24,70.63,69.46,70.29,68.95,378100
2010-01-12,69.54,70.67,68.97,69.77,68.44,324000
2010-01-13,70.34,70.56,69.75,70.52,69.18,462000
2010-01-14,70.19,70.48,69.07,69.22,67.9,764400
2010-01-15,69.1,69.48,67.71,67.76,66.47,460800
2010-01-19,67.76,68.63,67.24,68.3,67.0,382400
2010-01-20,67.61,67.96,66.25,67.13,65.85,477500
2010-01-21,67.07,67.54,65.64,65.95,64.69,564300
2010-01-22,65.84,66.25,65.34,65.85,64.6,1070800
2010-01-25,66.65,67.71,65.85,66.01,64.75,965800
2010-01-26,65.69,65.83,63.11,63.23,62.03,800400
2010-01-27,63.17,64.33,63.06,63.9,62.68,1161600
2010-01-28,64.11,64.28,61.72,61.78,60.6,1112300
2010-01-29,62.19,63.52,60.55,60.57,59.42,892100
2010-02-01,61.12,65.19,60.66,64.12,62.9,1236400
2010-02-02,64.93,66.02,64.58,65.47,64.22,683100
2010-02-03,65.06,66.17,65.04,65.85,64.6,578800
2010-02-04,65.11,65.59,63.34,63.34,62.13,644500
2010-02-05,63.26,63.74,60.91,63.71,62.5,540700
2010-02-08,63.72,64.12,62.46,62.5,61.31,482500
2010-02-09,63.58,63.58,61.94,62.45,61.26,577400
2010-02-10,66.19,69.73,66.15,67.52,66.23,1910500
2010-02-11,67.16,68.33,67.15,67.86,66.57,651400
2010-02-12,66.79,68.76,66.16,68.71,67.4,638300
2010-02-16,69.55,69.92,68.58,69.4,68.08,416400
2010-02-17,69.99,70.0,69.05,69.77,68.44,431700
2010-02-18,69.7,69.7,68.25,68.42,67.12,658100
2010-02-19,68.16,69.48,68.16,68.89,67.58,492000
2010-02-22,69.41,71.38,68.82,70.87,69.52,752800
2010-02-23,70.79,71.38,69.7,70.34,69.0,818000
2010-02-24,70.41,71.01,70.13,70.71,69.36,314500
2010-02-25,69.83,70.73,69.28,70.62,69.28,306100
2010-02-26,70.54,71.33,69.93,71.13,69.78,353100
2010-03-01,71.15,72.29,71.0,72.21,70.84,469200
2010-03-02,72.31,74.29,72.27,73.93,72.52,686100
2010-03-03,73.89,75.51,73.42,74.48,73.06,698000
2010-03-04,74.51,77.35,74.49,76.8,75.34,995400
2010-03-05,77.69,78.08,76.37,77.95,76.47,758200
2010-03-08,77.74,78.39,77.38,77.46,75.99,494200
2010-03-09,77.15,77.76,76.58,76.93,75.47,504300
2010-03-10,76.81,77.22,76.11,76.78,75.32,711300
2010-03-11,76.4,76.99,75.59,76.93,75.47,451200
2010-03-12,77.32,78.06,76.96,78.04,76.55,450000
2010-03-15,77.97,78.67,75.86,76.82,75.36,574700
2010-03-16,76.77,77.83,76.19,77.73,76.25,382700
2010-03-17,78.09,79.79,77.98,79.05,77.54,619300
2010-03-18,79.2,79.58,78.72,79.36,77.85,351400
2010-03-19,78.72,81.08,78.7,78.72,77.22,695200
2010-03-22,78.01,79.69,77.78,79.61,78.09,512800
2010-03-23,79.6,80.61,79.28,80.46,78.93,398400
2010-03-24,79.96,81.05,79.84,80.12,78.59,685400
2010-03-25,80.98,81.43,79.76,79.81,78.29,513300
2010-03-26,80.24,81.25,79.85,80.77,79.23,583600
2010-03-29,80.93,81.2,80.06,80.7,79.16,411300
2010-03-30,80.91,81.07,79.55,79.77,78.25,463700
2010-03-31,79.71,80.02,78.78,79.0,77.5,441100
2010-04-01,79.97,81.29,79.92,81.26,79.71,697100
2010-04-05,81.77,82.81,81.34,82.47,80.9,403600
2010-04-06,81.85,83.68,80.89,83.68,82.09,651600
2010-04-07,83.29,83.6,81.83,82.53,80.96,480800
2010-04-08,82.0,82.09,80.84,81.1,79.56,584100
2010-04-09,81.3,81.44,80.27,81.29,79.74,459800
2010-04-12,81.6,81.6,80.06,80.44,78.91,467700
2010-04-13,80.41,81.43,80.08,81.22,79.67,251000
2010-04-14,81.88,82.94,80.97,82.9,81.32,604000
2010-04-15,82.44,84.13,82.33,84.0,82.4,373400
2010-04-16,83.81,84.6,81.47,82.79,81.21,692000
2010-04-19,82.19,83.85,81.45,82.29,80.72,443100
2010-04-20,82.76,83.34,82.12,83.17,81.59,328000
2010-04-21,83.46,84.22,82.87,83.8,82.2,414800
2010-04-22,82.91,84.79,82.27,84.58,82.97,402800
2010-04-23,84.97,85.55,84.47,85.39,83.76,367800
2010-04-26,85.29,85.46,82.54,82.54,80.97,741200
2010-04-27,81.81,82.87,79.51,81.3,79.75,953700
2010-04-28,82.72,84.32,82.39,83.42,81.83,648300
2010-04-29,84.14,88.01,83.91,87.05,85.39,558700
2010-04-30,86.99,86.99,84.18,84.18,82.58,657900
2010-05-03,84.24,85.66,83.5,85.33,83.71,746400
2010-05-04,83.98,84.39,82.8,83.76,82.17,548900
2010-05-05,82.87,83.79,80.92,81.07,79.53,731100
2010-05-06,80.93,82.15,73.2,77.8,76.32,1089100
2010-05-07,77.67,77.74,73.77,74.09,72.68,893600
2010-05-10,77.95,79.95,77.42,79.89,78.37,702100
2010-05-11,78.6,80.19,78.6,79.01,77.51,331100
2010-05-12,79.57,81.08,79.0,80.99,79.45,331100
2010-05-13,80.54,81.44,79.84,79.84,78.32,265700
2010-05-14,79.19,79.19,76.45,77.12,75.65,319000
2010-05-17,77.43,78.29,75.08,76.94,75.47,376800
2010-05-18,77.91,78.33,74.01,74.27,72.86,461600
2010-05-19,73.81,75.41,73.2,75.01,73.58,601600
2010-05-20,73.35,73.84,71.22,71.29,69.93,536400
2010-05-21,69.88,73.1,69.11,72.89,71.5,516900
2010-05-24,72.4,72.68,70.0,70.04,68.71,414900
2010-05-25,68.86,69.5,66.8,69.4,68.08,745100
2010-05-26,69.95,71.14,69.2,69.62,68.29,434600
2010-05-27,70.86,73.71,70.59,73.68,72.28,600600
2010-05-28,73.35,73.51,71.36,71.65,70.29,578400
2010-06-01,70.98,71.51,68.63,68.74,67.43,663200
2010-06-02,69.12,71.13,68.32,71.05,69.7,520700
2010-06-03,70.76,71.79,70.32,71.03,69.68,358200
2010-06-04,69.16,70.37,68.06,68.19,66.89,436600
2010-06-07,68.6,69.58,66.05,66.07,64.81,583600
2010-06-08,66.07,66.85,64.57,66.59,65.32,419500
2010-06-09,66.87,67.65,65.05,65.36,64.12,382200
2010-06-10,66.72,68.18,65.92,68.05,66.75,433500
2010-06-11,67.35,68.61,67.15,68.53,67.23,328700
2010-06-14,69.45,70.2,67.25,67.4,66.12,728800
2010-06-15,68.0,69.3,67.68,69.1,67.78,442200
2010-06-16,68.23,70.31,68.23,70.14,68.8,636800
2010-06-17,70.55,70.74,69.15,70.17,68.83,697000
2010-06-18,70.3,70.3,69.47,69.75,68.42,419700
2010-06-21,70.65,71.11,70.13,70.6,69.26,686600
2010-06-22,70.54,71.0,69.0,69.09,67.77,377900
2010-06-23,69.07,69.2,67.63,68.24,66.94,346200
2010-06-24,67.86,67.86,64.92,65.25,64.01,807200
2010-06-25,65.57,67.25,65.15,66.92,65.65,431400
2010-06-28,66.79,67.12,65.86,65.93,64.67,291600
2010-06-29,64.32,65.34,61.41,61.79,60.61,867600
2010-06-30,61.5,61.75,60.39,60.77,59.61,871500
2010-07-01,60.49,61.63,58.08,59.7,58.56,1028600
2010-07-02,61.36,61.36,59.42,60.41,59.26,841200
2010-07-06,61.15,62.05,59.11,59.96,58.82,848900
2010-07-07,59.97,62.77,59.85,62.59,61.4,507500
2010-07-08,63.04,64.6,62.73,64.38,63.15,809100
2010-07-09,64.41,65.96,64.03,65.68,64.43,457000
2010-07-12,65.35,65.98,64.39,65.01,63.77,253000
2010-07-13,65.9,67.46,65.9,67.07,65.79,707400
2010-07-14,66.92,66.96,65.56,66.23,64.97,599500
2010-07-15,66.46,66.46,63.4,64.91,63.67,848900
2010-07-16,64.25,64.34,62.52,62.67,61.48,704800
2010-07-19,63.11,63.11,61.43,62.2,61.02,443800
2010-07-20,61.11,62.95,60.78,62.91,61.71,522200
2010-07-21,63.25,63.6,61.14,61.35,60.18,483800
2010-07-22,62.32,64.4,62.32,64.1,62.88,479000
2010-07-23,63.98,65.96,63.48,65.95,64.69,800200
2010-07-26,66.2,69.67,66.05,69.12,67.8,1000300
2010-07-27,69.92,73.89,69.35,73.35,71.95,2038400
2010-07-28,72.71,73.91,71.91,72.29,70.91,884800
2010-07-29,72.85,74.26,70.81,71.52,70.16,889400
2010-07-30,70.27,71.42,70.14,70.83,69.48,820000
2010-08-02,72.26,73.39,71.45,72.86,71.47,750100
2010-08-03,72.43,72.83,71.65,72.34,70.96,526400
2010-08-04,72.54,73.24,71.58,73.15,71.76,620200
2010-08-05,72.74,73.13,72.08,72.97,71.58,625700
2010-08-06,71.88,73.29,71.21,72.38,71.0,452500
2010-08-09,72.72,73.94,72.17,73.54,72.14,262000
2010-08-10,72.6,72.76,71.18,71.82,70.45,605000
2010-08-11,70.24,70.24,68.4,68.96,67.65,917600
2010-08-12,67.99,68.89,67.78,68.63,67.32,276800
2010-08-13,68.37,68.96,68.18,68.25,66.95,324600
2010-08-16,67.79,69.02,67.72,68.14,66.84,239500
2010-08-17,68.7,69.98,68.4,69.44,68.12,348100
2010-08-18,69.72,69.72,68.41,69.1,67.78,1495900
2010-08-19,68.68,69.1,67.46,68.02,66.72,385700
2010-08-20,67.78,68.41,66.82,68.21,66.91,291800
2010-08-23,68.55,68.56,67.04,67.11,65.83,347000
2010-08-24,66.49,66.49,64.58,65.13,63.89,611600
2010-08-25,64.76,65.49,63.32,65.11,63.87,617300
2010-08-26,65.4,66.75,65.4,65.76,64.51,588400
2010-08-27,66.39,67.16,65.14,67.0,65.72,494800
2010-08-30,66.66,66.76,64.78,64.81,63.58,438200
2010-08-31,64.68,65.17,63.93,64.21,62.99,711100
2010-09-01,65.24,68.31,65.24,68.16,66.86,411700
2010-09-02,67.75,69.46,67.75,69.39,68.07,441400
2010-09-03,70.26,71.91,69.78,71.75,70.38,494200
2010-09-07,71.3,71.93,70.31,71.41,70.05,599100
2010-09-08,71.5,72.81,71.5,72.09,70.72,287300
2010-09-09,72.98,73.39,71.78,72.44,71.06,323500
2010-09-10,72.49,73.14,72.29,72.86,71.47,229000
2010-09-13,73.66,76.31,73.66,76.16,74.71,587800
2010-09-14,76.16,76.88,75.7,75.95,74.5,430500
2010-09-15,75.49,77.13,75.22,76.94,75.47,326100
2010-09-16,76.81,77.81,76.6,76.75,75.29,356400
2010-09-17,77.17,78.1,76.82,78.0,76.51,461300
2010-09-20,78.15,80.06,77.85,79.84,78.32,367900
2010-09-21,79.92,80.15,77.42,77.54,76.06,552200
2010-09-22,77.4,77.89,75.55,76.15,74.7,416900
2010-09-23,75.64,76.58,74.98,75.1,73.67,293100
2010-09-24,76.23,79.16,76.23,78.95,77.45,340300
2010-09-27,78.69,79.19,77.39,77.71,76.23,544600
2010-09-28,77.93,79.29,76.95,78.97,77.47,387700
2010-09-29,78.76,79.36,77.42,77.49,76.01,506600
2010-09-30,77.96,78.49,76.38,78.01,76.52,807400
2010-10-01,79.16,80.12,77.93,79.74,78.22,598400
2010-10-04,79.58,80.0,78.33,79.07,77.56,377600
2010-10-05,81.2,83.38,80.09,82.55,80.98,901000
2010-10-06,82.44,82.68,81.53,82.43,80.86,581300
2010-10-07,82.72,84.04,82.57,83.0,81.42,480800
2010-10-08,83.17,83.59,82.33,83.12,81.54,380000
2010-10-11,83.59,84.6,83.13,83.55,81.96,274800
2010-10-12,83.48,84.99,83.12,84.34,82.73,392500
2010-10-13,84.9,87.96,84.6,86.26,84.62,605700
2010-10-14,86.22,86.93,84.86,85.42,83.79,352500
2010-10-15,86.18,86.48,84.61,85.78,84.15,560300
2010-10-18,85.74,86.66,85.74,86.51,84.86,251900
2010-10-19,85.21,86.0,82.85,83.26,81.67,522000
2010-10-20,83.69,85.48,83.69,84.48,82.87,352100
2010-10-21,84.94,85.59,83.07,83.7,82.11,303600
2010-10-22,84.08,85.43,84.02,85.17,83.55,351500
2010-10-25,86.97,87.98,84.12,84.84,83.22,622700
