Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,56.63,57.87,56.56,57.72,47.94,5277400
2010-01-05,57.33,57.69,56.27,57.22,47.52,7882800
2010-01-06,56.94,57.39,56.5,56.79,47.17,6015100
2010-01-07,56.41,56.53,54.65,56.27,46.73,10371600
2010-01-08,56.07,56.83,55.64,56.77,47.15,6576000
2010-01-11,56.93,57.36,56.62,57.02,47.36,4062700
2010-01-12,57.14,57.42,54.82,56.03,46.53,11268300
2010-01-13,56.35,56.75,55.96,56.53,46.95,5056200
2010-01-14,56.35,56.53,55.91,56.16,46.64,4668900
2010-01-15,56.03,56.51,55.65,56.25,46.72,7240000
2010-01-19,56.41,57.75,56.24,57.55,47.8,8570100
2010-01-20,57.62,57.62,56.41,57.2,47.51,6625700
2010-01-21,57.43,57.56,56.31,56.63,47.03,5833700
2010-01-22,56.67,57.3,56.53,56.6,47.01,5967600
2010-01-25,56.72,56.79,55.55,55.71,46.27,6719400
2010-01-26,56.2,56.87,55.7,56.58,46.99,14880300
2010-01-27,56.35,57.88,56.35,57.74,47.95,9695000
2010-01-28,57.87,58.78,57.56,58.08,48.24,11638200
2010-01-29,58.35,58.93,58.16,58.48,48.57,9465700
2010-02-01,58.52,58.84,58.37,58.72,48.77,7079100
2010-02-02,58.6,59.3,58.41,59.23,49.19,7660900
2010-02-03,58.9,59.42,58.86,59.07,49.06,7082600
2010-02-04,58.9,59.06,57.33,57.53,47.78,9534500
2010-02-05,57.54,58.03,56.64,57.68,47.9,8409900
2010-02-08,57.54,57.92,56.7,57.46,47.72,5947800
2010-02-09,58.24,58.4,56.7,57.21,47.51,18732200
2010-02-10,57.09,57.29,56.37,56.84,47.21,6019100
2010-02-11,56.56,57.0,56.23,56.5,46.92,8491100
2010-02-12,56.22,56.72,56.02,56.48,46.91,8008700
2010-02-16,56.62,57.0,56.2,56.99,47.33,5245900
2010-02-17,56.93,57.57,56.75,57.2,47.51,6831900
2010-02-18,57.3,57.44,57.1,57.27,47.56,8120500
2010-02-19,57.05,57.71,56.95,57.38,47.66,7131600
2010-02-22,57.36,57.44,56.8,57.1,47.42,7176800
2010-02-23,56.96,57.22,56.35,56.38,46.83,7703000
2010-02-24,56.66,56.98,56.35,56.74,47.12,4887700
2010-02-25,56.48,56.48,55.78,56.25,46.72,6592200
2010-02-26,56.25,57.03,56.1,56.61,47.02,6351700
2010-03-01,56.74,57.09,56.72,56.9,47.26,5638400
2010-03-02,56.91,57.02,56.47,56.87,47.23,7219100
2010-03-03,56.87,57.17,56.67,56.9,47.26,5655600
2010-03-04,57.01,57.08,56.37,56.77,47.15,6127000
2010-03-05,56.75,57.26,56.21,57.24,47.54,6529100
2010-03-08,57.25,58.1,57.2,57.61,47.85,4409300
2010-03-09,57.27,57.93,57.26,57.76,47.97,5095400
2010-03-10,57.98,57.99,57.5,57.78,47.99,4620700
2010-03-11,57.43,57.74,57.08,57.49,47.75,4346900
2010-03-12,57.72,57.75,57.16,57.43,47.7,3601400
2010-03-15,57.27,57.75,56.53,56.89,47.25,7051800
2010-03-16,57.29,57.54,56.71,57.42,47.69,6256500
2010-03-17,57.36,57.43,56.9,57.43,47.7,5348600
2010-03-18,57.41,58.44,57.16,58.31,48.43,6442600
2010-03-19,58.92,60.13,57.65,60.0,49.83,18901000
2010-03-22,59.61,60.39,59.5,60.09,49.91,8837000
2010-03-23,59.89,60.08,59.61,60.06,49.88,5024800
2010-03-24,59.79,60.0,58.96,59.07,49.06,9367100
2010-03-25,59.4,59.79,59.0,59.26,49.22,8863000
2010-03-26,59.34,59.92,59.0,59.41,49.34,5627100
2010-03-29,59.7,60.15,59.61,59.91,49.76,4268700
2010-03-30,59.81,60.27,59.56,60.09,49.91,4360400
2010-03-31,60.0,60.22,59.69,59.84,49.7,4975100
2010-04-01,59.95,60.94,59.95,60.8,50.5,5916500
2010-04-05,60.74,60.89,60.27,60.42,50.18,3679800
2010-04-06,60.25,60.49,59.84,60.29,50.07,3947200
2010-04-07,60.29,60.76,60.08,60.35,50.12,4573500
2010-04-08,60.41,60.83,59.87,60.52,50.26,4367700
2010-04-09,60.26,60.92,60.26,60.9,50.58,3585500
2010-04-12,60.66,60.9,60.17,60.37,50.14,5588600
