Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,136.25,136.61,133.14,133.9,133.9,7599900
2010-01-05,133.43,135.48,131.81,134.69,134.69,8851900
2010-01-06,134.6,134.73,131.65,132.25,132.25,7178800
2010-01-07,132.01,132.32,128.8,130.0,130.0,11030200
2010-01-08,130.56,133.68,129.03,133.52,133.52,9830500
2010-01-11,132.62,132.8,129.21,130.31,130.31,8779400
2010-01-12,128.99,129.82,126.55,127.35,127.35,9096300
2010-01-13,127.9,129.71,125.75,129.11,129.11,10723200
2010-01-14,129.14,130.38,126.4,127.35,127.35,9774900
2010-01-15,129.18,129.65,127.06,127.14,127.14,15376500
2010-01-19,126.31,128.0,124.33,127.61,127.61,8892600
2010-01-20,127.13,129.2,125.08,125.78,125.78,9074700
2010-01-21,127.26,128.15,125.0,126.62,126.62,9970600
2010-01-22,125.6,127.67,120.76,121.43,121.43,11568900
2010-01-25,122.1,122.28,118.12,120.31,120.31,12023900
2010-01-26,120.56,122.98,119.06,119.48,119.48,9559000
2010-01-27,121.03,123.33,118.8,122.75,122.75,14765300
2010-01-28,124.43,127.2,122.8,126.03,126.03,27293100
2010-01-29,129.77,131.85,124.14,125.41,125.41,29471300
2010-02-01,123.18,124.86,113.82,118.87,118.87,37774400
2010-02-02,118.79,118.98,114.4,118.12,118.12,23079700
2010-02-03,117.12,119.61,116.56,119.1,119.1,12405900
2010-02-04,118.64,120.33,115.74,115.94,115.94,12784000
2010-02-05,115.88,117.65,114.1,117.39,117.39,11024800
2010-02-08,119.38,121.0,116.56,116.83,116.83,9890200
2010-02-09,118.2,119.09,117.0,118.03,118.03,9223000
2010-02-10,118.0,118.61,116.0,117.36,117.36,6233200
2010-02-11,117.21,120.42,116.5,120.09,120.09,8343500
2010-02-12,118.99,119.94,117.5,119.66,119.66,8073500
2010-02-16,120.06,120.5,117.18,117.53,117.53,8932700
2010-02-17,117.07,117.13,115.55,116.31,116.31,8944800
2010-02-18,115.84,118.51,114.82,118.08,118.08,9800100
2010-02-19,117.91,119.09,117.0,117.52,117.52,7115600
2010-02-22,117.37,118.97,116.18,118.01,118.01,6807300
2010-02-23,118.01,119.25,116.51,117.24,117.24,7068200
2010-02-24,117.96,119.8,117.15,119.72,119.72,7389900
2010-02-25,118.17,118.34,115.85,118.2,118.2,9533400
2010-02-26,117.88,119.43,117.0,118.4,118.4,5721600
2010-03-01,118.7,124.66,117.53,124.54,124.54,13296500
2010-03-02,125.01,127.35,124.8,125.53,125.53,12097500
2010-03-03,125.4,126.94,124.43,125.89,125.89,6440400
2010-03-04,125.98,128.85,125.57,128.53,128.53,7509700
2010-03-05,129.13,129.45,127.07,128.91,128.91,6769300
2010-03-08,128.3,130.85,127.71,130.11,130.11,5605900
2010-03-09,129.59,130.81,127.97,128.82,128.82,6070800
2010-03-10,129.11,131.17,128.48,130.51,130.51,5625700
2010-03-11,130.45,133.62,130.36,133.58,133.58,7240800
2010-03-12,134.2,134.2,131.18,131.82,131.82,6150800
2010-03-15,131.7,132.0,128.63,131.13,131.13,6329200
2010-03-16,131.24,132.29,130.5,131.79,131.79,4132500
2010-03-17,132.41,132.69,131.22,131.34,131.34,4358800
2010-03-18,131.02,132.85,130.44,132.76,132.76,5021300
2010-03-19,133.71,133.71,129.66,130.35,130.35,8905000
2010-03-22,130.2,130.96,128.64,130.47,130.47,5383400
2010-03-23,130.89,130.94,128.07,129.26,129.26,4213100
2010-03-24,128.64,129.4,127.2,128.04,128.04,4696400
2010-03-25,129.14,136.91,128.04,134.73,134.73,16209600
2010-03-26,134.9,136.99,133.76,135.06,135.06,6565700
2010-03-29,135.37,136.63,134.33,135.12,135.12,4626900
2010-03-30,135.74,138.19,135.36,136.58,136.58,6192700
2010-03-31,136.0,136.8,134.48,135.77,135.77,4600600
2010-04-01,135.8,136.51,131.18,131.81,131.81,8785800
2010-04-05,132.85,133.74,130.78,131.49,131.49,5816500
2010-04-06,131.23,136.0,131.18,135.56,135.56,7950300
2010-04-07,135.96,136.08,133.86,134.87,134.87,5945400
2010-04-08,134.71,141.25,134.71,140.96,140.96,12689100
2010-04-09,140.72,141.33,139.07,140.06,140.06,6011100
2010-04-12,140.0,142.91,139.68,141.2,141.2,5445300
2010-04-13,141.23,141.98,139.12,140.16,140.16,4785500
2010-04-14,140.34,144.5,139.2,144.28,144.28,7900300
2010-04-15,144.55,147.09,144.0,145.82,145.82,7829600
2010-04-16,144.88,147.17,141.45,142.17,142.17,8396800
2010-04-19,142.35,143.67,139.13,142.43,142.43,6022000
2010-04-20,143.83,144.64,142.1,144.2,144.2,4311700
2010-04-21,145.17,149.0,143.52,146.43,146.43,7374400
2010-04-22,147.01,151.09,145.88,150.09,150.09,15165800
2010-04-23,145.38,149.09,142.42,143.63,143.63,18975200
2010-04-26,143.2,147.73,142.9,147.11,147.11,9318300
2010-04-27,145.55,146.44,141.11,142.02,142.02,8639000
2010-04-28,142.59,142.75,138.69,139.35,139.35,9235300
2010-04-29,140.09,142.45,139.79,141.73,141.73,6314200
2010-04-30,141.4,141.4,136.91,137.1,137.1,6113500
2010-05-03,137.2,139.44,136.11,137.49,137.49,5654600
2010-05-04,135.62,135.81,128.38,129.83,129.83,12667800
2010-05-05,128.0,131.61,127.55,130.93,130.93,9458100
2010-05-06,130.0,132.33,120.6,128.71,128.71,10189000
2010-05-07,127.97,131.18,123.76,124.98,124.98,11927600
2010-05-10,129.73,132.21,129.26,131.29,131.29,6806100
2010-05-11,129.95,133.08,128.47,130.46,130.46,6044100
