Date,Open,High,Low,Close,Adj Close,Volume
2011-11-17,17.81,18.37,17.81,17.88,16.38,20946000
2011-11-18,17.9,18.05,17.39,17.6,16.13,3243100
2011-11-21,17.6,17.8,16.78,17.02,15.59,2823100
2011-11-22,17.02,17.36,16.47,16.68,15.28,3565500
2011-11-23,16.51,16.55,16.11,16.45,15.07,1266200
2011-11-25,16.39,16.61,16.35,16.47,15.09,333500
2011-11-28,16.65,17.03,16.49,16.8,15.39,835400
2011-11-29,16.76,16.76,16.51,16.76,15.35,637000
2011-11-30,16.89,17.99,16.87,17.47,16.0,679600
2011-12-01,17.56,17.64,17.06,17.44,15.98,572500
2011-12-02,17.56,17.98,17.52,17.91,16.41,697300
2011-12-05,17.98,18.37,17.94,18.25,16.72,2466800
2011-12-06,18.14,18.65,18.11,18.55,16.99,625200
2011-12-07,18.38,18.52,18.29,18.44,16.89,188000
2011-12-08,18.21,18.39,18.12,18.18,16.66,450800
2011-12-09,18.12,18.42,17.81,18.23,16.7,587700
2011-12-12,17.94,18.1,17.81,18.03,16.52,514700
2011-12-13,18.15,18.29,17.78,17.86,16.36,666500
2011-12-14,17.67,17.76,17.23,17.3,15.85,1255700
2011-12-15,17.59,18.34,17.43,17.57,16.09,850400
2011-12-16,17.57,18.02,17.38,17.58,16.1,250800
2011-12-19,17.66,17.75,17.4,17.59,16.12,177700
2011-12-20,17.96,18.18,17.75,18.02,16.51,381900
2011-12-21,17.91,18.17,17.85,17.94,16.43,320400
2011-12-22,17.96,18.32,17.96,18.26,16.73,446700
2011-12-23,18.29,18.82,18.13,18.39,16.85,647200
2011-12-27,19.19,19.19,17.92,18.15,16.62,528600
2011-12-28,18.25,18.29,17.68,17.76,16.27,172700
2011-12-29,17.79,17.96,17.62,17.95,16.45,344800
2011-12-30,17.99,18.14,17.68,18.06,16.54,152700
2012-01-03,18.53,19.22,18.24,18.64,17.08,1169400
2012-01-04,19.47,19.47,18.32,18.89,17.31,469600
2012-01-05,18.81,18.81,18.24,18.56,17.0,802200
2012-01-06,18.56,19.14,18.44,18.9,17.32,690600
2012-01-09,18.95,19.04,18.84,19.04,17.44,499600
