Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,64.69,65.35,62.92,63.55,47.37,467100
2010-01-05,63.5,63.77,62.35,62.88,46.87,527000
2010-01-06,62.99,63.38,62.14,62.55,46.63,566700
2010-01-07,62.55,63.49,62.1,63.13,47.06,850900
2010-01-08,63.06,63.53,62.68,62.92,46.9,665200
2010-01-11,63.64,63.92,62.7,63.25,47.15,443100
2010-01-12,62.7,63.58,62.6,63.34,47.22,1281900
2010-01-13,63.7,64.19,63.2,63.51,47.34,827500
2010-01-14,63.47,63.71,62.81,63.49,47.33,438400
2010-01-15,63.3,64.17,62.71,62.71,46.75,692900
2010-01-19,62.88,63.79,62.65,63.45,47.3,1163200
2010-01-20,64.07,64.4,63.03,63.99,47.7,961100
2010-01-21,64.12,64.14,61.96,62.3,46.44,867900
2010-01-22,62.3,63.02,61.05,61.88,46.13,975100
2010-01-25,62.57,62.57,61.32,62.05,46.25,681300
2010-01-26,61.43,61.5,60.58,60.86,45.37,671900
2010-01-27,60.74,61.15,59.45,60.87,45.37,418800
2010-01-28,60.99,60.99,59.68,60.26,44.92,344400
2010-01-29,60.36,60.94,59.31,59.73,44.52,613700
2010-02-01,60.18,61.01,59.89,60.72,45.26,423000
2010-02-02,60.72,61.59,60.12,61.5,45.84,467200
2010-02-03,61.0,61.54,60.35,61.36,45.74,576800
2010-02-04,60.77,60.95,58.64,58.67,43.73,595500
2010-02-05,58.67,59.63,57.54,59.28,44.19,381100
2010-02-08,59.51,59.51,57.34,57.37,42.77,346400
2010-02-09,58.3,58.3,56.5,57.25,42.68,604600
2010-02-10,57.15,57.74,56.12,57.34,42.74,425200
2010-02-11,57.04,57.39,55.54,56.89,42.41,579700
2010-02-12,56.13,58.46,56.13,58.38,43.52,518300
2010-02-16,59.19,61.4,59.14,61.2,45.62,551100
2010-02-17,61.27,61.67,60.58,61.07,45.52,277200
2010-02-18,60.82,62.0,60.81,61.69,45.99,496600
2010-02-19,61.47,62.03,61.26,61.59,45.91,326700
2010-02-22,62.02,62.18,61.31,61.35,45.73,402600
2010-02-23,61.21,62.17,61.09,61.76,46.04,799300
2010-02-24,61.68,62.04,61.36,61.68,45.98,554300
2010-02-25,60.93,62.13,60.49,62.0,46.22,528400
2010-02-26,62.04,62.58,61.38,61.62,45.93,606700
2010-03-01,61.9,62.16,61.55,61.9,46.14,299800
2010-03-02,62.36,62.49,61.69,62.4,46.52,571100
2010-03-03,62.39,62.95,61.72,62.43,46.54,581600
2010-03-04,62.46,63.07,61.95,62.19,46.36,531000
2010-03-05,62.57,63.6,62.25,63.28,47.17,582000
2010-03-08,63.25,64.67,63.03,64.47,48.06,259600
2010-03-09,64.04,65.89,63.82,64.62,48.17,358500
2010-03-10,64.46,65.0,64.05,64.82,48.32,321200
2010-03-11,64.33,65.3,64.24,64.9,48.38,360900
2010-03-12,65.09,65.44,64.54,65.01,48.46,233300
2010-03-15,65.03,65.53,64.14,65.26,48.65,421000
2010-03-16,65.3,67.0,65.08,66.92,49.88,550700
2010-03-17,66.93,67.62,66.69,67.34,50.2,325200
2010-03-18,67.34,68.26,67.27,67.45,50.28,397400
