Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.04,32.04,31.31,31.66,26.16,11467500
2010-01-05,31.67,31.67,31.35,31.44,25.98,5993700
2010-01-06,31.5,31.72,31.36,31.55,26.07,5229300
2010-01-07,31.51,32.16,31.46,32.06,26.49,6279400
2010-01-08,32.1,32.27,31.96,32.14,26.56,5171300
2010-01-11,32.17,32.17,31.9,31.96,26.4,5439400
2010-01-12,31.9,32.68,31.83,32.46,26.82,9434000
2010-01-13,32.54,32.9,32.46,32.79,27.1,7932500
2010-01-14,33.02,33.61,32.86,33.52,27.7,11379900
2010-01-15,33.43,33.59,32.98,33.44,27.63,8236000
2010-01-19,32.68,33.48,32.66,33.37,27.58,10666500
2010-01-20,33.32,33.59,32.63,33.03,27.29,8736200
2010-01-21,33.09,33.09,32.24,32.37,26.75,7913100
2010-01-22,32.25,32.48,31.86,31.91,26.36,7451600
2010-01-25,32.03,32.55,31.92,32.03,26.46,6397600
2010-01-26,31.91,32.22,31.83,32.08,26.51,5531600
2010-01-27,32.12,32.24,31.49,32.0,26.44,8232500
2010-01-28,31.33,31.9,30.7,31.61,26.12,11958900
2010-01-29,31.63,31.78,31.24,31.28,25.85,6105800
2010-02-01,31.27,31.43,30.95,31.43,25.97,6613000
2010-02-02,31.4,31.79,31.29,31.76,26.24,5410800
2010-02-03,31.64,31.71,31.17,31.23,25.8,6740400
2010-02-04,31.08,31.15,30.6,30.6,25.29,10924600
2010-02-05,30.56,30.9,30.45,30.74,25.4,8389000
2010-02-08,30.76,30.88,30.59,30.61,25.3,5257100
2010-02-09,30.8,31.05,30.47,30.62,25.31,5890800
2010-02-10,30.66,30.8,30.36,30.49,25.19,6289000
2010-02-11,30.52,30.56,30.3,30.42,25.14,8654700
2010-02-12,30.36,30.42,30.03,30.37,25.1,7184600
2010-02-16,30.49,30.96,30.42,30.93,25.56,6274800
2010-02-17,31.04,31.46,31.0,31.31,25.88,8283200
2010-02-18,31.21,31.41,31.06,31.17,25.75,5374900
2010-02-19,31.17,31.31,30.91,31.25,25.83,7192400
2010-02-22,31.34,31.44,31.0,31.36,25.92,7768200
2010-02-23,31.32,31.36,30.91,30.94,25.57,7117400
2010-02-24,31.1,31.34,30.93,31.29,25.85,4954300
2010-02-25,31.14,31.19,30.78,31.01,25.62,8144500
2010-02-26,31.03,31.15,30.75,30.92,25.55,7998700
2010-03-01,31.02,31.27,30.92,31.11,25.7,9315200
2010-03-02,31.17,31.87,31.17,31.75,26.23,7305400
2010-03-03,32.18,32.25,31.72,32.05,26.48,7394900
2010-03-04,32.11,32.24,31.86,32.07,26.5,6897800
2010-03-05,32.13,32.38,31.99,32.31,26.7,6859900
2010-03-08,32.23,32.26,32.0,32.12,26.67,4114600
2010-03-09,32.08,32.17,31.97,32.04,26.6,4154700
2010-03-10,32.13,32.15,31.71,31.77,26.38,6061400
2010-03-11,31.66,31.72,31.18,31.59,26.23,6706700
2010-03-12,31.73,31.83,31.29,31.4,26.07,6843900
2010-03-15,31.38,31.74,31.37,31.71,26.33,5737800
2010-03-16,31.68,31.68,31.41,31.53,26.18,4733300
2010-03-17,31.53,31.83,31.45,31.69,26.31,4544600
2010-03-18,31.72,32.07,31.67,32.03,26.6,4400700
2010-03-19,32.18,32.22,31.91,32.18,26.72,7957300
2010-03-22,32.16,32.72,32.04,32.41,26.91,8103800
2010-03-23,32.41,32.48,32.04,32.25,26.78,6526300
2010-03-24,32.24,32.26,31.94,31.99,26.57,4731100
2010-03-25,32.11,32.18,31.78,31.9,26.48,6020600
2010-03-26,31.9,31.93,31.53,31.74,26.35,5802000
2010-03-29,31.84,31.98,31.77,31.89,26.48,4431600
2010-03-30,31.97,32.05,31.79,31.87,26.46,4013000
2010-03-31,31.72,31.8,31.57,31.61,26.25,5452600
2010-04-01,31.68,31.93,31.46,31.63,26.26,6023000
2010-04-05,31.62,31.83,31.44,31.65,26.28,5374600
2010-04-06,31.54,31.77,31.5,31.61,26.25,4049200
2010-04-07,31.5,31.55,31.36,31.49,26.15,7907400
2010-04-08,31.48,31.5,31.3,31.34,26.02,4035400
2010-04-09,31.4,31.64,31.32,31.5,26.16,6594800
2010-04-12,31.46,31.67,31.29,31.59,26.23,7200300
2010-04-13,31.46,32.1,31.33,32.08,26.64,12337400
2010-04-14,32.26,32.3,31.75,32.2,26.74,12205000
2010-04-15,31.99,32.46,31.99,32.32,26.84,8642900
