Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,39.84,40.58,39.63,40.19,30.62,6433800
2010-01-05,40.54,41.5,40.5,41.21,31.4,6979200
2010-01-06,41.21,41.34,40.66,40.89,31.16,4192500
2010-01-07,40.8,41.59,40.7,41.54,31.65,8762000
2010-01-08,40.64,40.86,39.75,39.91,30.41,14177900
2010-01-11,40.04,40.04,39.0,39.23,29.89,9568900
2010-01-12,39.1,39.33,38.71,39.26,29.92,6770900
2010-01-13,39.37,39.85,39.31,39.73,30.27,4400000
2010-01-14,39.31,39.74,39.24,39.35,29.98,4046500
2010-01-15,39.34,39.46,38.75,38.93,29.66,5803500
2010-01-19,38.87,39.4,38.65,39.1,29.79,4974900
2010-01-20,38.77,39.06,38.5,38.77,29.54,5295200
2010-01-21,38.72,39.03,38.0,38.17,29.09,6824400
2010-01-22,38.09,38.22,37.06,37.15,28.31,9595500
2010-01-25,37.32,37.84,37.32,37.53,28.6,5594400
2010-01-26,37.13,37.58,37.01,37.06,28.24,6950900
2010-01-27,37.25,37.44,36.83,36.92,28.13,8380500
2010-01-28,36.95,37.09,36.05,36.35,27.7,8299800
2010-01-29,36.64,37.13,36.51,36.65,27.93,9076900
2010-02-01,36.82,36.93,36.61,36.76,28.01,5629600
2010-02-02,36.8,37.45,36.75,37.28,28.41,5378300
2010-02-03,37.13,37.47,36.91,37.03,28.22,4442600
2010-02-04,36.78,36.8,35.55,35.59,27.12,6386800
2010-02-05,35.65,35.85,35.16,35.82,27.29,7297100
2010-02-08,35.82,36.24,35.47,35.47,27.03,4602200
2010-02-09,35.72,36.33,35.7,35.98,27.42,5554200
2010-02-10,35.9,36.02,35.35,35.4,26.97,6440700
2010-02-11,35.53,35.75,35.16,35.65,27.17,5386900
2010-02-12,35.44,35.96,35.01,35.76,27.25,5195800
2010-02-16,35.9,36.45,35.79,36.43,27.76,4622600
2010-02-17,36.46,36.84,36.02,36.28,27.65,5794400
2010-02-18,36.02,36.25,35.94,36.15,27.55,4706000
2010-02-19,36.0,36.49,36.0,36.34,27.69,4468300
2010-02-22,36.48,36.76,36.28,36.57,27.87,5584700
2010-02-23,36.5,36.73,36.03,36.4,27.74,6150400
2010-02-24,36.51,36.96,36.38,36.94,28.15,5881500
2010-02-25,36.51,37.0,36.18,36.87,28.09,6126400
2010-02-26,36.97,37.09,36.43,36.5,27.81,5113000
2010-03-01,36.58,36.98,36.42,36.8,28.04,5262000
2010-03-02,36.88,36.97,36.38,36.45,27.77,6336000
2010-03-03,36.43,36.96,36.28,36.55,27.85,5128700
2010-03-04,36.79,37.35,36.7,37.15,28.31,9585400
2010-03-05,37.73,39.01,37.4,38.64,29.44,11727700
2010-03-08,38.72,39.56,38.67,39.35,29.98,6831000
2010-03-09,39.17,39.47,38.59,38.91,29.65,5642200
2010-03-10,39.01,39.23,38.75,38.96,29.69,4274700
