Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,78.99,79.68,78.26,78.6,66.13,1793200
2010-01-05,78.4,78.72,77.77,77.87,65.52,1122200
2010-01-06,77.99,78.08,77.28,77.66,65.34,1208000
2010-01-07,77.45,77.89,77.02,77.64,65.32,2266900
2010-01-08,77.67,78.31,77.38,77.91,65.55,1185000
2010-01-11,78.35,78.6,77.77,78.41,65.97,1535600
2010-01-12,78.28,78.28,77.14,77.25,65.0,1412800
2010-01-13,77.32,77.99,77.32,77.5,65.21,1393000
2010-01-14,76.5,77.25,76.11,77.04,64.82,2099900
2010-01-15,76.76,76.94,75.68,76.29,64.19,1382400
2010-01-19,76.42,77.67,76.36,77.29,65.03,1692300
2010-01-20,77.4,77.6,76.01,76.79,64.61,1382100
2010-01-21,77.2,77.31,76.08,76.15,64.07,1203200
2010-01-22,75.1,76.4,74.76,75.08,63.17,1535200
2010-01-25,75.26,76.39,75.12,75.78,63.76,864000
2010-01-26,75.47,75.8,75.03,75.57,63.58,745500
2010-01-27,75.3,76.34,74.75,76.0,63.94,1180000
2010-01-28,78.63,78.63,75.6,76.48,64.35,1577100
2010-01-29,76.74,76.82,75.11,75.37,63.41,1090300
2010-02-01,75.43,76.12,74.81,75.71,63.7,806200
2010-02-02,75.93,77.06,75.38,77.02,64.8,1388600
2010-02-03,76.94,76.94,76.12,76.64,64.48,1458700
2010-02-04,76.11,76.38,74.68,74.71,62.86,1470200
2010-02-05,74.56,74.93,73.85,74.89,63.01,1913100
2010-02-08,74.69,75.14,74.07,74.68,62.83,1284700
2010-02-09,75.47,75.66,74.33,75.26,63.32,1185900
2010-02-10,75.11,75.25,74.28,74.64,62.8,1249400
2010-02-11,74.71,75.29,74.27,75.22,63.29,1832500
2010-02-12,74.75,75.93,74.14,75.84,63.81,1726600
2010-02-16,75.93,76.96,75.33,76.91,64.71,1384300
2010-02-17,77.22,77.74,76.93,77.36,65.09,1282700
2010-02-18,77.64,78.0,76.96,77.96,65.59,1156000
2010-02-19,77.42,77.9,76.68,77.54,65.24,1618700
2010-02-22,77.77,77.9,77.1,77.5,65.21,949700
2010-02-23,77.41,78.06,76.75,77.87,65.52,1560300
2010-02-24,77.9,78.86,77.58,78.82,66.32,1888200
2010-02-25,78.42,78.62,77.73,78.52,66.07,1494400
2010-02-26,78.73,78.9,77.75,77.87,65.52,1357100
2010-03-01,78.11,79.02,77.88,79.02,66.49,1680500
2010-03-02,79.02,79.63,78.73,79.14,66.59,1354300
2010-03-03,78.71,79.21,78.62,78.68,66.2,1055700
2010-03-04,78.76,79.02,78.21,78.5,66.05,1667600
2010-03-05,78.66,78.68,78.24,78.6,66.13,1601400
2010-03-08,78.66,78.66,77.77,77.95,65.9,1061700
2010-03-09,77.89,78.64,77.75,78.47,66.34,1079700
2010-03-10,78.47,79.1,78.29,78.92,66.72,1266900
2010-03-11,79.02,79.02,77.55,78.46,66.33,1088300
2010-03-12,78.69,78.69,77.79,78.37,66.25,908300
2010-03-15,78.34,79.01,78.06,79.0,66.78,701600
2010-03-16,79.17,79.57,78.77,79.03,66.81,849500
2010-03-17,79.55,79.56,78.85,79.24,66.99,842300
2010-03-18,79.0,79.58,78.92,79.39,67.11,691400
2010-03-19,79.1,79.67,78.71,79.1,66.87,1370800
2010-03-22,79.08,80.56,79.0,80.14,67.75,1433200
2010-03-23,80.17,80.45,79.31,79.71,67.38,872400
2010-03-24,79.43,79.67,78.79,79.01,66.79,1488900
2010-03-25,79.44,79.66,78.74,78.87,66.67,934600
2010-03-26,78.89,78.99,78.24,78.51,66.37,999600
2010-03-29,78.46,79.16,78.4,79.0,66.78,864300
2010-03-30,79.17,79.17,78.9,79.05,66.83,1099400
2010-03-31,78.98,79.4,78.4,78.73,66.56,910700
2010-04-01,78.93,79.24,78.42,78.96,66.75,908200
2010-04-05,79.21,79.22,78.42,78.51,66.37,1168700
2010-04-06,78.42,78.84,78.11,78.43,66.3,1051600
2010-04-07,78.01,79.19,78.01,78.5,66.36,1166100
2010-04-08,78.56,78.93,78.21,78.63,66.47,771100
2010-04-09,78.76,78.97,78.37,78.91,66.71,769000
2010-04-12,79.02,79.27,78.72,79.0,66.78,639700
2010-04-13,78.93,79.0,78.21,78.72,66.55,905600
2010-04-14,78.54,78.78,78.13,78.49,66.35,1271500
2010-04-15,78.24,78.75,77.97,78.05,65.98,1542300
2010-04-16,77.98,78.4,77.46,77.74,65.72,2440200
2010-04-19,77.82,78.67,77.82,78.46,66.33,1721800
2010-04-20,78.7,79.85,78.6,79.66,67.34,1485100
2010-04-21,79.77,79.92,78.36,78.56,66.41,1764300
2010-04-22,77.56,77.83,76.03,77.27,65.32,2543600
2010-04-23,77.55,78.36,77.14,77.55,65.56,1622600
2010-04-26,77.58,78.08,76.38,76.4,64.59,1510700
2010-04-27,76.7,76.7,75.61,76.04,64.28,1530800
2010-04-28,76.09,77.04,76.0,76.7,64.84,1682000
2010-04-29,75.28,78.37,75.28,76.6,64.75,2795100
2010-04-30,76.74,77.15,76.05,76.37,64.56,2131800
2010-05-03,76.38,76.53,75.15,76.22,64.43,1831700
2010-05-04,75.53,75.9,74.97,75.44,63.77,1382400
2010-05-05,75.41,76.18,74.76,75.61,63.92,1512600
2010-05-06,75.38,75.89,72.48,74.88,63.3,2771800
2010-05-07,74.99,75.05,73.12,73.66,62.27,2663100
2010-05-10,75.6,76.7,74.7,75.57,63.88,1611200
2010-05-11,75.34,75.34,74.24,74.75,63.19,1505000
2010-05-12,75.01,75.3,74.26,75.1,63.49,1331900
2010-05-13,75.23,75.69,74.4,74.47,62.95,1482600
2010-05-14,74.3,74.3,72.82,73.26,61.93,1993400
2010-05-17,73.11,74.05,73.11,73.78,62.37,1439000
2010-05-18,74.61,75.11,74.14,74.3,62.81,2088000
2010-05-19,74.18,74.56,73.27,73.73,62.33,2228700
2010-05-20,72.75,72.81,71.65,71.65,60.57,2293000
2010-05-21,71.22,71.81,69.95,71.49,60.43,2276500
2010-05-24,71.41,72.14,71.25,71.33,60.3,1034800
2010-05-25,70.51,71.54,69.58,71.44,60.39,1947000
2010-05-26,71.58,72.29,70.62,70.66,59.73,1451000
2010-05-27,71.56,72.25,71.09,72.21,61.04,1489100
2010-05-28,72.23,72.23,71.17,71.3,60.27,1512800
2010-06-01,71.09,71.87,70.68,70.71,59.78,1265600
2010-06-02,70.64,72.47,70.25,72.4,61.2,1245300
2010-06-03,72.19,72.88,71.74,72.39,61.2,991800
2010-06-04,71.59,71.59,69.95,70.08,59.24,1698700
2010-06-07,70.36,70.55,69.27,69.29,58.89,1543000
2010-06-08,69.07,69.38,68.11,68.92,58.57,2638400
2010-06-09,69.07,69.68,68.5,68.64,58.33,1673100
2010-06-10,69.41,69.8,69.21,69.76,59.29,1421200
2010-06-11,69.55,69.82,69.17,69.69,59.23,1468000
2010-06-14,71.04,71.04,70.1,70.19,59.65,1658000
