Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.29,14.46,14.28,14.35,11.94,1169200.0
2010-01-05,14.3,14.37,14.03,14.2,11.82,1507700.0
2010-01-06,14.22,14.42,14.2,14.39,11.98,1498000.0
2010-01-07,14.42,14.42,14.19,14.25,11.87,802700.0
2010-01-08,14.26,14.26,14.09,14.25,11.86,811500.0
2010-01-11,14.32,14.37,14.19,14.3,11.91,838700.0
2010-01-12,14.27,14.41,14.23,14.41,11.99,971500.0
2010-01-13,14.39,14.82,14.36,14.7,12.24,1054000.0
2010-01-14,14.66,14.71,14.52,14.58,12.14,655000.0
2010-01-15,14.6,14.66,14.3,14.36,11.95,1192700.0
2010-01-19,14.35,14.38,14.21,14.37,11.96,913700.0
2010-01-20,14.26,14.26,14.02,14.25,11.86,831000.0
2010-01-21,14.35,14.36,13.96,14.04,11.69,965500.0
2010-01-22,13.97,14.03,13.76,13.79,11.48,878200.0
2010-01-25,13.91,13.91,13.69,13.8,11.49,682500.0
2010-01-26,13.78,13.81,13.58,13.75,11.45,614500.0
2010-01-27,13.75,13.75,13.56,13.71,11.41,867200.0
2010-01-28,13.76,13.87,13.62,13.66,11.37,711000.0
2010-01-29,13.77,13.77,13.55,13.69,11.39,1156500.0
2010-02-01,13.78,13.8,13.69,13.78,11.47,655000.0
2010-02-02,13.82,13.89,13.6,13.87,11.55,791500.0
2010-02-03,13.81,13.92,13.67,13.7,11.41,636200.0
2010-02-04,13.66,13.73,13.19,13.2,10.99,858200.0
2010-02-05,13.18,13.27,13.05,13.2,10.99,924200.0
2010-02-08,13.3,13.4,13.2,13.22,11.0,1293200.0
2010-02-09,13.39,13.72,13.36,13.55,11.28,1102000.0
2010-02-10,13.52,13.67,13.42,13.53,11.27,629500.0
2010-02-11,13.54,13.57,13.3,13.53,11.27,1110200.0
2010-02-12,13.48,13.59,13.35,13.51,11.24,1297700.0
2010-02-16,13.5,13.64,13.48,13.64,11.35,1045700.0
2010-02-17,13.65,13.89,13.6,13.87,11.54,743200.0
2010-02-18,13.89,14.1,13.89,14.07,11.71,565000.0
2010-02-19,14.06,14.2,13.94,14.12,11.75,740500.0
2010-02-22,14.16,14.19,14.05,14.09,11.73,462000.0
2010-02-23,14.09,14.09,13.86,13.97,11.63,631000.0
2010-02-24,14.07,14.26,13.97,14.19,11.81,1014000.0
2010-02-25,14.05,14.19,13.85,14.15,11.78,1205200.0
2010-02-26,14.21,14.21,13.92,13.96,11.62,1582500.0
2010-03-01,14.03,14.56,14.03,14.25,11.86,1292500.0
2010-03-02,14.28,14.41,14.22,14.38,11.97,1330700.0
2010-03-03,14.38,14.51,14.35,14.41,11.99,1148500.0
2010-03-04,14.38,14.62,14.35,14.57,12.19,1019500.0
2010-03-05,14.67,14.81,14.67,14.8,12.39,1051000.0
2010-03-08,14.75,14.86,14.7,14.79,12.38,820000.0
