Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.19,28.44,27.93,28.29,23.71,6127700
2010-01-05,27.95,28.64,27.75,28.59,23.96,7189300
2010-01-06,28.48,28.51,28.09,28.16,23.6,7250600
2010-01-07,28.08,29.49,27.91,29.35,24.6,11052000
2010-01-08,29.28,29.55,28.98,29.53,24.75,7144000
2010-01-11,29.65,29.68,28.79,29.02,24.32,9365000
2010-01-12,28.88,29.32,28.79,29.07,24.37,8932700
2010-01-13,29.07,29.46,28.87,29.29,24.55,5872400
2010-01-14,29.26,29.46,28.91,29.25,24.52,5943500
2010-01-15,29.15,29.39,28.9,29.03,24.33,10784600
2010-01-19,29.01,29.61,28.89,29.53,24.75,9110200
2010-01-20,29.89,31.23,29.79,30.96,25.95,17464000
2010-01-21,30.91,31.3,30.55,30.67,25.71,13330200
2010-01-22,30.65,31.14,29.13,29.27,24.53,12168200
2010-01-25,29.55,30.03,29.5,29.76,24.94,6831400
2010-01-26,29.58,29.88,29.22,29.27,24.53,7130400
2010-01-27,29.25,29.94,29.09,29.76,24.94,7725300
2010-01-28,29.93,29.93,28.77,29.17,24.52,8044700
2010-01-29,29.28,29.67,28.99,29.09,24.46,8299000
2010-02-01,29.29,29.87,29.2,29.58,24.87,6977500
2010-02-02,29.56,29.56,28.98,29.26,24.6,7542500
2010-02-03,29.09,29.17,28.51,28.57,24.02,7010300
2010-02-04,28.47,28.7,27.25,27.29,22.94,10372600
2010-02-05,27.38,27.79,26.35,27.14,22.82,14936200
2010-02-08,27.15,27.55,26.83,26.86,22.58,7672100
2010-02-09,27.06,27.39,26.76,27.06,22.75,7360000
2010-02-10,27.09,27.69,26.95,27.39,23.03,8491800
2010-02-11,27.3,27.65,27.11,27.46,23.09,5285400
2010-02-12,27.18,27.31,26.7,27.05,22.74,7778800
2010-02-16,27.2,27.77,27.11,27.73,23.31,5077400
2010-02-17,27.66,27.91,27.53,27.71,23.3,4322700
2010-02-18,27.56,27.76,27.42,27.69,23.28,4701300
2010-02-19,27.65,29.18,27.65,28.66,24.09,12293600
2010-02-22,28.78,29.09,28.43,28.84,24.25,7654800
2010-02-23,28.73,28.84,28.01,28.12,23.64,7437000
2010-02-24,28.14,28.82,28.02,28.63,24.07,7151400
2010-02-25,28.35,28.43,27.91,28.39,23.87,6516700
2010-02-26,28.46,28.55,28.11,28.52,23.98,5389800
2010-03-01,28.63,28.63,28.24,28.42,23.89,4698200
2010-03-02,28.45,29.15,28.34,28.69,24.12,6755300
2010-03-03,28.65,28.87,28.51,28.69,24.12,5406100
2010-03-04,28.71,28.98,28.58,28.89,24.29,4431300
2010-03-05,29.06,29.73,28.94,29.7,24.97,7188000
2010-03-08,29.6,29.73,29.26,29.62,24.9,6132000
2010-03-09,29.33,29.89,29.33,29.81,25.06,6449900
2010-03-10,29.91,29.91,29.47,29.62,24.9,6623200
2010-03-11,29.62,29.67,29.16,29.67,24.94,5663800
2010-03-12,29.78,29.96,29.6,29.72,24.99,5641300
2010-03-15,29.57,30.01,29.56,29.94,25.17,5501700
2010-03-16,30.06,30.29,29.83,30.25,25.43,6283100
2010-03-17,30.37,30.76,30.19,30.69,25.8,6494700
2010-03-18,30.63,30.85,30.3,30.82,25.91,5921000
2010-03-19,30.64,31.07,30.55,30.64,25.76,7794800
2010-03-22,30.44,30.94,30.41,30.83,25.92,4298600
2010-03-23,30.83,31.37,30.78,31.35,26.36,6007800
2010-03-24,31.19,31.25,30.58,30.68,25.79,7640400
2010-03-25,30.9,31.46,30.76,30.84,25.93,6311100
2010-03-26,30.86,31.3,30.65,30.9,25.98,5918200
2010-03-29,31.09,31.22,30.68,30.96,26.03,4342600
2010-03-30,30.88,30.97,30.61,30.72,25.83,3908500
2010-03-31,30.56,31.05,30.42,30.88,25.96,7144000
2010-04-01,31.14,31.29,30.91,31.26,26.28,5221900
2010-04-05,31.4,31.59,31.18,31.5,26.48,4675300
2010-04-06,31.39,31.75,31.17,31.7,26.65,4664000
2010-04-07,31.71,31.89,31.33,31.46,26.45,5887200
2010-04-08,31.38,31.91,31.32,31.85,26.78,6127500
2010-04-09,31.87,32.07,31.69,31.95,26.86,4430300
2010-04-12,32.1,32.65,32.1,32.54,27.36,6469700
2010-04-13,32.48,32.65,32.06,32.47,27.3,5111800
2010-04-14,32.31,32.5,31.58,32.18,27.05,13733000
2010-04-15,32.25,32.49,31.91,32.02,26.92,8431600
2010-04-16,31.87,32.04,30.77,31.57,26.54,13359100
2010-04-19,31.75,32.18,31.39,32.14,27.02,8607900
2010-04-20,31.91,32.32,31.54,32.15,27.03,11037200
2010-04-21,32.11,32.45,31.95,32.22,27.09,10298500
2010-04-22,31.94,32.42,31.75,32.42,27.26,10387300
2010-04-23,32.33,32.33,31.77,31.95,26.86,9437100
2010-04-26,31.87,32.03,31.64,31.65,26.61,8207800
2010-04-27,31.4,31.8,30.81,30.87,25.95,9439000
2010-04-28,31.13,31.5,30.95,31.24,26.34,6220600
2010-04-29,31.56,32.17,31.37,31.97,26.96,6080900
2010-04-30,31.82,31.92,31.09,31.13,26.25,7649500
2010-05-03,31.16,31.48,31.03,31.33,26.42,5017700
2010-05-04,31.02,31.08,30.45,30.61,25.81,8978600
2010-05-05,30.2,31.71,30.05,31.18,26.29,10496600
2010-05-06,31.01,31.53,29.0,30.22,25.48,14134700
2010-05-07,30.33,31.04,29.9,30.06,25.35,18173100
2010-05-10,31.34,31.69,30.64,31.57,26.62,8431500
2010-05-11,31.27,31.48,30.6,30.98,26.12,15410600
2010-05-12,31.17,31.23,30.76,30.92,26.07,10638100
2010-05-13,30.76,30.82,29.9,29.98,25.28,14142200
2010-05-14,29.91,30.02,29.51,29.7,25.04,13136200
2010-05-17,29.68,29.85,29.24,29.8,25.13,8153800
2010-05-18,30.08,30.08,29.0,29.16,24.59,11629000
2010-05-19,29.01,29.37,28.56,28.78,24.27,12907100
2010-05-20,28.14,28.45,27.64,27.65,23.31,13043000
2010-05-21,26.68,27.91,26.63,27.82,23.46,20287300
2010-05-24,27.66,27.93,27.15,27.17,22.91,8602000
2010-05-25,26.59,27.19,26.25,27.19,22.93,16989400
2010-05-26,27.55,27.97,27.24,27.34,23.05,11113800
2010-05-27,27.96,28.1,27.63,28.03,23.63,9877300
2010-05-28,27.95,27.98,27.12,27.2,22.93,10945900
2010-06-01,27.05,27.19,26.48,26.5,22.34,10873400
2010-06-02,26.64,27.32,26.62,27.29,23.01,8240100
2010-06-03,27.31,27.43,26.97,27.28,23.0,7625100
2010-06-04,26.38,26.69,25.9,26.0,21.92,29161900
2010-06-07,26.17,26.29,25.61,25.62,21.6,17283500
2010-06-08,25.71,25.77,24.9,25.41,21.42,33538200
