Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,222.32,225.3,221.58,223.96,223.96,863200
2010-01-05,224.1,228.0,222.15,226.56,226.56,801100
2010-01-06,225.12,226.42,218.15,219.08,219.08,1007800
2010-01-07,219.66,220.5,214.12,216.13,216.13,768700
2010-01-08,213.1,218.43,212.13,216.21,216.21,756600
2010-01-11,217.8,219.5,212.25,218.91,218.91,784500
2010-01-12,216.06,216.99,210.25,213.98,213.98,1222300
2010-01-13,214.45,215.92,207.76,214.3,214.3,841000
2010-01-14,212.97,214.73,206.01,208.77,208.77,1402500
2010-01-15,208.21,210.5,205.55,208.77,208.77,1210900
2010-01-19,208.55,212.45,207.79,208.7,208.7,625400
2010-01-20,206.53,211.5,203.09,206.31,206.31,673600
2010-01-21,205.88,211.11,205.54,208.04,208.04,843000
2010-01-22,207.86,209.56,202.81,204.2,204.2,837600
2010-01-25,205.41,206.01,199.89,202.84,202.84,653100
2010-01-26,202.41,207.21,200.84,204.44,204.44,767400
2010-01-27,203.66,208.49,203.18,207.52,207.52,676800
2010-01-28,208.12,209.7,201.39,201.68,201.68,672200
2010-01-29,203.96,205.0,193.46,195.35,195.35,1089700
2010-02-01,196.52,204.53,192.72,204.2,204.2,1303000
2010-02-02,205.25,205.82,201.73,204.42,204.42,607800
2010-02-03,201.98,211.52,201.98,208.53,208.53,1047500
2010-02-04,207.3,208.51,199.71,200.01,200.01,1137400
2010-02-05,201.0,201.91,193.37,196.96,196.96,1287100
2010-02-08,199.45,204.16,198.53,200.62,200.62,966200
2010-02-09,203.5,206.33,203.23,205.38,205.38,991900
2010-02-10,205.8,208.44,203.63,206.4,206.4,733700
2010-02-11,203.95,209.64,203.11,208.9,208.9,858200
2010-02-12,206.5,208.03,203.75,207.78,207.78,830500
2010-02-16,208.75,212.25,208.75,211.21,211.21,846700
2010-02-17,213.29,215.73,209.37,212.87,212.87,2011600
2010-02-18,227.49,235.8,226.02,232.95,232.95,3965300
2010-02-19,232.5,233.66,229.67,230.57,230.57,1406100
2010-02-22,232.04,232.23,226.24,229.07,229.07,880600
2010-02-23,229.45,229.5,223.6,225.09,225.09,1151900
2010-02-24,226.0,226.87,221.06,225.02,225.02,898500
2010-02-25,222.0,224.7,218.5,223.87,223.87,1068900
2010-02-26,224.0,226.99,221.05,226.71,226.71,987600
2010-03-01,228.77,238.99,227.64,238.54,238.54,1657900
2010-03-02,241.04,245.0,238.9,241.34,241.34,1836700
2010-03-03,241.5,241.5,235.0,235.82,235.82,963600
2010-03-04,233.0,237.83,229.51,233.12,233.12,1594700
2010-03-05,236.58,236.99,231.42,235.34,235.34,2236700
2010-03-08,236.0,240.98,233.7,240.18,240.18,1268800
2010-03-09,239.17,243.15,236.37,238.33,238.33,898200
2010-03-10,238.15,243.52,238.0,240.99,240.99,792800
2010-03-11,240.99,242.41,237.61,242.21,242.21,624500
2010-03-12,242.59,243.7,237.67,238.91,238.91,718000
2010-03-15,239.34,240.0,234.36,238.86,238.86,443600
2010-03-16,239.0,242.25,237.41,241.81,241.81,617600
2010-03-17,242.79,246.01,239.65,242.92,242.92,858800
2010-03-18,243.95,244.9,240.37,242.81,242.81,528400
2010-03-19,244.61,244.61,238.47,239.01,239.01,1015900
2010-03-22,238.34,243.51,236.67,243.02,243.02,603300
2010-03-23,244.13,244.8,238.69,244.41,244.41,793000
2010-03-24,242.52,244.49,241.57,243.8,243.8,595900
2010-03-25,246.6,262.67,246.51,255.03,255.03,2304600
2010-03-26,254.95,256.24,250.02,252.11,252.11,783300
2010-03-29,257.12,259.92,254.39,255.67,255.67,1088300
2010-03-30,255.5,258.06,253.1,255.99,255.99,587700
2010-03-31,255.51,258.96,253.01,255.0,255.0,861600
2010-04-01,257.94,260.28,253.81,257.0,257.0,885900
2010-04-05,257.98,259.16,255.15,257.65,257.65,811400
2010-04-06,255.15,262.96,255.15,261.6,261.6,808100
2010-04-07,262.98,267.02,258.0,259.81,259.81,989500
2010-04-08,259.09,260.86,256.51,259.31,259.31,859500
2010-04-09,260.44,260.44,256.31,259.49,259.49,493000
2010-04-12,260.25,262.92,259.49,260.23,260.23,413300
2010-04-13,254.33,257.71,251.13,257.6,257.6,1158700
2010-04-14,256.04,265.65,256.04,265.26,265.26,878200
2010-04-15,264.06,266.88,262.55,264.98,264.98,763900
2010-04-16,263.07,263.76,252.78,254.86,254.86,1148200
