Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,236.05,239.6,233.52,238.58,184.11,238700
2010-01-05,239.05,239.67,236.76,239.61,184.9,198800
2010-01-06,238.51,238.65,234.06,234.67,181.09,278500
2010-01-07,234.66,237.7,234.0,237.25,183.08,218300
2010-01-08,237.46,239.41,236.75,238.92,184.37,224400
2010-01-11,239.95,243.8,239.95,242.81,187.37,207900
2010-01-12,241.24,243.19,238.47,238.47,184.02,208100
2010-01-13,234.22,239.95,234.22,239.42,184.76,203400
2010-01-14,239.17,240.29,237.0,237.9,183.58,163900
2010-01-15,237.85,238.7,236.16,238.09,183.73,197000
2010-01-19,237.69,240.86,234.23,240.01,185.21,187600
2010-01-20,239.0,239.39,235.33,238.26,183.86,203000
2010-01-21,240.02,240.02,229.88,230.24,177.67,354700
2010-01-22,229.49,235.68,222.61,225.0,173.63,282600
2010-01-25,225.44,228.29,223.86,226.46,174.75,195600
2010-01-26,224.55,228.89,223.5,224.71,173.4,203100
2010-01-27,228.36,231.13,218.55,226.77,174.99,560200
2010-01-28,227.0,228.45,215.74,219.64,169.49,632900
2010-01-29,224.81,224.81,212.66,213.82,165.0,483100
2010-02-01,215.25,219.23,215.02,216.57,167.12,426400
2010-02-02,212.85,216.38,209.29,216.0,166.68,716700
2010-02-03,215.81,221.89,215.05,220.64,170.26,601700
2010-02-04,216.79,217.62,210.5,211.25,163.02,540500
2010-02-05,210.44,212.5,200.56,208.79,161.12,884900
2010-02-08,209.4,209.96,204.61,204.66,157.93,356400
2010-02-09,206.87,209.37,205.15,208.88,161.19,564800
2010-02-10,208.13,212.91,208.13,211.13,162.92,619400
2010-02-11,210.77,211.25,206.11,207.3,159.97,437100
2010-02-12,205.38,207.16,202.82,207.16,159.86,396400
2010-02-16,208.3,210.41,207.0,210.41,162.37,277100
2010-02-17,210.4,213.68,209.95,213.09,164.44,372500
2010-02-18,214.4,215.24,211.26,213.73,164.93,350900
2010-02-19,214.25,216.19,213.6,215.51,166.3,294800
2010-02-22,217.52,219.3,216.04,217.23,167.63,374900
2010-02-23,217.56,219.21,214.77,214.87,165.81,276000
2010-02-24,217.25,218.98,216.5,218.36,168.5,280500
2010-02-25,216.5,219.12,214.59,218.3,168.46,359100
2010-02-26,217.5,219.85,217.5,218.8,168.84,302500
2010-03-01,217.91,219.81,216.36,218.0,168.23,389700
2010-03-02,219.89,220.32,216.41,216.41,167.0,568200
2010-03-03,218.16,219.22,214.59,216.08,166.74,500900
2010-03-04,217.91,217.91,212.28,215.84,167.33,300600
2010-03-05,217.0,219.88,215.46,219.83,170.43,557200
2010-03-08,219.83,219.83,216.44,218.12,169.1,293900
2010-03-09,216.99,218.88,215.86,216.97,168.21,323100
2010-03-10,217.8,218.88,215.39,215.7,167.23,502000
2010-03-11,214.29,215.46,209.65,210.41,163.12,730900
2010-03-12,211.98,213.74,208.35,210.0,162.81,601600
2010-03-15,209.02,213.21,208.65,212.17,164.49,384800
2010-03-16,213.51,213.51,210.59,212.35,164.63,290400
2010-03-17,220.0,226.65,219.49,222.8,172.73,895300
2010-03-18,223.01,227.0,222.27,225.66,174.95,406000
2010-03-19,224.35,225.99,221.16,224.35,173.93,514700
2010-03-22,223.0,225.8,222.01,225.7,174.98,296900
2010-03-23,225.68,227.77,224.8,227.0,175.99,301200
2010-03-24,226.01,226.92,223.75,225.0,174.44,327500
2010-03-25,225.01,227.7,224.35,225.41,174.75,486500
2010-03-26,225.93,225.94,218.08,219.27,169.99,538100
2010-03-29,219.0,220.43,215.43,220.05,170.6,314600
2010-03-30,220.01,220.12,217.72,219.13,169.88,222800
2010-03-31,218.77,221.78,216.71,217.76,168.82,324800
2010-04-01,211.44,211.98,206.95,211.05,163.62,1632300
2010-04-05,210.69,210.69,205.57,206.0,159.71,645300
2010-04-06,203.62,205.09,198.06,198.55,153.93,1399900
2010-04-07,198.75,201.41,197.86,199.02,154.29,1117600
2010-04-08,197.56,204.59,197.4,204.56,158.59,1329100
2010-04-09,203.98,208.9,203.98,206.11,159.79,774700
2010-04-12,205.37,207.0,204.65,205.8,159.55,561300
2010-04-13,205.69,207.72,204.54,206.9,160.4,335900
2010-04-14,208.2,211.43,207.51,211.38,163.88,586400
2010-04-15,212.0,212.27,206.62,206.7,160.25,579800
2010-04-16,206.1,206.68,199.23,200.75,155.64,821200
2010-04-19,199.52,203.63,199.42,202.61,157.08,454800
2010-04-20,204.85,204.85,201.77,203.18,157.52,319500
2010-04-21,202.4,205.35,199.28,201.2,155.98,386700
2010-04-22,202.0,208.33,200.66,207.79,161.09,698700
2010-04-23,206.91,211.89,206.91,211.02,163.6,591600
2010-04-26,204.3,204.3,192.4,192.95,149.59,1816800
2010-04-27,192.0,193.78,185.01,185.5,143.81,1042000
2010-04-28,187.79,190.99,181.18,184.44,142.99,1106400
2010-04-29,186.85,191.17,185.52,190.39,147.6,699500
2010-04-30,189.43,189.92,182.48,184.0,142.65,846600
2010-05-03,185.61,187.41,184.26,185.76,144.01,421000
2010-05-04,184.04,184.5,176.96,177.68,137.75,668200
2010-05-05,174.4,178.44,173.49,174.8,135.52,766600
2010-05-06,173.8,179.42,167.24,171.62,133.05,1279100
2010-05-07,171.6,175.99,169.53,172.12,133.44,1232400
2010-05-10,176.52,181.11,174.61,176.57,136.89,597500
2010-05-11,174.62,174.62,169.76,170.99,132.56,940400
2010-05-12,171.53,174.18,171.01,173.97,134.87,463900
2010-05-13,174.24,175.26,172.05,172.37,133.63,314000
2010-05-14,171.6,172.73,168.65,169.72,131.58,517100
2010-05-17,169.54,172.7,167.14,171.0,132.57,552400
2010-05-18,172.26,175.81,167.52,168.49,130.63,582900
2010-05-19,167.92,169.65,164.0,167.95,130.21,535600
2010-05-20,165.77,165.77,160.1,160.1,124.12,657800
2010-05-21,159.18,167.05,158.0,166.47,129.06,1070800
2010-05-24,167.51,169.68,161.95,161.96,125.56,586400
2010-05-25,158.02,162.57,155.5,162.44,125.93,701800
2010-05-26,164.75,165.78,162.34,164.04,127.18,1075000
2010-05-27,168.64,172.48,166.35,172.39,133.65,725200
2010-05-28,172.49,174.08,166.73,167.88,130.15,575900
2010-06-01,165.09,167.88,162.9,163.2,126.52,338500
2010-06-02,165.4,165.7,162.56,164.77,127.74,495900
2010-06-03,167.88,167.88,162.22,163.84,127.8,353600
2010-06-04,160.99,162.38,159.06,159.49,124.4,580600
2010-06-07,160.62,162.18,157.32,157.5,122.85,546200
2010-06-08,156.92,158.38,151.81,156.49,122.06,992100
2010-06-09,158.85,158.85,154.39,154.91,120.83,507800
2010-06-10,156.18,158.52,153.96,156.98,122.44,580800
2010-06-11,154.11,159.26,154.11,159.14,124.13,328900
2010-06-14,158.96,161.2,157.95,158.77,123.84,421400
2010-06-15,159.99,163.29,158.84,163.28,127.36,342900
2010-06-16,161.31,163.42,160.31,161.52,125.99,331800
2010-06-17,162.26,162.39,157.69,159.37,124.31,341500
2010-06-18,158.85,160.45,158.4,158.77,123.84,329100
2010-06-21,160.78,161.85,157.02,157.92,123.18,406600
2010-06-22,156.9,158.81,155.83,155.84,121.56,246100
2010-06-23,155.46,156.6,153.95,155.05,120.94,296600
2010-06-24,154.58,154.79,150.55,150.74,117.58,301200
2010-06-25,150.66,155.67,150.28,152.34,118.83,676800
2010-06-28,152.8,153.84,151.53,152.14,118.67,243400
2010-06-29,149.47,149.93,145.2,145.6,113.57,470000
2010-06-30,144.86,147.05,143.01,143.4,111.85,311400
2010-07-01,145.35,145.35,138.42,140.32,109.45,639800
2010-07-02,140.44,144.02,139.28,142.79,111.38,533600
2010-07-06,144.18,147.61,143.35,145.21,113.26,473100
2010-07-07,145.2,148.61,144.62,148.48,115.81,332600
2010-07-08,149.91,152.25,148.88,152.25,118.76,462800
2010-07-09,151.94,155.26,150.55,154.97,120.88,373300
2010-07-12,153.92,155.69,152.94,154.15,120.24,194300
2010-07-13,155.24,158.45,155.1,156.9,122.38,366900
2010-07-14,156.68,156.76,153.11,155.25,121.1,267000
2010-07-15,154.77,155.38,151.02,153.99,120.11,278700
2010-07-16,152.95,152.97,148.96,149.14,116.33,360400
2010-07-19,150.0,150.21,146.84,148.13,115.54,201900
2010-07-20,146.36,149.47,145.2,149.36,116.5,443100
2010-07-21,150.25,150.99,141.01,143.33,111.8,1127600
2010-07-22,144.65,152.2,144.0,151.21,117.94,587200
2010-07-23,150.28,155.59,150.01,154.49,120.5,466000
2010-07-26,155.25,159.89,155.01,159.65,124.53,439300
2010-07-27,160.29,162.64,157.19,157.58,122.91,388500
2010-07-28,158.2,159.99,155.43,157.0,122.46,308600
2010-07-29,158.0,159.96,155.71,158.24,123.43,438100
2010-07-30,156.6,159.24,156.0,157.49,122.84,313700
2010-08-02,160.0,163.51,160.0,162.85,127.02,369200
2010-08-03,162.85,162.94,160.35,160.84,125.46,345300
2010-08-04,160.64,161.25,157.19,160.43,125.14,489400
2010-08-05,159.5,161.57,159.06,160.52,125.21,222000
2010-08-06,159.83,159.83,154.24,157.16,122.59,542700
2010-08-09,158.31,160.36,157.61,159.65,124.53,294200
2010-08-10,158.89,161.01,157.5,159.41,124.34,329600
2010-08-11,154.78,156.29,152.73,152.95,119.3,336700
2010-08-12,151.75,151.75,149.34,149.5,116.61,423300
2010-08-13,149.0,153.91,148.99,151.58,118.23,295200
2010-08-16,150.35,151.25,148.99,150.82,117.64,303100
2010-08-17,152.25,153.4,151.37,151.9,118.48,203300
2010-08-18,151.71,152.74,149.51,150.48,117.37,227500
2010-08-19,149.95,151.43,147.0,147.33,114.92,411100
2010-08-20,147.0,147.5,144.5,145.4,113.41,536800
2010-08-23,145.71,146.0,142.64,143.15,111.66,433800
2010-08-24,141.47,142.2,140.08,141.39,110.28,434900
2010-08-25,140.02,141.64,139.36,141.2,110.14,428400
2010-08-26,141.77,142.25,139.44,139.44,108.76,265500
2010-08-27,140.42,141.73,139.16,141.15,110.1,302900
2010-08-30,141.34,143.3,140.88,142.17,110.89,337700
2010-08-31,141.33,142.18,140.25,141.95,111.51,360800
2010-09-01,144.63,147.12,143.21,146.57,115.13,318600
2010-09-02,145.5,149.61,145.5,149.3,117.28,317300
2010-09-03,150.2,151.59,150.09,151.55,119.05,300400
2010-09-07,150.9,151.83,150.34,150.78,118.44,220600
2010-09-08,150.25,152.83,150.25,151.94,119.35,367300
2010-09-09,154.05,156.0,148.54,150.74,118.41,463300
2010-09-10,150.78,151.57,149.75,151.16,118.74,292600
2010-09-13,152.71,154.0,149.98,150.69,118.37,385900
2010-09-14,150.93,160.5,149.95,159.55,125.33,1011900
2010-09-15,158.31,165.81,158.31,164.9,129.53,735900
2010-09-16,163.37,164.39,160.54,162.54,127.68,429600
2010-09-17,163.24,165.45,161.06,165.05,129.65,544100
2010-09-20,165.78,172.19,165.78,171.68,134.86,749500
2010-09-21,172.67,172.87,166.68,167.75,131.77,764700
2010-09-22,168.21,169.4,164.76,165.74,130.19,469400
2010-09-23,165.74,165.74,160.86,161.67,127.0,676200
2010-09-24,164.21,167.4,164.0,167.23,131.36,299300
2010-09-27,163.58,167.25,163.41,165.9,130.32,377200
2010-09-28,167.0,168.79,164.79,168.67,132.49,394600
2010-09-29,167.61,170.26,167.61,168.76,132.57,561300
2010-09-30,169.99,172.0,169.5,170.25,133.74,728700
2010-10-01,171.8,171.8,169.35,171.34,134.59,416400
2010-10-04,171.56,171.56,169.06,170.91,134.25,453400
2010-10-05,167.0,172.47,166.17,171.31,134.57,846400
2010-10-06,170.06,171.37,169.59,171.35,134.6,439900
2010-10-07,171.6,172.86,170.8,170.95,134.29,306000
2010-10-08,172.0,174.84,170.92,174.5,137.07,406600
2010-10-11,175.72,177.8,175.2,177.24,139.23,566900
2010-10-12,176.22,178.75,174.63,178.61,140.3,454000
2010-10-13,179.4,181.0,178.02,179.24,140.8,401600
2010-10-14,178.61,180.13,177.28,177.75,139.63,724500
2010-10-15,176.5,177.85,175.0,175.74,138.05,339600
2010-10-18,175.12,177.33,175.12,176.5,138.65,447500
2010-10-19,174.75,176.0,173.0,174.63,137.18,380800
