Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.41,25.7,25.3,25.63,18.78,14376100
2010-01-05,25.51,25.55,25.01,25.23,18.48,16973600
2010-01-06,25.17,25.29,25.07,25.22,18.48,15528900
2010-01-07,25.18,25.41,25.1,25.24,18.49,15761700
2010-01-08,25.3,25.34,24.72,24.82,18.18,18730800
2010-01-11,24.94,25.11,24.86,25.08,18.37,14106100
2010-01-12,25.01,25.2,24.71,24.81,18.18,11940500
2010-01-13,24.79,25.08,24.7,24.99,18.31,14428100
2010-01-14,25.02,25.11,24.88,25.05,18.35,11354600
2010-01-15,25.05,25.18,24.9,25.07,18.37,13449500
2010-01-19,25.11,26.0,25.07,25.65,18.79,19370400
2010-01-20,25.45,25.88,25.19,25.46,18.65,16368400
2010-01-21,25.42,25.64,24.89,24.95,18.28,16776800
2010-01-22,24.98,25.05,24.5,24.6,18.02,15945500
2010-01-25,24.74,24.81,24.3,24.33,17.82,11292200
2010-01-26,24.27,24.37,23.5,24.3,17.8,13539300
2010-01-27,24.28,24.41,24.08,24.3,17.8,12404200
2010-01-28,24.63,24.82,24.1,24.1,17.66,18705200
2010-01-29,24.14,24.62,23.96,24.36,17.85,20525500
2010-02-01,24.77,24.77,24.23,24.38,17.86,15287600
2010-02-02,24.37,24.8,24.14,24.78,18.15,9867000
2010-02-03,24.67,24.72,24.32,24.5,17.95,8116200
2010-02-04,24.31,24.51,23.9,23.99,17.57,16693900
2010-02-05,23.94,24.08,23.49,23.97,17.56,15208300
2010-02-08,23.91,24.3,23.76,23.96,17.55,12496000
2010-02-09,24.1,24.41,23.9,24.25,17.77,9906600
2010-02-10,24.27,24.27,23.76,23.92,17.52,10597500
2010-02-11,23.85,23.98,23.57,23.89,17.5,11005400
2010-02-12,23.76,24.0,23.55,23.91,17.52,9663100
2010-02-16,24.03,24.28,23.86,24.21,17.74,10274500
2010-02-17,24.33,24.64,24.29,24.51,17.96,9011200
2010-02-18,24.51,24.88,24.42,24.84,18.2,11287500
2010-02-19,24.78,25.01,24.66,24.95,18.28,10744300
2010-02-22,24.95,24.98,24.44,24.68,18.08,8655000
2010-02-23,24.6,24.8,24.37,24.44,17.9,8651000
2010-02-24,24.54,24.74,24.38,24.71,18.1,8538400
2010-02-25,24.52,24.55,24.2,24.48,17.93,10154800
2010-02-26,24.48,24.62,24.45,24.51,17.96,7107200
2010-03-01,24.59,24.63,24.3,24.39,17.87,10867500
2010-03-02,24.59,24.78,24.45,24.72,18.11,10434600
2010-03-03,24.74,24.78,24.25,24.33,17.82,14351900
2010-03-04,24.38,24.49,24.34,24.47,17.93,14242300
2010-03-05,24.93,25.33,24.77,25.28,18.52,19878200
2010-03-08,25.23,25.35,25.15,25.31,18.54,12382000
2010-03-09,25.15,25.27,25.01,25.2,18.46,11099800
2010-03-10,25.09,25.67,25.08,25.65,18.79,16804200
2010-03-11,25.6,26.01,25.47,25.96,19.02,15854200
2010-03-12,25.88,25.97,25.78,25.89,18.97,11789900
2010-03-15,25.75,25.95,25.67,25.95,19.01,9240300
2010-03-16,25.89,26.02,25.74,25.99,19.04,8604800
2010-03-17,25.97,26.07,25.78,25.98,19.03,14715000
2010-03-18,25.91,26.12,25.85,26.07,19.1,9515200
2010-03-19,26.01,26.25,25.86,26.01,19.05,14936700
2010-03-22,25.93,26.6,25.9,26.48,19.4,15305100
2010-03-23,26.51,26.81,26.33,26.79,19.63,11539200
2010-03-24,26.7,26.78,26.63,26.69,19.55,16057600
2010-03-25,26.87,26.93,26.7,26.78,19.62,13528300
2010-03-26,26.81,26.86,26.66,26.69,19.55,12398200
2010-03-29,26.78,27.07,26.7,27.0,19.78,12627600
2010-03-30,26.76,26.93,26.52,26.76,19.84,15433900
2010-03-31,26.65,26.81,26.29,26.7,19.79,12553700
2010-04-01,26.77,27.01,26.77,26.95,19.98,11471400
2010-04-05,26.94,26.95,26.56,26.77,19.85,12281000
2010-04-06,26.72,26.77,26.33,26.38,19.56,10694700
2010-04-07,26.34,26.69,26.27,26.55,19.68,10212200
2010-04-08,26.54,26.54,26.16,26.17,19.4,13065700
2010-04-09,26.2,26.36,26.1,26.25,19.46,11263700
2010-04-12,26.25,26.4,26.15,26.29,19.49,10925000
2010-04-13,26.24,26.3,25.97,25.98,19.26,12611800
2010-04-14,25.91,25.96,25.59,25.7,19.05,13460800
2010-04-15,25.64,25.64,25.3,25.34,18.79,18520400
2010-04-16,25.27,25.56,25.2,25.48,18.89,16415400
2010-04-19,25.22,25.82,24.97,25.81,19.13,23618200
2010-04-20,25.86,25.9,25.34,25.43,18.85,13355900
2010-04-21,25.41,25.43,24.97,25.1,18.61,15927600
2010-04-22,25.01,25.05,24.28,24.44,18.12,21751600
2010-04-23,24.47,24.84,24.12,24.74,18.34,13667400
2010-04-26,24.8,24.84,24.48,24.5,18.16,10639000
2010-04-27,24.45,24.57,24.13,24.21,17.95,13627700
2010-04-28,24.3,24.59,24.07,24.34,18.05,14144200
2010-04-29,25.28,25.93,25.0,25.37,18.81,20658400
2010-04-30,25.42,25.58,25.18,25.31,18.76,14368200
2010-05-03,25.31,25.4,25.1,25.13,18.63,10414100
2010-05-04,25.1,25.7,25.02,25.27,18.73,16761100
2010-05-05,25.1,25.37,24.92,25.06,18.58,14107900
2010-05-06,24.94,25.03,22.8,24.28,18.0,19603200
2010-05-07,24.28,24.96,24.07,24.34,18.05,23348600
2010-05-10,24.34,24.75,23.93,24.14,17.9,25474800
2010-05-11,24.03,24.71,24.02,24.37,18.07,15508300
2010-05-12,24.46,24.5,24.19,24.44,18.12,10136600
2010-05-13,24.4,24.44,23.97,24.0,17.79,13392800
2010-05-14,24.0,24.0,23.38,23.56,17.47,14148800
2010-05-17,23.75,24.0,23.36,23.7,17.57,13588000
2010-05-18,23.9,23.92,23.5,23.55,17.46,9613700
2010-05-19,23.46,23.85,23.31,23.71,17.58,16424000
2010-05-20,23.4,23.71,23.05,23.09,17.12,18724700
2010-05-21,22.9,23.05,22.5,22.96,17.02,17799800
2010-05-24,22.93,23.18,22.74,22.99,17.04,13271000
2010-05-25,22.6,22.89,22.24,22.86,16.95,13904100
2010-05-26,23.03,23.07,22.64,22.72,16.84,14181800
2010-05-27,23.07,23.35,23.01,23.34,17.3,10743000
2010-05-28,23.38,23.45,23.11,23.21,17.21,9876100
2010-06-01,23.11,23.47,22.9,23.02,17.07,10663800
2010-06-02,23.06,23.24,22.86,23.0,17.05,17113700
2010-06-03,23.18,23.18,22.73,22.88,16.96,21818300
2010-06-04,22.71,22.85,22.31,22.44,16.64,26551500
2010-06-07,23.85,24.36,23.53,23.86,17.69,42053800
2010-06-08,23.93,24.35,23.74,24.3,18.02,35451700
2010-06-09,24.34,24.4,24.09,24.14,17.9,21197900
2010-06-10,24.34,24.68,24.25,24.64,18.27,16660300
2010-06-11,25.54,25.76,24.95,25.08,18.59,19790100
2010-06-14,25.08,25.5,25.06,25.29,18.75,16878900
2010-06-15,25.39,25.67,25.23,25.63,19.0,12513000
2010-06-16,25.3,25.88,25.3,25.88,19.19,15463200
2010-06-17,25.72,25.91,25.65,25.86,19.17,16802500
2010-06-18,25.8,25.87,25.46,25.78,19.11,16430100
2010-06-21,25.89,25.95,25.3,25.44,18.86,11063500
2010-06-22,25.41,25.78,25.38,25.44,18.86,10918100
2010-06-23,25.43,25.49,25.14,25.24,18.71,12683400
2010-06-24,25.12,25.49,25.01,25.35,18.79,14840000
2010-06-25,25.45,25.83,25.23,25.57,18.96,26249200
2010-06-28,25.64,25.68,25.3,25.57,18.96,12950800
2010-06-29,25.4,25.61,25.14,25.29,18.75,22258500
2010-06-30,24.98,25.22,24.73,24.94,18.73,18910400
2010-07-01,24.84,24.94,24.22,24.76,18.59,19140500
2010-07-02,24.87,25.04,24.5,24.69,18.54,9900000
2010-07-06,24.93,25.4,24.76,25.24,18.95,16934800
2010-07-07,25.24,25.88,25.13,25.8,19.37,17386500
2010-07-08,25.95,25.95,25.39,25.58,19.21,16704100
2010-07-09,25.57,25.65,25.29,25.6,19.22,11509100
2010-07-12,25.6,25.6,25.11,25.26,18.97,12715600
2010-07-13,25.36,25.6,25.2,25.31,19.0,14046200
2010-07-14,25.22,25.26,24.9,25.09,18.84,14552200
2010-07-15,25.1,25.53,25.03,25.5,19.15,14703100
2010-07-16,25.44,25.47,25.1,25.17,18.9,13136300
2010-07-19,25.27,25.27,24.78,24.84,18.65,11804800
2010-07-20,24.65,25.09,24.46,25.02,18.79,10655500
2010-07-21,24.92,25.11,24.59,24.75,18.58,9830000
2010-07-22,24.96,25.22,24.75,24.93,18.72,10385300
2010-07-23,24.94,24.95,24.26,24.65,18.51,13043700
2010-07-26,24.57,25.03,24.57,24.97,18.75,8817400
2010-07-27,25.09,25.35,24.84,25.32,19.01,14152600
2010-07-28,25.25,25.36,25.02,25.12,18.86,8072400
2010-07-29,25.37,25.5,24.85,25.08,18.83,9463800
2010-07-30,24.98,25.13,24.78,24.92,18.71,11435700
2010-08-02,25.33,25.61,25.29,25.53,19.17,9770900
2010-08-03,25.65,25.85,25.58,25.68,19.28,6842900
2010-08-04,25.7,26.13,25.61,26.03,19.55,10233700
2010-08-05,25.83,26.38,25.8,26.38,19.81,12264600
2010-08-06,26.29,26.45,26.05,26.37,19.8,8774900
2010-08-09,26.37,26.54,26.3,26.51,19.91,6825300
2010-08-10,26.32,26.78,26.3,26.66,20.02,7009500
2010-08-11,26.32,26.5,26.15,26.25,19.71,8808100
2010-08-12,26.01,26.39,26.0,26.33,19.77,7350500
2010-08-13,26.24,26.46,26.1,26.32,19.76,5760100
2010-08-16,26.24,26.34,26.04,26.28,19.73,10377700
2010-08-17,26.4,26.79,26.26,26.59,19.97,12325700
2010-08-18,26.53,26.57,26.23,26.28,19.73,12235800
2010-08-19,26.2,26.29,25.81,26.06,19.57,8218000
2010-08-20,26.31,26.54,26.08,26.44,19.85,18140100
2010-08-23,26.48,26.76,26.38,26.48,19.88,12146600
2010-08-24,26.26,26.37,25.95,26.02,19.54,11625900
2010-08-25,25.9,26.15,25.74,26.08,19.58,16809000
2010-08-26,26.11,26.18,25.75,25.85,19.41,7931300
2010-08-27,25.97,26.27,25.66,26.12,19.61,6402300
2010-08-30,26.04,26.18,25.84,25.85,19.41,7939800
2010-08-31,26.11,26.34,25.97,26.08,19.58,13407900
2010-09-01,26.24,26.55,26.11,26.41,19.83,9320700
2010-09-02,26.35,26.49,26.26,26.43,19.85,6857700
2010-09-03,26.46,26.62,26.38,26.58,19.96,6645900
2010-09-07,26.45,26.76,26.37,26.61,19.98,10039200
2010-09-08,26.67,26.97,26.64,26.75,20.09,8851400
2010-09-09,26.91,26.99,26.7,26.87,20.18,6105100
2010-09-10,26.9,27.1,26.72,27.05,20.31,8500700
2010-09-13,27.14,27.2,26.93,27.16,20.39,8986500
2010-09-14,27.15,27.2,26.78,26.96,20.24,10983700
2010-09-15,26.92,27.08,26.8,27.01,20.28,8570200
2010-09-16,27.01,27.15,26.85,26.95,20.24,8016800
2010-09-17,27.02,27.44,27.0,27.31,20.51,14912300
2010-09-20,27.42,27.87,27.41,27.81,20.88,11922000
2010-09-21,27.87,28.0,27.71,27.79,20.87,37450000
2010-09-22,27.66,27.9,27.57,27.82,20.89,33146500
2010-09-23,27.62,28.0,27.54,27.68,20.78,31214800
2010-09-24,27.75,27.93,27.57,27.62,20.74,12524400
2010-09-27,27.65,27.77,27.59,27.6,20.72,9206500
2010-09-28,27.68,27.99,27.6,27.93,20.97,9893900
2010-09-29,27.57,27.71,27.21,27.37,20.79,10193600
2010-09-30,27.44,27.53,27.03,27.11,20.59,11184700
2010-10-01,27.11,27.32,26.95,27.28,20.72,8900900
2010-10-04,26.95,27.14,26.69,26.73,20.3,9480200
2010-10-05,26.89,27.2,26.89,27.14,20.61,10965500
2010-10-06,27.1,27.28,27.09,27.19,20.65,8154200
2010-10-07,27.34,27.4,27.22,27.3,20.74,5764500
2010-10-08,27.3,27.38,27.1,27.16,20.63,6549200
2010-10-11,27.14,27.56,27.14,27.36,20.78,5796400
2010-10-12,27.28,27.48,27.1,27.23,20.68,7958100
2010-10-13,27.28,27.42,27.23,27.34,20.77,8904700
2010-10-14,27.41,27.65,27.35,27.51,20.9,8218100
2010-10-15,27.62,27.72,27.18,27.2,20.66,19509900
2010-10-18,27.29,27.33,26.95,27.33,20.76,9713400
2010-10-19,27.03,27.14,26.62,26.84,20.39,10937500
2010-10-20,26.82,27.13,26.8,26.89,20.43,7246000
2010-10-21,27.0,27.17,26.91,27.11,20.59,7702100
2010-10-22,27.1,27.15,26.93,26.96,20.48,4840700
2010-10-25,27.01,27.23,26.99,27.16,20.63,8223200
2010-10-26,27.01,27.08,26.69,26.86,20.4,9419900
2010-10-27,26.72,26.99,26.7,26.87,20.41,10060800
2010-10-28,26.97,27.03,26.73,26.99,20.5,8278400
2010-10-29,26.97,27.02,26.71,26.9,20.43,7974500
2010-11-01,27.06,27.32,26.92,27.07,20.56,8920500
2010-11-02,27.11,27.24,26.79,26.9,20.43,9398100
2010-11-03,26.89,26.95,26.44,26.65,20.24,13109300
2010-11-04,26.83,26.89,26.56,26.83,20.38,10087900
2010-11-05,26.88,26.9,26.52,26.69,20.27,9215800
