Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,57.65,59.19,57.51,58.55,44.33,7325600.0
2010-01-05,58.55,59.44,58.23,59.25,44.86,5697200.0
2010-01-06,59.18,59.93,59.05,59.43,45.0,4718800.0
2010-01-07,59.3,59.9,58.65,59.67,45.18,5432900.0
2010-01-08,59.25,60.37,59.25,60.34,45.69,6651300.0
2010-01-11,60.95,64.42,60.85,64.13,48.56,21958800.0
2010-01-12,63.01,63.16,61.18,62.24,47.13,13561900.0
2010-01-13,62.1,62.78,61.38,62.33,47.2,8398700.0
2010-01-14,62.1,62.84,61.75,61.98,46.93,6224100.0
2010-01-15,61.45,61.67,60.01,60.12,45.83,9397000.0
2010-01-19,59.76,61.2,59.35,60.93,46.45,8056500.0
2010-01-20,60.17,60.43,59.31,59.76,45.56,6953500.0
2010-01-21,59.5,59.9,56.7,56.85,43.34,13874900.0
2010-01-22,56.58,57.54,54.02,54.25,41.36,14757600.0
2010-01-25,55.16,56.19,54.83,55.14,42.04,9777300.0
2010-01-26,54.99,56.94,54.6,55.85,42.58,15218300.0
2010-01-27,52.96,53.84,51.03,53.44,40.74,34041000.0
2010-01-28,53.82,53.83,51.2,51.86,39.54,15623100.0
2010-01-29,52.78,53.78,52.0,52.24,39.83,13962000.0
2010-02-01,52.82,53.5,52.5,52.94,40.36,7159100.0
2010-02-02,53.48,53.72,52.62,53.55,40.82,7665400.0
2010-02-03,53.2,54.0,53.1,53.39,40.7,6340800.0
2010-02-04,52.8,52.86,51.38,51.4,39.19,11640200.0
2010-02-05,51.21,51.98,50.69,51.75,39.45,15988800.0
2010-02-08,51.64,52.15,50.5,50.78,38.71,8668700.0
2010-02-09,52.7,54.25,52.55,53.53,40.81,15494200.0
2010-02-10,53.65,54.05,52.45,53.15,40.52,8581500.0
2010-02-11,53.1,56.27,52.67,56.15,42.81,16405500.0
2010-02-12,55.09,56.55,54.61,56.2,42.84,13447700.0
2010-02-16,56.77,57.24,56.19,57.12,43.55,7364200.0
2010-02-17,58.05,58.35,57.22,57.5,43.84,8450800.0
2010-02-18,57.15,58.05,56.85,57.81,44.07,6844000.0
2010-02-19,57.59,58.48,57.31,58.25,44.41,8005800.0
2010-02-22,58.73,58.97,58.0,58.03,44.24,6994800.0
2010-02-23,57.89,58.38,56.22,56.66,43.2,10311000.0
2010-02-24,56.67,57.46,56.46,56.96,43.42,5810100.0
2010-02-25,55.33,57.02,54.21,56.79,43.29,9965600.0
2010-02-26,56.94,57.24,56.1,57.05,43.49,6108500.0
2010-03-01,57.33,58.39,57.25,57.85,44.1,8398500.0
2010-03-02,58.28,58.82,58.02,58.15,44.33,6583600.0
2010-03-03,58.45,59.93,58.39,58.57,44.65,8833800.0
2010-03-04,58.79,59.0,57.81,58.45,44.56,6195600.0
2010-03-05,59.41,59.58,58.9,59.23,45.15,6626900.0
2010-03-08,59.47,59.49,58.57,58.91,44.91,4755100.0
2010-03-09,58.46,59.72,58.4,59.18,45.12,7692500.0
2010-03-10,59.11,59.5,58.43,58.78,44.81,6529900.0
2010-03-11,58.79,58.98,57.92,58.9,44.9,6166500.0
2010-03-12,59.53,60.49,59.35,60.36,46.02,9688800.0
2010-03-15,60.04,60.25,58.38,59.47,45.34,7906700.0
2010-03-16,59.65,59.68,58.84,59.45,45.32,7281000.0
2010-03-17,59.65,60.5,59.49,60.22,45.91,7925400.0
2010-03-18,59.61,60.39,59.34,59.77,45.57,7204200.0
2010-03-19,59.37,60.31,58.95,59.37,45.26,9425500.0
2010-03-22,58.7,60.27,58.66,59.95,45.7,7512500.0
2010-03-23,60.1,62.51,60.01,62.41,47.58,14315300.0
2010-03-24,61.96,62.54,61.42,62.06,47.31,11447400.0
2010-03-25,62.68,63.71,62.05,62.14,47.37,11361900.0
2010-03-26,62.4,63.18,61.99,62.44,47.6,7887300.0
2010-03-29,62.76,63.6,62.76,63.48,48.39,6986500.0
2010-03-30,63.38,63.63,62.81,63.16,48.15,6183200.0
2010-03-31,62.76,63.5,62.63,62.85,47.91,6660800.0
2010-04-01,63.29,64.2,63.29,63.99,48.78,7829300.0
2010-04-05,64.36,65.0,64.2,64.99,49.55,6695600.0
2010-04-06,64.81,65.47,64.57,65.29,49.77,6389000.0
2010-04-07,65.25,65.38,64.0,64.47,49.15,6973000.0
2010-04-08,64.05,64.65,63.55,64.48,49.16,5418000.0
2010-04-09,64.9,65.52,64.82,65.27,49.76,6022900.0
2010-04-12,65.93,67.0,65.76,66.73,50.87,11837000.0
2010-04-13,66.7,67.25,66.16,66.19,50.46,7001400.0
2010-04-14,66.37,67.37,66.2,67.28,51.29,5497400.0
2010-04-15,67.16,68.71,67.16,68.22,52.01,7129500.0
2010-04-16,68.05,68.23,66.34,66.88,50.99,10385300.0
2010-04-19,66.6,67.7,65.77,66.99,51.07,7969400.0
2010-04-20,67.71,68.3,67.4,67.5,51.46,7695400.0
2010-04-21,67.74,67.92,66.7,67.75,51.65,6357500.0
2010-04-22,66.67,67.65,65.97,67.51,51.79,8718700.0
2010-04-23,67.2,68.95,66.99,68.78,52.76,9044500.0
2010-04-26,70.88,72.83,70.65,71.65,54.96,20131900.0
2010-04-27,71.25,71.58,68.28,68.53,52.57,14323100.0
2010-04-28,69.43,70.27,68.6,68.97,52.91,8232800.0
2010-04-29,69.96,70.76,69.62,70.75,54.27,7916800.0
2010-04-30,70.99,71.36,67.82,68.09,52.23,9428100.0
2010-05-03,68.37,70.16,68.09,69.94,53.65,7885900.0
2010-05-04,68.56,68.56,66.25,66.7,51.17,12558100.0
2010-05-05,65.86,67.44,64.08,65.96,50.6,11419500.0
2010-05-06,65.85,66.94,58.8,63.5,48.71,19363500.0
2010-05-07,63.05,64.45,60.64,62.1,47.64,15724700.0
2010-05-10,65.88,67.0,65.19,66.69,51.16,11852100.0
2010-05-11,65.18,66.98,65.0,66.07,50.68,7481300.0
2010-05-12,66.66,68.3,66.6,68.15,52.28,7791600.0
2010-05-13,68.15,68.4,66.67,66.91,51.33,6531000.0
2010-05-14,65.96,66.19,63.91,64.88,49.77,9938400.0
2010-05-17,65.01,65.74,61.99,63.78,48.93,11881200.0
2010-05-18,64.91,65.53,62.85,63.19,48.47,9594300.0
2010-05-19,62.94,63.17,59.28,61.44,47.13,18582700.0
2010-05-20,59.07,60.41,58.0,58.67,45.01,22798500.0
2010-05-21,57.3,60.5,57.2,60.09,46.1,15889900.0
2010-05-24,60.06,61.11,59.09,59.22,45.43,11176700.0
2010-05-25,56.35,59.36,55.74,59.21,45.42,13793600.0
2010-05-26,59.63,61.4,59.25,59.73,45.82,11566900.0
2010-05-27,61.36,62.12,60.82,62.06,47.61,9555100.0
2010-05-28,62.42,62.42,60.05,60.76,46.61,7704900.0
2010-06-01,60.04,61.64,59.22,59.27,45.47,8340800.0
2010-06-02,59.9,60.9,59.28,60.86,46.69,9453500.0
2010-06-03,62.29,62.36,60.42,61.11,46.88,8982700.0
2010-06-04,59.49,60.2,57.36,57.76,44.31,10279600.0
2010-06-07,58.01,58.28,55.8,55.83,42.83,8904600.0
2010-06-08,56.01,57.18,54.89,56.61,43.43,11604900.0
2010-06-09,57.49,58.85,56.59,56.81,43.58,9749300.0
2010-06-10,58.31,60.0,58.0,59.95,45.99,9704700.0
2010-06-11,59.22,60.24,58.99,60.23,46.2,7341400.0
2010-06-14,61.42,62.56,60.88,61.0,46.79,9783000.0
2010-06-15,61.8,63.56,61.5,63.46,48.68,11870300.0
2010-06-16,62.91,64.52,62.73,64.39,49.39,10561900.0
2010-06-17,64.63,64.99,63.67,64.95,49.82,10574600.0
2010-06-18,65.13,65.9,64.57,65.85,50.51,11005600.0
2010-06-21,67.56,68.35,65.55,66.07,50.68,11652400.0
2010-06-22,66.3,66.48,63.88,64.11,49.18,8659600.0
2010-06-23,64.06,64.87,62.64,64.33,49.35,9037100.0
2010-06-24,63.81,64.45,63.05,63.37,48.61,8658200.0
2010-06-25,63.54,64.71,62.92,64.71,49.64,12068800.0
2010-06-28,64.45,65.3,64.01,64.4,49.4,6836700.0
2010-06-29,62.74,62.86,60.25,60.85,46.68,13057100.0
2010-06-30,61.02,61.94,59.91,60.07,46.08,9630300.0
2010-07-01,59.67,60.7,58.06,59.97,46.0,11598200.0
2010-07-02,60.3,60.66,58.62,59.18,45.4,7878200.0
2010-07-06,60.6,61.65,59.21,59.81,45.88,9357300.0
2010-07-07,59.85,62.27,59.67,62.18,47.7,7592900.0
2010-07-08,63.08,63.35,62.18,63.17,48.46,6058800.0
