Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,39.41,40.15,39.33,39.61,32.41,1964100
2010-01-05,39.76,40.49,39.63,39.99,32.72,2116000
2010-01-06,39.53,39.85,39.12,39.42,32.25,1612100
2010-01-07,39.45,39.45,38.61,38.77,31.72,1671500
2010-01-08,38.78,39.14,38.3,38.96,31.87,2004200
2010-01-11,39.28,39.5,38.93,38.97,31.88,1658300
2010-01-12,38.82,38.88,38.05,38.25,31.29,2345700
2010-01-13,38.26,38.8,38.26,38.67,31.64,1633800
2010-01-14,38.57,38.71,38.4,38.61,31.59,1569900
2010-01-15,39.61,39.61,38.58,38.69,31.65,1797800
2010-01-19,38.64,38.95,38.61,38.83,31.77,1841900
2010-01-20,38.58,39.04,38.43,38.96,31.87,1796700
2010-01-21,39.19,39.19,38.14,38.43,31.44,1402400
2010-01-22,38.41,39.37,37.2,37.35,30.56,1550500
2010-01-25,37.69,38.55,37.48,38.05,31.13,1614900
2010-01-26,37.91,37.98,37.41,37.44,30.63,1309900
2010-01-27,37.28,38.26,37.01,38.25,31.29,1761800
2010-01-28,37.2,37.42,36.01,37.17,30.41,5190300
2010-01-29,37.21,37.5,36.7,36.94,30.22,2703900
2010-02-01,37.13,37.44,36.81,37.27,30.49,1996300
2010-02-02,37.53,37.53,36.86,37.3,30.52,1954700
2010-02-03,36.96,37.39,36.59,36.79,30.1,1187200
2010-02-04,36.51,36.51,35.29,35.59,29.12,2957800
2010-02-05,35.46,35.69,34.12,35.28,28.86,3987700
2010-02-08,35.36,36.21,34.98,35.66,29.17,1875600
2010-02-09,36.13,36.49,35.54,35.87,29.35,2194800
2010-02-10,35.85,36.03,35.26,35.97,29.43,1457900
2010-02-11,35.79,37.08,35.5,36.98,30.25,1582400
2010-02-12,36.47,37.35,36.38,37.33,30.54,1582300
2010-02-16,37.5,38.0,37.45,37.98,31.07,1072800
2010-02-17,37.97,38.7,37.86,38.4,31.42,1441100
2010-02-18,38.45,38.6,38.21,38.49,31.49,1098300
2010-02-19,38.53,39.03,38.39,38.62,31.6,1238400
2010-02-22,38.56,38.57,38.0,38.29,31.33,886900
2010-02-23,38.21,38.21,36.8,37.16,30.4,1366000
2010-02-24,37.14,37.91,36.93,37.85,30.97,2476600
2010-02-25,37.43,38.0,37.08,37.85,30.97,1341500
2010-02-26,37.85,37.98,37.46,37.8,30.92,1128700
2010-03-01,37.81,38.43,37.81,38.17,31.23,955400
2010-03-02,38.2,38.66,38.2,38.32,31.35,1100400
2010-03-03,38.45,39.06,38.14,38.56,31.55,1234800
2010-03-04,38.68,38.99,38.51,38.92,31.84,1060100
2010-03-05,39.07,39.47,38.94,39.4,32.23,1358800
2010-03-08,38.32,39.11,38.22,38.47,31.47,2223200
2010-03-09,38.22,39.68,38.22,39.29,32.14,2214900
2010-03-10,39.4,39.63,39.16,39.46,32.28,1576300
2010-03-11,39.4,39.53,39.18,39.44,32.27,867600
2010-03-12,39.81,39.81,39.18,39.28,32.14,1273400
2010-03-15,39.33,39.52,38.42,38.8,31.74,1766600
2010-03-16,38.81,39.96,38.81,39.8,32.56,2724100
2010-03-17,39.65,39.85,39.05,39.1,31.99,3049500
2010-03-18,39.03,39.1,38.36,38.56,31.55,2446200
2010-03-19,38.39,39.0,38.39,38.39,31.41,1883500
2010-03-22,38.18,38.79,37.89,38.62,31.6,1795500
2010-03-23,38.7,39.0,38.55,38.71,31.67,1892000
