Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.63,33.51,32.14,33.26,29.16,1081100
2010-01-05,33.33,34.1,33.29,34.0,29.81,752100
2010-01-06,34.06,34.52,33.88,34.37,30.13,1429400
2010-01-07,34.39,34.61,33.93,34.55,30.29,1191400
2010-01-08,34.47,34.77,34.16,34.23,30.01,1187300
2010-01-11,34.33,34.48,33.8,34.33,30.1,791800
2010-01-12,33.99,34.0,32.89,33.08,29.0,827000
2010-01-13,33.08,33.38,32.26,33.18,29.12,1492800
2010-01-14,33.17,33.29,32.45,33.07,29.03,929400
2010-01-15,33.01,33.01,32.35,32.5,28.53,885600
2010-01-19,32.48,33.22,32.36,33.21,29.15,1673400
2010-01-20,32.76,33.0,32.32,32.88,28.86,1011500
2010-01-21,32.88,33.08,32.0,32.15,28.22,1454400
2010-01-22,32.15,32.15,31.43,31.76,27.88,1620900
2010-01-25,32.05,32.52,31.84,31.95,28.04,1278500
2010-01-26,31.56,32.09,31.5,32.0,28.09,1113800
2010-01-27,32.02,32.39,31.22,31.34,27.51,1879300
2010-01-28,31.4,31.5,29.73,29.89,26.23,2380900
2010-01-29,30.13,30.62,28.89,29.1,25.54,1931200
2010-02-01,29.37,30.05,29.37,30.05,26.37,913600
2010-02-02,29.83,31.74,29.83,31.39,27.55,1905800
2010-02-03,31.11,32.11,31.11,31.33,27.5,1001600
2010-02-04,30.84,30.96,29.75,29.78,26.14,1253400
2010-02-05,29.82,29.96,28.2,29.89,26.23,2759400
2010-02-08,29.99,30.44,29.36,29.57,25.95,1669800
2010-02-09,30.53,30.57,28.88,29.92,26.26,3318900
2010-02-10,29.99,30.16,29.49,29.77,26.13,1364800
2010-02-11,29.63,30.3,29.52,29.98,26.31,1558900
2010-02-12,29.38,30.03,28.97,29.82,26.17,1701100
2010-02-16,29.77,30.31,29.77,29.98,26.31,1616700
2010-02-17,30.15,31.03,29.92,30.63,26.88,4133100
2010-02-18,30.64,30.83,30.37,30.76,27.0,1700000
2010-02-19,30.73,31.05,30.55,31.04,27.24,1833600
2010-02-22,31.2,31.35,30.97,31.22,27.4,1881500
2010-02-23,31.06,31.13,30.18,30.46,26.73,2535200
2010-02-24,30.44,31.05,30.3,30.97,27.18,1383200
2010-02-25,30.92,31.23,30.16,31.22,27.4,1385600
2010-02-26,31.22,31.41,30.85,31.19,27.38,1103700
2010-03-01,31.27,32.28,31.09,32.26,28.31,1638100
2010-03-02,32.38,33.82,32.38,32.74,28.74,4143100
2010-03-03,32.74,32.9,32.14,32.36,28.4,2325700
2010-03-04,32.1,32.27,30.88,31.19,27.38,3630400
2010-03-05,31.48,32.13,31.42,32.08,28.16,1755700
2010-03-08,32.07,32.49,31.94,32.08,28.16,847900
2010-03-09,31.95,32.3,31.75,32.11,28.18,981400
2010-03-10,32.07,32.6,31.9,32.33,28.38,779400
2010-03-11,32.08,32.45,31.97,32.45,28.48,964700
2010-03-12,32.57,33.06,32.57,32.81,28.8,1844400
2010-03-15,34.42,34.42,32.28,32.6,28.61,1951400
2010-03-16,32.79,32.97,32.57,32.95,28.92,567700
2010-03-17,33.02,33.53,32.9,33.23,29.17,1034400
2010-03-18,33.37,33.37,32.46,32.67,28.67,1153600
2010-03-19,31.54,32.73,31.45,31.54,27.68,1296700
2010-03-22,31.33,31.95,30.69,31.87,27.97,1009700
2010-03-23,31.89,32.18,31.64,32.01,28.1,893100
2010-03-24,31.72,32.74,31.72,32.65,28.66,1224800
2010-03-25,32.9,33.08,31.58,31.62,27.75,1384900
2010-03-26,31.68,32.24,31.51,31.77,27.88,673100
2010-03-29,31.86,32.48,31.78,32.19,28.25,892600
2010-03-30,32.32,32.85,32.29,32.43,28.46,890400
2010-03-31,32.21,32.84,31.77,31.85,27.95,1890200
2010-04-01,32.27,32.58,32.09,32.46,28.49,1173500
2010-04-05,32.43,33.36,32.43,33.23,29.17,949200
2010-04-06,33.02,33.16,32.45,33.15,29.1,1229500
2010-04-07,33.16,33.43,32.72,32.93,28.9,970600
2010-04-08,32.68,32.97,32.35,32.89,28.87,1017900
2010-04-09,33.06,33.6,32.73,33.46,29.37,882100
2010-04-12,33.52,33.68,33.28,33.58,29.47,1162000
