Date,Open,High,Low,Close,Adj Close,Volume
2014-09-24,21.5,23.22,21.35,23.08,20.88,60450900
2014-09-25,22.56,23.41,22.45,23.05,20.85,8430000
2014-09-26,23.18,23.37,22.91,23.25,21.04,2504400
2014-09-29,23.14,23.45,22.91,23.23,21.02,4832600
2014-09-30,23.11,23.57,23.05,23.42,21.19,4103100
2014-10-01,23.22,23.61,23.11,23.44,21.21,3915500
2014-10-02,23.34,23.59,23.3,23.34,21.12,3121400
2014-10-03,23.38,23.47,23.01,23.23,21.02,1585900
2014-10-06,23.28,23.37,22.61,22.64,20.48,1208400
2014-10-07,22.56,22.74,22.26,22.52,20.37,1508400
2014-10-08,22.11,23.15,22.11,22.75,20.58,1649200
2014-10-09,23.0,23.0,22.24,22.48,20.34,1229100
2014-10-10,22.39,22.56,22.14,22.28,20.16,924000
2014-10-13,22.13,22.66,22.12,22.45,20.31,1382800
2014-10-14,22.5,22.79,22.3,22.45,20.31,1605800
2014-10-15,22.13,22.2,21.5,21.85,19.77,3405400
2014-10-16,21.51,21.95,21.47,21.8,19.72,3105800
2014-10-17,21.89,22.07,21.73,21.92,19.83,2750600
2014-10-20,21.82,22.38,21.82,22.38,20.25,1870600
2014-10-21,22.11,22.93,22.11,22.82,20.65,1165500
2014-10-22,22.78,23.0,22.4,22.6,20.45,884700
2014-10-23,22.97,23.08,22.59,23.03,20.84,1154200
2014-10-24,23.32,23.49,22.77,23.18,20.97,1357800
2014-10-27,23.15,23.19,22.73,22.85,20.67,2898800
2014-10-28,23.16,23.59,22.93,23.28,21.06,1500600
2014-10-29,23.35,23.53,23.2,23.48,21.24,1302300
2014-10-30,23.46,23.69,23.3,23.44,21.21,1153600
2014-10-31,23.59,23.92,23.37,23.62,21.37,1238600
2014-11-03,23.49,24.0,23.16,24.0,21.71,1826900
2014-11-04,23.74,23.91,23.43,23.6,21.44,1474500
2014-11-05,23.8,23.95,23.55,23.9,21.71,1097600
2014-11-06,23.79,24.46,23.75,24.3,22.08,1010700
2014-11-07,24.48,24.48,23.96,23.97,21.78,600700
2014-11-10,24.04,24.25,23.75,23.95,21.76,1531300
2014-11-11,23.97,24.22,23.75,23.94,21.75,658300
2014-11-12,23.75,23.98,23.51,23.86,21.68,940800
2014-11-13,23.62,23.96,23.58,23.82,21.64,1149700
2014-11-14,23.74,24.0,23.74,23.96,21.77,1111500
2014-11-17,24.11,24.11,23.56,24.0,21.8,992400
2014-11-18,24.04,24.04,23.71,23.73,21.56,586000
2014-11-19,23.8,24.0,23.51,23.72,21.55,812800
2014-11-20,23.57,23.87,23.5,23.71,21.54,745800
2014-11-21,23.95,24.21,23.69,23.77,21.6,725200
2014-11-24,23.8,24.36,23.68,24.25,22.03,836800
2014-11-25,24.24,24.3,24.02,24.03,21.83,701600
2014-11-26,24.11,24.27,23.92,24.23,22.01,703700
2014-11-28,24.22,25.09,24.05,24.63,22.38,713400
2014-12-01,24.62,24.9,23.49,23.98,21.79,2282600
2014-12-02,24.02,24.43,23.8,24.2,21.99,1369300
2014-12-03,24.33,24.59,24.19,24.23,22.01,1854500
2014-12-04,24.32,24.56,24.09,24.4,22.17,1433700
2014-12-05,24.45,25.22,24.45,25.15,22.85,1008400
2014-12-08,25.08,25.14,24.68,25.04,22.75,2244900
2014-12-09,24.71,25.33,24.5,25.16,22.86,1141800
2014-12-10,25.15,25.41,24.62,24.65,22.4,631000
2014-12-11,24.85,25.28,24.51,24.69,22.43,1709100
2014-12-12,24.52,24.83,24.4,24.46,22.22,950800
2014-12-15,24.68,24.81,24.27,24.49,22.25,1175100
2014-12-16,24.53,24.88,24.22,24.25,22.03,1313900
2014-12-17,24.22,24.8,24.22,24.56,22.31,2160100
2014-12-18,24.75,25.14,24.68,25.08,22.79,1768500
2014-12-19,25.04,25.6,24.84,25.0,22.71,7523100
2014-12-22,25.16,25.28,24.66,25.1,22.8,1689600
2014-12-23,25.31,25.5,25.12,25.44,23.11,1174600
2014-12-24,25.45,25.59,25.18,25.51,23.18,547200
2014-12-26,25.51,25.51,25.25,25.31,22.99,304000
2014-12-29,25.2,25.51,25.18,25.37,23.05,1071000
2014-12-30,25.46,25.5,25.16,25.19,22.89,511800
2014-12-31,25.25,25.28,24.83,24.86,22.59,621600
2015-01-02,24.97,25.0,24.29,24.76,22.5,643500
2015-01-05,24.58,24.68,23.84,24.18,21.97,1330400
2015-01-06,24.17,24.22,23.7,23.91,21.72,2075000
2015-01-07,23.99,24.13,23.79,24.0,21.8,1160200
2015-01-08,24.07,24.48,23.94,24.18,21.97,661500
2015-01-09,24.15,24.18,23.78,23.89,21.7,724700
2015-01-12,23.8,24.04,23.62,23.88,21.7,938600
2015-01-13,23.94,24.19,23.61,23.87,21.69,989800
2015-01-14,23.6,23.74,23.1,23.44,21.3,962500
2015-01-15,23.37,23.61,22.67,22.96,20.86,1558000
2015-01-16,22.83,23.24,22.79,23.19,21.07,1951800
2015-01-20,23.16,23.85,22.91,23.1,20.99,1742100
2015-01-21,23.07,23.59,23.01,23.28,21.15,787300
2015-01-22,23.3,24.16,23.28,24.14,21.93,486500
2015-01-23,24.04,24.04,23.67,23.71,21.54,651800
2015-01-26,23.75,24.31,23.53,24.09,21.89,1165400
2015-01-27,23.86,24.64,23.76,24.15,21.94,1308200
2015-01-28,24.17,24.35,23.84,23.86,21.68,1301900
2015-01-29,23.92,24.35,23.26,24.24,22.02,1818600
2015-01-30,24.1,24.24,23.81,23.9,21.71,1882300
2015-02-02,23.85,24.16,23.69,24.0,21.8,1445800
2015-02-03,23.91,24.45,23.8,24.29,22.16,1351800
2015-02-04,24.27,24.38,23.93,24.01,21.9,1101600
2015-02-05,24.09,24.41,23.98,24.35,22.22,984600
2015-02-06,24.41,25.0,24.22,24.5,22.35,1748400
