Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.27,36.41,35.18,36.37,36.17,3227300
2010-01-05,36.42,37.5,35.99,36.98,36.78,4564300
2010-01-06,36.94,37.56,36.54,36.9,36.7,2611900
2010-01-07,36.17,38.4,36.0,38.26,38.05,4950900
2010-01-08,38.36,38.36,37.51,37.97,37.76,2717900
2010-01-11,38.05,38.25,37.13,37.37,37.16,2409800
2010-01-12,37.24,37.37,36.14,36.54,36.34,4353800
2010-01-13,36.68,37.05,35.63,36.45,36.25,5431700
2010-01-14,36.32,36.92,35.87,36.77,36.57,3356200
2010-01-15,36.72,37.0,35.82,36.84,36.64,4148100
2010-01-19,37.16,38.88,37.01,37.92,37.71,7779800
2010-01-20,38.5,39.26,37.93,38.2,37.99,6612300
2010-01-21,38.31,38.86,36.95,37.05,36.85,4185900
2010-01-22,36.96,38.08,36.53,36.72,36.52,4325200
2010-01-25,37.21,37.21,36.3,36.35,36.15,3221000
2010-01-26,34.72,35.42,33.98,34.36,34.17,8537300
2010-01-27,34.21,34.98,33.75,34.59,34.4,4046400
2010-01-28,34.8,35.34,34.48,34.49,34.3,3673700
2010-01-29,34.53,34.64,33.71,33.77,33.58,2617100
2010-02-01,33.69,34.44,33.12,33.79,33.6,4718200
2010-02-02,33.83,35.36,33.64,35.24,35.05,4455400
2010-02-03,35.02,35.2,34.0,34.76,34.57,4012700
2010-02-04,34.63,35.64,33.09,33.52,33.34,6359800
2010-02-05,33.44,33.99,32.7,33.36,33.18,5361000
2010-02-08,33.24,33.84,32.73,33.08,32.9,2747900
2010-02-09,33.49,33.75,32.68,33.48,33.3,2863900
2010-02-10,33.32,33.5,32.57,33.06,32.88,3263900
2010-02-11,32.9,33.41,32.59,33.34,33.16,3037900
2010-02-12,32.87,32.93,32.27,32.76,32.58,4100000
2010-02-16,32.1,32.72,32.0,32.72,32.54,4182000
2010-02-17,32.63,33.72,32.63,33.19,33.01,5307200
2010-02-18,32.62,33.54,32.62,33.15,32.97,4585300
2010-02-19,32.95,33.0,32.5,32.8,32.62,2729800
2010-02-22,32.64,33.66,32.64,33.42,33.24,4063300
2010-02-23,33.15,33.34,32.62,33.0,32.82,3433000
2010-02-24,33.19,33.98,32.54,33.93,33.74,5177500
2010-02-25,33.53,34.2,32.99,33.87,33.68,4678000
2010-02-26,34.04,34.76,33.91,34.26,34.07,3212700
2010-03-01,34.58,34.99,34.03,34.58,34.39,3701100
2010-03-02,34.72,34.8,34.29,34.44,34.25,4178000
2010-03-03,34.51,35.07,34.21,34.69,34.5,3145300
2010-03-04,34.66,34.7,33.58,34.04,33.85,5001000
2010-03-05,34.12,34.82,33.98,34.77,34.58,3587800
2010-03-08,34.76,34.94,34.37,34.8,34.61,2347000
2010-03-09,33.8,34.58,33.78,34.05,33.9,3625400
2010-03-10,33.91,34.64,33.74,34.33,34.18,2762800
2010-03-11,34.18,34.99,33.88,34.95,34.8,3317900
2010-03-12,34.99,35.23,34.29,34.54,34.39,2432700
2010-03-15,34.4,34.44,33.45,34.29,34.14,2485500
2010-03-16,34.33,35.04,33.93,34.96,34.81,3322700
2010-03-17,35.09,35.09,34.42,34.83,34.68,2267400
2010-03-18,34.25,36.02,34.0,35.84,35.68,6015600
2010-03-19,37.08,38.01,35.99,37.08,36.92,7779700
2010-03-22,37.39,37.97,36.81,37.28,37.12,4975300
2010-03-23,37.42,37.47,36.67,36.94,36.78,3372900
2010-03-24,37.02,37.08,36.25,36.39,36.23,2617700
2010-03-25,36.83,36.85,36.03,36.1,35.94,3769200
2010-03-26,36.27,36.48,35.6,35.9,35.74,2684000
2010-03-29,36.04,36.43,35.78,36.35,36.19,1591900
2010-03-30,36.45,36.82,36.17,36.58,36.42,2405600
2010-03-31,36.46,36.67,36.06,36.58,36.42,2688200
2010-04-01,36.64,37.19,36.64,37.15,36.99,2346300
2010-04-05,37.33,37.61,36.97,37.0,36.84,2677900
2010-04-06,36.93,37.36,36.77,37.09,36.93,2011900
2010-04-07,36.97,36.97,35.89,36.25,36.09,3054900
2010-04-08,36.07,36.63,35.5,36.62,36.46,3895300
2010-04-09,36.55,36.7,36.15,36.63,36.47,3976700
2010-04-12,36.57,36.67,36.31,36.42,36.26,1864300
2010-04-13,36.27,36.3,35.22,35.71,35.55,4866200
2010-04-14,35.75,35.75,34.64,34.68,34.53,7120000
2010-04-15,34.68,34.88,34.06,34.72,34.57,5305800
2010-04-16,34.6,35.17,34.0,34.49,34.34,5123200
2010-04-19,34.28,35.7,34.28,35.3,35.15,4627100
2010-04-20,35.58,36.04,34.37,34.93,34.78,4115900
2010-04-21,34.92,35.08,33.81,34.0,33.85,4109800
2010-04-22,33.85,33.9,33.14,33.53,33.38,4793000
2010-04-23,33.42,34.21,33.28,33.99,33.84,4083900
2010-04-26,34.1,34.24,32.85,32.88,32.74,4320500
2010-04-27,32.5,33.28,32.17,32.36,32.22,7248800
2010-04-28,32.59,33.36,32.22,33.1,32.96,6623100
2010-04-29,33.18,34.58,33.18,33.81,33.66,5997100
2010-04-30,33.9,33.9,32.0,32.06,31.92,7562700
2010-05-03,32.39,32.77,31.9,32.72,32.58,6332300
2010-05-04,32.18,32.21,31.15,31.22,31.08,5226200
2010-05-05,30.78,32.26,30.78,32.0,31.86,7035100
2010-05-06,32.8,33.97,30.78,32.93,32.79,9088800
2010-05-07,33.06,33.06,30.97,31.39,31.25,8912100
2010-05-10,32.45,33.06,32.1,32.65,32.51,4642600
2010-05-11,32.3,33.65,32.17,33.13,32.99,3376400
2010-05-12,33.28,34.12,33.07,33.96,33.81,3249000
2010-05-13,33.72,34.6,33.5,33.84,33.69,4022200
2010-05-14,33.57,33.76,32.82,33.43,33.28,3297000
2010-05-17,33.33,33.88,32.87,33.67,33.52,2924800
2010-05-18,33.98,34.45,33.63,33.75,33.6,4323000
2010-05-19,33.5,34.32,33.44,33.74,33.59,3480200
2010-05-20,33.0,33.4,32.33,32.63,32.49,5477100
2010-05-21,31.99,33.16,31.88,32.65,32.51,4533400
2010-05-24,32.44,33.24,32.26,32.71,32.57,3057600
2010-05-25,31.61,32.19,31.22,32.16,32.02,6186700
2010-05-26,32.45,33.26,32.34,32.43,32.29,4027500
2010-05-27,33.19,33.71,32.72,33.68,33.53,2404100
2010-05-28,33.64,33.9,33.25,33.47,33.32,2789300
2010-06-01,33.07,33.97,32.82,32.86,32.72,3189700
2010-06-02,33.09,33.79,32.95,33.76,33.61,3289400
2010-06-03,33.96,34.86,33.7,34.8,34.65,3175400
2010-06-04,34.27,35.76,33.97,34.07,33.92,4178100
2010-06-07,34.03,34.73,33.22,33.91,33.76,3489900
2010-06-08,34.26,34.42,33.01,33.63,33.48,4762600
2010-06-09,33.87,34.16,33.13,33.29,33.14,2944900
2010-06-10,33.72,34.2,33.38,34.14,33.99,3104400
2010-06-11,33.77,34.54,33.54,34.49,34.34,2417900
2010-06-14,34.72,35.19,34.53,34.55,34.4,2957000
2010-06-15,34.87,35.17,34.74,35.11,34.96,2226500
2010-06-16,34.8,35.49,34.75,35.19,35.04,1764300
2010-06-17,35.36,35.5,34.95,35.34,35.19,2370500
2010-06-18,35.39,35.47,35.07,35.21,35.06,2718100
2010-06-21,35.52,35.94,35.08,35.21,35.06,2179800
2010-06-22,35.13,35.41,34.11,34.21,34.06,4185400
2010-06-23,34.16,34.3,33.72,33.95,33.8,3243200
2010-06-24,33.78,34.14,33.28,33.34,33.19,2523800
2010-06-25,33.36,33.48,32.93,33.29,33.14,4592800
2010-06-28,33.3,33.73,33.09,33.19,33.05,2183500
2010-06-29,32.77,32.94,31.65,31.87,31.73,4941600
2010-06-30,31.67,31.97,30.95,31.06,30.92,4876900
2010-07-01,30.98,31.04,29.12,29.86,29.73,9695900
2010-07-02,29.99,30.16,29.58,29.77,29.64,3010600
2010-07-06,30.25,30.74,29.83,30.19,30.06,4533600
2010-07-07,30.42,31.27,30.17,30.7,30.57,7405500
2010-07-08,30.87,31.29,30.63,31.01,30.87,2986700
2010-07-09,31.13,31.35,30.88,31.29,31.15,2148900
2010-07-12,31.22,31.41,30.89,31.13,30.99,2646500
2010-07-13,31.43,31.71,31.24,31.37,31.23,2619900
2010-07-14,31.33,31.66,31.06,31.45,31.31,3576300
2010-07-15,31.5,31.92,30.87,31.61,31.47,3702100
2010-07-16,31.39,31.68,30.3,30.34,30.21,3732500
2010-07-19,30.51,31.29,30.46,31.15,31.01,2679600
2010-07-20,30.73,31.32,30.42,31.25,31.11,3722700
2010-07-21,31.48,31.5,30.51,30.69,30.56,3290200
2010-07-22,31.03,31.63,30.9,31.52,31.38,3399800
2010-07-23,31.4,31.54,30.82,31.01,30.87,3799300
2010-07-26,31.0,31.85,30.95,31.78,31.64,2197400
2010-07-27,31.99,32.05,31.46,31.53,31.39,2129400
2010-07-28,31.41,31.66,30.23,30.37,30.24,3677800
2010-07-29,30.63,31.02,30.23,30.62,30.49,2944900
2010-07-30,30.39,31.01,30.06,30.76,30.63,2607100
2010-08-02,31.28,31.65,30.99,31.59,31.45,2890100
2010-08-03,31.4,32.21,31.32,31.77,31.63,3151400
2010-08-04,31.8,32.37,31.72,32.15,32.01,3199300
2010-08-05,33.78,34.03,32.66,33.96,33.81,5912200
2010-08-06,33.62,34.56,33.52,34.39,34.24,3242500
2010-08-09,34.68,34.77,34.38,34.64,34.49,2547200
2010-08-10,34.35,35.0,34.14,34.86,34.71,2727200
2010-08-11,34.37,34.37,32.84,33.4,33.25,5760200
2010-08-12,33.15,33.56,32.78,33.42,33.27,2395800
2010-08-13,33.28,33.52,32.94,33.38,33.23,2110300
2010-08-16,33.14,33.43,32.55,33.37,33.22,2903000
2010-08-17,33.71,34.14,33.36,33.78,33.63,1982500
2010-08-18,33.71,33.96,33.32,33.77,33.62,3029100
2010-08-19,33.56,33.73,32.61,32.88,32.74,3367700
2010-08-20,32.61,32.95,32.1,32.41,32.27,1962900
2010-08-23,32.58,33.04,32.48,32.72,32.58,2619700
2010-08-24,32.3,32.49,31.77,31.77,31.63,2776900
2010-08-25,31.54,32.47,31.39,32.33,32.19,2164100
2010-08-26,32.49,32.75,31.91,32.0,31.86,1763000
2010-08-27,32.16,32.56,31.57,32.52,32.38,1816700
2010-08-30,32.42,32.75,31.91,31.91,31.77,1232600
2010-08-31,31.78,32.8,31.5,32.22,32.08,3526800
2010-09-01,32.68,33.58,32.39,33.57,33.42,2752400
2010-09-02,33.41,33.62,32.74,33.02,32.88,3325900
2010-09-03,33.34,33.92,33.28,33.76,33.61,1995100
2010-09-07,33.52,33.74,33.16,33.48,33.33,1457500
2010-09-08,33.48,33.72,33.35,33.65,33.5,1692200
2010-09-09,34.02,34.65,33.9,34.39,34.24,2885900
2010-09-10,34.48,34.69,34.2,34.64,34.49,1932200
2010-09-13,35.16,35.36,34.79,35.26,35.11,3383400
2010-09-14,35.24,35.39,34.91,35.07,34.92,2576000
2010-09-15,34.9,35.0,34.4,34.65,34.5,2900800
2010-09-16,34.6,34.7,34.25,34.64,34.49,1784100
2010-09-17,34.9,34.97,34.33,34.47,34.32,2055000
2010-09-20,34.51,35.05,34.43,34.98,34.83,1490200
2010-09-21,35.0,35.88,34.8,35.59,35.43,2260900
2010-09-22,35.51,35.7,35.08,35.47,35.32,2283400
2010-09-23,35.12,35.83,35.02,35.14,34.99,2027800
2010-09-24,35.65,36.01,35.57,36.01,35.85,2213900
2010-09-27,35.9,36.04,35.63,35.64,35.48,2010400
2010-09-28,35.68,35.76,35.34,35.54,35.38,2797300
2010-09-29,35.48,35.67,34.95,35.34,35.19,3037400
2010-09-30,35.65,35.99,35.4,35.78,35.62,3491900
2010-10-01,36.05,36.18,35.37,36.03,35.87,2715100
2010-10-04,35.92,36.05,34.95,35.16,35.01,2334200
2010-10-05,35.49,35.92,35.23,35.82,35.66,2594100
2010-10-06,35.47,36.04,34.33,34.58,34.43,3437200
2010-10-07,34.76,35.58,34.71,35.37,35.22,2378000
2010-10-08,35.39,35.55,34.99,35.42,35.27,1236900
2010-10-11,35.42,36.22,35.42,36.05,35.89,1538200
2010-10-12,35.95,36.3,35.58,36.13,35.97,2790300
2010-10-13,36.36,36.55,36.0,36.19,36.03,3778500
2010-10-14,36.19,36.63,35.63,35.95,35.79,3294600
2010-10-15,36.28,36.35,35.54,35.87,35.71,3641300
2010-10-18,35.82,35.95,35.27,35.71,35.55,3300900
2010-10-19,35.18,35.24,34.43,34.62,34.47,3314600
2010-10-20,34.64,35.6,34.62,35.31,35.16,1854100
2010-10-21,35.35,35.66,35.01,35.66,35.5,2516100
2010-10-22,35.66,36.41,35.58,36.17,36.01,2239000
2010-10-25,36.51,36.74,36.32,36.38,36.22,2357800
2010-10-26,36.16,36.38,35.87,36.13,35.97,2006100
2010-10-27,35.84,36.76,35.55,35.84,35.68,3782000
2010-10-28,36.12,36.3,35.34,35.66,35.5,2542500
2010-10-29,35.64,36.11,35.05,35.16,35.01,3755500
2010-11-01,35.32,35.81,34.87,35.38,35.23,3565800
2010-11-02,35.72,36.86,35.72,36.85,36.69,3824100
2010-11-03,36.85,37.48,36.24,36.82,36.66,3401400
2010-11-04,37.2,37.4,36.78,37.37,37.21,2172000
2010-11-05,37.48,37.83,36.89,37.36,37.2,3070700
2010-11-08,37.13,37.6,36.72,36.83,36.67,3727700
2010-11-09,36.88,37.01,36.39,36.56,36.4,3275700
2010-11-10,36.58,36.74,36.07,36.65,36.49,2890900
2010-11-11,36.37,37.12,36.28,37.0,36.84,2938800
2010-11-12,37.11,37.65,36.91,37.36,37.2,3050000
2010-11-15,37.37,37.52,36.44,36.46,36.3,3157400
2010-11-16,36.15,36.27,35.63,35.81,35.65,2208300
2010-11-17,35.88,36.31,35.46,36.24,36.08,2097400
2010-11-18,36.33,36.93,35.82,36.5,36.34,2086000
2010-11-19,36.4,37.48,36.1,37.45,37.29,4347800
2010-11-22,38.12,38.55,36.9,37.51,37.35,4988700
2010-11-23,37.09,37.19,36.17,36.36,36.2,3449500
2010-11-24,36.48,36.9,36.48,36.69,36.53,2004100
2010-11-26,36.26,36.66,36.01,36.21,36.05,1036000
2010-11-29,35.95,36.97,35.63,36.92,36.76,3442500
2010-11-30,36.59,37.1,36.35,36.81,36.65,3023100
2010-12-01,37.23,38.0,37.23,38.0,37.83,3866300
2010-12-02,37.99,38.34,37.74,38.26,38.09,3281400
2010-12-03,38.21,38.21,37.69,37.98,37.81,1845000
2010-12-06,37.95,38.06,37.53,37.56,37.4,2095000
2010-12-07,37.9,37.9,36.97,37.03,36.87,4459000
2010-12-08,37.05,37.25,36.7,36.93,36.77,2920100
2010-12-09,37.13,37.89,37.09,37.62,37.46,3328500
2010-12-10,37.77,37.89,37.53,37.65,37.49,1729100
2010-12-13,37.57,38.35,37.26,37.5,37.34,3711800
