Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.24,41.44,40.93,41.42,33.12,4874200
2010-01-05,41.31,41.83,40.98,41.76,33.38,5296800
2010-01-06,41.81,41.88,41.2,41.67,33.31,7195200
2010-01-07,41.53,41.53,41.12,41.5,33.18,3752200
2010-01-08,40.1,40.83,40.05,40.76,32.58,8150200
2010-01-11,40.32,40.67,39.76,40.58,32.44,7054200
2010-01-12,39.81,40.6,39.81,40.34,32.25,5733800
2010-01-13,40.26,40.7,40.22,40.53,32.4,4570600
2010-01-14,40.39,40.49,40.08,40.21,32.14,5403800
2010-01-15,40.27,40.6,39.79,40.0,31.98,7913200
2010-01-19,40.01,40.37,39.9,40.29,32.21,4460400
2010-01-20,40.06,40.06,39.2,39.6,31.66,7762000
2010-01-21,40.12,40.48,39.13,39.53,31.78,9020200
2010-01-22,39.53,40.59,39.18,40.35,32.44,10959000
2010-01-25,40.56,40.72,39.92,40.24,32.34,6220000
2010-01-26,39.93,40.38,39.75,40.19,32.31,5581400
2010-01-27,40.19,40.41,39.83,40.19,32.31,6222200
2010-01-28,40.35,40.87,39.83,39.99,32.15,8153400
2010-01-29,40.24,40.43,39.65,40.01,32.17,6692600
2010-02-01,40.21,40.21,39.51,39.97,32.13,6400400
2010-02-02,39.92,40.53,39.74,40.53,32.58,5937400
2010-02-03,40.47,40.62,40.22,40.41,32.48,5777600
2010-02-04,40.23,40.38,39.81,39.83,32.02,7284000
2010-02-05,39.82,40.03,39.03,39.63,31.86,6091800
2010-02-08,39.76,39.9,39.47,39.54,31.79,3262400
2010-02-09,39.76,40.3,39.55,40.08,32.22,4059600
2010-02-10,40.14,40.14,39.53,39.91,32.08,3793400
2010-02-11,39.78,40.19,39.62,40.17,32.29,3524000
2010-02-12,40.06,40.13,39.54,39.83,32.02,4864600
2010-02-16,39.96,40.4,39.65,40.31,32.4,3914400
2010-02-17,40.41,40.69,40.28,40.6,32.64,3467800
2010-02-18,40.53,41.37,40.51,41.22,33.14,4855200
2010-02-19,41.21,41.21,40.62,40.88,32.86,4863000
2010-02-22,40.92,41.17,40.75,41.04,32.99,4043400
2010-02-23,41.06,41.24,40.62,40.94,32.91,4416600
2010-02-24,41.04,41.52,40.92,41.48,33.34,4016000
2010-02-25,40.87,41.65,40.44,41.56,33.4,5434400
2010-02-26,41.69,41.69,41.26,41.47,33.34,3667400
2010-03-01,41.61,41.92,41.45,41.9,33.68,3972200
2010-03-02,42.08,42.12,41.79,41.93,33.71,5687800
2010-03-03,41.88,42.13,41.8,41.93,33.71,3841400
2010-03-04,41.96,42.32,41.78,42.08,33.83,3954800
2010-03-05,42.19,42.19,41.83,42.1,33.85,5870000
2010-03-08,42.03,42.14,41.72,41.97,33.74,3466000
2010-03-09,41.81,42.47,41.74,42.25,33.96,4540800
2010-03-10,42.35,42.35,41.6,41.79,33.59,5145400
2010-03-11,41.62,42.04,41.39,42.04,33.79,4436200
2010-03-12,41.88,42.15,41.85,42.08,33.82,4126400
2010-03-15,41.99,42.22,41.92,42.19,33.91,3536800
2010-03-16,42.22,42.42,42.04,42.31,34.01,3490600
2010-03-17,42.37,42.37,41.9,42.31,34.02,4796600
2010-03-18,42.26,42.44,41.96,42.38,34.07,2695800
2010-03-19,42.42,42.54,42.15,42.42,34.1,5987200
2010-03-22,42.19,42.81,42.19,42.47,34.14,4573800
2010-03-23,42.47,42.78,42.24,42.67,34.3,4531200
2010-03-24,42.58,42.59,42.04,42.17,33.9,4359600
2010-03-25,42.24,42.27,41.69,41.71,33.53,5516600
2010-03-26,41.74,42.34,41.74,42.22,33.94,5112200
2010-03-29,42.17,42.62,42.12,42.49,34.16,2998400
2010-03-30,42.46,42.81,42.32,42.73,34.35,3925800
2010-03-31,42.6,42.78,42.49,42.63,34.27,3754600
2010-04-01,42.67,42.97,42.63,42.9,34.49,3489200
2010-04-05,42.99,43.08,42.69,42.81,34.41,3914400
2010-04-06,42.65,42.66,42.15,42.47,34.14,4068200
2010-04-07,42.4,42.67,42.25,42.56,34.21,4380000
2010-04-08,42.53,42.62,42.21,42.28,33.99,4190600
