Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.38,8.56,8.38,8.48,7.11,27146800
2010-01-05,8.47,8.49,8.27,8.37,7.02,35493000
2010-01-06,8.39,8.4,8.27,8.31,6.97,27741400
2010-01-07,8.35,8.53,8.27,8.48,7.11,30214800
2010-01-08,8.47,8.53,8.4,8.46,7.09,25454000
2010-01-11,8.44,8.5,8.36,8.4,7.05,38109200
2010-01-12,8.38,8.38,8.2,8.26,6.92,36282000
2010-01-13,8.34,8.43,8.31,8.39,7.03,31533800
2010-01-14,8.41,8.41,8.31,8.34,6.99,34823600
2010-01-15,8.37,8.41,8.19,8.31,6.97,43236000
2010-01-19,8.36,8.43,8.31,8.4,7.05,25319000
2010-01-20,8.29,8.33,8.1,8.26,6.93,43376400
2010-01-21,8.26,8.29,7.92,8.0,6.71,65772600
2010-01-22,8.01,8.19,7.91,7.93,6.64,56665000
2010-01-25,7.93,8.09,7.88,8.01,6.71,30493200
2010-01-26,7.95,8.02,7.79,7.85,6.58,42569400
2010-01-27,7.82,8.05,7.79,7.93,6.64,40780000
2010-01-28,7.99,8.06,7.78,7.81,6.55,38618800
2010-01-29,7.88,8.06,7.76,7.91,6.64,54386600
2010-02-01,8.04,8.05,7.93,7.97,6.68,32681400
2010-02-02,7.93,8.18,7.92,8.15,6.83,38526400
2010-02-03,8.27,8.3,7.93,7.99,6.69,58379600
2010-02-04,7.9,7.97,7.76,7.76,6.51,45437200
2010-02-05,7.76,7.86,7.57,7.71,6.46,53431200
2010-02-08,7.72,7.74,7.6,7.61,6.38,31328000
2010-02-09,7.69,7.85,7.64,7.7,6.45,48789400
2010-02-10,7.72,7.72,7.59,7.66,6.42,43407200
2010-02-11,7.63,7.72,7.55,7.66,6.43,36472000
2010-02-12,7.57,7.68,7.55,7.67,6.43,55095600
2010-02-16,7.8,7.86,7.72,7.84,6.57,40474600
2010-02-17,7.89,7.89,7.8,7.83,6.56,26798200
2010-02-18,7.85,7.9,7.8,7.86,6.59,25432600
2010-02-19,7.82,8.02,7.78,8.0,6.71,51955000
2010-02-22,8.05,8.15,8.01,8.1,6.79,39578000
2010-02-23,8.05,8.15,8.02,8.07,6.77,34481600
2010-02-24,8.14,8.23,8.05,8.21,6.88,53823600
2010-02-25,8.08,8.13,7.97,8.07,6.77,46155800
2010-02-26,8.11,8.23,8.03,8.22,6.89,43478000
2010-03-01,8.25,8.44,8.25,8.41,7.06,46009200
2010-03-02,8.41,8.48,8.35,8.4,7.04,44590800
