Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.16,11.58,11.16,11.56,11.08,4514800
2010-01-05,11.35,11.56,11.21,11.54,11.06,6313200
2010-01-06,11.56,11.61,11.44,11.49,11.02,4633200
2010-01-07,11.44,11.44,11.15,11.39,10.92,6752800
2010-01-08,11.31,11.37,11.13,11.36,10.89,5024800
2010-01-11,11.57,11.59,10.89,11.07,10.61,7786000
2010-01-12,10.87,10.89,10.73,10.78,10.34,4062000
2010-01-13,10.84,10.98,10.63,10.97,10.51,5404000
2010-01-14,11.0,11.11,10.84,10.95,10.5,4032800
2010-01-15,10.94,10.97,10.69,10.75,10.3,3718000
2010-01-19,10.72,10.97,10.72,10.96,10.51,3827200
2010-01-20,10.75,10.88,10.59,10.81,10.37,4386000
2010-01-21,10.86,11.06,10.69,10.75,10.3,5875600
2010-01-22,10.71,10.78,10.46,10.49,10.05,5751200
2010-01-25,10.61,10.78,10.54,10.58,10.14,2984400
2010-01-26,10.41,10.49,10.29,10.33,9.9,5162800
2010-01-27,10.19,10.29,9.78,9.94,9.53,9936400
2010-01-28,9.99,10.06,9.59,9.75,9.35,5558800
2010-01-29,9.85,9.99,9.5,9.57,9.17,6362400
2010-02-01,9.72,9.99,9.72,9.98,9.58,5766400
2010-02-02,10.02,10.29,9.82,10.24,9.83,7289200
2010-02-03,10.23,10.32,10.08,10.11,9.7,3955600
2010-02-04,9.98,9.98,9.56,9.61,9.22,3502800
2010-02-05,9.61,9.62,9.31,9.61,9.22,7260400
2010-02-08,9.62,9.69,9.41,9.41,9.03,5448400
2010-02-09,9.58,9.79,9.53,9.6,9.2,6408000
2010-02-10,9.57,9.64,9.33,9.58,9.19,4379600
2010-02-11,9.56,9.78,9.5,9.76,9.36,5689600
2010-02-12,9.59,9.9,9.53,9.88,9.47,7223200
2010-02-16,10.03,10.26,10.03,10.21,9.79,5854800
2010-02-17,10.23,10.27,9.96,10.1,9.69,5468400
2010-02-18,10.07,10.25,10.02,10.23,9.82,6501600
2010-02-19,10.22,10.42,10.15,10.33,9.91,6856000
2010-02-22,10.56,10.72,10.25,10.28,9.86,16485600
2010-02-23,10.22,10.29,9.91,9.93,9.53,7316000
2010-02-24,9.97,10.15,9.96,10.04,9.63,8075200
2010-02-25,9.85,10.16,9.75,10.11,9.7,5284000
2010-02-26,10.01,10.19,9.88,10.03,9.63,8014800
2010-03-01,10.11,10.21,10.08,10.19,9.78,5256000
2010-03-02,10.32,10.32,10.15,10.19,9.78,5685200
2010-03-03,10.25,10.32,10.19,10.22,9.8,3818800
2010-03-04,10.22,10.31,9.96,10.06,9.65,4626000
2010-03-05,10.18,10.38,10.14,10.34,9.92,4712000
2010-03-08,10.42,10.49,10.34,10.35,9.93,6818800
2010-03-09,10.26,10.44,10.17,10.23,9.81,4858800
2010-03-10,10.2,10.56,10.18,10.43,10.01,7728800
2010-03-11,10.36,10.43,10.3,10.31,9.9,3736000
2010-03-12,10.35,10.48,10.33,10.47,10.04,5516800
2010-03-15,10.41,10.43,10.02,10.21,9.79,6594800
2010-03-16,10.23,10.29,10.06,10.29,9.87,5663200
2010-03-17,10.32,10.49,10.3,10.4,9.98,6030400
2010-03-18,10.21,10.33,9.85,9.88,9.48,9182800
2010-03-19,9.53,9.98,9.35,9.53,9.15,12646000
2010-03-22,9.43,9.54,9.34,9.39,9.01,11065600
2010-03-23,9.39,9.6,9.36,9.56,9.17,7705200
2010-03-24,9.47,9.67,9.38,9.54,9.15,6209200
2010-03-25,9.69,9.69,9.22,9.24,8.86,7662400
2010-03-26,9.27,9.27,8.99,9.1,8.73,10977600
2010-03-29,9.16,9.37,9.13,9.28,8.9,4899200
2010-03-30,9.27,9.27,9.1,9.16,8.79,4431200
2010-03-31,9.15,9.31,9.14,9.2,8.83,3792800
2010-04-01,9.32,9.5,9.32,9.44,9.05,4922000
2010-04-05,9.51,9.74,9.44,9.71,9.32,4937200
2010-04-06,9.66,9.81,9.59,9.75,9.35,6576800
2010-04-07,9.7,9.77,9.5,9.55,9.16,6974400
2010-04-08,9.48,9.62,9.36,9.6,9.21,3934400
2010-04-09,9.88,10.06,9.87,9.99,9.58,9676000
2010-04-12,9.98,10.02,9.87,9.91,9.5,3352800
2010-04-13,9.9,10.17,9.81,10.11,9.7,7528000
