Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,59.13,60.07,59.13,59.41,46.32,3280200
2010-01-05,59.26,59.42,58.84,59.23,46.18,2775800
2010-01-06,59.07,60.05,59.0,60.0,46.78,3722900
2010-01-07,60.08,60.44,59.26,59.71,46.55,4527600
2010-01-08,59.47,59.61,59.1,59.28,46.22,2348300
2010-01-11,59.21,59.42,59.0,59.35,46.27,1830400
2010-01-12,59.23,59.39,58.72,59.03,46.02,2113300
2010-01-13,59.11,59.59,58.94,59.4,46.31,2051500
2010-01-14,59.12,59.25,58.71,58.72,45.78,2145700
2010-01-15,58.99,58.99,58.43,58.79,45.83,3081700
2010-01-19,59.17,59.28,58.79,58.95,45.96,2558200
2010-01-20,58.48,58.68,57.62,58.27,45.43,4484600
2010-01-21,58.13,58.6,57.35,57.52,44.84,3456800
2010-01-22,57.4,57.96,57.04,57.07,44.49,4220600
2010-01-25,57.35,57.82,56.75,57.55,44.87,2690600
2010-01-26,57.2,58.48,57.14,57.93,45.16,3530500
2010-01-27,57.71,58.04,57.28,57.53,44.85,3776200
2010-01-28,57.59,57.82,57.06,57.35,44.71,3197000
2010-01-29,57.59,58.54,57.4,57.43,44.77,5413900
2010-02-01,57.8,57.92,57.36,57.91,45.15,4295300
2010-02-02,58.0,58.88,57.6,58.77,45.82,5231500
2010-02-03,58.59,58.95,58.38,58.42,45.55,5269100
2010-02-04,58.17,58.94,58.1,58.52,45.62,5962700
2010-02-05,58.59,58.9,58.07,58.58,45.67,4793600
2010-02-08,58.27,58.78,58.13,58.14,45.33,3319800
2010-02-09,58.8,59.0,58.2,58.76,45.81,3486900
2010-02-10,58.66,59.32,58.38,59.15,46.26,4520500
2010-02-11,58.86,59.78,58.67,59.67,46.66,4030800
2010-02-12,59.19,59.42,58.95,59.28,46.36,4337600
2010-02-16,59.62,60.85,59.3,60.67,47.45,4052300
2010-02-17,60.79,61.3,60.74,61.05,47.74,2663100
2010-02-18,60.93,61.13,60.58,60.96,47.67,2275200
2010-02-19,60.73,61.36,60.66,61.14,47.81,2510100
2010-02-22,61.4,61.45,60.69,60.79,47.54,3004300
2010-02-23,60.64,60.92,60.41,60.51,47.32,3081200
2010-02-24,60.8,61.22,60.61,60.86,47.59,2908200
2010-02-25,60.29,61.52,60.21,61.4,48.02,3534000
2010-02-26,61.36,61.47,60.78,60.97,47.68,3681600
2010-03-01,61.0,62.11,60.68,61.65,48.21,4031100
2010-03-02,62.12,62.12,61.2,61.38,48.0,4126100
2010-03-03,59.75,61.58,59.64,60.68,47.45,10153500
2010-03-04,60.75,61.16,60.48,60.8,47.55,3286100
2010-03-05,60.85,60.97,60.5,60.68,47.45,3514800
2010-03-08,60.54,61.0,60.52,60.67,47.45,3020400
2010-03-09,60.38,60.57,60.04,60.13,47.02,3187000
2010-03-10,60.21,60.41,59.76,59.84,46.8,3248400
2010-03-11,59.78,60.06,59.77,59.9,46.84,3957200
2010-03-12,59.88,60.48,59.81,60.17,47.05,3938700
2010-03-15,60.07,60.62,60.05,60.55,47.35,2584700
2010-03-16,60.71,60.96,60.59,60.91,47.63,2480600
2010-03-17,60.96,61.46,60.9,61.33,47.96,3115300
2010-03-18,61.0,61.43,60.92,61.27,47.92,3156200
2010-03-19,61.38,61.5,60.49,60.72,47.49,4687500
2010-03-22,60.54,61.09,60.43,60.88,47.61,2369000
2010-03-23,60.76,60.89,60.36,60.76,47.52,2937800
2010-03-24,60.54,60.74,60.02,60.07,46.98,2910000
2010-03-25,60.42,60.42,60.01,60.05,46.96,2591500
2010-03-26,60.25,60.42,59.91,60.13,47.02,2302000
2010-03-29,60.14,60.43,59.96,60.14,47.03,2375500
2010-03-30,60.27,60.5,60.04,60.17,47.05,2121500
2010-03-31,60.06,60.11,59.68,59.71,46.7,2548200
2010-04-01,59.73,60.3,59.71,60.14,47.03,2638300
2010-04-05,60.33,60.87,60.0,60.82,47.56,2146100
2010-04-06,61.05,61.85,60.75,61.74,48.28,3589100
2010-04-07,61.65,61.96,61.5,61.72,48.27,3897200
2010-04-08,61.6,61.62,60.82,60.98,47.69,4471500
2010-04-09,61.04,61.41,60.92,61.21,47.87,2804500
2010-04-12,60.89,61.21,60.26,60.35,47.2,4550700
2010-04-13,60.22,60.55,59.76,59.89,46.84,4191400
2010-04-14,59.79,59.87,58.94,59.62,46.62,6763100
2010-04-15,59.41,59.44,58.9,59.03,46.16,5754400
2010-04-16,58.96,59.52,58.93,59.19,46.29,5443700
2010-04-19,59.29,59.53,58.61,59.47,46.51,4040700
2010-04-20,59.7,59.92,59.33,59.49,46.52,3703300
2010-04-21,59.4,59.56,59.04,59.51,46.54,3033200
2010-04-22,59.23,60.41,59.12,60.22,47.09,3929700
2010-04-23,60.07,60.48,60.0,60.2,47.08,4017400
2010-04-26,60.2,60.3,60.01,60.07,46.98,2874600
2010-04-27,60.25,60.25,59.11,59.17,46.27,3948900
2010-04-28,59.3,59.49,58.74,58.85,46.02,3462400
2010-04-29,59.01,59.45,58.92,59.35,46.41,2883800
2010-04-30,59.13,59.68,59.02,59.08,46.2,4960700
2010-05-03,59.03,59.5,58.9,59.31,46.38,4051400
2010-05-04,58.83,60.37,58.31,59.88,46.83,6046200
2010-05-05,59.75,60.83,59.72,60.36,47.37,6438700
2010-05-06,58.95,59.11,55.0,58.03,45.54,11175500
2010-05-07,57.86,58.7,56.83,57.31,44.97,9286700
2010-05-10,58.62,58.99,57.1,57.52,45.14,8378900
2010-05-11,57.4,58.3,57.33,57.94,45.47,5442100
2010-05-12,58.06,58.19,57.66,57.88,45.42,4151100
2010-05-13,57.81,58.49,57.6,57.67,45.25,5007700
2010-05-14,57.27,58.12,57.21,57.74,45.31,4890500
2010-05-17,57.82,58.44,57.53,58.35,45.79,4129100
2010-05-18,58.64,58.99,57.68,57.78,45.34,4308800
2010-05-19,57.49,58.48,57.49,57.77,45.33,4350200
2010-05-20,57.0,57.52,56.55,56.59,44.41,6755600
2010-05-21,55.93,57.73,55.79,57.44,45.07,5966100
2010-05-24,57.18,57.41,56.68,56.76,44.54,3376800
2010-05-25,55.96,56.5,55.39,56.5,44.34,6120300
2010-05-26,56.6,56.7,55.71,55.98,43.93,6146600
2010-05-27,57.34,59.26,57.04,58.74,46.09,8764500
2010-05-28,58.79,58.92,58.02,58.25,45.71,3501100
2010-06-01,58.18,58.85,57.73,57.98,45.5,3200400
2010-06-02,58.34,58.98,57.95,58.95,46.26,3898900
2010-06-03,58.23,59.16,57.3,57.93,45.46,7219000
2010-06-04,57.45,57.45,56.01,56.17,44.08,5499000
2010-06-07,56.01,56.62,55.76,55.85,43.83,3414800
2010-06-08,55.69,56.72,55.55,56.66,44.46,3726500
2010-06-09,56.68,57.75,56.58,57.4,45.04,4926900
2010-06-10,57.82,58.06,57.3,57.65,45.24,3270300
2010-06-11,57.18,57.65,57.0,57.52,45.14,3093000
2010-06-14,57.64,57.9,57.3,57.52,45.14,2510800
2010-06-15,57.93,59.18,57.92,59.16,46.42,5099900
2010-06-16,58.47,58.89,58.12,58.34,45.78,2876900
2010-06-17,58.59,58.72,57.99,58.58,45.97,2829000
2010-06-18,58.5,58.73,58.05,58.21,45.68,3657100
2010-06-21,58.5,58.7,57.55,57.78,45.34,2795600
2010-06-22,57.99,58.31,57.54,57.61,45.21,2716300
2010-06-23,57.59,57.68,57.02,57.44,45.07,2541200
2010-06-24,57.17,57.45,56.0,56.22,44.12,3772600
