Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.82,23.4,22.82,23.4,22.8,5765200
2010-01-05,23.41,23.83,23.14,23.67,23.06,8993400
2010-01-06,23.76,23.88,23.53,23.67,23.06,6270400
2010-01-07,23.66,23.74,22.71,22.77,22.19,8054600
2010-01-08,22.81,23.44,22.53,23.43,22.83,8536200
2010-01-11,23.58,23.59,22.9,23.24,22.65,7103800
2010-01-12,23.75,24.25,23.43,23.6,23.0,10575800
2010-01-13,23.75,24.48,23.67,24.39,23.77,8025800
2010-01-14,24.27,24.39,23.93,24.06,23.44,5474800
2010-01-15,23.99,24.27,23.78,23.96,23.35,6317800
2010-01-19,23.91,24.17,23.83,24.16,23.54,5786600
2010-01-20,23.97,24.07,23.4,23.58,22.98,6604400
2010-01-21,23.64,23.8,23.24,23.4,22.8,8963000
2010-01-22,23.39,23.55,22.46,22.58,22.01,11094000
2010-01-25,22.7,22.82,22.41,22.64,22.06,7615200
2010-01-26,22.53,23.07,22.25,22.78,22.21,7274400
2010-01-27,22.72,23.09,22.48,23.05,22.46,6530800
2010-01-28,22.92,23.03,22.06,22.28,21.71,10321600
2010-01-29,22.42,22.8,21.79,21.83,21.27,8996200
2010-02-01,21.9,22.34,21.83,22.34,21.78,6332000
2010-02-02,22.32,22.64,22.04,22.58,22.01,5989600
2010-02-03,22.33,22.65,22.26,22.58,22.01,3605200
2010-02-04,22.38,22.42,21.56,21.56,21.01,8287200
2010-02-05,21.5,21.85,21.04,21.83,21.27,8956000
2010-02-08,21.66,22.15,21.65,21.87,21.31,7368200
2010-02-09,22.61,23.33,22.44,23.25,22.65,17385000
2010-02-10,23.24,23.32,23.03,23.17,22.58,8277000
2010-02-11,23.13,23.62,22.9,23.58,22.98,8110800
2010-02-12,23.25,23.67,23.05,23.58,22.98,10075200
2010-02-16,23.67,24.17,23.41,23.72,23.11,7406600
2010-02-17,23.81,23.81,23.5,23.59,22.99,5900200
2010-02-18,23.61,23.72,23.5,23.65,23.05,6124200
2010-02-19,23.6,23.88,23.52,23.75,23.15,7719200
2010-02-22,23.89,23.89,23.47,23.67,23.06,7004400
2010-02-23,23.53,23.74,23.48,23.61,23.01,6853000
2010-02-24,23.75,24.14,23.71,24.08,23.47,8553000
2010-02-25,23.69,24.08,23.5,24.08,23.47,8585600
2010-02-26,24.07,24.11,23.87,24.07,23.45,7802600
2010-03-01,24.24,25.25,24.08,25.24,24.6,14395800
2010-03-02,25.28,25.66,25.28,25.5,24.86,13258600
2010-03-03,25.55,25.58,24.84,24.92,24.29,9116000
2010-03-04,24.89,25.08,24.55,24.82,24.18,7323200
2010-03-05,25.0,25.39,24.88,25.33,24.69,5232600
2010-03-08,25.44,25.44,24.98,25.01,24.37,6663800
2010-03-09,25.0,25.32,24.92,25.15,24.5,5581600
2010-03-10,25.08,25.44,25.02,25.41,24.76,5765000
2010-03-11,25.27,25.53,25.21,25.5,24.86,5664800
2010-03-12,25.55,25.55,25.34,25.4,24.75,4135800
2010-03-15,25.36,25.46,25.17,25.42,24.78,4662600
2010-03-16,25.48,25.64,25.4,25.63,24.98,5143800
2010-03-17,25.67,26.01,25.67,25.81,25.15,4141600
2010-03-18,25.8,25.96,25.71,25.92,25.26,3874400
2010-03-19,26.02,26.11,25.49,25.62,24.97,10245200
2010-03-22,25.51,26.01,25.5,25.93,25.27,4240600
2010-03-23,26.05,26.32,25.83,26.26,25.59,6509400
2010-03-24,26.2,26.34,25.94,25.96,25.3,5459800
2010-03-25,26.08,26.16,25.7,25.73,25.08,5899400
2010-03-26,25.71,25.88,25.41,25.55,24.89,4883400
2010-03-29,25.48,25.69,25.43,25.57,24.92,3915600
2010-03-30,25.58,25.83,25.51,25.73,25.08,3819800
2010-03-31,25.58,25.72,25.44,25.49,24.84,4509000
2010-04-01,25.6,25.65,25.12,25.41,24.76,5647400
2010-04-05,25.57,26.11,25.46,25.99,25.33,7066800
2010-04-06,25.79,26.31,25.77,26.12,25.46,4534000
2010-04-07,26.0,26.05,25.47,25.56,24.9,6611200
2010-04-08,25.35,25.6,25.09,25.44,24.8,4719800
2010-04-09,25.47,25.86,25.41,25.86,25.2,4872200
2010-04-12,25.94,26.09,25.75,25.98,25.32,5570600
2010-04-13,26.15,27.17,26.11,26.83,26.15,14428600
2010-04-14,27.03,27.11,26.86,26.97,26.28,6373200
2010-04-15,26.86,26.9,26.63,26.83,26.15,5555200
2010-04-16,26.81,26.9,26.35,26.39,25.71,8633600
2010-04-19,26.04,26.1,25.53,26.02,25.36,8352000
2010-04-20,26.26,26.55,26.08,26.51,25.84,5381400
2010-04-21,26.42,26.43,26.16,26.39,25.71,4558800
2010-04-22,26.12,26.89,25.97,26.84,26.16,5197000
2010-04-23,26.94,27.0,26.45,26.67,25.99,6361000
2010-04-26,26.77,26.86,26.53,26.6,25.92,4689600
2010-04-27,26.47,26.58,25.69,25.75,25.09,6648600
2010-04-28,25.81,25.86,25.24,25.49,24.84,6562600
2010-04-29,25.6,26.22,25.58,26.02,25.36,5186800
2010-04-30,25.75,26.27,25.56,25.56,24.9,4886400
2010-05-03,25.62,26.07,25.51,26.01,25.35,6221800
2010-05-04,26.65,26.65,25.38,25.9,25.24,13717000
2010-05-05,25.73,25.75,23.86,25.5,24.85,9841000
2010-05-06,25.34,25.57,22.98,24.38,23.75,11160200
2010-05-07,24.0,24.51,23.25,23.76,23.16,14828400
2010-05-10,24.5,25.9,24.16,25.9,25.24,12632800
2010-05-11,25.53,26.11,25.12,25.71,25.06,9732400
2010-05-12,25.72,26.25,25.65,26.25,25.58,8575400
2010-05-13,26.23,26.44,25.84,25.88,25.22,5391600
2010-05-14,25.73,25.74,24.47,24.94,24.31,11085400
2010-05-17,25.02,25.16,24.08,24.72,24.09,9112400
2010-05-18,25.01,25.18,24.38,24.47,23.85,5659200
2010-05-19,24.28,24.67,23.88,24.26,23.65,7546600
2010-05-20,23.61,24.0,23.24,23.49,22.89,12100200
2010-05-21,23.08,24.75,22.92,24.75,24.12,15526000
2010-05-24,24.4,24.69,24.24,24.31,23.69,10661600
2010-05-25,23.56,24.53,23.41,24.52,23.9,9167600
2010-05-26,24.7,25.25,24.34,24.44,23.82,6989600
2010-05-27,24.97,25.38,24.83,25.38,24.73,5446200
2010-05-28,25.23,25.4,24.81,25.02,24.38,5799200
2010-06-01,24.4,25.22,24.4,24.57,23.94,5287800
2010-06-02,24.59,25.5,24.32,25.5,24.85,6346000
2010-06-03,25.5,26.18,25.45,26.12,25.46,10501200
2010-06-04,25.6,26.01,25.05,25.12,24.48,9355400
2010-06-07,25.15,25.38,24.75,24.81,24.18,6615200
2010-06-08,24.74,24.91,24.26,24.89,24.26,8140600
2010-06-09,24.97,25.47,24.81,24.91,24.28,6108200
2010-06-10,25.42,25.75,25.17,25.72,25.07,6108400
2010-06-11,25.33,25.94,25.29,25.9,25.24,2964200
2010-06-14,26.08,26.69,26.03,26.07,25.4,6113800
2010-06-15,26.1,26.92,26.09,26.89,26.2,6900200
2010-06-16,26.67,27.1,26.58,27.0,26.31,6839200
2010-06-17,27.12,27.12,26.61,26.84,26.16,5875200
2010-06-18,26.83,27.28,26.68,26.78,26.1,7400800
2010-06-21,27.16,27.41,26.5,26.67,25.99,6338200
2010-06-22,26.77,26.86,26.09,26.19,25.52,6742200
2010-06-23,26.26,26.39,25.89,26.1,25.44,5507400
2010-06-24,25.94,26.15,25.72,25.85,25.19,5571600
2010-06-25,26.07,26.83,25.88,26.29,25.62,15751200
2010-06-28,26.34,26.67,26.17,26.43,25.76,8232400
