Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.43,33.06,32.38,32.98,27.65,14676800
2010-01-05,32.93,33.03,32.66,32.85,27.55,7512000
2010-01-06,32.45,32.98,32.36,32.56,27.3,11319600
2010-01-07,32.6,33.87,32.56,33.76,28.31,17940200
2010-01-08,33.67,34.41,33.51,34.0,28.51,21856500
2010-01-11,34.18,34.18,33.74,33.93,28.45,9829000
2010-01-12,33.86,33.97,33.43,33.56,28.14,11745000
2010-01-13,33.37,34.1,33.22,33.97,28.48,11407200
2010-01-14,33.79,34.05,33.64,33.95,28.47,9664800
2010-01-15,33.95,34.14,33.62,33.91,28.43,14320000
2010-01-19,33.83,34.06,33.69,33.95,28.47,8592900
2010-01-20,33.83,34.04,33.52,33.85,28.46,9541300
2010-01-21,33.8,33.97,33.12,33.24,27.94,12078000
2010-01-22,33.07,33.82,32.7,33.24,27.94,10972000
2010-01-25,33.45,33.45,33.0,33.04,27.78,7404100
2010-01-26,32.94,33.19,32.76,32.81,27.58,7440300
2010-01-27,32.68,33.04,32.24,32.47,27.3,10626700
2010-01-28,32.58,33.26,32.29,32.33,27.18,13955400
2010-01-29,32.45,33.0,32.33,32.37,27.21,11500200
2010-02-01,32.57,32.95,32.43,32.92,27.68,7311100
2010-02-02,32.99,33.61,32.62,33.38,28.06,9421200
2010-02-03,32.7,33.03,32.34,32.42,27.26,13361800
2010-02-04,32.42,32.42,31.13,31.15,26.19,15837600
2010-02-05,31.13,31.5,30.36,31.07,26.12,25372800
2010-02-08,33.92,33.92,32.36,32.72,27.51,36924800
2010-02-09,33.21,33.25,32.39,32.72,27.51,15547500
2010-02-10,32.76,32.85,32.33,32.73,27.52,8070100
2010-02-11,32.72,33.29,32.65,33.21,27.92,10367800
2010-02-12,33.15,33.32,32.76,32.99,27.73,10772300
2010-02-16,33.14,33.63,33.04,33.52,28.18,7642400
2010-02-17,33.73,34.15,33.62,33.99,28.58,9118400
2010-02-18,34.0,34.25,33.86,34.12,28.68,8455400
2010-02-19,34.08,34.42,33.8,34.31,28.84,7935700
2010-02-22,34.41,34.49,34.12,34.22,28.77,6978800
2010-02-23,34.1,34.24,33.64,34.15,28.71,10182000
2010-02-24,34.21,34.53,34.15,34.51,29.01,7587900
2010-02-25,34.01,34.53,33.87,34.0,28.58,13221900
2010-02-26,34.03,34.07,33.65,33.75,28.37,12715400
2010-03-01,33.87,34.48,33.79,34.41,28.93,11964100
2010-03-02,34.47,34.75,34.36,34.66,29.14,9878200
2010-03-03,34.53,34.98,34.47,34.74,29.21,8414200
2010-03-04,34.83,35.09,34.6,34.87,29.32,10790800
2010-03-05,34.92,35.16,34.73,35.03,29.45,6873700
2010-03-08,35.09,35.16,34.77,34.83,29.28,4710600
2010-03-09,34.77,35.0,34.56,34.68,29.16,6657600
