Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.22,11.43,10.95,11.22,10.17,14482500
2010-01-05,11.32,12.34,11.29,12.1,10.97,25066000
2010-01-06,11.99,12.24,11.85,12.11,10.98,14980700
2010-01-07,12.06,12.86,12.05,12.69,11.51,19814500
2010-01-08,12.62,12.85,12.05,12.47,11.31,24589200
2010-01-11,12.34,12.89,12.13,12.79,11.6,16220400
2010-01-12,12.67,12.91,12.31,12.54,11.37,12905500
2010-01-13,12.53,12.96,12.41,12.85,11.65,11763200
2010-01-14,12.72,13.31,12.69,13.17,11.94,12026800
2010-01-15,13.18,13.33,12.59,12.74,11.55,9127500
2010-01-19,12.8,13.29,12.79,13.03,11.82,9836500
2010-01-20,12.97,13.49,12.69,13.41,12.16,20133800
2010-01-21,13.5,13.69,13.15,13.44,12.19,24669200
2010-01-22,13.31,13.73,12.91,13.29,12.05,22279200
2010-01-25,13.38,13.64,12.95,13.33,12.09,19299600
2010-01-26,12.78,13.4,12.7,13.15,11.92,16290600
2010-01-27,13.01,13.44,12.82,13.16,11.93,24581400
2010-01-28,13.23,13.54,12.63,12.65,11.47,17086500
2010-01-29,12.8,13.16,12.19,12.23,11.09,19296900
2010-02-01,12.37,12.64,12.32,12.63,11.45,9733500
2010-02-02,12.8,13.07,12.66,12.9,11.7,12952100
2010-02-03,12.91,12.91,12.32,12.42,11.26,9609600
2010-02-04,11.79,12.03,11.32,11.46,10.39,17073600
2010-02-05,11.41,11.73,10.93,11.3,10.25,20004600
2010-02-08,11.31,11.6,11.14,11.25,10.2,9296400
2010-02-09,11.53,12.55,11.53,12.39,11.24,23978700
2010-02-10,12.27,12.33,11.49,11.58,10.5,19463200
2010-02-11,11.65,12.22,11.58,11.83,10.73,14521800
2010-02-12,11.69,12.27,11.57,12.25,11.11,12768600
2010-02-16,12.33,12.62,12.3,12.48,11.32,7985600
2010-02-17,12.33,12.8,12.33,12.73,11.54,10321500
2010-02-18,12.61,12.82,12.41,12.55,11.38,7197400
2010-02-19,12.48,12.74,12.48,12.69,11.51,4816200
2010-02-22,12.73,13.21,12.68,12.73,11.54,9824800
2010-02-23,12.73,12.93,12.48,12.64,11.46,5596600
2010-02-24,12.62,12.77,12.45,12.75,11.56,6896100
2010-02-25,12.58,12.74,12.36,12.66,11.48,6528800
2010-02-26,12.74,13.02,12.67,12.92,11.72,6592000
2010-03-01,12.93,13.5,12.93,13.17,11.94,8057800
