Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.5,32.75,31.87,32.07,28.1,13700400.0
2010-01-05,32.07,32.16,31.7,31.99,28.03,10307700.0
2010-01-06,31.9,32.0,31.68,31.82,27.88,10709500.0
2010-01-07,31.77,31.86,31.54,31.83,27.89,8202100.0
2010-01-08,31.66,31.94,31.53,31.88,27.93,7657500.0
2010-01-11,31.53,31.74,31.09,31.36,27.48,11250500.0
2010-01-12,31.02,31.12,30.68,30.82,27.01,14618300.0
2010-01-13,30.89,31.37,30.87,31.29,27.42,9620600.0
2010-01-14,31.13,31.18,30.96,31.02,27.18,9235600.0
2010-01-15,31.01,31.15,30.41,30.6,26.81,13936400.0
2010-01-19,30.59,31.19,30.5,31.01,27.17,9662100.0
2010-01-20,31.0,31.24,30.72,31.19,27.33,13302800.0
2010-01-21,31.14,31.42,30.57,30.61,26.82,15403600.0
2010-01-22,30.5,30.71,29.95,29.98,26.27,14459400.0
2010-01-25,30.22,30.23,29.55,29.92,26.22,11155800.0
2010-01-26,29.8,29.94,29.32,29.66,25.99,11197300.0
2010-01-27,29.56,29.81,29.01,29.32,25.69,16121200.0
2010-01-28,29.43,29.48,28.71,29.35,25.72,17126000.0
2010-01-29,29.37,29.82,29.25,29.55,25.89,14507900.0
2010-02-01,29.6,29.77,29.34,29.52,25.87,10894200.0
2010-02-02,29.53,30.01,29.22,29.98,26.27,10100900.0
2010-02-03,29.92,30.87,29.79,30.75,26.94,15976200.0
2010-02-04,30.28,30.49,29.66,29.67,26.0,13407100.0
2010-02-05,29.63,29.84,28.99,29.54,25.88,11956100.0
2010-02-08,29.76,29.95,29.46,29.48,25.83,10656800.0
2010-02-09,29.89,30.04,29.48,29.84,26.15,14376800.0
2010-02-10,29.16,30.09,29.03,30.03,26.31,24191900.0
2010-02-11,29.82,30.43,29.76,30.16,26.43,12389400.0
2010-02-12,29.86,30.2,29.86,30.07,26.35,12802700.0
2010-02-16,30.28,30.5,30.17,30.47,26.7,9061600.0
2010-02-17,30.54,30.93,30.38,30.86,27.04,9768600.0
2010-02-18,30.86,31.07,30.68,31.02,27.18,8212300.0
2010-02-19,30.94,31.52,30.85,31.23,27.37,12595600.0
2010-02-22,31.35,31.47,31.06,31.12,27.27,7868200.0
2010-02-23,31.03,31.27,30.86,30.92,27.09,10228300.0
2010-02-24,31.05,31.5,31.01,31.39,27.51,12062100.0
