Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.75,53.5,49.5,49.8,49.08,2350800
2019-03-21,49.99,50.0,48.2,48.98,48.28,1764700
2019-03-22,48.8,49.95,48.16,48.6,47.9,844700
2019-03-25,48.6,49.4,48.0,49.15,48.44,440900
2019-03-26,49.0,49.75,48.18,48.85,48.15,504700
2019-03-27,49.0,50.78,49.0,50.1,49.38,1788600
2019-03-28,50.9,51.0,49.92,50.85,50.12,585400
2019-03-29,49.52,52.48,49.18,51.63,50.89,1769000
2019-04-01,52.3,54.39,51.25,53.5,52.73,19663400
2019-04-02,55.12,57.39,54.3,56.25,55.44,17414200
2019-04-03,57.08,57.2,55.51,56.88,56.06,15066200
2019-04-04,57.2,60.52,57.1,59.71,58.85,13309200
2019-04-05,58.39,58.98,56.27,57.24,56.42,17000800
2019-04-08,56.5,58.39,56.27,57.15,56.33,10764600
2019-04-09,56.8,57.2,56.08,56.27,55.46,9179900
2019-04-10,55.99,56.41,55.1,55.71,54.91,9081900
2019-04-11,55.7,56.21,54.83,54.89,54.1,7346100
2019-04-12,55.93,58.33,55.93,58.3,57.46,9281700
2019-04-15,58.57,58.85,57.29,57.78,56.95,5727300
2019-04-16,58.71,58.99,57.84,58.5,57.66,6681600
2019-04-17,58.95,59.05,58.2,58.32,57.48,6420700
2019-04-18,58.36,58.61,57.55,57.77,56.94,5178800
2019-04-22,57.48,58.41,57.26,57.89,57.06,4401700
2019-04-23,57.29,57.84,57.0,57.64,56.81,5687200
2019-04-24,57.49,57.89,55.87,55.98,55.18,5431300
2019-04-25,55.76,55.98,54.82,55.33,54.53,6260500
2019-04-26,55.3,55.6,54.95,55.25,54.46,4009800
2019-04-29,55.05,55.69,54.8,55.5,54.7,5935200
2019-04-30,55.76,57.21,55.6,56.73,55.91,6454100
2019-05-01,56.82,57.48,55.88,56.13,55.32,7644400
2019-05-02,55.54,56.49,52.03,52.7,51.94,13932700
2019-05-03,53.2,53.35,51.72,53.3,52.53,7401700
2019-05-06,52.15,54.03,51.7,53.46,52.69,6089500
2019-05-07,52.86,53.33,52.65,52.95,52.19,7330800
2019-05-08,53.33,53.4,52.31,52.48,51.73,5390700
2019-05-09,52.26,53.14,51.55,52.93,52.17,4579700
2019-05-10,52.94,53.71,52.49,53.07,52.31,4758100
2019-05-13,52.28,52.55,50.76,50.95,50.22,4213100
2019-05-14,51.33,53.0,50.84,52.48,51.73,4204500
2019-05-15,51.98,53.33,51.67,52.95,52.19,2928700
2019-05-16,53.29,53.55,52.73,52.98,52.22,3689700
2019-05-17,52.34,52.52,50.66,50.8,50.07,4440800
2019-05-20,50.4,50.54,49.92,50.08,49.36,5168400
2019-05-21,50.28,51.19,50.02,50.63,49.9,4968400
2019-05-22,50.46,50.61,49.97,50.21,49.49,3019100
2019-05-23,49.5,49.86,48.21,48.71,48.01,4919200
2019-05-24,49.39,49.58,48.44,49.2,48.49,2918900
2019-05-28,49.37,49.43,48.1,48.56,47.86,6613000
2019-05-29,48.2,49.43,48.01,48.71,48.01,3525900
2019-05-30,48.12,48.59,48.02,48.47,48.47,3777600
2019-05-31,47.96,48.0,46.75,46.76,46.76,3396900
2019-06-03,46.85,47.96,46.85,47.96,47.96,5905200
2019-06-04,48.68,49.93,48.64,49.93,49.93,7043000
2019-06-05,50.49,50.57,49.05,50.34,50.34,6413300
2019-06-06,50.28,51.31,50.15,51.06,51.06,6228100
2019-06-07,51.13,51.69,50.87,51.3,51.3,5391100
2019-06-10,51.72,52.1,51.58,51.62,51.62,5434400
2019-06-11,52.0,52.17,51.56,52.04,52.04,5144300
2019-06-12,52.06,52.64,51.68,52.49,52.49,3103900
2019-06-13,52.68,52.95,52.04,52.88,52.88,4179800
2019-06-14,52.63,52.69,51.0,51.15,51.15,3919300
2019-06-17,50.06,50.33,49.05,49.35,49.35,5787300
2019-06-18,49.75,50.57,49.4,49.61,49.61,5014200
2019-06-19,49.95,50.24,48.33,48.5,48.5,5404000
2019-06-20,49.1,49.59,48.62,48.93,48.93,4228300
2019-06-21,48.82,49.27,48.31,48.36,48.36,9478500
2019-06-24,48.51,49.7,48.32,49.58,49.58,4602300
2019-06-25,49.49,50.22,49.05,49.69,49.69,4005200
2019-06-26,49.85,51.22,49.81,50.45,50.45,5244400
2019-06-27,50.61,51.14,50.53,50.91,50.91,4097200
2019-06-28,51.04,51.2,49.08,49.31,49.31,6507400
2019-07-01,50.0,50.2,49.52,50.16,50.16,4641700
2019-07-02,50.0,50.06,48.76,49.4,49.4,4725800
2019-07-03,49.46,49.65,49.2,49.33,49.33,2479400
2019-07-05,49.01,49.35,48.96,49.28,49.28,1657774
