Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.79,28.82,28.56,28.69,18.24,1706200
2010-01-05,28.75,28.79,28.46,28.68,18.23,1400000
2010-01-06,28.7,28.79,28.55,28.78,18.3,1748400
2010-01-07,28.62,28.76,28.38,28.49,18.12,1515900
2010-01-08,28.42,28.42,28.14,28.42,18.07,1412500
2010-01-11,28.46,28.58,28.11,28.24,17.96,1298600
2010-01-12,28.14,28.14,27.79,27.94,17.76,1804600
2010-01-13,27.95,28.31,27.92,28.23,17.95,1203900
2010-01-14,28.26,28.38,28.07,28.32,18.01,1453500
2010-01-15,28.27,28.34,27.69,27.8,17.68,1624600
2010-01-19,27.74,28.32,27.68,28.32,18.01,1848500
2010-01-20,28.1,28.1,27.8,28.07,17.84,1619400
2010-01-21,28.06,28.14,27.24,27.32,17.37,2615400
2010-01-22,27.28,27.28,26.42,26.45,16.81,2542500
2010-01-25,26.55,26.67,26.18,26.43,16.8,2322200
2010-01-26,26.4,26.4,26.18,26.2,16.66,2043900
2010-01-27,26.19,26.28,25.8,26.05,16.56,3069500
2010-01-28,26.18,26.22,25.59,25.9,16.47,2239800
2010-01-29,26.06,26.06,25.44,25.49,16.2,2218800
2010-02-01,25.64,26.14,25.34,26.09,16.59,2926900
2010-02-02,26.06,26.38,25.93,26.36,16.76,1852300
2010-02-03,26.27,26.41,26.08,26.27,16.7,1116400
2010-02-04,26.06,26.16,25.48,25.48,16.2,2053100
2010-02-05,25.5,25.59,25.1,25.52,16.22,2241500
2010-02-08,25.86,26.26,25.57,25.68,16.32,2479900
2010-02-09,25.91,26.2,25.7,26.08,16.58,2483500
2010-02-10,26.66,26.66,25.73,25.9,16.47,3337800
2010-02-11,25.82,26.06,25.54,25.95,16.5,2335500
2010-02-12,25.71,25.82,25.09,25.47,16.2,3184800
2010-02-16,25.63,25.93,25.47,25.93,16.49,1894400
2010-02-17,25.98,25.99,25.76,25.86,16.44,1712800
2010-02-18,25.86,26.03,25.78,25.98,16.52,1334800
2010-02-19,25.9,26.18,25.73,26.06,16.57,1823300
2010-02-22,25.87,26.13,25.84,25.98,16.52,1686400
2010-02-23,25.95,26.06,25.68,25.92,16.48,1910200
2010-02-24,25.95,26.0,25.7,25.78,16.39,2263200
2010-02-25,25.45,25.59,25.2,25.54,16.24,1654200
2010-02-26,25.51,25.76,25.38,25.73,16.36,1892000
2010-03-01,25.73,26.17,25.68,26.06,16.57,2141000
2010-03-02,26.13,26.33,26.04,26.11,16.6,1766900
2010-03-03,26.22,26.22,25.94,25.99,16.52,2074200
2010-03-04,25.97,26.03,25.73,25.83,16.42,2237700
