Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.15,31.52,31.04,31.47,27.75,750700
2010-01-05,31.42,31.49,31.05,31.46,27.74,948800
2010-01-06,31.48,31.88,31.36,31.8,28.04,812100
2010-01-07,31.67,31.94,31.55,31.93,28.16,536300
2010-01-08,31.83,31.97,31.67,31.94,28.17,640700
2010-01-11,32.0,32.1,31.56,31.64,27.9,580800
2010-01-12,31.55,31.67,31.28,31.45,27.74,735600
2010-01-13,31.45,31.79,31.42,31.77,28.02,671900
2010-01-14,31.67,31.98,31.52,31.98,28.2,434300
2010-01-15,31.87,31.93,31.63,31.74,27.99,775900
2010-01-19,31.66,31.96,31.63,31.93,28.16,546700
2010-01-20,31.75,31.86,31.42,31.77,28.02,639900
2010-01-21,31.73,32.25,31.6,31.61,27.88,1043400
2010-01-22,31.69,31.69,31.33,31.43,27.72,1101900
2010-01-25,31.71,31.92,31.37,31.85,28.09,1113100
2010-01-26,31.82,31.91,31.52,31.59,27.86,651600
2010-01-27,31.47,32.15,31.47,32.15,28.35,1016600
2010-01-28,32.21,32.21,31.61,31.73,27.98,1112600
2010-01-29,31.82,32.18,31.58,32.0,28.22,1514700
2010-02-01,32.11,33.4,31.97,33.4,29.46,2491800
2010-02-02,33.43,33.59,32.9,33.38,29.44,2638100
2010-02-03,33.13,33.39,32.9,33.04,29.14,1127600
2010-02-04,32.17,32.74,31.37,31.72,27.97,2989300
2010-02-05,31.67,32.19,30.93,31.57,27.84,2224100
2010-02-08,31.63,31.72,31.08,31.18,27.5,1199100
2010-02-09,31.44,31.81,31.23,31.47,27.75,1891400
2010-02-10,31.34,31.61,31.06,31.35,27.65,1402300
2010-02-11,31.37,31.67,31.07,31.6,27.87,1284500
2010-02-12,31.4,31.69,31.25,31.44,27.73,1432300
2010-02-16,31.64,31.98,31.36,31.96,28.19,1613400
2010-02-17,32.04,32.58,32.02,32.49,28.65,1478400
2010-02-18,32.44,32.54,31.94,32.01,28.26,1784500
2010-02-19,31.9,32.19,31.9,32.0,28.26,1884400
2010-02-22,32.0,32.08,31.77,31.97,28.23,828500
2010-02-23,31.98,32.12,31.55,31.71,28.0,1149000
2010-02-24,31.77,32.31,31.76,32.3,28.52,1170900
2010-02-25,32.0,32.33,31.71,32.3,28.52,904900
2010-02-26,32.36,32.4,32.11,32.26,28.49,1021000
2010-03-01,32.23,32.69,32.12,32.66,28.84,749000
2010-03-02,32.83,32.98,32.67,32.77,28.94,818900
2010-03-03,32.92,32.94,32.59,32.66,28.84,529500
2010-03-04,32.8,32.81,32.54,32.75,28.92,684000
2010-03-05,32.81,33.34,32.73,33.34,29.44,1346300
2010-03-08,33.29,33.34,32.98,33.04,29.17,642800
2010-03-09,33.0,33.3,32.9,33.04,29.17,579000
2010-03-10,32.99,33.35,32.93,33.21,29.32,768700
