Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.51,10.59,10.42,10.51,8.28,6864000
2010-01-05,10.48,10.74,10.44,10.73,8.45,5797600
2010-01-06,11.05,11.62,11.0,11.43,9.0,20658800
2010-01-07,11.33,11.72,11.17,11.63,9.16,12490400
2010-01-08,11.73,11.79,11.52,11.74,9.25,6632400
2010-01-11,11.74,11.74,11.44,11.52,9.07,7970000
2010-01-12,11.44,11.57,11.39,11.51,9.07,5054800
2010-01-13,11.55,11.73,11.47,11.67,9.19,5322000
2010-01-14,11.61,11.82,11.51,11.57,9.12,5339200
2010-01-15,11.38,11.7,11.35,11.47,9.03,6596800
2010-01-19,10.88,11.62,10.84,11.2,8.83,18768800
2010-01-20,11.14,11.16,10.78,11.06,8.71,7822800
2010-01-21,11.07,11.16,10.86,10.88,8.57,6308000
2010-01-22,10.9,10.99,10.59,10.64,8.38,4772800
2010-01-25,10.7,10.71,10.51,10.66,8.4,4234800
2010-01-26,10.63,10.66,10.52,10.54,8.3,4563200
2010-01-27,10.48,10.59,10.44,10.56,8.32,4357600
2010-01-28,10.61,10.61,10.25,10.37,8.17,5966800
2010-01-29,10.4,10.63,10.36,10.37,8.17,5723200
2010-02-01,10.4,10.51,10.35,10.38,8.18,5687600
2010-02-02,10.43,10.76,10.41,10.74,8.46,7950000
2010-02-03,10.69,10.8,10.67,10.76,8.47,4773200
2010-02-04,10.69,10.72,10.51,10.53,8.3,6236800
2010-02-05,10.58,10.67,10.34,10.5,8.27,7738800
2010-02-08,10.49,10.5,10.28,10.3,8.11,6296000
2010-02-09,10.44,10.65,10.39,10.59,8.34,5453200
2010-02-10,10.52,10.65,10.34,10.38,8.26,4502800
2010-02-11,10.32,10.54,10.24,10.53,8.38,3526000
2010-02-12,10.44,10.52,10.36,10.46,8.31,4262400
2010-02-16,10.55,10.75,10.5,10.74,8.54,4319200
2010-02-17,10.77,10.84,10.65,10.78,8.57,3233200
2010-02-18,10.8,10.91,10.78,10.91,8.67,3139600
2010-02-19,10.84,11.02,10.84,10.97,8.72,3437200
2010-02-22,11.0,11.07,10.94,11.02,8.76,3371200
2010-02-23,11.02,11.09,10.94,10.98,8.73,4558400
2010-02-24,11.06,11.11,10.97,11.05,8.78,2673200
2010-02-25,10.85,11.11,10.83,11.09,8.82,4361600
2010-02-26,11.09,11.16,11.0,11.09,8.82,5261600
2010-03-01,11.1,11.25,11.05,11.23,8.93,6517600
2010-03-02,11.25,11.31,11.16,11.2,8.91,4657200
2010-03-03,11.26,11.38,11.24,11.26,8.95,4641200
