Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.26,12.37,12.2,12.36,12.36,5072000
2010-01-05,12.31,12.41,12.29,12.41,12.41,5348000
2010-01-06,12.35,12.4,12.26,12.36,12.36,5556400
2010-01-07,12.31,12.31,12.19,12.3,12.3,4806800
2010-01-08,12.15,12.19,11.98,12.16,12.16,6077200
2010-01-11,12.19,12.24,12.12,12.23,12.23,5786000
2010-01-12,12.16,12.22,12.08,12.12,12.12,3304000
2010-01-13,12.2,12.27,12.12,12.22,12.22,3623200
2010-01-14,12.15,12.24,12.13,12.19,12.19,2330800
2010-01-15,12.15,12.26,11.91,11.98,11.98,4349600
2010-01-19,11.94,12.17,11.94,12.16,12.16,3692800
2010-01-20,12.07,12.09,11.87,12.0,12.0,4244000
2010-01-21,11.99,11.99,11.67,11.68,11.68,6829200
2010-01-22,11.68,11.77,11.43,11.45,11.45,6256000
2010-01-25,11.47,11.59,11.44,11.52,11.52,7760400
2010-01-26,11.48,11.53,11.38,11.38,11.38,4373200
2010-01-27,11.37,11.52,11.35,11.5,11.5,6179600
2010-01-28,11.5,11.5,11.3,11.35,11.35,7303200
2010-01-29,11.43,11.47,11.25,11.26,11.26,7722400
2010-02-01,11.3,11.46,11.2,11.45,11.45,6859600
2010-02-02,11.43,11.62,11.32,11.6,11.6,7635200
2010-02-03,11.68,11.89,11.62,11.75,11.75,6966000
2010-02-04,11.63,11.68,11.42,11.43,11.43,7309200
2010-02-05,11.41,11.45,11.21,11.43,11.43,7327600
2010-02-08,11.27,11.43,11.26,11.31,11.31,4688000
2010-02-09,11.4,11.49,11.3,11.37,11.37,7225200
2010-02-10,11.35,11.44,11.27,11.38,11.38,4794800
2010-02-11,11.35,11.64,11.27,11.61,11.61,6241600
2010-02-12,11.52,11.66,11.45,11.59,11.59,6219200
2010-02-16,11.65,11.74,11.57,11.74,11.74,3937600
2010-02-17,11.77,11.81,11.72,11.78,11.78,4187600
2010-02-18,11.81,11.81,11.71,11.77,11.77,4332400
2010-02-19,11.72,11.98,11.68,11.9,11.9,6017600
2010-02-22,11.94,11.96,11.8,11.83,11.83,4539200
2010-02-23,11.79,11.9,11.72,11.76,11.76,4114400
2010-02-24,11.85,11.95,11.81,11.92,11.92,4377600
2010-02-25,11.77,12.01,11.72,11.98,11.98,6572400
2010-02-26,12.01,12.07,11.91,12.05,12.05,6241200
2010-03-01,12.08,12.27,12.01,12.23,12.23,6192400
2010-03-02,12.27,12.31,12.18,12.26,12.26,6155600
2010-03-03,12.32,12.48,12.27,12.3,12.3,8088800
2010-03-04,12.31,12.34,12.2,12.29,12.29,4698400
2010-03-05,12.3,12.49,12.25,12.43,12.43,8402400
2010-03-08,12.39,12.5,12.36,12.48,12.48,4646000
2010-03-09,12.43,12.56,12.41,12.52,12.52,6964800
2010-03-10,12.47,12.62,12.44,12.62,12.62,5114000
2010-03-11,12.56,12.58,12.48,12.56,12.56,5908800
2010-03-12,12.59,12.62,12.54,12.6,12.6,4474000
2010-03-15,12.6,12.7,12.56,12.67,12.67,6953600
2010-03-16,12.69,12.71,12.6,12.66,12.66,5217600
2010-03-17,12.74,12.9,12.64,12.81,12.81,5789200
2010-03-18,12.81,12.85,12.75,12.77,12.77,4003200
2010-03-19,12.86,12.87,12.62,12.67,12.67,8669600
2010-03-22,12.65,12.85,12.6,12.82,12.82,3837600
