Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.52,24.67,24.23,24.64,22.32,2063100
2010-01-05,24.67,24.71,24.32,24.56,22.24,1226700
2010-01-06,24.58,24.99,24.42,24.8,22.46,1713100
2010-01-07,24.75,24.92,24.4,24.49,22.18,1985600
2010-01-08,24.39,24.51,23.94,24.27,21.98,2846500
2010-01-11,24.41,24.56,23.52,23.61,21.38,2484700
2010-01-12,23.36,23.59,23.12,23.53,21.31,1593600
2010-01-13,23.56,23.74,23.33,23.62,21.39,950300
2010-01-14,23.49,23.65,23.2,23.27,21.07,1507200
2010-01-15,23.17,23.19,22.81,23.07,20.9,3512400
2010-01-19,23.07,23.49,23.0,23.43,21.22,1557000
2010-01-20,23.15,23.43,22.84,23.35,21.15,2131800
2010-01-21,23.42,24.03,23.17,23.35,21.15,2424700
2010-01-22,23.27,23.45,22.77,22.86,20.7,2221600
2010-01-25,23.16,23.33,22.95,23.11,20.93,1247700
2010-01-26,22.95,23.13,22.69,22.78,20.63,953300
2010-01-27,22.69,22.8,22.32,22.71,20.57,1368300
2010-01-28,22.74,22.79,22.11,22.18,20.09,1688400
2010-01-29,22.45,22.79,22.06,22.09,20.01,1559300
2010-02-01,22.32,22.82,22.22,22.82,20.67,1567600
2010-02-02,22.85,23.32,22.58,23.08,20.9,1543400
2010-02-03,22.95,23.19,22.71,22.91,20.75,955800
2010-02-04,22.66,22.75,22.01,22.03,19.95,1750900
2010-02-05,22.15,23.55,22.15,23.03,20.86,4100900
2010-02-08,23.15,23.44,22.74,23.14,20.95,3298700
2010-02-09,23.5,23.96,23.27,23.81,21.57,2281500
2010-02-10,23.82,23.95,23.36,23.72,21.48,1825800
2010-02-11,23.71,24.35,23.59,24.32,22.03,2009200
2010-02-12,24.01,24.47,23.72,24.15,21.87,2536800
2010-02-16,24.4,24.52,24.12,24.49,22.18,3480600
2010-02-17,24.67,24.83,24.41,24.71,22.38,1762900
2010-02-18,24.61,24.91,24.56,24.84,22.49,1518700
2010-02-19,24.72,24.96,24.7,24.89,22.54,1837800
2010-02-22,25.01,25.01,24.38,24.63,22.3,1742100
2010-02-23,24.45,24.68,24.18,24.26,21.97,1687900
2010-02-24,24.42,24.67,24.15,24.42,22.12,1673600
2010-02-25,23.99,24.32,23.86,24.3,22.01,1747700
2010-02-26,24.39,24.93,24.39,24.79,22.45,1866200
2010-03-01,24.74,25.03,24.5,25.03,22.67,2025800
2010-03-02,25.19,25.5,25.15,25.33,22.94,1922000
2010-03-03,25.47,25.85,25.4,25.44,23.04,2650200
2010-03-04,25.53,25.59,25.28,25.49,23.09,1847500
2010-03-05,25.71,25.98,25.63,25.94,23.49,1262000
2010-03-08,25.95,26.11,25.7,25.82,23.39,995500
2010-03-09,25.69,26.04,25.63,25.78,23.35,1053300
2010-03-10,25.8,25.93,25.53,25.79,23.36,1016200
2010-03-11,25.69,25.87,25.44,25.87,23.43,974700
2010-03-12,26.05,26.37,25.97,26.15,23.68,1260900
2010-03-15,26.15,26.28,25.85,26.01,23.56,662700
2010-03-16,25.95,26.14,25.92,26.13,23.67,1100100
2010-03-17,26.25,26.32,26.07,26.25,23.77,684100
2010-03-18,26.28,26.38,26.01,26.2,23.73,668900
2010-03-19,26.01,26.39,25.81,26.01,23.56,1733600
2010-03-22,25.8,26.31,25.69,26.28,23.8,1297800
2010-03-23,26.35,26.63,26.21,26.63,24.12,809100
2010-03-24,26.54,26.99,26.38,26.73,24.21,1469800
2010-03-25,26.87,26.97,26.18,26.21,23.74,1091100
2010-03-26,26.26,26.49,25.98,26.15,23.68,1178300
2010-03-29,26.19,26.34,26.1,26.21,23.79,913800
2010-03-30,26.28,26.76,26.28,26.63,24.16,1776700
2010-03-31,26.5,26.65,26.15,26.25,23.83,1385600
2010-04-01,26.43,26.66,26.19,26.52,24.07,1135200
2010-04-05,26.59,27.0,26.41,26.99,24.5,1493500
2010-04-06,27.0,27.46,26.91,27.43,24.89,1560000
2010-04-07,27.39,27.76,27.32,27.54,24.99,1899200
2010-04-08,27.48,27.61,27.29,27.5,24.96,2247400
2010-04-09,27.61,27.88,27.61,27.87,25.29,958800
2010-04-12,27.9,27.94,27.69,27.77,25.2,1175500
2010-04-13,27.7,27.89,27.64,27.85,25.27,1588800
2010-04-14,27.88,27.95,27.74,27.84,25.27,843000
2010-04-15,27.74,28.01,27.7,27.76,25.19,2552200
2010-04-16,27.63,27.82,27.38,27.75,25.18,3416500
2010-04-19,27.53,27.81,27.44,27.8,25.23,2767600
2010-04-20,28.06,28.17,27.91,28.03,25.44,767600
2010-04-21,27.97,28.0,27.68,27.83,25.26,1435900
2010-04-22,27.55,28.05,27.52,27.99,25.4,1335800
2010-04-23,28.05,28.27,27.87,28.25,25.64,1317100
2010-04-26,28.28,28.38,27.88,27.94,25.35,1140500
2010-04-27,27.91,28.02,27.42,27.63,25.08,5285500
2010-04-28,27.75,27.97,27.6,27.79,25.22,3196800
2010-04-29,28.04,28.47,28.04,28.22,25.61,2472700
2010-04-30,28.35,28.49,27.58,27.6,25.05,2166400
2010-05-03,27.82,27.97,27.55,27.88,25.31,2037300
2010-05-04,27.15,28.08,26.21,27.76,25.2,9993500
2010-05-05,27.49,27.89,27.22,27.75,25.19,5185000
2010-05-06,27.53,27.98,25.95,27.75,25.19,8166900
2010-05-07,27.71,27.91,26.35,27.23,24.72,6970500
2010-05-10,28.49,28.53,27.69,28.0,25.41,3457100
2010-05-11,27.65,28.1,27.65,27.78,25.22,1698100
2010-05-12,27.88,28.29,27.78,28.25,25.64,1751400
2010-05-13,28.2,28.45,27.9,27.99,25.4,983700
2010-05-14,27.84,27.91,26.85,27.04,24.54,3557400
2010-05-17,27.06,27.45,26.79,27.27,24.75,4115900
2010-05-18,27.43,27.83,26.45,26.5,24.05,2713700
2010-05-19,26.34,26.4,25.85,26.34,23.9,2095400
2010-05-20,25.49,26.08,25.35,25.53,23.17,3387000
2010-05-21,25.23,25.9,24.75,25.85,23.46,2999600
2010-05-24,25.68,25.8,25.26,25.28,22.94,2342600
2010-05-25,24.72,25.55,24.58,25.53,23.17,2209300
2010-05-26,25.82,26.27,25.53,25.62,23.25,1795900
2010-05-27,26.19,26.67,25.93,26.67,24.2,1419100
2010-05-28,26.54,26.59,26.16,26.26,23.83,1511300
2010-06-01,26.08,26.24,25.44,25.45,23.1,1412800
2010-06-02,25.56,26.63,25.56,26.63,24.17,1594500
2010-06-03,26.52,26.75,26.11,26.4,23.96,1355000
2010-06-04,25.93,26.18,25.2,25.25,22.92,1344300
2010-06-07,25.3,25.68,25.07,25.11,22.79,1300500
2010-06-08,25.13,25.74,25.0,25.72,23.34,2327600
2010-06-09,25.88,26.26,25.55,25.68,23.3,1317400
2010-06-10,26.11,26.59,26.11,26.59,24.13,1286500
2010-06-11,26.2,26.87,26.2,26.85,24.37,804300
2010-06-14,26.93,27.37,26.72,26.78,24.31,1542200
2010-06-15,27.06,27.45,26.99,27.45,24.91,1627300
2010-06-16,27.16,27.51,27.14,27.39,24.85,1407500
2010-06-17,27.5,27.58,27.1,27.53,24.98,1340700
2010-06-18,27.3,27.49,27.05,27.08,24.57,2413200
2010-06-21,27.21,27.48,26.93,27.12,24.61,2230300
2010-06-22,27.12,27.52,26.73,26.74,24.27,1426200
2010-06-23,26.79,26.89,26.52,26.7,24.24,1968800
2010-06-24,26.63,26.85,26.11,26.18,23.76,2033400
2010-06-25,26.26,26.47,26.05,26.15,23.74,2379700
2010-06-28,26.11,26.33,25.93,26.13,23.77,1200200
2010-06-29,25.76,25.83,25.12,25.26,22.97,1852600
2010-06-30,25.3,25.47,24.83,24.9,22.65,1831400
2010-07-01,25.09,25.09,24.32,24.86,22.61,2209600
2010-07-02,24.92,25.06,24.39,24.52,22.3,1467300
2010-07-06,24.96,25.04,24.13,24.39,22.18,2047200
2010-07-07,24.36,24.93,24.32,24.93,22.67,2378100
2010-07-08,25.16,25.49,25.1,25.45,23.14,2117300
2010-07-09,25.5,25.95,25.38,25.78,23.44,1210400
2010-07-12,25.74,25.78,25.24,25.33,23.03,1314800
2010-07-13,25.66,26.05,25.6,25.95,23.6,1846400
2010-07-14,25.9,26.04,25.6,25.85,23.51,1281200
2010-07-15,25.85,25.85,25.4,25.7,23.37,1531400
2010-07-16,25.55,25.59,25.12,25.16,22.89,2136700
2010-07-19,25.23,25.26,24.9,25.17,22.89,842300
2010-07-20,24.87,25.65,24.87,25.65,23.32,1074100
2010-07-21,25.82,25.95,25.3,25.43,23.13,1710100
2010-07-22,25.75,26.05,25.6,25.78,23.45,2552200
2010-07-23,25.75,26.22,25.72,26.2,23.82,2119600
2010-07-26,26.19,26.8,26.19,26.79,24.36,1553700
2010-07-27,27.06,27.19,26.63,26.78,24.35,1422800
2010-07-28,26.69,27.17,26.69,26.86,24.43,1808500
2010-07-29,27.03,27.59,25.87,27.32,24.85,3946000
2010-07-30,27.0,27.38,26.99,27.1,24.64,2261400
2010-08-02,27.48,27.66,27.22,27.56,25.06,2329900
2010-08-03,27.39,27.66,27.27,27.53,25.04,1418600
2010-08-04,27.55,27.99,27.55,27.94,25.41,1558100
2010-08-05,27.8,28.05,27.75,27.94,25.41,781200
2010-08-06,27.7,28.1,27.57,27.84,25.32,761400
2010-08-09,27.92,28.07,27.72,27.91,25.39,1048000
2010-08-10,27.56,27.65,27.02,27.22,24.75,1994600
2010-08-11,26.73,26.76,26.26,26.46,24.06,1406400
2010-08-12,26.14,26.55,26.07,26.39,24.0,819700
2010-08-13,26.3,26.57,26.19,26.33,23.95,736700
2010-08-16,26.15,26.63,26.02,26.48,24.08,728000
2010-08-17,26.81,27.42,26.81,27.12,24.66,1386300
2010-08-18,27.09,27.44,26.86,27.35,24.87,1240300
2010-08-19,27.27,27.29,26.5,26.71,24.29,852200
2010-08-20,26.47,26.85,26.34,26.82,24.39,983000
2010-08-23,26.9,27.22,26.89,26.94,24.5,1601500
2010-08-24,26.61,26.79,26.32,26.39,24.0,1122500
2010-08-25,26.2,26.25,25.69,26.19,23.82,1623800
2010-08-26,26.38,26.8,26.27,26.52,24.12,1123000
2010-08-27,26.66,27.35,26.4,27.35,24.87,879900
2010-08-30,27.28,27.43,27.04,27.07,24.62,1001400
2010-08-31,26.89,27.13,26.69,27.01,24.56,1574500
2010-09-01,27.41,27.68,27.2,27.68,25.17,2068200
2010-09-02,27.75,28.05,27.72,27.97,25.43,954900
2010-09-03,28.18,28.36,28.04,28.3,25.74,1073600
2010-09-07,27.92,28.3,27.92,28.07,25.53,677000
2010-09-08,28.23,28.61,28.16,28.42,25.85,647500
2010-09-09,28.76,28.77,28.02,28.09,25.55,879000
2010-09-10,28.11,28.2,27.82,27.84,25.32,1316200
2010-09-13,28.1,28.59,28.1,28.57,25.99,826000
2010-09-14,28.51,28.88,28.49,28.62,26.03,739900
2010-09-15,28.52,28.82,28.4,28.79,26.18,827600
2010-09-16,28.75,28.98,28.75,28.91,26.29,663200
2010-09-17,29.15,29.31,28.87,29.21,26.57,1282100
2010-09-20,29.25,29.72,29.16,29.71,27.01,1072900
2010-09-21,29.77,30.09,29.59,29.67,26.99,2229400
2010-09-22,29.68,29.85,29.36,29.38,26.72,1177400
2010-09-23,29.05,29.42,28.88,28.92,26.3,1273300
2010-09-24,29.14,29.67,29.07,29.53,26.86,1845900
2010-09-27,29.49,29.57,29.28,29.35,26.69,1005600
2010-09-28,29.36,29.67,28.86,29.6,26.97,1333300
2010-09-29,29.54,29.7,29.34,29.47,26.85,1012700
2010-09-30,29.7,30.01,29.31,29.67,27.03,1358900
2010-10-01,29.51,29.61,28.99,29.41,26.8,2837500
2010-10-04,29.29,29.48,29.25,29.43,26.82,1527400
2010-10-05,29.8,30.2,29.63,30.18,27.5,1120900
2010-10-06,30.2,30.33,30.0,30.11,27.43,754200
2010-10-07,30.19,30.2,29.49,29.67,27.03,1271500
2010-10-08,29.75,30.25,29.75,30.07,27.39,1370400
2010-10-11,30.14,30.21,29.9,30.16,27.48,1036000
2010-10-12,29.93,30.26,29.58,30.19,27.51,1104800
2010-10-13,30.36,30.9,30.3,30.79,28.05,1462000
2010-10-14,30.9,30.99,30.36,30.52,27.8,838200
2010-10-15,30.65,30.89,29.94,30.59,27.87,1182700
2010-10-18,30.56,30.76,30.43,30.62,27.89,701400
2010-10-19,30.16,30.55,29.93,30.04,27.37,1316200
2010-10-20,30.23,30.71,30.19,30.37,27.67,1320800
2010-10-21,30.44,30.82,30.25,30.49,27.78,945400
2010-10-22,30.58,30.63,30.27,30.43,27.73,474100
2010-10-25,30.65,31.08,30.64,30.87,28.12,721500
2010-10-26,30.68,30.75,30.22,30.72,27.99,1257600
2010-10-27,29.91,30.57,29.85,30.07,27.39,1541000
2010-10-28,30.58,32.24,30.58,32.01,29.17,2875800
2010-10-29,31.74,31.97,31.43,31.7,28.88,1744900
2010-11-01,32.01,32.03,31.6,31.85,29.02,1365100
2010-11-02,32.19,32.54,31.95,32.5,29.61,1071800
2010-11-03,32.6,32.6,32.06,32.41,29.53,960400
2010-11-04,32.84,33.08,32.7,33.06,30.12,1177200
2010-11-05,33.04,33.37,33.04,33.34,30.38,1390900
2010-11-08,33.14,33.58,33.1,33.4,30.43,1113700
2010-11-09,33.45,33.52,32.89,33.03,30.09,908100
2010-11-10,33.07,33.27,32.76,33.26,30.3,655800
2010-11-11,32.98,33.58,32.98,33.46,30.48,896800
2010-11-12,33.11,33.37,32.47,32.61,29.72,939400
2010-11-15,32.73,33.08,32.65,32.84,29.93,840900
2010-11-16,32.64,32.64,31.94,32.33,29.46,1100100
2010-11-17,32.34,32.59,32.09,32.43,29.55,612400
2010-11-18,32.85,33.55,32.82,33.32,30.36,1013400
2010-11-19,33.24,33.5,33.02,33.49,30.51,931100
2010-11-22,33.35,33.79,32.98,33.5,30.52,1014400
2010-11-23,33.24,33.24,32.75,32.94,30.01,1222600
2010-11-24,33.33,34.22,33.33,34.2,31.16,1399200
2010-11-26,33.83,34.55,33.77,34.3,31.25,650000
2010-11-29,33.94,34.28,33.6,34.18,31.14,1313700
2010-11-30,33.8,33.99,33.66,33.75,30.75,1744200
2010-12-01,34.37,35.03,33.96,34.91,31.81,2143100
2010-12-02,34.99,35.46,34.59,34.76,31.67,3019000
2010-12-03,34.65,35.18,34.64,34.79,31.7,1635800
2010-12-06,34.58,35.06,34.58,34.87,31.77,1276800
2010-12-07,35.31,35.57,35.15,35.16,32.04,1302100
2010-12-08,35.17,35.43,34.84,35.06,31.94,634600
2010-12-09,35.35,35.35,34.9,35.23,32.1,641200
2010-12-10,35.36,35.52,35.1,35.3,32.16,462800
2010-12-13,35.36,35.55,34.61,34.65,31.57,1889700
2010-12-14,34.69,34.77,34.46,34.61,31.53,1054300
2010-12-15,34.54,34.8,34.3,34.37,31.32,701400
2010-12-16,34.43,34.8,34.36,34.7,31.62,1246300
2010-12-17,34.7,34.74,34.28,34.58,31.51,1505500
2010-12-20,34.67,34.71,34.38,34.42,31.36,993600
2010-12-21,34.59,34.9,34.59,34.8,31.71,1267100
2010-12-22,34.75,34.82,34.32,34.52,31.45,680000
2010-12-23,34.48,34.77,34.18,34.56,31.49,526900
2010-12-27,34.74,34.74,34.29,34.55,31.48,431600
2010-12-28,34.61,34.8,34.38,34.48,31.42,720800
2010-12-29,34.64,34.7,34.22,34.6,31.57,726800
2010-12-30,34.59,34.99,34.54,34.77,31.73,528700
2010-12-31,34.67,34.87,34.59,34.64,31.61,585400
2011-01-03,34.99,35.26,34.93,34.94,31.89,1057700
2011-01-04,35.01,35.01,33.99,34.07,31.09,1264100
2011-01-05,33.89,33.89,33.62,33.73,30.78,1851700
2011-01-06,33.74,33.97,33.31,33.41,30.49,1178500
2011-01-07,33.79,33.79,33.21,33.31,30.4,699100
2011-01-10,33.1,33.3,32.98,33.23,30.32,1710500
2011-01-11,33.37,33.45,33.13,33.28,30.37,933400
2011-01-12,33.53,33.8,33.35,33.8,30.84,599300
2011-01-13,33.76,33.95,33.52,33.64,30.7,589400
2011-01-14,33.56,33.86,33.4,33.72,30.77,843300
2011-01-18,33.73,34.29,33.63,34.21,31.22,763500
2011-01-19,34.23,34.23,33.26,33.31,30.4,757500
2011-01-20,33.12,33.12,32.48,32.85,29.98,1201400
2011-01-21,32.96,33.17,32.75,33.0,30.11,1016900
2011-01-24,33.06,33.36,33.01,33.33,30.42,1095800
2011-01-25,33.23,33.34,32.92,33.33,30.42,1088600
2011-01-26,33.3,33.73,33.09,33.13,30.23,1847100
2011-01-27,33.11,33.37,32.35,33.18,30.28,1803200
2011-01-28,33.33,33.47,32.52,32.53,29.68,1661900
2011-01-31,32.39,33.35,32.39,32.98,30.1,1477900
2011-02-01,33.61,34.56,33.61,34.3,31.3,2670500
2011-02-02,34.18,34.5,34.08,34.37,31.37,1106100
2011-02-03,34.38,34.58,33.99,34.47,31.45,970100
2011-02-04,34.42,34.82,34.3,34.78,31.74,979100
2011-02-07,35.07,35.55,34.87,35.16,32.09,1584600
2011-02-08,34.61,35.96,34.3,35.78,32.65,2671200
2011-02-09,35.79,35.86,35.18,35.27,32.18,1564600
2011-02-10,35.03,35.57,35.03,35.32,32.23,1366500
2011-02-11,35.12,35.49,35.08,35.38,32.29,1105400
2011-02-14,35.33,35.57,35.31,35.38,32.29,643300
2011-02-15,35.24,35.26,34.67,34.73,31.69,1191000
2011-02-16,34.97,35.32,34.76,35.29,32.21,893300
2011-02-17,35.28,35.51,35.0,35.46,32.36,851800
2011-02-18,35.46,35.63,34.96,35.19,32.11,1559700
2011-02-22,34.87,35.23,33.56,33.62,30.68,2303200
2011-02-23,33.59,33.61,32.39,32.88,30.01,1699500
2011-02-24,32.7,33.03,32.22,32.6,29.75,1827500
2011-02-25,32.85,33.23,32.78,32.97,30.09,1330700
2011-02-28,33.17,33.6,33.01,33.58,30.65,1463600
2011-03-01,33.79,33.89,32.91,32.97,30.09,1595200
2011-03-02,32.94,33.56,32.93,33.4,30.48,1112600
2011-03-03,33.79,34.4,33.78,34.28,31.29,980900
2011-03-04,34.33,34.39,33.48,33.82,30.86,991800
2011-03-07,34.06,34.15,32.99,33.2,30.3,1330700
2011-03-08,33.33,33.82,32.98,33.63,30.69,801300
2011-03-09,33.42,33.53,32.82,33.02,30.13,1374800
2011-03-10,32.62,32.86,32.15,32.58,29.73,1238300
2011-03-11,32.44,33.08,32.44,32.9,30.02,1219800
2011-03-14,32.52,33.11,32.37,32.74,29.88,1035600
2011-03-15,31.76,32.87,31.47,32.59,29.74,1723700
2011-03-16,32.55,32.91,32.17,32.59,29.74,2186000
2011-03-17,33.22,33.41,32.84,32.96,30.08,1049400
2011-03-18,33.51,33.51,33.12,33.36,30.44,1845000
2011-03-21,33.82,34.56,33.67,34.54,31.52,2324200
2011-03-22,34.59,34.68,34.12,34.59,31.57,1804400
2011-03-23,34.69,35.47,34.48,35.39,32.3,1920800
2011-03-24,35.65,36.17,35.26,35.85,32.71,2150100
2011-03-25,35.99,36.38,35.93,36.2,33.03,1427400
2011-03-28,36.32,36.41,35.79,35.88,32.74,1145300
2011-03-29,35.87,36.42,35.64,36.37,33.25,968200
2011-03-30,36.56,36.86,36.24,36.73,33.57,1214800
