Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.41,12.56,12.27,12.31,11.16,16512700
2010-01-05,12.22,12.36,12.16,12.34,11.19,22195900
2010-01-06,12.29,12.71,12.28,12.54,11.37,30598800
2010-01-07,12.57,12.63,12.25,12.37,11.21,42402400
2010-01-08,12.33,12.54,12.24,12.47,11.31,22252000
2010-01-11,12.56,12.61,12.32,12.44,11.28,11930700
2010-01-12,12.52,12.52,11.82,11.88,10.77,20856100
2010-01-13,12.03,12.05,11.71,11.78,10.68,28568600
2010-01-14,11.76,11.91,11.74,11.87,10.76,20345600
2010-01-15,11.85,11.98,11.51,11.65,10.56,22195200
2010-01-19,11.67,11.93,11.67,11.84,10.73,11979000
2010-01-20,11.7,11.78,11.4,11.54,10.46,24187100
2010-01-21,11.57,11.86,11.26,11.34,10.28,24430000
2010-01-22,11.47,11.47,10.94,10.96,9.94,25658400
2010-01-25,11.1,11.24,10.92,11.18,10.14,23047800
2010-01-26,11.17,11.42,11.1,11.28,10.23,25860700
2010-01-27,11.26,11.36,10.94,11.17,10.13,24225700
2010-01-28,11.17,11.29,10.95,11.06,10.03,39818400
2010-01-29,11.18,11.47,11.1,11.14,10.1,38763900
2010-02-01,11.21,11.27,10.95,11.07,10.04,33175900
2010-02-02,11.07,11.35,10.98,11.27,10.22,41541900
2010-02-03,11.83,12.15,11.67,12.08,10.95,52840800
2010-02-04,11.98,12.01,11.55,11.55,10.48,38594400
2010-02-05,11.63,11.73,11.13,11.45,10.38,32814300
2010-02-08,11.43,11.43,11.11,11.17,10.12,18910000
2010-02-09,11.42,11.55,11.19,11.4,10.34,27400200
2010-02-10,11.32,11.37,11.02,11.14,10.1,21467000
2010-02-11,11.23,11.43,10.99,11.42,10.36,33302500
2010-02-12,11.34,11.61,11.27,11.58,10.5,24564700
2010-02-16,11.71,11.86,11.54,11.86,10.75,15254000
2010-02-17,11.85,11.97,11.76,11.88,10.77,14262800
2010-02-18,11.92,12.01,11.77,11.92,10.8,11184100
2010-02-19,11.86,12.05,11.72,11.98,10.86,16179400
2010-02-22,12.05,12.08,11.88,11.92,10.8,13828800
2010-02-23,11.94,12.04,11.62,11.64,10.56,17615200
2010-02-24,11.67,11.94,11.65,11.92,10.8,16463900
2010-02-25,11.61,11.87,11.51,11.86,10.75,16037100
2010-02-26,11.86,11.93,11.7,11.81,10.71,16941500
2010-03-01,11.85,12.23,11.85,12.16,11.02,23463900
2010-03-02,12.2,12.31,12.05,12.23,11.09,21053700
2010-03-03,12.28,12.31,12.06,12.1,10.97,13407400
2010-03-04,12.08,12.29,11.96,12.28,11.13,36110200
2010-03-05,12.29,12.75,12.28,12.75,11.56,22341000
2010-03-08,12.66,12.71,12.58,12.61,11.51,11415500
2010-03-09,12.55,12.67,12.5,12.61,11.5,13039600
2010-03-10,12.56,12.65,12.51,12.61,11.51,17444000
2010-03-11,12.54,12.63,12.45,12.6,11.49,19616300
2010-03-12,12.7,12.81,12.33,12.39,11.3,25330800
2010-03-15,12.47,12.54,12.21,12.34,11.26,22525100
2010-03-16,12.42,12.49,12.28,12.39,11.3,28014000
2010-03-17,12.49,12.54,12.32,12.38,11.29,18468900
2010-03-18,12.57,12.57,12.29,12.39,11.3,20047100
2010-03-19,12.52,12.57,12.09,12.35,11.26,27696100
2010-03-22,12.31,12.39,12.13,12.38,11.29,15853000
2010-03-23,12.34,12.41,12.25,12.39,11.3,18366400
2010-03-24,12.38,12.69,12.34,12.61,11.5,25417900
2010-03-25,12.79,13.08,12.71,12.75,11.63,27195900
2010-03-26,12.78,12.93,12.61,12.77,11.65,10776700
2010-03-29,12.71,12.89,12.71,12.85,11.72,10464400
2010-03-30,12.92,12.92,12.71,12.77,11.64,11600000
2010-03-31,12.79,12.92,12.66,12.73,11.61,17104900
2010-04-01,12.84,12.95,12.68,12.89,11.75,10642000
2010-04-05,12.89,13.25,12.81,13.07,11.92,14461500
2010-04-06,13.13,13.15,12.93,12.99,11.84,17095400
2010-04-07,12.93,12.96,12.65,12.79,11.67,15156100
2010-04-08,12.77,13.04,12.69,12.99,11.85,22972800
2010-04-09,13.07,13.55,12.97,13.45,12.26,26372000
2010-04-12,13.5,13.52,13.25,13.28,12.11,11444400
2010-04-13,13.26,13.74,13.21,13.67,12.46,27623800
2010-04-14,13.62,13.98,13.6,13.98,12.75,24079200
2010-04-15,13.96,14.09,13.81,13.94,12.71,21901200
