Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.08,29.85,29.08,29.61,22.14,1908400
2010-01-05,29.61,30.27,29.56,30.12,22.52,2206600
2010-01-06,30.04,30.31,29.43,30.26,22.62,2724200
2010-01-07,30.16,30.22,29.72,29.92,22.36,2581000
2010-01-08,29.83,30.5,29.62,30.45,22.76,3280400
2010-01-11,30.61,30.74,29.48,29.82,22.29,2909400
2010-01-12,29.33,29.35,28.68,28.92,21.61,2422400
2010-01-13,29.03,29.44,28.5,29.19,21.82,1515200
2010-01-14,28.97,29.33,28.87,29.05,21.71,1101000
2010-01-15,29.02,29.49,28.81,29.4,21.98,4599200
2010-01-19,29.33,29.87,29.26,29.84,22.31,2577600
2010-01-20,29.0,29.28,28.68,29.22,21.84,3761200
2010-01-21,29.33,29.49,28.09,28.1,21.01,3689800
2010-01-22,27.81,27.98,27.08,27.11,20.27,2602000
2010-01-25,27.3,27.77,27.08,27.31,20.41,2154000
2010-01-26,27.03,27.81,26.71,26.99,20.18,1876000
2010-01-27,27.02,27.2,26.48,27.1,20.26,1942000
2010-01-28,27.25,27.32,26.3,26.74,19.99,2074200
2010-01-29,27.07,27.66,26.45,26.58,19.87,3352600
2010-02-01,26.84,27.7,26.68,27.58,20.62,2369200
2010-02-02,27.75,27.92,27.25,27.81,20.79,1830000
2010-02-03,27.69,28.18,27.52,28.1,21.01,3214400
2010-02-04,27.75,27.76,27.01,27.04,20.21,3303400
2010-02-05,27.04,27.19,25.83,26.81,20.04,3774000
2010-02-08,26.77,27.37,26.41,26.75,19.99,2725800
2010-02-09,27.41,28.17,27.14,27.67,20.68,2692400
2010-02-10,27.52,27.92,27.01,27.7,20.71,1995400
2010-02-11,27.76,28.71,27.51,28.7,21.45,2748800
2010-02-12,28.31,28.76,27.89,28.72,21.46,3032800
2010-02-16,29.25,29.42,28.95,29.28,21.89,3251200
2010-02-17,28.51,29.29,27.69,27.93,20.88,7167000
2010-02-18,27.12,27.67,26.76,27.4,20.48,7336200
2010-02-19,27.51,27.77,27.23,27.55,20.59,3818800
2010-02-22,27.67,27.89,27.33,27.5,20.55,3294600
2010-02-23,27.35,27.42,26.75,26.97,20.16,4464000
2010-02-24,27.59,28.03,27.36,28.02,20.95,5489000
2010-02-25,27.34,28.41,27.2,28.39,21.22,4084200
2010-02-26,28.41,28.48,27.93,28.08,20.99,3225200
2010-03-01,28.32,28.49,28.15,28.44,21.26,2208800
2010-03-02,28.42,28.88,28.4,28.77,21.51,2179600
2010-03-03,28.77,31.08,28.75,30.31,22.65,8428200
2010-03-04,30.4,30.4,29.69,29.86,22.32,3462000
2010-03-05,30.35,30.77,30.2,30.76,22.99,2135400
2010-03-08,30.7,30.88,30.18,30.31,22.66,3283200
2010-03-09,30.13,30.65,30.12,30.38,22.71,1840000
2010-03-10,30.43,30.91,30.26,30.72,22.96,1807200
2010-03-11,30.53,30.69,30.24,30.54,22.83,1862600
2010-03-12,30.64,31.14,30.57,31.08,23.24,1812000
2010-03-15,31.0,31.17,30.25,30.43,22.75,2477600
2010-03-16,30.49,31.78,30.46,31.68,23.68,3806000
2010-03-17,31.92,32.0,31.44,31.8,23.77,3097000
2010-03-18,31.84,31.99,30.91,31.0,23.18,1677400
2010-03-19,30.09,31.29,29.94,30.09,22.49,2913200
2010-03-22,29.71,30.62,29.51,30.48,22.78,1738400
2010-03-23,30.61,31.05,30.5,30.97,23.15,1924200
2010-03-24,30.74,31.08,30.54,30.54,22.83,1614200
2010-03-25,30.84,31.1,30.55,30.65,22.91,3216200
2010-03-26,30.78,31.1,30.55,30.82,23.04,2515600
2010-03-29,31.08,31.6,30.98,31.48,23.53,1899800
2010-03-30,31.75,33.01,31.4,32.68,24.43,5515000
2010-03-31,32.69,32.9,32.26,32.31,24.16,3964200
2010-04-01,32.66,33.03,32.63,33.03,24.69,3813400
2010-04-05,33.27,34.06,33.16,34.01,25.43,1925200
2010-04-06,34.01,34.63,33.77,34.48,25.77,2090200
2010-04-07,34.38,34.39,33.53,33.84,25.3,2725600
2010-04-08,33.38,33.97,33.2,33.94,25.37,2246800
2010-04-09,33.97,34.07,33.34,33.68,25.18,2129200
2010-04-12,33.76,34.19,33.65,33.9,25.34,1242600
2010-04-13,33.87,33.87,32.88,33.51,25.05,1681400
2010-04-14,33.67,34.16,33.39,34.03,25.44,1361800
2010-04-15,34.1,34.22,33.68,33.94,25.37,1679600
2010-04-16,33.74,34.16,32.85,32.99,24.66,2847600
2010-04-19,32.58,33.04,32.35,32.51,24.3,3837800
2010-04-20,32.91,33.6,32.76,33.6,25.12,3294400
2010-04-21,33.48,33.67,32.99,33.46,25.01,2207400
2010-04-22,33.02,34.06,32.86,34.04,25.45,1743600
2010-04-23,33.83,34.92,33.78,34.9,26.09,1590000
2010-04-26,34.95,35.35,34.85,35.12,26.25,1782200
2010-04-27,34.98,34.99,33.35,33.5,25.04,3187000
2010-04-28,33.63,33.91,33.03,33.72,25.21,3645600
2010-04-29,34.74,38.27,34.74,36.66,27.4,12391400
2010-04-30,36.2,36.44,33.78,33.85,25.3,8526000
2010-05-03,34.06,34.62,33.59,34.47,25.77,5328200
2010-05-04,33.64,34.31,32.79,33.17,24.79,3896400
2010-05-05,32.51,32.94,31.86,32.04,23.95,4059200
2010-05-06,31.75,32.21,28.27,30.84,23.06,5338400
2010-05-07,30.64,31.37,28.92,29.64,22.15,5064000
2010-05-10,30.64,32.78,30.27,32.72,24.46,5841400
2010-05-11,32.19,32.62,31.55,31.61,23.63,5590400
2010-05-12,31.82,32.58,31.82,32.49,24.29,4929800
2010-05-13,32.41,32.74,31.89,31.99,23.91,3250000
2010-05-14,31.75,31.85,30.17,30.72,22.96,5321600
2010-05-17,30.82,31.06,29.55,30.14,22.53,3772000
2010-05-18,30.67,30.99,29.77,29.95,22.39,4798400
2010-05-19,29.92,30.18,28.99,29.51,22.06,4053000
2010-05-20,28.47,28.68,27.42,27.7,20.71,6072800
2010-05-21,27.05,29.51,26.95,29.5,22.05,6852200
2010-05-24,29.41,29.65,28.73,28.76,21.5,5072000
2010-05-25,28.16,29.65,27.85,29.57,22.1,7096600
2010-05-26,29.78,30.75,29.35,29.58,22.11,4072200
2010-05-27,30.41,31.19,30.0,31.18,23.31,4551200
2010-05-28,31.17,31.17,28.84,29.08,21.73,5551600
2010-06-01,28.7,28.7,24.55,24.67,18.44,14274600
2010-06-02,24.75,26.0,24.5,25.56,19.1,9664600
2010-06-03,25.86,26.0,24.62,25.26,18.88,7099000
2010-06-04,24.62,25.82,24.48,24.65,18.43,5082600
2010-06-07,24.88,25.21,23.74,23.8,17.79,5233600
2010-06-08,23.77,24.39,23.08,24.26,18.13,7948600
2010-06-09,24.44,25.56,23.93,24.1,18.02,6490800
2010-06-10,24.7,26.06,24.67,26.03,19.46,5342000
2010-06-11,25.7,26.67,25.53,26.28,19.64,6234600
2010-06-14,27.35,27.35,26.26,26.38,19.72,5332800
2010-06-15,26.88,27.82,26.73,27.68,20.69,3715000
2010-06-16,27.16,27.91,27.03,27.67,20.68,4423200
2010-06-17,27.86,27.96,27.0,27.39,20.47,3660000
2010-06-18,28.01,28.01,27.25,27.58,20.61,3403000
2010-06-21,27.99,28.09,27.17,27.5,20.55,5048200
2010-06-22,28.04,28.04,26.72,26.75,20.0,6770800
