Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.6,35.64,35.31,35.45,25.73,5156400
2010-01-05,35.58,35.59,34.81,35.12,25.5,7439200
2010-01-06,35.15,35.46,34.97,35.33,25.65,4686800
2010-01-07,35.1,35.72,34.97,35.65,26.06,6706800
2010-01-08,35.7,35.7,35.13,35.36,25.85,4445800
2010-01-11,35.33,35.46,35.15,35.4,25.87,2452200
2010-01-12,35.35,35.72,35.28,35.66,26.07,3686400
2010-01-13,35.62,35.96,35.43,35.82,26.18,4028000
2010-01-14,35.83,35.9,35.6,35.82,26.18,2270800
2010-01-15,35.83,35.99,35.56,35.67,26.07,3872400
2010-01-19,35.85,36.12,35.72,35.96,26.28,5109600
2010-01-20,35.77,35.77,35.53,35.72,26.11,4087000
2010-01-21,35.75,35.97,35.43,35.56,25.99,5222000
2010-01-22,35.58,35.92,35.43,35.48,25.94,7612800
2010-01-25,35.63,35.87,35.32,35.38,25.87,3934000
2010-01-26,35.25,35.53,34.97,35.48,25.94,5024200
2010-01-27,35.49,35.9,35.31,35.76,26.14,5461000
2010-01-28,35.94,36.23,35.85,35.97,26.3,6167400
2010-01-29,36.15,36.15,35.63,35.65,26.06,5146400
2010-02-01,35.92,35.92,35.37,35.51,25.96,5566800
2010-02-02,35.6,35.81,35.35,35.51,25.96,7693400
2010-02-03,35.58,35.58,35.1,35.27,25.78,6018400
2010-02-04,35.08,35.12,34.49,34.5,25.22,8263800
2010-02-05,34.37,34.54,34.03,34.31,25.08,5895600
2010-02-08,34.35,34.63,34.26,34.29,25.07,3941000
2010-02-09,34.44,34.91,34.44,34.72,25.38,3763600
2010-02-10,34.76,34.87,34.47,34.74,25.39,3514000
2010-02-11,34.63,34.72,34.35,34.72,25.38,4131000
2010-02-12,34.53,34.83,34.25,34.74,25.4,5271600
2010-02-16,34.78,35.33,34.58,35.31,25.81,4646400
2010-02-17,35.32,35.58,35.29,35.49,25.94,3416800
