Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.47,19.75,19.31,19.56,15.94,16539100
2010-01-05,19.85,20.06,19.47,19.63,16.0,18060900
2010-01-06,19.57,19.78,19.31,19.38,15.79,13448300
2010-01-07,19.33,19.6,19.25,19.57,15.95,9861300
2010-01-08,19.45,19.92,19.36,19.89,16.21,11434300
2010-01-11,20.62,20.85,20.22,20.49,16.7,25617100
2010-01-12,20.35,20.49,20.02,20.17,16.44,16162900
2010-01-13,20.34,20.59,20.16,20.31,16.55,15961300
2010-01-14,20.26,20.37,20.06,20.2,16.46,14059800
2010-01-15,20.24,20.24,19.49,19.66,16.02,16443600
2010-01-19,19.39,19.79,19.25,19.79,16.13,18925800
2010-01-20,19.64,19.83,19.34,19.77,16.11,16125600
2010-01-21,19.85,20.24,19.51,19.61,15.98,16865700
2010-01-22,19.54,19.54,18.5,18.56,15.12,16469900
2010-01-25,18.72,18.99,18.53,18.72,15.26,17693500
2010-01-26,18.67,18.71,18.03,18.65,15.2,26839200
2010-01-27,18.65,19.21,18.53,19.14,15.6,17644900
2010-01-28,19.22,19.47,18.31,18.61,15.17,22234500
2010-01-29,18.61,18.83,18.01,18.08,14.73,20518800
2010-02-01,18.16,18.31,17.97,18.16,14.8,16375100
2010-02-02,18.22,18.78,18.03,18.71,15.25,18324900
2010-02-03,18.65,19.05,18.6,18.95,15.44,12932600
2010-02-04,18.76,18.78,18.2,18.25,14.87,16538700
2010-02-05,18.1,18.24,16.96,18.05,14.71,32322500
2010-02-08,18.04,18.17,17.75,17.84,14.54,11449000
2010-02-09,18.0,18.18,17.48,17.76,14.47,18104900
2010-02-10,17.75,17.76,17.35,17.52,14.28,12914700
2010-02-11,17.55,17.95,17.31,17.95,14.63,14990900
2010-02-12,17.78,17.91,17.42,17.89,14.58,15591700
2010-02-16,18.07,18.19,17.87,18.15,14.79,13418200
2010-02-17,18.23,18.24,17.79,18.01,14.68,12557300
2010-02-18,17.95,18.04,17.78,17.99,14.66,10071900
2010-02-19,17.82,18.31,17.82,18.29,14.9,13176500
2010-02-22,18.29,18.29,17.44,17.76,14.47,21806100
2010-02-23,17.33,17.44,17.16,17.21,14.02,23526600
2010-02-24,17.26,17.63,17.25,17.5,14.3,16668800
2010-02-25,17.18,17.54,16.75,17.5,14.3,31412100
2010-02-26,17.41,17.81,17.33,17.63,14.41,20319700
2010-03-01,17.7,17.8,17.57,17.77,14.52,8688200
2010-03-02,17.9,17.97,17.53,17.61,14.39,12978700
2010-03-03,17.68,17.87,17.55,17.61,14.39,12200700
2010-03-04,17.75,17.75,17.25,17.51,14.31,13267300
2010-03-05,17.7,18.12,17.63,18.1,14.79,14018100
2010-03-08,18.22,18.38,18.07,18.35,15.0,13749100
2010-03-09,18.32,18.52,18.21,18.4,15.04,13154600
2010-03-10,18.43,18.64,18.29,18.48,15.1,10807100
2010-03-11,18.42,18.45,18.17,18.35,15.0,12497300
2010-03-12,18.54,18.54,18.03,18.04,14.74,11108200
2010-03-15,17.96,18.11,17.92,18.08,14.78,12912900
2010-03-16,18.24,18.52,18.07,18.48,15.1,22057700
2010-03-17,18.58,19.06,18.56,18.88,15.43,20462100
2010-03-18,19.24,19.44,19.12,19.24,15.72,16267800
2010-03-19,19.39,19.73,19.31,19.39,15.85,24105400
2010-03-22,19.2,19.5,19.09,19.42,15.87,17273900
2010-03-23,19.57,19.74,19.4,19.68,16.08,14103600
2010-03-24,19.92,19.93,19.38,19.46,15.9,12484500
2010-03-25,19.79,20.09,19.67,19.69,16.09,16407200
2010-03-26,19.78,19.99,19.69,19.79,16.17,14425200
2010-03-29,19.88,20.15,19.8,20.1,16.43,13259700
2010-03-30,20.09,20.25,20.05,20.17,16.48,13777600
2010-03-31,20.0,20.35,20.0,20.21,16.52,13626800
2010-04-01,20.28,20.55,20.23,20.38,16.66,15886200
