Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.71,3.74,3.65,3.68,2.91,10462800
2010-01-05,3.68,3.77,3.65,3.76,2.98,21226600
2010-01-06,3.75,3.89,3.72,3.86,3.06,18761000
2010-01-07,3.85,4.35,3.83,4.29,3.4,66130600
2010-01-08,4.23,4.37,4.13,4.22,3.34,29869600
2010-01-11,4.31,4.44,4.21,4.33,3.43,28307500
2010-01-12,4.26,4.42,4.15,4.21,3.33,25239200
2010-01-13,4.21,4.34,4.08,4.31,3.41,26868200
2010-01-14,4.31,4.45,4.27,4.41,3.49,24295600
2010-01-15,4.4,4.41,4.22,4.28,3.39,17671600
2010-01-19,4.27,4.36,4.21,4.3,3.4,15203200
2010-01-20,4.25,4.41,4.23,4.29,3.4,20893700
2010-01-21,4.38,4.75,4.37,4.53,3.59,63969900
2010-01-22,4.42,4.87,4.25,4.69,3.71,61227600
2010-01-25,4.77,4.94,4.65,4.8,3.8,34705900
2010-01-26,4.86,4.99,4.6,4.6,3.64,45439900
2010-01-27,4.67,4.9,4.65,4.88,3.86,34009000
2010-01-28,5.08,5.09,4.92,4.99,3.95,40498900
2010-01-29,5.05,5.05,4.74,4.79,3.79,27561700
2010-02-01,4.85,4.94,4.78,4.9,3.88,18652800
2010-02-02,4.88,4.94,4.82,4.93,3.9,35142400
2010-02-03,4.88,4.9,4.63,4.71,3.73,41303100
2010-02-04,4.66,4.68,4.46,4.54,3.59,35832300
2010-02-05,4.56,4.69,4.4,4.63,3.66,25099500
2010-02-08,4.68,4.73,4.53,4.58,3.63,17834600
2010-02-09,4.66,4.73,4.57,4.65,3.68,17433300
2010-02-10,4.61,4.75,4.61,4.71,3.73,14027800
2010-02-11,4.75,4.81,4.68,4.79,3.79,16127900
2010-02-12,4.71,4.77,4.62,4.68,3.7,13711900
2010-02-16,4.73,4.82,4.7,4.82,3.82,14918600
2010-02-17,4.83,4.88,4.73,4.76,3.77,12692100
2010-02-18,4.76,4.8,4.69,4.72,3.74,11941600
2010-02-19,4.72,4.85,4.71,4.85,3.84,11149600
2010-02-22,4.91,4.95,4.88,4.93,3.9,16529800
2010-02-23,4.89,4.95,4.8,4.81,3.81,13714300
2010-02-24,4.86,4.94,4.83,4.89,3.87,12362900
2010-02-25,4.76,4.84,4.75,4.8,3.8,10031300
2010-02-26,4.8,4.84,4.76,4.81,3.81,9186500
2010-03-01,4.86,4.88,4.75,4.8,3.8,7019800
2010-03-02,4.84,4.87,4.79,4.83,3.82,11973800
2010-03-03,4.84,4.87,4.77,4.81,3.81,10153200
2010-03-04,4.83,4.84,4.79,4.81,3.81,5681800
2010-03-05,4.86,4.96,4.82,4.96,3.93,14761100
2010-03-08,5.0,5.03,4.89,4.96,3.93,12788000
2010-03-09,4.93,5.14,4.85,5.03,3.98,21012700
2010-03-10,5.19,5.44,5.15,5.25,4.16,39935500
2010-03-11,5.3,5.62,5.29,5.4,4.27,54603100
2010-03-12,5.58,5.62,5.4,5.47,4.33,26892500
2010-03-15,5.43,5.45,5.27,5.41,4.28,22332300
2010-03-16,5.48,5.53,5.42,5.53,4.39,18207300
2010-03-17,5.64,5.81,5.6,5.76,4.57,32758400
2010-03-18,5.81,5.81,5.47,5.5,4.36,32948700
