Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.26,28.33,27.34,27.39,16.52,4278600
2010-01-05,27.48,27.6,26.89,27.31,16.48,4180600
2010-01-06,27.19,27.54,27.05,27.15,16.38,2963700
2010-01-07,27.17,27.62,26.89,27.52,16.6,3924800
2010-01-08,27.45,27.75,27.41,27.7,16.71,3059700
2010-01-11,27.83,28.1,27.72,28.01,16.9,2572600
2010-01-12,27.8,28.01,27.34,27.54,16.61,3143400
2010-01-13,27.6,27.85,27.41,27.75,16.74,4628700
2010-01-14,27.62,27.75,27.35,27.67,16.69,2974200
2010-01-15,27.61,27.75,27.46,27.64,16.67,3852600
2010-01-19,27.6,28.54,27.59,28.5,17.19,4474800
2010-01-20,28.33,28.33,27.71,27.98,16.88,3440500
2010-01-21,28.02,28.14,27.09,27.15,16.38,4652700
2010-01-22,27.1,27.5,26.63,26.73,16.12,4995500
2010-01-25,27.06,27.06,26.35,26.74,16.13,3107500
2010-01-26,26.53,26.55,25.87,25.94,15.65,4624800
2010-01-27,25.95,26.17,25.49,26.16,15.78,5059200
2010-01-28,26.42,26.42,25.75,26.02,15.7,4295100
2010-01-29,26.14,26.3,25.65,25.82,15.58,5562500
2010-02-01,25.96,26.51,25.94,26.35,15.89,3151000
2010-02-02,26.38,27.04,26.12,26.96,16.26,4240600
2010-02-03,26.87,26.9,26.4,26.62,16.06,2955200
2010-02-04,26.45,26.46,25.27,25.29,15.26,8205900
2010-02-05,25.43,25.72,24.83,25.53,15.4,7692600
2010-02-08,25.59,25.66,24.75,24.85,14.99,4526100
2010-02-09,24.64,24.85,24.32,24.64,15.12,4926200
2010-02-10,24.59,25.36,24.44,25.12,15.42,4662300
2010-02-11,25.05,25.6,24.88,25.54,15.67,3974300
2010-02-12,25.06,25.27,24.78,25.08,15.39,5211200
2010-02-16,25.49,26.42,25.34,26.36,16.18,4711500
2010-02-17,26.5,26.86,26.48,26.68,16.38,3515600
