Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,43.71,44.98,43.6,44.12,42.44,12935400
2013-12-13,45.12,45.92,44.22,45.35,43.63,1224800
2013-12-16,47.36,52.84,44.16,44.16,42.48,4717600
2013-12-17,44.34,45.12,44.28,44.75,43.05,2313800
2013-12-18,44.8,45.51,44.45,44.8,43.09,2857800
2013-12-19,44.63,45.99,44.22,45.72,43.98,1469100
2013-12-20,46.17,46.27,44.86,45.0,43.29,994800
2013-12-23,45.16,45.53,44.24,44.24,42.56,1220700
2013-12-24,44.32,44.47,43.4,44.14,42.46,1234000
2013-12-26,44.24,45.06,44.22,44.53,42.84,1309200
2013-12-27,44.32,44.82,44.22,44.32,42.64,1090300
2013-12-30,44.57,45.08,44.32,44.92,43.21,871800
2013-12-31,45.14,46.11,45.04,45.66,43.92,1134300
2014-01-02,45.66,45.86,44.67,44.86,43.15,1763700
2014-01-03,44.73,45.33,44.63,45.16,43.45,461200
2014-01-06,45.12,45.39,44.65,45.14,43.43,1172300
2014-01-07,45.14,45.35,44.94,45.14,43.43,1992500
2014-01-08,45.21,45.21,44.73,45.21,43.49,1154200
2014-01-09,45.14,45.19,44.55,44.88,43.17,459600
2014-01-10,44.65,44.86,44.26,44.51,42.82,812300
2014-01-13,44.24,44.8,44.24,44.57,42.88,728200
2014-01-14,44.55,45.37,44.41,45.35,43.63,1251600
2014-01-15,45.25,45.49,44.8,44.96,43.25,915200
2014-01-16,44.94,45.21,44.51,45.06,43.35,1130000
2014-01-17,45.06,46.29,44.73,45.66,43.92,2702200
2014-01-21,46.19,46.35,44.82,44.98,43.27,1280200
2014-01-22,45.12,46.15,44.94,46.09,44.34,1428600
2014-01-23,46.03,46.5,45.35,46.5,44.73,936000
2014-01-24,45.86,46.13,45.33,46.07,44.32,891000
2014-01-27,46.07,46.07,44.92,45.12,43.41,1099600
2014-01-28,44.82,45.14,44.63,44.94,43.23,686200
2014-01-29,44.75,44.9,44.24,44.45,42.76,437800
2014-01-30,44.65,44.77,44.32,44.45,42.76,520200
2014-01-31,44.14,44.51,43.79,44.43,42.74,428600
2014-02-03,44.43,44.53,42.76,42.99,41.36,1115000
2014-02-04,43.09,43.26,42.76,43.15,41.51,835700
2014-02-05,42.78,43.01,42.17,42.68,41.06,694700
2014-02-06,42.76,43.5,42.72,43.5,41.85,294100
2014-02-07,43.63,44.88,43.54,44.43,42.74,513000
2014-02-10,44.47,44.51,43.71,43.93,42.26,562400
2014-02-11,44.59,44.67,44.04,44.51,42.82,642400
2014-02-12,44.61,45.04,44.36,44.92,43.21,436600
