Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.09,31.15,30.77,30.81,28.3,2353000
2010-01-05,30.76,30.9,30.41,30.81,28.3,3142100
2010-01-06,30.66,30.85,30.32,30.38,27.91,2884400
2010-01-07,30.29,30.6,30.12,30.28,27.81,3100300
2010-01-08,30.33,31.12,30.12,31.08,28.55,4249700
2010-01-11,30.93,31.41,30.93,31.22,28.68,4011700
2010-01-12,30.99,31.41,30.88,31.22,28.68,2969100
2010-01-13,31.35,31.69,31.2,31.58,29.01,2618300
2010-01-14,31.69,31.88,31.42,31.78,29.19,2617000
2010-01-15,31.72,31.97,31.09,31.46,28.9,3835100
2010-01-19,31.38,31.92,31.3,31.73,29.15,2161500
2010-01-20,31.53,31.63,30.75,31.22,28.68,2720100
2010-01-21,31.21,31.41,30.66,30.84,28.33,3110400
2010-01-22,30.8,30.98,30.06,30.1,27.65,2590200
2010-01-25,30.2,30.55,30.06,30.36,27.89,2774200
2010-01-26,30.28,30.49,29.98,30.03,27.58,4020100
2010-01-27,29.89,30.08,29.62,30.01,27.57,4070400
2010-01-28,29.81,30.07,29.4,29.66,27.25,3816100
2010-01-29,29.89,30.0,29.53,29.61,27.2,3805600
2010-02-01,29.51,30.1,29.51,29.91,27.47,2725100
2010-02-02,29.88,30.03,29.64,29.96,27.52,3239300
2010-02-03,29.78,30.15,29.72,29.99,27.55,2128300
2010-02-04,29.9,29.95,29.26,29.26,26.88,3174200
2010-02-05,29.38,29.7,29.03,29.44,27.04,4337100
2010-02-08,29.4,29.55,29.11,29.36,26.97,2227700
2010-02-09,29.54,29.71,29.02,29.31,26.92,3877000
2010-02-10,29.2,29.45,29.07,29.39,27.0,2102700
2010-02-11,29.3,29.68,29.0,29.6,27.19,2460700
2010-02-12,29.06,29.45,29.04,29.39,27.0,2794600
2010-02-16,29.47,29.8,29.26,29.79,27.36,2013900
2010-02-17,29.84,29.99,29.57,29.91,27.47,2483500
2010-02-18,29.96,30.35,29.88,30.32,27.85,2737500
2010-02-19,32.25,33.15,32.2,32.72,30.06,9866000
2010-02-22,32.6,32.83,32.19,32.36,29.73,4738500
2010-02-23,32.24,32.48,31.58,31.87,29.28,5932500
2010-02-24,31.94,32.39,31.92,32.27,29.64,4724600
2010-02-25,31.8,32.62,31.71,32.46,29.82,5224800
2010-02-26,32.49,32.49,32.16,32.36,29.73,3049700
2010-03-01,32.33,32.95,32.29,32.9,30.22,2811000
2010-03-02,32.77,33.29,32.75,33.13,30.43,4445000
2010-03-03,33.07,33.46,33.03,33.21,30.51,3484000
2010-03-04,33.28,33.49,32.96,33.43,30.71,3097000
2010-03-05,33.36,33.93,33.36,33.91,31.15,3588200
2010-03-08,33.79,34.0,33.74,33.98,31.21,2938800
2010-03-09,33.75,34.01,33.75,33.95,31.19,3283200
2010-03-10,33.95,34.55,33.86,34.47,31.66,4693900
2010-03-11,34.25,34.55,34.25,34.54,31.73,2652700
2010-03-12,34.38,34.67,34.32,34.61,31.79,2660700
2010-03-15,34.44,34.67,34.44,34.64,31.82,1812400
2010-03-16,34.65,34.75,34.48,34.64,31.82,2495800
2010-03-17,34.51,34.84,34.28,34.53,31.72,3349800
2010-03-18,34.41,34.81,34.4,34.65,31.83,2769500
2010-03-19,34.75,34.97,34.35,34.61,31.79,4131100
2010-03-22,34.34,34.93,34.34,34.9,32.06,2891400
2010-03-23,34.77,34.84,34.42,34.6,31.78,2440300
2010-03-24,34.56,34.86,34.56,34.74,31.91,3436200
2010-03-25,34.8,34.89,34.4,34.4,31.6,3036900
2010-03-26,34.41,34.63,34.06,34.24,31.45,2977400
2010-03-29,34.23,34.49,34.11,34.32,31.53,2821200
2010-03-30,34.41,34.51,34.19,34.36,31.56,2092900
2010-03-31,34.22,34.57,34.17,34.32,31.53,2393700
2010-04-01,34.37,34.9,34.15,34.51,31.7,2344700
2010-04-05,34.55,34.92,34.43,34.88,32.04,1537200
2010-04-06,34.86,35.0,34.78,34.97,32.12,2368600
2010-04-07,34.89,34.89,34.42,34.58,31.76,2212600
2010-04-08,34.58,34.58,34.14,34.51,31.7,2332100
2010-04-09,34.46,34.53,34.27,34.53,31.72,2233000
2010-04-12,34.49,34.65,34.38,34.53,31.72,2696200
2010-04-13,34.25,35.09,34.25,35.05,32.2,3396700
