Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.81,27.07,26.67,26.8,19.59,4034900
2010-01-05,26.79,28.06,26.64,27.75,20.28,5249400
2010-01-06,27.27,28.21,27.25,27.44,20.05,5864800
2010-01-07,27.29,27.32,26.3,26.39,19.29,7074600
2010-01-08,26.39,26.66,25.87,26.56,19.41,4594400
2010-01-11,26.86,26.86,26.0,26.24,19.18,4463000
2010-01-12,25.92,27.14,25.92,26.31,19.23,8122000
2010-01-13,26.38,26.65,26.02,26.25,19.18,3718700
2010-01-14,26.21,26.23,25.73,25.87,18.9,3301500
2010-01-15,25.83,26.19,25.35,25.72,18.8,4913100
2010-01-19,25.76,26.62,25.56,26.59,19.43,4626800
2010-01-20,26.25,26.42,25.59,25.92,18.94,3609200
2010-01-21,26.03,26.11,24.1,24.11,17.62,7635700
2010-01-22,24.2,24.67,23.47,24.09,17.61,8710900
2010-01-25,24.73,25.07,24.11,24.16,17.66,4958900
2010-01-26,23.91,24.56,23.87,24.13,17.64,4429500
2010-01-27,24.0,24.01,22.81,23.55,17.21,7719600
2010-01-28,23.7,23.7,22.32,22.75,16.63,6844500
2010-01-29,22.95,23.21,22.5,22.59,16.51,4280100
2010-02-01,22.92,23.6,22.68,23.57,17.22,5629800
2010-02-02,23.61,23.98,23.32,23.69,17.31,6502300
2010-02-03,22.38,22.92,21.81,22.36,16.34,15476000
2010-02-04,22.46,22.46,21.55,21.84,15.96,9903200
2010-02-05,21.84,22.42,21.36,22.36,16.34,11987900
2010-02-08,22.29,22.73,21.82,22.2,16.22,7570500
2010-02-09,22.54,22.98,22.19,22.6,16.52,6849000
2010-02-10,22.59,22.69,21.75,22.1,16.15,6050400
2010-02-11,21.97,22.35,21.86,22.06,16.14,6963100
2010-02-12,21.88,22.29,21.38,22.26,16.28,6743500
2010-02-16,22.46,23.82,22.46,23.77,17.39,10379600
2010-02-17,23.72,24.13,23.22,23.38,17.11,6064500
2010-02-18,23.23,24.11,23.19,23.9,17.48,4804600
2010-02-19,23.7,24.25,23.52,23.92,17.5,4622600
2010-02-22,23.93,24.1,23.0,23.66,17.31,5456200
2010-02-23,23.69,24.54,23.54,23.68,17.32,7101600
2010-02-24,23.68,23.97,23.44,23.57,17.24,4051400
2010-02-25,23.36,23.7,22.97,23.56,17.24,5288800
2010-02-26,23.56,23.64,22.8,22.85,16.72,6788200
2010-03-01,23.08,23.88,22.98,23.85,17.45,6035900
2010-03-02,24.04,24.81,23.19,24.68,18.06,8746000
2010-03-03,24.76,25.25,24.57,24.85,18.18,6319500
2010-03-04,24.98,25.15,24.24,24.64,18.02,4463800
2010-03-05,24.84,25.17,24.72,25.0,18.29,6101600
2010-03-08,25.0,25.07,24.62,24.9,18.22,4474900
2010-03-09,24.8,25.09,24.58,24.74,18.1,5911600
2010-03-10,24.72,25.16,24.54,24.76,18.12,4904500
2010-03-11,24.65,24.87,24.45,24.85,18.18,5981800
2010-03-12,25.1,25.36,24.9,24.99,18.28,6231000
2010-03-15,24.87,24.94,24.4,24.57,17.97,4876100
2010-03-16,24.76,25.15,24.68,25.03,18.31,8059900
2010-03-17,25.13,26.91,25.13,26.65,19.49,15856800
2010-03-18,26.49,26.62,25.78,26.06,19.06,7085400
2010-03-19,25.46,26.36,25.38,25.46,18.63,6985800
2010-03-22,25.45,25.8,25.2,25.69,18.79,8174400
2010-03-23,25.69,25.84,25.44,25.8,18.87,9024700
2010-03-24,25.74,26.1,25.46,25.85,18.91,9295800
2010-03-25,26.13,26.21,24.86,24.86,18.19,7968900
2010-03-26,25.03,25.28,24.61,24.64,18.03,9227200
2010-03-29,24.89,25.13,24.71,24.8,18.15,6600200
2010-03-30,24.89,25.17,24.56,24.91,18.22,4270200
2010-03-31,24.76,24.77,24.19,24.27,17.76,5681500
2010-04-01,24.49,24.94,24.49,24.89,18.21,6340400
2010-04-05,25.02,25.22,24.85,25.15,18.4,5971200
2010-04-06,24.97,25.57,24.85,25.55,18.69,7981700
2010-04-07,25.69,26.95,25.69,26.64,19.49,14436300
2010-04-08,26.43,27.11,26.11,27.04,19.78,7969500
2010-04-09,27.04,27.32,26.67,27.09,19.82,5314100
2010-04-12,27.24,27.24,26.57,26.77,19.58,6152100
2010-04-13,26.7,26.93,26.49,26.85,19.65,5934100
2010-04-14,27.05,27.76,27.05,27.71,20.27,5466500
2010-04-15,27.54,28.08,27.44,27.71,20.27,5758700
2010-04-16,27.55,28.19,27.07,27.47,20.09,8446300
2010-04-19,27.27,27.45,26.54,27.06,19.8,5943000
2010-04-20,27.33,27.67,26.85,27.04,19.78,7518200
2010-04-21,27.09,28.04,27.09,27.78,20.32,7788400
2010-04-22,27.46,28.03,27.19,27.98,20.47,4225800
2010-04-23,28.02,28.4,27.77,28.23,20.66,4649200
2010-04-26,28.27,28.85,27.73,28.02,20.5,5977600
2010-04-27,27.92,27.92,26.54,26.68,19.52,6549400
2010-04-28,26.79,27.28,26.49,26.8,19.61,6049200
2010-04-29,27.6,28.74,27.4,27.61,20.2,8664900
2010-04-30,27.88,28.06,26.36,26.37,19.29,7551700
2010-05-03,26.58,26.76,25.63,26.27,19.22,9159300
2010-05-04,25.83,25.83,24.47,24.66,18.04,11337300
2010-05-05,24.26,25.1,23.96,24.42,17.86,8063600
2010-05-06,24.21,24.81,20.22,23.02,16.84,15510900
2010-05-07,22.78,23.47,21.23,22.84,16.71,15315100
2010-05-10,24.66,25.1,23.89,24.45,17.89,8126700
2010-05-11,24.15,24.54,23.78,23.95,17.52,5844400
2010-05-12,24.13,24.62,23.99,24.59,17.99,6155800
2010-05-13,24.38,24.58,23.89,23.97,17.63,5759400
2010-05-14,23.63,23.71,23.14,23.45,17.24,9015500
2010-05-17,23.59,24.03,22.71,23.27,17.11,9356200
2010-05-18,23.64,23.99,22.55,22.61,16.63,6389400
2010-05-19,22.35,22.52,21.42,22.21,16.33,10279100
2010-05-20,21.38,21.99,20.94,21.46,15.78,14167700
2010-05-21,20.89,22.41,20.8,21.97,16.16,10142700
2010-05-24,21.82,22.22,21.44,21.45,15.77,6352100
2010-05-25,20.65,21.95,20.48,21.92,16.12,9488800
2010-05-26,22.27,22.93,21.76,22.03,16.2,7519900
2010-05-27,22.72,23.44,22.43,23.43,17.23,7620400
2010-05-28,23.37,23.5,22.68,22.91,16.84,6038700
2010-06-01,22.5,23.03,21.92,21.93,16.13,5638200
2010-06-02,22.03,22.67,21.94,22.65,16.66,5811300
2010-06-03,22.77,23.35,22.52,23.07,16.96,7290100
2010-06-04,22.43,22.8,21.56,21.63,15.9,8072500
2010-06-07,21.71,21.76,20.76,20.79,15.29,10587400
2010-06-08,20.88,21.42,20.75,21.34,15.69,8901500
2010-06-09,21.6,22.38,21.45,21.57,15.86,7435700
2010-06-10,22.03,22.71,22.03,22.7,16.69,5913800
2010-06-11,22.97,24.03,22.7,23.96,17.62,9371200
2010-06-14,24.37,25.35,24.33,24.7,18.16,12932200
2010-06-15,25.05,25.87,24.73,25.84,19.0,9831800
2010-06-16,25.47,25.68,25.13,25.31,18.61,6483300
2010-06-17,25.44,25.49,24.71,25.17,18.51,6531600
2010-06-18,25.29,25.56,25.13,25.37,18.66,6579500
2010-06-21,26.11,26.6,25.8,25.95,19.08,7696000
2010-06-22,25.9,26.2,23.93,24.01,17.66,11183200
2010-06-23,23.93,24.92,23.65,24.85,18.27,10996000
2010-06-24,24.7,24.81,23.28,23.39,17.2,9527100
2010-06-25,23.46,24.3,23.21,24.25,17.83,17012300
2010-06-28,24.14,24.38,23.46,23.66,17.4,6992200
