Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.62,13.88,13.56,13.66,8.42,6263800
2010-01-05,13.58,13.72,13.41,13.59,8.38,5996200
2010-01-06,13.59,13.76,13.51,13.65,8.42,6165600
2010-01-07,13.58,14.14,13.58,14.11,8.7,6926200
2010-01-08,14.05,14.18,13.78,13.93,8.59,5637000
2010-01-11,14.06,14.17,13.88,14.13,8.71,5671400
2010-01-12,13.75,14.06,13.67,13.74,8.47,9849400
2010-01-13,13.72,14.39,13.68,14.19,8.75,7826300
2010-01-14,14.11,14.19,13.8,13.97,8.61,5803100
2010-01-15,13.88,13.99,13.54,13.62,8.4,7874900
2010-01-19,13.37,13.86,13.33,13.81,8.51,8136700
2010-01-20,13.65,13.67,13.4,13.61,8.39,7683500
2010-01-21,13.67,13.75,13.25,13.27,8.18,9368400
2010-01-22,13.28,13.53,12.96,13.04,8.04,9154100
2010-01-25,13.28,13.28,12.8,13.05,8.05,6171300
2010-01-26,12.98,13.1,12.79,12.84,7.92,6222000
2010-01-27,12.85,12.9,12.52,12.83,7.91,7591500
2010-01-28,12.99,12.99,12.4,12.59,7.76,6152800
2010-01-29,12.69,12.84,12.46,12.62,7.78,7352600
2010-02-01,12.72,12.93,12.66,12.93,7.97,4483900
2010-02-02,12.95,13.09,12.76,13.01,8.02,5560300
2010-02-03,12.97,13.07,12.54,12.66,7.8,5976900
2010-02-04,12.57,12.91,12.49,12.66,7.8,13464900
2010-02-05,12.66,13.19,12.63,12.97,8.0,12127900
2010-02-08,12.95,13.11,12.58,12.6,7.77,6487100
2010-02-09,12.75,12.89,12.56,12.8,7.89,10005000
2010-02-10,12.83,13.0,12.5,12.76,7.87,3429100
2010-02-11,12.78,12.85,12.54,12.73,7.85,5017700
2010-02-12,12.63,12.84,12.5,12.82,7.9,4772900
2010-02-16,12.95,13.26,12.88,13.23,8.16,4421200
2010-02-17,13.33,13.57,13.23,13.42,8.27,4424500
2010-02-18,13.34,13.86,13.34,13.74,8.47,5191000
2010-02-19,13.7,13.79,13.49,13.71,8.45,4500400
2010-02-22,13.7,13.8,13.59,13.64,8.41,3401100
2010-02-23,13.57,13.68,13.38,13.44,8.29,4255600
2010-02-24,13.51,13.8,13.44,13.8,8.51,4363800
2010-02-25,13.61,14.01,13.48,13.95,8.6,4946300
