Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.64,61.86,60.97,61.62,44.29,1634900
2010-01-05,61.66,61.96,61.04,61.67,44.33,2465800
2010-01-06,61.7,61.7,60.86,60.91,43.78,2453600
2010-01-07,61.05,61.05,60.04,60.51,43.5,3246800
2010-01-08,60.28,60.36,59.24,60.12,43.22,3069300
2010-01-11,60.11,60.12,58.68,60.05,43.16,2993500
2010-01-12,59.95,60.8,59.83,60.42,43.43,2557000
2010-01-13,60.66,61.07,60.4,61.0,43.85,1904200
2010-01-14,61.05,61.05,60.32,60.42,43.43,2019300
2010-01-15,60.25,60.36,59.57,59.65,42.88,3690300
2010-01-19,59.81,60.64,59.74,60.21,43.28,3347100
2010-01-20,60.03,60.03,58.7,59.53,42.79,2783800
2010-01-21,59.66,59.94,58.49,58.59,42.12,3530000
2010-01-22,57.43,58.95,57.12,57.75,41.51,4369000
2010-01-25,58.25,58.29,57.29,57.96,41.66,3075100
2010-01-26,58.25,58.25,57.32,57.63,41.43,4167700
2010-01-27,57.64,57.96,56.75,57.05,41.01,3959000
2010-01-28,57.35,57.6,56.63,56.67,40.74,4408500
2010-01-29,57.03,57.7,56.64,56.94,40.93,3816200
2010-02-01,57.46,57.46,56.58,57.06,41.01,3415300
2010-02-02,57.21,58.36,56.83,58.18,41.82,3314500
2010-02-03,58.09,58.09,57.31,57.9,41.62,3479500
2010-02-04,57.54,57.77,56.74,56.79,40.82,2623300
2010-02-05,56.78,57.08,55.85,56.53,40.64,3210500
2010-02-08,56.72,57.12,56.16,56.52,40.63,2844400
2010-02-09,57.01,57.47,56.63,57.16,41.09,2375800
2010-02-10,57.02,57.15,56.24,56.5,40.61,2625100
2010-02-11,56.66,56.95,56.3,56.75,40.79,2349500
2010-02-12,56.52,56.71,56.13,56.43,40.57,2735300
2010-02-16,56.57,56.82,56.28,56.82,40.84,2901700
2010-02-17,56.96,57.18,56.81,56.9,40.9,2693600
2010-02-18,56.86,58.04,56.81,57.91,41.63,2334900
2010-02-19,57.86,58.09,57.43,57.77,41.52,2220100
2010-02-22,57.89,58.13,57.33,57.43,41.28,2509100
2010-02-23,57.33,58.12,57.14,57.89,41.61,3244100
2010-02-24,58.08,58.13,57.62,57.81,41.56,3092300
2010-02-25,57.55,57.95,57.11,57.91,41.63,2684800
2010-02-26,58.14,58.53,57.84,58.24,41.86,2777000
2010-03-01,58.91,58.91,58.04,58.25,41.87,3237300
2010-03-02,57.47,58.1,56.74,57.85,41.59,6698900
2010-03-03,57.48,57.9,57.43,57.55,41.82,2707500
2010-03-04,57.81,57.96,57.15,57.56,41.84,3249500
2010-03-05,57.76,57.97,57.32,57.63,41.89,3110600
2010-03-08,57.73,57.78,57.24,57.64,41.89,2808000
2010-03-09,57.54,57.83,57.52,57.54,41.82,2237600
2010-03-10,57.62,57.62,56.81,57.03,41.45,3925800
2010-03-11,57.16,57.29,56.79,57.25,41.61,3142100
2010-03-12,57.34,57.74,57.12,57.6,41.86,3848600
2010-03-15,57.67,57.86,57.39,57.86,42.05,2612800
2010-03-16,57.32,58.04,57.29,58.03,42.18,4531100
2010-03-17,58.11,58.5,57.77,58.42,42.46,3021600
2010-03-18,58.5,58.81,58.31,58.76,42.71,3073300
2010-03-19,58.9,59.05,58.56,58.9,42.81,3874400
2010-03-22,58.93,60.46,58.93,60.4,43.9,4978600
2010-03-23,60.67,60.98,60.26,60.89,44.25,3363800
2010-03-24,60.87,60.87,60.12,60.3,43.82,2036300
2010-03-25,60.51,60.74,60.0,60.44,43.93,3352600
2010-03-26,60.47,60.69,59.92,60.22,43.77,2709900
2010-03-29,60.29,60.81,60.12,60.61,44.05,2140300
2010-03-30,60.72,60.82,60.35,60.54,44.0,1673200
2010-03-31,60.33,60.53,59.93,60.29,43.82,2123000
2010-04-01,60.58,60.58,59.42,59.92,43.55,3379800
2010-04-05,60.26,60.29,59.53,59.69,43.38,2433000
2010-04-06,59.68,59.87,59.11,59.64,43.34,2472000
2010-04-07,59.3,59.42,58.86,59.0,42.88,2967400
2010-04-08,58.84,59.08,58.66,58.8,42.74,2460000
2010-04-09,58.79,59.14,58.58,59.14,42.98,1950400
2010-04-12,59.39,59.44,58.66,58.86,42.78,2524500
2010-04-13,58.84,58.89,58.39,58.54,42.55,2541100
2010-04-14,58.6,58.81,58.27,58.72,42.67,2731500
2010-04-15,58.58,59.35,58.46,59.05,42.92,2560600
2010-04-16,58.78,59.66,58.78,59.27,43.08,2866200
2010-04-19,59.14,59.63,59.14,59.59,43.31,3446600
2010-04-20,59.85,59.99,59.42,59.95,43.57,3274800
2010-04-21,60.11,60.44,59.92,60.35,43.86,2917300
2010-04-22,60.1,60.16,59.06,59.56,43.29,3557900
2010-04-23,59.71,59.71,58.02,58.42,42.46,4470900
2010-04-26,59.01,59.01,58.15,58.43,42.46,4012300
2010-04-27,58.36,58.94,58.19,58.22,42.31,3968800
2010-04-28,58.51,58.88,58.03,58.5,42.52,2939100
2010-04-29,58.78,59.08,58.33,58.75,42.7,2516900
2010-04-30,58.9,59.48,58.72,58.73,42.69,3103800
2010-05-03,58.81,58.95,58.43,58.63,42.61,2589800
2010-05-04,58.27,58.89,58.04,58.67,42.64,4438600
2010-05-05,58.61,59.46,58.61,58.98,42.87,3414000
2010-05-06,58.83,59.27,57.32,58.57,42.57,6829800
2010-05-07,58.4,58.73,57.68,58.49,42.51,9021300
2010-05-10,59.85,60.54,59.74,60.34,43.85,6814700
2010-05-11,60.05,60.63,59.9,60.2,43.75,3361000
2010-05-12,60.39,60.5,59.72,60.21,43.76,3669300
2010-05-13,60.26,60.32,59.58,59.62,43.33,2438800
2010-05-14,59.41,59.64,58.86,59.07,42.93,2868900
2010-05-17,59.26,59.88,58.92,59.72,43.4,3102000
2010-05-18,60.07,60.25,59.3,59.44,43.2,3724800
2010-05-19,59.25,59.84,58.76,59.44,43.2,4402500
2010-05-20,58.49,59.56,58.43,58.71,42.67,6159900
2010-05-21,58.02,59.11,57.55,59.08,42.94,4779800
2010-05-24,58.86,59.11,58.43,58.47,42.49,2834200
2010-05-25,57.76,58.19,57.11,58.05,42.19,4659900
2010-05-26,58.34,58.66,57.73,57.77,41.98,3250400
2010-05-27,58.37,58.67,58.03,58.66,42.63,2442400
2010-05-28,58.83,58.84,58.1,58.2,42.3,3144800
2010-06-01,57.93,59.33,57.63,58.6,42.59,4903300
2010-06-02,58.14,58.58,57.54,58.58,43.04,3235400
2010-06-03,58.72,58.92,58.41,58.75,43.17,2612700
2010-06-04,58.23,58.32,57.51,57.7,42.39,6540800
2010-06-07,57.71,58.72,57.71,58.37,42.89,4374900
2010-06-08,58.37,59.19,58.24,59.12,43.43,3921300
2010-06-09,59.24,59.6,58.9,59.22,43.51,3083100
2010-06-10,59.76,60.06,59.51,59.65,43.83,3009100
2010-06-11,59.41,59.64,58.88,59.59,43.78,2393500
2010-06-14,59.93,60.27,59.85,59.88,43.99,2645500
2010-06-15,60.15,60.46,60.05,60.43,44.4,2525400
2010-06-16,60.18,60.58,60.12,60.24,44.26,2717000
2010-06-17,60.57,60.63,59.93,60.53,44.47,2495200
2010-06-18,60.69,60.78,60.14,60.19,44.22,2663700
2010-06-21,60.72,60.87,59.89,60.11,44.16,2201200
2010-06-22,60.11,60.55,59.74,59.8,43.93,2620000
2010-06-23,59.74,59.95,59.42,59.76,43.91,2453700
2010-06-24,59.55,59.82,59.21,59.34,43.6,3505000
