Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.58,28.61,28.45,28.52,21.27,13870400
2010-01-05,28.42,28.5,28.07,28.17,21.01,23172400
2010-01-06,28.17,28.22,27.99,28.17,21.01,19264600
2010-01-07,28.17,28.18,27.88,28.09,20.95,13234600
2010-01-08,27.73,27.82,27.38,27.58,20.57,28712400
2010-01-11,27.58,28.23,27.4,28.14,20.98,28642400
2010-01-12,28.05,28.5,28.03,28.44,21.21,23269800
2010-01-13,28.43,28.72,28.34,28.51,21.27,15157400
2010-01-14,28.52,28.62,28.39,28.57,21.3,12392600
2010-01-15,28.48,28.67,28.02,28.15,20.99,27460800
2010-01-19,28.11,28.25,27.96,28.21,21.04,14615400
2010-01-20,28.08,28.19,27.65,27.75,20.7,18810200
2010-01-21,27.77,27.79,27.09,27.18,20.27,27396800
2010-01-22,27.17,27.43,26.99,27.12,20.23,23551400
2010-01-25,27.25,27.27,26.94,27.17,20.27,16853200
2010-01-26,27.03,27.25,26.93,27.07,20.19,15515000
2010-01-27,27.0,27.33,26.85,27.25,20.33,20414800
2010-01-28,27.35,27.42,27.07,27.09,20.2,20905200
2010-01-29,27.22,27.47,26.95,27.12,20.23,22146800
2010-02-01,27.25,27.28,27.0,27.19,20.28,14517600
2010-02-02,27.26,27.6,27.08,27.52,20.53,16888600
2010-02-03,27.46,27.48,27.26,27.43,20.46,15899400
2010-02-04,27.27,27.34,26.7,26.72,19.92,21342800
2010-02-05,26.62,26.72,26.26,26.55,19.8,29285000
2010-02-08,26.64,26.64,26.28,26.33,19.63,16721200
2010-02-09,26.84,27.49,26.68,27.0,20.14,31495000
2010-02-10,27.3,27.3,26.58,26.9,20.06,18717600
2010-02-11,26.8,27.17,26.64,27.11,20.22,26327200
2010-02-12,26.96,27.2,26.81,26.99,20.13,24640000
2010-02-16,27.25,27.41,26.97,27.41,20.44,19339400
2010-02-17,27.41,27.77,27.38,27.67,20.63,17064600
2010-02-18,27.58,27.96,27.58,27.95,20.85,17264600
2010-02-19,27.9,27.95,27.59,27.86,20.78,18944800
2010-02-22,27.9,27.93,27.64,27.69,20.65,13487600
2010-02-23,27.7,27.8,27.4,27.42,20.45,14835600
2010-02-24,27.5,27.59,27.34,27.58,20.57,14470600
2010-02-25,26.57,26.79,26.31,26.56,19.81,63648600
2010-02-26,26.55,26.55,26.11,26.36,19.66,63095400
2010-03-01,26.61,26.68,26.4,26.64,19.86,39449800
2010-03-02,26.69,26.84,26.58,26.65,19.88,24506200
2010-03-03,26.65,27.06,26.59,26.97,20.11,26574200
2010-03-04,27.35,27.52,27.16,27.24,20.31,28983200
2010-03-05,27.34,27.48,27.18,27.35,20.4,24238600
2010-03-08,27.36,27.43,27.16,27.23,20.31,18915600
2010-03-09,27.17,27.3,26.98,27.09,20.2,23070000
2010-03-10,27.13,27.18,27.02,27.1,20.21,21574800
2010-03-11,26.89,26.89,26.5,26.8,20.15,29130600
2010-03-12,26.84,26.89,26.63,26.67,20.06,22334400
2010-03-15,26.86,26.92,26.68,26.83,20.17,23874000
2010-03-16,26.9,26.93,26.78,26.85,20.19,22287800
2010-03-17,26.91,27.0,26.8,26.92,20.24,26074400
2010-03-18,26.95,27.02,26.87,26.98,20.28,23496200
2010-03-19,27.38,27.53,26.8,27.38,20.58,43610800
2010-03-22,27.25,27.42,27.2,27.27,20.5,18127400
2010-03-23,27.35,27.67,27.2,27.65,20.79,19081200
2010-03-24,27.61,27.68,27.31,27.31,20.53,17052600
2010-03-25,27.45,27.59,27.33,27.4,20.6,16638800
2010-03-26,27.4,27.49,27.25,27.33,20.55,16276800
2010-03-29,27.4,27.48,27.33,27.39,20.59,13853600
2010-03-30,27.45,27.52,27.31,27.43,20.63,13631600
2010-03-31,27.4,27.65,27.25,27.5,20.68,22922000
2010-04-01,27.68,27.72,27.57,27.65,20.79,14346000
2010-04-05,27.78,27.78,27.33,27.43,20.62,19191800
