Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.27,10.32,10.22,10.24,8.72,12718800
2010-01-05,10.25,10.27,10.09,10.12,8.61,19904000
2010-01-06,10.12,10.17,10.01,10.12,8.62,25134000
2010-01-07,10.12,10.23,10.03,10.23,8.7,21133400
2010-01-08,10.23,10.23,10.06,10.13,8.62,20974200
2010-01-11,10.11,10.19,10.07,10.17,8.66,14955600
2010-01-12,10.23,10.47,10.2,10.35,8.81,21871200
2010-01-13,10.4,10.45,10.11,10.31,8.78,17547800
2010-01-14,10.28,10.35,10.23,10.31,8.78,13050000
2010-01-15,10.32,10.36,10.24,10.36,8.82,16530400
2010-01-19,10.34,10.56,10.32,10.55,8.97,17032000
2010-01-20,10.52,10.82,10.44,10.8,9.19,24235600
2010-01-21,10.74,10.91,10.7,10.76,9.16,29565400
2010-01-22,10.73,10.98,10.68,10.89,9.26,28954000
2010-01-25,10.9,10.95,10.83,10.91,9.29,19007800
2010-01-26,10.82,10.92,10.77,10.8,9.19,14440800
2010-01-27,10.81,10.88,10.64,10.77,9.16,15561000
2010-01-28,10.65,10.85,10.62,10.67,9.08,11232400
2010-01-29,10.68,10.81,10.66,10.72,9.12,14122200
2010-02-01,10.77,10.85,10.7,10.74,9.14,12513800
2010-02-02,10.77,10.88,10.65,10.81,9.2,14047400
2010-02-03,10.77,10.84,10.72,10.76,9.16,13558600
2010-02-04,10.7,10.82,10.56,10.58,9.0,21101000
2010-02-05,10.57,10.68,10.5,10.59,9.01,15802000
2010-02-08,10.59,10.65,10.48,10.56,8.99,12450600
2010-02-09,10.7,10.7,10.6,10.69,9.09,10143600
2010-02-10,10.64,10.7,10.59,10.61,9.07,9254800
2010-02-11,10.58,10.75,10.56,10.72,9.16,11000000
2010-02-12,10.66,10.73,10.63,10.68,9.13,9158200
2010-02-16,10.74,10.81,10.67,10.79,9.22,8427600
2010-02-17,10.85,10.98,10.81,10.86,9.29,13549800
2010-02-18,10.81,11.03,10.78,11.0,9.4,12215600
2010-02-19,10.95,11.07,10.94,11.05,9.44,10295800
2010-02-22,11.04,11.14,11.0,11.05,9.45,9430400
2010-02-23,11.02,11.06,10.81,10.85,9.27,13706600
2010-02-24,10.85,10.96,10.78,10.94,9.36,9683800
2010-02-25,10.79,11.21,10.65,11.15,9.54,26174800
2010-02-26,11.12,11.19,11.05,11.05,9.45,17161800
2010-03-01,11.09,11.23,11.01,11.2,9.58,13523400
2010-03-02,11.23,11.41,11.22,11.34,9.69,18667000
2010-03-03,11.06,11.31,11.02,11.27,9.63,23363000
2010-03-04,11.28,11.36,11.23,11.35,9.7,8489800
2010-03-05,11.35,11.42,11.22,11.37,9.72,11277000
2010-03-08,11.39,11.59,11.34,11.45,9.79,25473800
2010-03-09,11.2,11.53,11.1,11.18,9.55,42406000
2010-03-10,11.19,11.26,11.02,11.07,9.47,18987600
2010-03-11,11.07,11.12,10.85,10.89,9.31,22206400
2010-03-12,10.91,11.16,10.9,11.14,9.52,21034800
2010-03-15,11.15,11.17,11.03,11.15,9.53,9080600
2010-03-16,11.14,11.23,11.1,11.15,9.53,9968400
2010-03-17,11.19,11.26,11.14,11.22,9.59,11505400
2010-03-18,11.2,11.23,11.11,11.12,9.51,13277000
2010-03-19,10.82,11.12,10.74,10.82,9.25,29720200
2010-03-22,10.85,10.85,10.62,10.66,9.12,23742600
2010-03-23,10.65,10.77,10.65,10.69,9.14,15575800
2010-03-24,10.67,10.69,10.56,10.62,9.08,17574600
2010-03-25,10.65,10.72,10.6,10.62,9.08,12291600
2010-03-26,10.65,10.68,10.55,10.6,9.07,10534400
2010-03-29,10.6,10.72,10.6,10.67,9.12,9823400
2010-03-30,10.68,10.76,10.65,10.72,9.16,12289000
2010-03-31,10.71,10.88,10.68,10.83,9.26,14883000
2010-04-01,10.88,10.99,10.87,10.94,9.35,15016800
2010-04-05,10.94,11.02,10.89,11.02,9.42,10793400
2010-04-06,10.97,10.99,10.93,10.97,9.38,11033400
2010-04-07,10.98,11.19,10.97,11.12,9.51,18735400
2010-04-08,11.07,11.23,10.99,11.19,9.57,16610600
2010-04-09,11.16,11.27,11.1,11.27,9.63,11292200
2010-04-12,11.3,11.33,11.18,11.27,9.63,13937600
2010-04-13,11.22,11.36,11.21,11.34,9.69,11088000
2010-04-14,11.29,11.57,11.28,11.57,9.89,18410800
2010-04-15,11.52,11.72,11.46,11.7,10.0,20191800
2010-04-16,11.63,11.88,11.63,11.82,10.1,32814000
2010-04-19,11.81,11.85,11.64,11.75,10.04,14851800
2010-04-20,11.75,11.82,11.65,11.7,10.01,14302200
2010-04-21,11.7,11.78,11.68,11.75,10.04,9097000
2010-04-22,11.72,11.88,11.59,11.84,10.12,15794000
2010-04-23,11.85,11.86,11.73,11.85,10.13,12156200
2010-04-26,11.82,11.88,11.71,11.8,10.08,12406000
2010-04-27,11.73,11.77,11.45,11.45,9.79,16521000
2010-04-28,11.5,11.6,11.45,11.55,9.87,10020400
2010-04-29,11.59,11.62,11.23,11.25,9.62,22914800
2010-04-30,11.28,11.33,11.1,11.11,9.5,21303600
2010-05-03,11.14,11.43,11.14,11.37,9.72,15496800
2010-05-04,11.3,11.41,11.27,11.3,9.66,19637400
2010-05-05,11.26,11.39,11.22,11.27,9.64,20042400
2010-05-06,11.24,11.27,10.7,11.01,9.41,20886800
2010-05-07,11.1,11.28,10.76,10.77,9.21,31845600
2010-05-10,11.06,11.19,10.98,11.1,9.49,15047600
2010-05-11,11.05,11.23,11.03,11.08,9.47,12728200
2010-05-12,11.07,11.16,10.98,11.06,9.5,16701400
2010-05-13,11.07,11.43,11.07,11.27,9.67,20089400
2010-05-14,11.23,11.3,11.09,11.12,9.55,16569800
2010-05-17,11.15,11.23,10.98,11.04,9.48,22330600
2010-05-18,11.1,11.37,11.07,11.19,9.61,18811800
2010-05-19,11.16,11.33,11.14,11.24,9.65,15160400
2010-05-20,11.08,11.12,10.76,10.76,9.23,19668800
2010-05-21,10.68,10.76,10.49,10.63,9.13,25712200
2010-05-24,10.59,10.6,10.34,10.34,8.87,24052400
2010-05-25,10.15,10.22,10.02,10.1,8.68,34862800
2010-05-26,10.16,10.23,9.89,9.91,8.51,42261200
2010-05-27,10.08,10.08,9.85,9.93,8.52,32122200
2010-05-28,9.95,10.23,9.93,10.06,8.64,28117600
2010-06-01,10.03,10.15,9.89,9.94,8.53,15638800
2010-06-02,10.02,10.12,9.95,10.03,8.61,13742000
2010-06-03,10.06,10.13,9.9,9.99,8.58,14333600
2010-06-04,9.88,9.94,9.63,9.66,8.29,16951800
2010-06-07,9.65,9.72,9.57,9.58,8.23,10124400
2010-06-08,9.6,9.82,9.54,9.82,8.43,25429200
2010-06-09,9.91,9.95,9.7,9.76,8.38,20980200
2010-06-10,9.86,9.98,9.78,9.89,8.49,14964600
2010-06-11,9.79,10.06,9.79,9.99,8.58,16544600
2010-06-14,9.98,10.04,9.85,9.86,8.47,12479800
2010-06-15,9.88,10.19,9.86,10.19,8.75,21834200
2010-06-16,10.15,10.19,9.95,10.04,8.62,17633200
2010-06-17,10.62,10.72,10.3,10.38,8.91,38285200
2010-06-18,10.16,10.34,9.99,10.03,8.61,25155000
2010-06-21,10.13,10.13,9.91,9.95,8.55,18130000
2010-06-22,9.93,10.16,9.93,10.09,8.66,23179400
2010-06-23,10.07,10.23,9.97,10.13,8.7,16152000
2010-06-24,10.06,10.23,10.03,10.08,8.65,19347600
2010-06-25,10.07,10.15,10.0,10.11,8.68,27163400
2010-06-28,10.06,10.19,9.97,10.14,8.7,14428800
2010-06-29,10.02,10.07,9.84,9.9,8.5,23995000
2010-06-30,9.88,9.95,9.8,9.85,8.45,20382200
2010-07-01,9.91,10.07,9.78,10.01,8.59,26348200
2010-07-02,10.02,10.02,9.85,9.93,8.53,12946600
2010-07-06,10.02,10.15,9.9,10.01,8.59,21992000
2010-07-07,10.04,10.26,9.95,10.23,8.78,18497400
2010-07-08,10.23,10.3,10.14,10.26,8.81,10789200
2010-07-09,10.28,10.31,10.14,10.23,8.78,9844000
2010-07-12,10.23,10.26,10.15,10.23,8.79,10669200
2010-07-13,10.3,10.41,10.22,10.39,8.92,20162800
2010-07-14,10.45,10.45,10.26,10.36,8.9,13852200
2010-07-15,10.38,10.44,10.27,10.4,8.92,16595200
2010-07-16,10.39,10.4,10.16,10.19,8.74,14136600
2010-07-19,10.2,10.24,10.03,10.05,8.63,15563600
2010-07-20,9.98,10.26,9.98,10.24,8.8,21216600
2010-07-21,10.25,10.44,10.19,10.31,8.85,21317000
2010-07-22,10.28,10.36,10.09,10.22,8.77,29499200
2010-07-23,10.15,10.42,10.15,10.4,8.93,20906400
2010-07-26,10.45,10.57,10.35,10.56,9.07,14438400
2010-07-27,10.59,10.69,10.5,10.64,9.14,12701800
2010-07-28,10.61,10.65,10.47,10.51,9.02,10375600
2010-07-29,10.53,10.64,10.48,10.57,9.08,12692200
2010-07-30,10.5,10.64,10.5,10.59,9.09,8429600
2010-08-02,10.69,10.77,10.65,10.69,9.18,21101800
2010-08-03,10.64,10.86,10.6,10.79,9.26,12109000
2010-08-04,10.84,10.92,10.76,10.89,9.35,11447800
2010-08-05,10.85,11.06,10.79,10.99,9.44,13125600
2010-08-06,10.92,11.11,10.88,11.1,9.53,19683200
2010-08-09,11.11,11.19,11.06,11.1,9.53,10217600
2010-08-10,11.03,11.25,10.98,11.22,9.63,13816000
2010-08-11,11.06,11.1,10.99,11.01,9.45,9815400
2010-08-12,10.88,11.02,10.81,10.97,9.46,9889800
2010-08-13,10.93,11.01,10.82,11.0,9.49,9444800
2010-08-16,10.99,11.02,10.93,10.96,9.45,8775600
2010-08-17,10.99,11.06,10.94,11.02,9.5,7532000
2010-08-18,10.92,10.92,10.59,10.7,9.23,18369000
2010-08-19,10.67,10.69,10.49,10.55,9.09,13039800
2010-08-20,10.46,10.59,10.45,10.56,9.11,7882400
2010-08-23,10.64,10.69,10.45,10.45,9.02,12025200
2010-08-24,10.35,10.43,10.23,10.27,8.86,10781000
2010-08-25,10.23,10.39,10.19,10.35,8.92,6946800
2010-08-26,10.35,10.38,10.16,10.18,8.78,8300400
2010-08-27,10.23,10.24,10.09,10.16,8.77,10725600
2010-08-30,10.15,10.18,9.96,9.96,8.59,9734200
2010-08-31,10.0,10.0,9.84,9.86,8.51,10325000
2010-09-01,9.95,10.12,9.92,10.03,8.65,11108400
2010-09-02,10.03,10.2,10.03,10.19,8.79,7221400
2010-09-03,10.22,10.35,10.15,10.35,8.92,8867600
2010-09-07,10.34,10.42,10.3,10.35,8.92,10046800
2010-09-08,10.35,10.44,10.28,10.35,8.92,11324200
2010-09-09,10.48,10.57,10.43,10.51,9.06,11644400
2010-09-10,10.5,10.69,10.5,10.62,9.16,14243400
2010-09-13,10.7,10.7,10.47,10.52,9.07,11989400
2010-09-14,10.81,10.97,10.63,10.63,9.17,20311400
2010-09-15,10.6,10.78,10.59,10.74,9.27,9586200
2010-09-16,10.74,10.98,10.71,10.94,9.43,16643600
2010-09-17,11.0,11.07,10.81,10.9,9.39,16692000
2010-09-20,10.9,10.95,10.74,10.94,9.43,13397200
2010-09-21,10.94,10.94,10.77,10.8,9.31,9280400
2010-09-22,10.81,10.88,10.73,10.81,9.32,10154400
2010-09-23,10.72,11.0,10.71,10.94,9.43,12030400
2010-09-24,11.01,11.15,10.98,11.05,9.52,8724000
2010-09-27,11.01,11.03,10.94,10.96,9.45,10280000
2010-09-28,10.99,11.0,10.8,10.94,9.43,12804200
2010-09-29,10.91,10.92,10.77,10.81,9.33,11561400
2010-09-30,10.9,10.97,10.76,10.83,9.34,11982800
2010-10-01,10.93,10.93,10.77,10.86,9.36,10960200
2010-10-04,10.86,10.86,10.65,10.68,9.21,11807000
2010-10-05,10.72,10.89,10.68,10.69,9.21,19230000
2010-10-06,10.68,10.73,10.61,10.61,9.15,14023200
2010-10-07,10.65,10.69,10.59,10.66,9.19,16400400
2010-10-08,10.65,10.7,10.55,10.65,9.18,13852600
2010-10-11,10.62,10.82,10.6,10.8,9.31,11113200
2010-10-12,10.77,10.85,10.72,10.85,9.35,9584200
2010-10-13,10.87,11.06,10.85,11.01,9.49,13812000
2010-10-14,10.98,11.19,10.94,11.07,9.55,17462600
2010-10-15,11.1,11.15,11.0,11.01,9.49,12814200
2010-10-18,11.01,11.15,10.97,11.1,9.57,12335600
2010-10-19,10.94,10.97,10.69,10.71,9.24,18631400
2010-10-20,10.73,10.94,10.7,10.88,9.38,9957600
2010-10-21,10.89,10.93,10.78,10.88,9.38,8722200
2010-10-22,10.86,10.96,10.82,10.9,9.4,8005800
2010-10-25,10.91,10.98,10.88,10.88,9.38,7496600
2010-10-26,10.87,11.1,10.84,11.03,9.52,12726800
2010-10-27,10.94,11.11,10.86,11.1,9.57,11595800
2010-10-28,11.1,11.12,10.97,11.09,9.56,12074200
2010-10-29,11.07,11.09,10.98,11.0,9.49,10965200
2010-11-01,11.02,11.13,10.93,11.01,9.49,6458200
2010-11-02,11.1,11.32,11.03,11.27,9.72,13170000
2010-11-03,11.31,11.41,11.24,11.38,9.81,10550800
2010-11-04,11.53,11.73,11.5,11.6,10.01,14492000
2010-11-05,11.62,11.62,11.43,11.56,9.96,9535600
2010-11-08,11.49,11.53,11.33,11.35,9.79,10252400
2010-11-09,11.4,11.48,11.27,11.36,9.8,11691800
2010-11-10,11.3,11.44,11.27,11.33,9.82,9651200
2010-11-11,11.26,11.32,11.2,11.32,9.81,6341800
2010-11-12,11.3,11.52,11.24,11.49,9.96,13297800
2010-11-15,11.52,11.58,11.43,11.43,9.9,8161800
2010-11-16,11.32,11.44,11.21,11.22,9.72,10411200
2010-11-17,11.23,11.47,11.2,11.4,9.88,11621400
2010-11-18,11.45,11.49,11.35,11.38,9.86,9892200
2010-11-19,11.27,11.46,11.27,11.41,9.89,8532400
2010-11-22,11.35,11.57,11.35,11.56,10.02,10745000
2010-11-23,11.52,11.57,11.47,11.51,9.97,15711800
2010-11-24,11.53,11.59,11.45,11.51,9.97,10748800
2010-11-26,11.47,11.61,11.43,11.53,9.99,6109800
2010-11-29,11.48,11.57,11.38,11.54,10.0,14879600
2010-11-30,11.48,11.81,11.47,11.77,10.2,23523000
2010-12-01,11.9,12.07,11.74,11.93,10.33,30123200
2010-12-02,10.95,11.15,10.68,10.81,9.37,79428600
2010-12-03,10.72,10.73,10.5,10.56,9.14,31964000
2010-12-06,10.52,10.56,10.31,10.31,8.94,30293000
2010-12-07,10.38,10.49,10.31,10.34,8.96,21920000
