Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,54.5,54.75,53.9,53.98,39.88,3239900
2010-01-05,53.88,54.19,53.49,54.02,39.91,2539600
2010-01-06,54.18,55.02,53.91,54.72,40.43,3207800
2010-01-07,54.6,54.6,52.28,53.46,39.5,8330300
2010-01-08,53.45,53.45,52.51,52.83,39.03,3438100
2010-01-11,53.05,53.22,52.08,52.75,38.97,2474500
2010-01-12,52.49,52.51,50.86,51.57,38.1,5313900
2010-01-13,51.67,52.35,51.61,52.2,38.57,3496400
2010-01-14,51.69,51.9,51.37,51.69,38.19,3808000
2010-01-15,51.58,52.15,51.22,51.51,38.06,4142800
2010-01-19,51.38,52.27,51.2,52.18,38.55,7446700
2010-01-20,51.9,52.08,51.14,51.5,38.05,3799700
2010-01-21,51.63,52.5,50.82,51.27,37.88,5178200
2010-01-22,51.22,52.08,50.34,50.45,37.27,5391000
2010-01-25,50.91,51.06,49.92,50.29,37.16,3675900
2010-01-26,50.21,51.05,49.87,50.25,37.13,3879100
2010-01-27,50.2,50.83,50.01,50.51,37.32,3953200
2010-01-28,50.77,51.05,50.36,50.53,37.33,5394400
2010-01-29,50.75,51.32,50.33,50.37,37.21,3870600
2010-02-01,50.61,50.95,50.19,50.92,37.62,2953600
2010-02-02,51.07,52.15,51.07,51.92,38.36,3979000
2010-02-03,51.92,52.34,51.43,52.14,38.52,4669300
2010-02-04,51.71,51.95,49.98,50.07,36.99,6902100
2010-02-05,50.15,50.35,48.4,49.32,36.44,6202800
2010-02-08,49.34,49.97,48.84,49.2,36.35,4472800
2010-02-09,49.72,50.2,49.2,49.85,36.83,4549700
2010-02-10,49.86,50.26,49.46,49.7,36.72,3253500
2010-02-11,49.49,49.79,49.11,49.44,36.53,3765400
2010-02-12,49.05,50.03,48.77,49.83,36.82,2976600
2010-02-16,50.13,50.73,49.92,50.65,37.42,2610000
2010-02-17,50.9,51.32,50.78,51.21,37.84,2202500
2010-02-18,51.03,51.51,50.56,51.36,37.95,2721000
2010-02-19,51.32,51.94,51.3,51.74,38.23,2528300
2010-02-22,51.77,51.77,51.07,51.13,37.78,2983300
2010-02-23,50.53,51.54,50.39,50.93,37.63,2924000
2010-02-24,51.15,51.67,50.5,51.59,38.12,4503500
2010-02-25,51.01,54.45,51.01,54.08,39.96,10299500
2010-02-26,54.13,54.56,53.82,53.82,39.76,3269800
2010-03-01,54.07,54.35,53.75,53.94,39.85,2632600
2010-03-02,53.99,54.2,53.03,53.23,39.33,4071700
2010-03-03,53.34,53.41,52.65,53.1,39.23,3111600
2010-03-04,52.41,53.84,52.41,53.79,39.74,5647800
2010-03-05,54.14,54.77,53.68,54.7,40.41,3651700
2010-03-08,54.77,54.88,54.32,54.46,40.24,2248800
2010-03-09,54.13,54.44,53.93,54.1,39.97,2312300
2010-03-10,54.09,54.56,52.88,53.13,39.25,5911800
2010-03-11,52.92,53.25,52.59,53.25,39.34,4532500
2010-03-12,53.51,53.82,53.14,53.67,39.65,2484100
2010-03-15,53.5,54.41,53.5,54.41,40.2,2921600
2010-03-16,54.46,55.06,54.13,55.03,40.66,3955200
2010-03-17,55.17,55.51,54.8,54.99,40.63,3807300
2010-03-18,55.08,55.14,54.23,54.48,40.25,2195100
2010-03-19,55.26,55.67,54.86,55.26,40.83,4787200
2010-03-22,54.81,55.93,54.61,55.72,41.17,3145000
2010-03-23,55.79,56.44,55.34,56.37,41.65,2398200
2010-03-24,56.25,56.53,55.76,56.06,41.42,2734700
2010-03-25,56.41,56.82,55.99,56.22,41.54,3034700
2010-03-26,56.32,56.59,55.86,56.18,41.51,3343800
2010-03-29,56.56,56.62,55.39,55.74,41.18,2066300
2010-03-30,55.77,56.14,55.06,55.25,40.82,2428700
2010-03-31,55.11,55.19,54.29,54.78,40.47,4454200
2010-04-01,55.06,55.58,55.01,55.34,40.89,2142800
2010-04-05,55.52,57.67,55.52,57.42,42.42,4862200
2010-04-06,57.35,57.76,57.13,57.5,42.48,3727200
2010-04-07,57.32,57.5,56.5,57.14,42.22,3920700
2010-04-08,56.82,57.41,55.56,56.63,41.84,7671600
2010-04-09,56.93,57.06,56.41,56.84,42.0,3207900
2010-04-12,56.57,56.97,55.96,55.98,41.36,3528200
2010-04-13,56.18,56.77,55.92,56.49,41.74,4312100
2010-04-14,56.43,57.21,56.0,56.9,42.04,3791500
2010-04-15,56.72,57.95,56.59,57.68,42.62,4272100
2010-04-16,57.59,57.93,56.92,57.14,42.22,3582400
2010-04-19,57.13,57.52,55.81,56.76,41.94,2603500
2010-04-20,56.82,57.36,55.87,56.25,41.56,3649800
2010-04-21,56.14,56.84,56.02,56.34,41.63,3622300
2010-04-22,56.1,58.99,55.8,58.57,43.27,4960000
2010-04-23,58.67,58.74,57.81,58.48,43.21,3292700
2010-04-26,58.62,58.63,57.68,57.86,42.75,3461100
2010-04-27,57.58,58.11,56.76,56.8,41.97,3487800
2010-04-28,56.83,57.51,56.19,56.42,41.68,3231200
2010-04-29,56.67,57.5,56.28,56.56,41.79,2593400
2010-04-30,56.56,56.72,54.8,54.99,40.63,3743800
2010-05-03,55.07,57.24,55.07,56.97,42.09,3621500
2010-05-04,56.64,56.66,55.47,55.66,41.12,4300300
2010-05-05,55.09,57.31,55.05,56.1,41.45,3717700
2010-05-06,55.81,56.84,53.03,54.57,40.32,5541900
2010-05-07,54.3,57.09,52.67,53.68,39.66,6525400
2010-05-10,55.55,56.55,55.28,56.55,41.78,4838900
2010-05-11,55.9,57.35,55.9,56.72,41.91,3818500
2010-05-12,56.96,57.29,56.24,57.15,42.22,3661000
2010-05-13,56.64,56.64,53.61,53.81,39.76,13095400
2010-05-14,54.27,54.49,52.97,53.45,39.49,5006700
2010-05-17,53.45,53.99,52.73,53.64,39.63,4161100
2010-05-18,54.06,54.47,52.5,52.67,38.91,3856400
2010-05-19,52.42,53.34,51.9,52.53,38.81,3981800
2010-05-20,51.24,52.13,50.89,51.02,37.7,4963400
2010-05-21,50.29,52.21,50.29,51.77,38.25,6204000
2010-05-24,51.63,52.04,50.93,50.97,37.66,3573300
2010-05-25,49.9,50.9,49.43,50.78,37.52,5940400
2010-05-26,51.03,51.03,49.22,49.41,36.51,5341400
2010-05-27,50.08,50.56,49.23,50.52,37.33,6582700
2010-05-28,50.61,51.67,50.37,50.75,37.5,4660000
2010-06-01,50.49,51.64,50.23,50.76,37.5,5073200
2010-06-02,50.86,51.62,50.62,51.62,38.14,5369600
2010-06-03,52.65,53.2,51.59,52.1,38.49,5772100
2010-06-04,50.79,51.45,49.89,50.08,37.0,4992500
2010-06-07,50.25,50.65,48.9,49.0,36.2,3520100
2010-06-08,48.98,49.76,48.53,49.51,36.58,4342200
2010-06-09,49.87,50.93,49.78,50.19,37.08,4588700
2010-06-10,51.03,51.48,50.59,51.29,37.89,4197400
2010-06-11,50.62,51.82,50.47,51.66,38.17,4091000
2010-06-14,52.04,52.78,51.76,52.29,38.63,4522500
2010-06-15,52.3,53.68,51.6,53.66,39.65,7442800
2010-06-16,53.34,53.67,52.92,53.24,39.34,5422100
2010-06-17,53.31,53.31,52.08,52.77,38.99,3568500
2010-06-18,52.93,53.25,52.52,52.7,38.94,3363900
2010-06-21,53.03,53.28,51.68,51.97,38.4,4230900
2010-06-22,51.76,52.46,50.57,50.66,37.43,4096700
2010-06-23,50.6,51.48,50.15,51.14,37.78,2789500
2010-06-24,50.6,50.75,49.57,49.74,36.75,4067100
2010-06-25,49.85,50.22,49.42,49.52,36.59,4607800
2010-06-28,49.71,50.12,49.21,49.52,36.59,2783500
2010-06-29,48.93,48.93,47.36,47.68,35.23,4724300
2010-06-30,47.73,48.48,47.34,47.5,35.09,5225800
2010-07-01,47.31,48.81,47.28,48.66,35.95,5500100
2010-07-02,48.73,49.36,48.2,48.28,35.67,3430300
2010-07-06,48.83,49.15,47.07,47.56,35.14,4164400
2010-07-07,47.56,48.55,47.38,48.53,35.86,3365900
2010-07-08,48.13,48.14,46.18,47.97,35.44,11351100
2010-07-09,48.0,48.2,47.51,48.02,35.48,4335200
2010-07-12,47.8,47.87,46.71,47.2,34.87,4510200
2010-07-13,47.75,48.17,47.34,47.88,35.38,4725800
2010-07-14,47.86,47.9,46.91,47.2,34.87,3729300
2010-07-15,47.06,47.87,46.84,47.7,35.24,4243800
2010-07-16,47.54,47.64,46.31,46.42,34.3,3220200
2010-07-19,46.52,46.97,45.73,46.17,34.11,5293800
2010-07-20,45.63,47.42,45.29,47.31,34.95,6437200
2010-07-21,47.52,47.52,46.37,46.57,34.41,4723600
2010-07-22,47.07,48.2,47.07,47.95,35.43,3411700
2010-07-23,47.82,48.56,47.5,48.54,35.86,3219200
2010-07-26,48.64,49.63,48.33,49.4,36.5,4462500
2010-07-27,49.58,49.66,48.34,48.5,35.83,3454200
2010-07-28,48.37,48.64,47.8,47.9,35.39,2654600
2010-07-29,48.25,48.38,46.63,47.25,34.91,4295300
2010-07-30,46.89,47.88,46.51,47.69,35.23,3807500
2010-08-02,48.29,49.41,48.04,48.99,36.2,5231700
2010-08-03,49.11,49.12,46.78,46.95,34.69,5212100
2010-08-04,47.19,47.47,46.79,47.09,34.79,4307100
2010-08-05,47.08,49.04,46.8,49.0,36.2,9008600
2010-08-06,48.18,49.02,47.93,48.63,35.93,4552700
2010-08-09,48.81,49.01,48.48,48.86,36.1,3663600
2010-08-10,48.55,48.65,47.98,48.43,35.78,4052900
2010-08-11,48.35,48.35,47.44,47.78,35.3,3880700
2010-08-12,46.46,46.99,45.57,46.5,34.36,15119200
2010-08-13,46.27,46.46,44.94,44.99,33.24,5964600
2010-08-16,44.58,44.78,44.07,44.27,32.71,4898900
2010-08-17,44.67,45.51,44.47,45.31,33.48,4348600
2010-08-18,45.25,47.29,44.99,47.0,34.72,6347200
2010-08-19,46.75,47.13,46.49,46.72,34.52,5215700
2010-08-20,46.39,46.64,45.81,46.32,34.22,4930200
2010-08-23,46.39,46.93,45.97,46.64,34.46,3564700
2010-08-24,46.11,46.45,45.83,46.21,34.14,5587700
2010-08-25,45.89,47.98,45.89,47.62,35.18,6219900
2010-08-26,47.7,47.93,46.97,46.97,34.7,4836300
2010-08-27,47.27,47.63,46.37,47.21,34.88,5111400
2010-08-30,47.09,47.21,46.48,46.55,34.39,4312900
2010-08-31,46.37,47.32,46.33,46.94,34.68,4796100
2010-09-01,47.33,48.62,47.32,48.4,35.76,4710500
2010-09-02,48.95,49.4,48.48,49.31,36.43,5642900
2010-09-03,49.94,50.25,49.37,49.56,36.62,4110000
2010-09-07,49.33,49.9,48.93,49.06,36.25,3647800
2010-09-08,49.14,49.53,48.35,48.9,36.13,3944500
2010-09-09,49.38,49.64,48.28,48.45,35.8,2569300
2010-09-10,48.53,48.99,48.42,48.66,35.95,2370700
2010-09-13,49.13,49.38,48.29,48.49,35.83,4658000
2010-09-14,48.81,50.8,48.81,50.13,37.04,5781800
2010-09-15,49.95,50.18,49.28,50.14,37.04,5014900
2010-09-16,50.06,50.64,49.88,50.64,37.41,3250000
2010-09-17,50.73,50.96,49.76,50.9,37.61,5703800
2010-09-20,51.1,51.92,50.75,51.79,38.26,3037300
2010-09-21,51.83,51.99,51.13,51.5,38.05,2620300
2010-09-22,51.34,51.75,51.01,51.12,37.77,3479200
2010-09-23,50.77,51.74,50.5,50.91,37.61,2119800
2010-09-24,51.72,52.63,51.33,52.31,38.65,4241700
2010-09-27,52.17,52.57,52.12,52.14,38.52,3353100
2010-09-28,52.14,53.19,51.49,52.98,39.14,3192000
2010-09-29,52.95,53.16,52.73,52.96,39.13,2379300
2010-09-30,53.33,53.44,52.26,52.68,38.92,2864700
2010-10-01,53.22,53.51,52.5,52.64,38.89,2812500
2010-10-04,52.29,52.9,51.92,52.39,38.71,3540000
2010-10-05,52.75,52.87,52.13,52.6,38.86,4728900
2010-10-06,52.61,53.07,52.26,53.07,39.21,4586900
2010-10-07,53.1,53.1,51.91,52.78,39.0,5220600
2010-10-08,53.0,54.22,52.77,53.76,39.72,3856100
2010-10-11,53.86,54.12,53.32,53.56,39.57,2392500
2010-10-12,53.6,53.71,52.96,53.46,39.5,2589000
2010-10-13,53.73,53.83,52.94,53.01,39.17,3001500
2010-10-14,53.03,53.58,51.87,52.33,38.66,5694400
2010-10-15,52.81,53.24,51.97,53.17,39.28,4613400
2010-10-18,53.32,53.45,52.45,52.93,39.11,3514400
2010-10-19,52.38,52.62,51.64,51.99,38.41,3716300
2010-10-20,52.11,52.28,51.76,51.94,38.37,3232400
2010-10-21,52.11,53.25,52.0,52.73,38.96,5514900
2010-10-22,52.72,53.17,52.18,52.89,39.08,2704700
2010-10-25,53.11,53.99,52.74,52.85,39.05,3594700
2010-10-26,52.62,53.11,51.93,52.48,38.77,3817400
2010-10-27,52.1,52.19,51.26,51.91,38.35,3831900
2010-10-28,52.17,52.42,51.4,51.99,38.41,2621000
2010-10-29,51.8,51.92,51.0,51.22,37.84,4634000
2010-11-01,51.45,52.03,51.02,51.64,38.15,4544800
2010-11-02,51.74,51.9,50.98,51.23,37.85,6139200
2010-11-03,51.37,51.48,50.09,50.76,37.5,6549600
2010-11-04,50.97,52.18,48.99,51.92,38.36,24136800
2010-11-05,52.0,53.35,51.3,53.3,39.38,6575500
2010-11-08,53.35,53.35,52.62,53.25,39.34,3812500
2010-11-09,53.24,53.35,52.0,52.29,38.63,3481700
2010-11-10,52.57,52.84,51.51,52.26,38.61,4351900
2010-11-11,52.2,52.88,51.7,52.41,38.72,7198500
2010-11-12,52.0,52.5,50.77,51.42,37.99,5813000
2010-11-15,51.43,51.92,50.81,50.95,37.64,3356700
2010-11-16,50.63,51.22,50.25,50.65,37.42,5406900
2010-11-17,50.72,52.85,50.71,52.8,39.01,8585300
2010-11-18,53.92,54.32,53.47,53.62,39.62,5648800
2010-11-19,53.65,55.09,53.4,55.01,40.64,6131400
2010-11-22,54.73,55.95,54.54,55.37,40.91,5293500
2010-11-23,54.92,55.98,54.86,55.84,41.26,5353300
2010-11-24,56.18,57.58,56.05,57.55,42.52,5667900
2010-11-26,57.03,58.0,57.0,57.34,42.36,3023200
2010-11-29,56.98,57.2,55.96,56.44,41.7,4842200
2010-11-30,55.6,57.1,55.56,56.42,41.68,5321800
2010-12-01,57.04,57.24,55.7,56.02,41.39,6731600
2010-12-02,55.8,56.2,54.94,55.03,40.66,8160300
2010-12-03,54.98,55.04,54.05,55.01,40.64,4635800
2010-12-06,55.42,55.42,54.76,55.0,40.64,3246600
2010-12-07,55.51,55.94,54.35,54.58,40.33,6608100
2010-12-08,54.56,54.83,53.37,54.41,40.2,7148400
