Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.8,37.29,36.59,37.18,35.07,2210900
2010-01-05,37.22,37.42,36.77,37.38,35.26,1975600
2010-01-06,37.39,37.7,37.11,37.64,35.51,1324300
2010-01-07,37.53,38.01,37.28,37.92,35.77,1979400
2010-01-08,37.73,37.95,37.62,37.89,35.74,1159400
2010-01-11,38.18,38.18,37.7,37.92,35.77,1390600
2010-01-12,37.66,37.94,37.5,37.62,35.49,1565400
2010-01-13,37.73,38.01,37.51,37.92,35.77,1566100
2010-01-14,37.75,38.02,37.57,37.91,35.76,1279600
2010-01-15,37.73,37.87,37.03,37.21,35.1,1678600
2010-01-19,37.08,38.18,37.07,38.16,36.0,2078300
2010-01-20,37.96,38.04,37.31,37.6,35.47,2015800
2010-01-21,38.41,38.41,36.81,37.19,35.08,2503500
2010-01-22,36.92,37.28,35.68,35.73,33.71,2884400
2010-01-25,36.16,36.44,35.91,36.09,34.05,1754900
2010-01-26,35.96,36.68,35.95,36.04,34.0,1808700
2010-01-27,35.93,36.44,35.82,36.38,34.32,2365500
2010-01-28,36.54,36.66,35.46,35.93,33.89,1755100
2010-01-29,36.1,36.52,35.66,35.77,33.74,2594500
2010-02-01,35.89,36.47,35.86,36.41,34.35,1738300
2010-02-02,36.4,37.08,36.24,37.06,34.96,1625800
2010-02-03,36.83,36.95,36.54,36.63,34.56,982500
2010-02-04,36.42,36.5,35.32,35.33,33.33,2979200
2010-02-05,35.32,35.47,34.59,35.37,33.37,3097500
2010-02-08,35.01,35.52,34.24,34.76,32.79,2513100
2010-02-09,35.13,35.44,34.85,35.22,33.23,2060900
2010-02-10,35.14,35.34,34.81,35.03,33.05,2185500
2010-02-11,35.04,35.23,34.6,35.21,33.22,2099400
2010-02-12,34.9,35.25,34.24,35.17,33.18,3247200
2010-02-16,35.54,36.13,35.39,36.12,34.07,2151600
2010-02-17,36.23,36.49,35.89,36.17,34.12,1524000
2010-02-18,35.98,36.54,35.98,36.44,34.38,1292000
2010-02-19,36.32,36.71,36.11,36.55,34.48,1423900
