Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.88,36.6,33.99,34.36,21.61,2679300
2010-01-05,34.05,34.27,33.61,33.95,21.36,2738800
2010-01-06,34.03,34.38,32.74,32.88,20.68,2814800
2010-01-07,32.92,33.22,32.19,33.01,20.76,2928000
2010-01-08,33.13,33.13,31.81,32.39,20.37,2201600
2010-01-11,32.87,33.04,32.35,32.48,20.43,1480400
2010-01-12,32.05,32.51,31.5,31.79,19.99,1733800
2010-01-13,31.81,32.65,31.53,32.53,20.46,1580800
2010-01-14,32.38,33.01,31.93,32.81,20.64,1576800
2010-01-15,32.72,32.85,32.21,32.33,20.33,1386300
2010-01-19,32.34,33.85,32.33,33.67,21.18,1789800
2010-01-20,33.21,33.88,33.04,33.23,20.9,2145700
2010-01-21,33.43,33.53,31.82,31.93,20.08,2167400
2010-01-22,31.87,32.58,31.01,31.11,19.57,1895000
2010-01-25,31.73,32.02,30.75,31.95,20.1,1387500
2010-01-26,31.76,32.12,30.89,30.94,19.46,1501200
2010-01-27,30.79,31.65,30.34,31.5,19.81,1823600
2010-01-28,31.66,31.69,30.28,30.66,19.28,1386900
2010-01-29,30.93,31.41,29.85,30.42,19.14,2171000
2010-02-01,30.68,31.27,30.56,31.02,19.51,1623200
2010-02-02,31.26,32.21,30.76,31.56,19.85,2471000
2010-02-03,31.31,31.48,30.36,30.85,19.4,1237100
2010-02-04,30.43,30.58,29.74,29.75,18.71,2709800
2010-02-05,29.88,30.94,29.75,30.88,19.42,2355400
2010-02-08,30.69,31.06,30.16,30.16,18.97,1774500
2010-02-09,30.73,30.75,29.76,30.08,18.92,2690100
2010-02-10,30.0,30.78,29.62,30.15,18.96,1770300
2010-02-11,29.75,30.11,29.3,29.97,18.89,2445200
2010-02-12,29.73,31.02,29.42,30.85,19.44,2402100
2010-02-16,31.25,32.07,30.95,32.0,20.17,2111200
2010-02-17,32.01,33.88,32.01,33.68,21.23,2907500
2010-02-18,33.41,34.31,33.12,34.06,21.47,2456700
2010-02-19,34.04,34.29,33.56,33.64,21.2,1761800
2010-02-22,33.85,33.9,33.3,33.37,21.03,1576000
