Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,44.34,44.39,43.8,43.9,35.44,6109400.0
2010-01-05,44.0,44.81,43.75,44.8,36.16,6568600.0
2010-01-06,44.69,45.46,44.42,45.33,36.76,7470700.0
2010-01-07,45.35,45.81,45.02,45.75,37.1,6895200.0
2010-01-08,45.64,46.09,45.45,45.99,37.29,4947200.0
2010-01-11,46.24,46.34,45.72,45.81,37.15,4339400.0
2010-01-12,45.42,45.87,45.24,45.32,36.75,4321600.0
2010-01-13,45.31,45.75,45.23,45.58,36.96,3999800.0
2010-01-14,45.5,46.08,45.34,45.98,37.28,4260600.0
2010-01-15,45.9,46.02,45.21,45.61,36.98,5663300.0
2010-01-19,45.82,46.5,45.68,46.03,37.33,6034400.0
2010-01-20,45.84,46.66,45.32,45.61,36.98,4489100.0
2010-01-21,45.65,45.76,44.05,44.09,35.75,8339400.0
2010-01-22,43.97,44.35,43.25,43.3,35.11,6425100.0
2010-01-25,43.61,44.38,43.23,44.05,35.72,4732200.0
2010-01-26,43.96,44.21,43.58,43.76,35.48,5735400.0
2010-01-27,43.64,43.84,42.95,43.59,35.35,4824800.0
2010-01-28,43.74,44.08,42.86,43.17,35.01,5019600.0
2010-01-29,43.4,43.9,42.84,42.89,34.78,6485700.0
2010-02-01,42.98,43.42,42.7,43.15,34.99,5434500.0
2010-02-02,43.29,44.51,43.05,44.27,35.9,7906000.0
2010-02-03,44.12,44.35,43.83,44.0,35.68,3638600.0
2010-02-04,43.11,43.38,42.2,42.26,34.27,8256600.0
2010-02-05,42.23,42.25,41.1,41.67,33.79,10079800.0
2010-02-08,41.63,42.19,41.29,41.79,33.89,6700000.0
2010-02-09,42.08,42.87,42.0,42.36,34.35,6409900.0
2010-02-10,42.23,42.57,41.33,42.15,34.18,4993900.0
2010-02-11,42.2,42.35,41.52,42.3,34.3,5440000.0
2010-02-12,41.94,42.56,41.61,42.44,34.41,6242400.0
2010-02-16,42.64,43.15,42.31,42.97,34.84,6859600.0
2010-02-17,42.98,43.75,42.9,43.47,35.25,5773700.0
2010-02-18,43.47,43.82,43.38,43.81,35.52,3861900.0
2010-02-19,43.66,43.96,43.09,43.7,35.44,4807100.0
2010-02-22,43.69,43.94,43.45,43.66,35.4,4819200.0
2010-02-23,42.82,43.41,42.57,42.87,34.76,11667900.0
2010-02-24,43.05,43.65,42.79,43.59,35.35,5280600.0
2010-02-25,42.81,43.53,42.65,43.44,35.22,6026200.0
2010-02-26,43.57,43.9,43.34,43.4,35.19,4865800.0
2010-03-01,43.5,44.15,43.41,43.92,35.61,5026200.0
2010-03-02,44.06,44.97,44.04,44.75,36.29,7571800.0
2010-03-03,44.82,44.96,44.61,44.67,36.22,3444000.0
2010-03-04,44.76,45.3,44.57,44.82,36.34,4051300.0
2010-03-05,44.91,45.5,44.91,45.5,36.9,3896900.0
2010-03-08,45.39,45.46,44.77,44.81,36.34,3616000.0
2010-03-09,44.65,44.9,44.48,44.74,36.28,3348300.0
2010-03-10,44.69,44.99,44.55,44.63,36.19,4350000.0
2010-03-11,44.45,44.5,43.85,44.34,35.95,5482900.0
2010-03-12,44.4,44.48,43.59,43.94,35.63,4366800.0
2010-03-15,45.25,46.07,45.05,45.81,37.15,12646200.0
2010-03-16,45.73,45.75,44.93,45.12,36.59,8785300.0
2010-03-17,45.15,45.24,44.74,44.95,36.45,5571700.0
2010-03-18,45.06,45.22,44.81,45.17,36.63,4745800.0
2010-03-19,44.79,45.73,44.54,44.79,36.32,7525400.0
2010-03-22,45.13,46.35,45.07,45.8,37.14,6555300.0
2010-03-23,45.93,46.06,45.47,45.72,37.07,4439600.0
2010-03-24,45.62,45.7,45.01,45.31,36.74,4643300.0
2010-03-25,45.54,45.58,44.93,44.98,36.47,5077300.0
2010-03-26,45.04,45.04,44.4,44.49,36.08,5369300.0
2010-03-29,44.65,45.2,44.49,45.07,36.55,4788100.0
2010-03-30,45.36,45.47,45.02,45.05,36.53,4226300.0
2010-03-31,44.98,45.28,44.75,45.03,36.51,5839700.0
2010-04-01,45.31,45.72,45.16,45.67,37.03,5127500.0
2010-04-05,45.69,46.0,45.6,45.74,37.09,4293100.0
2010-04-06,45.6,45.68,45.25,45.44,36.85,3565400.0
2010-04-07,45.06,45.25,44.69,44.78,36.48,4062300.0
2010-04-08,44.72,45.12,44.62,44.88,36.56,5463300.0
2010-04-09,44.79,45.61,44.79,45.43,37.01,5608400.0
2010-04-12,45.6,45.84,45.22,45.43,37.01,5444000.0
2010-04-13,45.27,45.52,45.2,45.45,37.02,4824300.0
2010-04-14,45.34,45.8,45.11,45.71,37.23,4974600.0
2010-04-15,45.64,45.79,45.45,45.79,37.3,4000500.0
2010-04-16,45.67,45.74,44.68,44.9,36.57,6954600.0
2010-04-19,44.86,44.91,44.56,44.83,36.52,5416800.0
2010-04-20,44.93,45.31,44.92,45.17,36.79,3565500.0
2010-04-21,45.05,45.15,44.39,44.67,36.39,5908800.0
2010-04-22,44.5,44.5,43.62,44.15,35.96,4945700.0
2010-04-23,44.22,44.45,43.78,44.21,36.01,5099500.0
2010-04-26,44.18,44.5,43.97,44.06,35.89,3197400.0
2010-04-27,44.25,44.44,43.36,43.42,35.37,6321700.0
2010-04-28,43.49,43.7,43.06,43.34,35.3,6757900.0
2010-04-29,43.69,44.35,43.68,43.84,35.71,4861000.0
2010-04-30,44.05,44.28,43.64,43.69,35.59,5837200.0
2010-05-03,43.68,44.31,43.4,44.13,35.95,4099500.0
2010-05-04,43.78,43.98,43.17,43.39,35.34,6009500.0
2010-05-05,43.02,43.78,42.82,43.0,35.03,7175600.0
2010-05-06,42.8,43.52,39.88,41.86,34.1,10058100.0
2010-05-07,41.66,41.84,40.21,41.25,33.6,13596700.0
2010-05-10,43.13,43.23,41.94,42.73,34.81,8194500.0
2010-05-11,42.71,43.1,42.28,42.67,34.76,6556500.0
2010-05-12,42.53,43.42,42.41,43.3,35.27,6628800.0
2010-05-13,43.24,43.54,43.05,43.09,35.1,3790700.0
2010-05-14,42.94,43.51,41.96,42.39,34.53,6156500.0
2010-05-17,42.39,42.79,41.98,42.53,34.64,5395100.0
2010-05-18,42.7,43.3,42.31,42.35,34.5,5814600.0
2010-05-19,42.12,42.28,41.55,41.76,34.02,7246100.0
2010-05-20,41.04,41.25,40.32,40.32,32.84,9568200.0
2010-05-21,39.6,40.68,39.1,40.33,32.85,10745700.0
2010-05-24,40.12,41.29,39.92,40.64,33.1,8114300.0
2010-05-25,40.03,40.19,39.13,39.95,32.54,10444000.0
2010-05-26,39.92,40.08,39.1,39.14,31.88,8986600.0
2010-05-27,39.42,39.67,38.73,39.41,32.1,10155200.0
2010-05-28,39.31,39.9,39.12,39.18,31.91,8913100.0
2010-06-01,38.86,39.05,38.24,38.3,31.2,7534100.0
2010-06-02,38.51,39.1,38.31,39.08,31.83,6332500.0
2010-06-03,39.28,39.5,38.98,39.23,31.96,5454300.0
2010-06-04,38.62,38.9,37.87,38.0,30.95,6785600.0
2010-06-07,38.08,38.28,37.69,37.71,30.72,6355300.0
2010-06-08,37.8,37.88,37.31,37.64,30.66,9285400.0
2010-06-09,37.86,38.24,37.43,37.52,30.56,5456900.0
2010-06-10,38.01,38.59,37.96,38.17,31.09,7981800.0
2010-06-11,37.85,38.19,37.77,38.13,31.06,7140400.0
2010-06-14,38.33,39.24,38.33,38.82,31.62,7506800.0
2010-06-15,39.04,39.19,38.6,38.8,31.61,5805000.0
2010-06-16,38.61,39.19,38.55,39.12,31.87,6017900.0
2010-06-17,39.16,39.34,38.7,38.97,31.74,7693500.0
2010-06-18,39.06,39.16,38.62,38.87,31.66,6932800.0
2010-06-21,39.22,39.25,38.51,38.68,31.51,6405400.0
2010-06-22,38.65,38.98,38.05,38.08,31.02,5011500.0
2010-06-23,37.45,37.71,36.93,37.51,30.55,9618300.0
2010-06-24,37.34,37.52,36.8,36.85,30.02,7325900.0
2010-06-25,36.85,37.14,36.7,36.86,30.02,13962200.0
2010-06-28,37.05,37.25,36.74,36.87,30.03,4861900.0
2010-06-29,36.77,36.96,35.85,36.21,29.5,9128500.0
