Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.98,32.39,31.6,32.35,24.99,5348500
2010-01-05,32.16,33.18,32.09,33.1,25.57,6288000
2010-01-06,33.08,33.51,32.81,33.44,25.83,4722000
2010-01-07,33.21,33.97,32.99,33.91,26.19,7066000
2010-01-08,33.69,34.11,33.37,34.09,26.33,5395400
2010-01-11,34.45,34.67,34.06,34.31,26.5,8013200
2010-01-12,34.76,35.04,34.18,34.32,26.51,7270700
2010-01-13,34.39,34.64,33.55,33.8,26.11,7478000
2010-01-14,33.76,34.26,33.04,34.12,26.35,6330300
2010-01-15,33.89,33.89,33.28,33.73,26.06,8547700
2010-01-19,33.75,35.93,33.55,35.07,27.09,16577200
2010-01-20,34.71,34.76,33.87,34.49,26.64,7655100
2010-01-21,33.69,34.27,32.63,33.29,25.71,12712800
2010-01-22,33.17,33.25,32.07,32.19,24.87,9272300
2010-01-25,32.65,33.08,32.34,32.45,25.07,5194200
2010-01-26,32.07,32.87,31.7,31.84,24.6,5466800
2010-01-27,31.85,32.58,31.48,32.44,25.06,6360500
2010-01-28,32.5,32.63,31.48,31.76,24.53,5678500
2010-01-29,32.12,32.38,31.34,31.48,24.32,5509100
2010-02-01,32.17,32.79,31.81,32.03,24.74,5295100
2010-02-02,32.52,32.66,31.77,32.42,25.04,7118700
2010-02-03,31.54,31.73,30.59,31.02,23.96,16874600
2010-02-04,31.31,31.52,30.6,30.95,23.91,14933000
2010-02-05,31.22,31.51,29.92,30.91,23.87,11624500
2010-02-08,30.85,30.88,29.95,29.98,23.16,7146200
2010-02-09,30.3,31.84,29.77,31.33,24.2,18333100
2010-02-10,31.28,31.46,30.78,31.13,24.05,8246400
2010-02-11,30.93,30.99,30.58,30.78,23.78,7678700
2010-02-12,30.41,30.94,30.04,30.87,23.85,8534000
2010-02-16,31.26,31.4,30.71,31.25,24.14,7745000
2010-02-17,31.4,31.52,30.95,31.08,24.01,6831200
2010-02-18,30.96,31.22,30.96,31.06,23.99,7162700
2010-02-19,30.93,31.41,30.71,31.22,24.12,8700400
2010-02-22,31.3,31.58,31.11,31.43,24.28,7150100
2010-02-23,31.38,31.54,30.63,31.05,23.98,8419200
2010-02-24,31.01,31.77,30.86,31.72,24.5,6359700
2010-02-25,31.37,31.97,31.03,31.94,24.67,9399300
2010-02-26,31.99,32.63,31.56,32.43,25.05,10848200
2010-03-01,32.54,33.24,32.32,32.57,25.16,5968900
2010-03-02,32.65,32.9,32.4,32.79,25.33,5082300
