Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.21,22.22,21.79,21.87,17.23,3680300
2010-01-05,21.78,21.91,21.17,21.34,16.82,4433900
2010-01-06,21.9,22.02,21.62,21.99,17.33,6425800
2010-01-07,22.18,22.31,21.85,22.27,17.55,4979500
2010-01-08,22.11,22.53,21.98,22.16,17.46,2544200
2010-01-11,22.24,22.24,21.94,22.08,17.4,2556000
2010-01-12,21.92,21.98,21.51,21.86,17.23,5357900
2010-01-13,21.99,21.99,21.77,21.86,17.23,3581700
2010-01-14,21.76,21.99,21.71,21.99,17.33,2491900
2010-01-15,21.88,21.95,21.75,21.87,17.23,4159200
2010-01-19,21.85,22.02,21.79,22.02,17.35,4199900
2010-01-20,21.93,21.93,21.63,21.82,17.2,2764500
2010-01-21,21.84,21.98,21.39,21.89,17.25,4665800
2010-01-22,21.91,22.1,21.77,21.9,17.26,5302700
2010-01-25,22.09,22.2,21.9,22.01,17.34,3192700
2010-01-26,21.99,22.11,21.83,21.95,17.3,4582000
2010-01-27,21.67,21.86,21.57,21.81,17.35,3522200
2010-01-28,21.89,21.89,21.54,21.71,17.27,2785200
2010-01-29,21.74,21.87,21.53,21.56,17.15,3029700
2010-02-01,21.64,21.78,21.53,21.68,17.24,2487300
2010-02-02,21.7,22.38,21.55,22.35,17.77,4060900
2010-02-03,22.34,22.41,22.19,22.25,17.7,2415100
2010-02-04,22.16,22.27,22.0,22.02,17.51,4859700
2010-02-05,22.01,22.23,21.7,22.2,17.66,5277400
2010-02-08,22.14,22.28,21.9,21.9,17.42,2668800
2010-02-09,22.02,22.3,21.97,22.19,17.65,2175700
2010-02-10,22.14,22.31,21.84,22.1,17.58,3355300
2010-02-11,22.06,22.22,21.74,22.14,17.61,2980000
2010-02-12,22.0,22.08,21.75,22.05,17.54,3671900
2010-02-16,22.27,22.39,22.09,22.39,17.81,2486800
2010-02-17,22.7,23.02,22.7,22.78,18.12,3299600
2010-02-18,22.69,23.34,22.68,22.87,18.19,2663500
2010-02-19,22.76,22.82,22.59,22.79,18.12,2732600
2010-02-22,22.79,22.82,22.66,22.75,18.09,2087600
2010-02-23,22.72,22.97,22.6,22.78,18.12,3946800
2010-02-24,22.8,23.1,22.79,23.08,18.36,2592700
2010-02-25,22.9,23.21,22.74,23.19,18.44,3087300
2010-02-26,23.19,23.33,23.1,23.22,18.47,2948600
2010-03-01,23.21,23.37,23.09,23.34,18.56,2089200
2010-03-02,23.38,23.42,23.2,23.38,18.59,1776500
2010-03-03,23.34,23.5,23.27,23.39,18.6,1851700
2010-03-04,23.33,23.48,23.23,23.38,18.59,2692800
2010-03-05,23.4,23.79,23.18,23.79,18.92,3291200
2010-03-08,23.7,23.8,23.57,23.72,18.86,2201100
2010-03-09,23.62,24.05,23.23,24.0,19.09,3637000
2010-03-10,24.03,24.06,23.85,24.01,19.09,2860800
2010-03-11,23.94,24.07,23.75,24.07,19.14,2043200
2010-03-12,24.23,24.25,23.91,24.02,19.1,2652600
2010-03-15,23.92,24.28,23.87,24.23,19.27,2976400
2010-03-16,24.37,24.54,24.12,24.49,19.48,4580700
2010-03-17,24.56,24.7,24.41,24.6,19.56,5143700
2010-03-18,24.56,24.77,24.46,24.6,19.56,2978700
2010-03-19,24.59,24.79,24.48,24.59,19.56,5390000
2010-03-22,24.07,24.55,24.07,24.51,19.49,2589700
2010-03-23,24.53,24.66,24.44,24.62,19.58,2788500
2010-03-24,24.59,24.66,24.45,24.47,19.46,2930600
2010-03-25,24.47,24.75,24.4,24.47,19.46,3678600
2010-03-26,24.53,24.67,24.43,24.58,19.55,2544900
2010-03-29,24.7,24.79,24.62,24.77,19.7,2137700
2010-03-30,24.84,24.84,24.51,24.55,19.52,1919900
2010-03-31,24.43,24.53,24.32,24.42,19.42,2781100
2010-04-01,24.53,24.64,24.32,24.43,19.43,2444900
2010-04-05,24.46,24.49,24.36,24.46,19.45,1550900
2010-04-06,24.38,24.53,24.3,24.53,19.51,2247900
2010-04-07,24.32,24.44,24.14,24.18,19.39,3467100
2010-04-08,24.1,24.34,24.1,24.21,19.41,2871500
2010-04-09,24.23,24.36,24.13,24.34,19.52,2348600
2010-04-12,24.28,24.56,24.18,24.53,19.67,2443400
2010-04-13,24.43,24.72,24.42,24.67,19.78,1903100
2010-04-14,24.68,25.07,24.63,25.05,20.09,3279000
2010-04-15,25.09,25.47,24.97,25.35,20.33,3780100
2010-04-16,25.25,25.37,24.66,24.66,19.77,4542800
2010-04-19,24.53,24.75,24.34,24.75,19.85,2353700
2010-04-20,24.89,25.0,24.69,24.92,19.98,1945200
2010-04-21,24.9,24.91,24.57,24.78,19.87,2419100
2010-04-22,24.63,24.85,24.45,24.79,19.88,2659800
2010-04-23,24.77,24.78,24.61,24.72,19.82,2555800
2010-04-26,24.66,24.92,24.54,24.73,19.83,1737200
2010-04-27,24.59,25.05,24.06,24.09,19.32,3373200
2010-04-28,24.28,24.4,23.99,24.07,19.3,3305700
2010-04-29,24.2,24.89,24.16,24.79,19.88,4014100
2010-04-30,24.87,24.87,24.15,24.22,19.42,3517500
2010-05-03,24.37,24.59,24.19,24.57,19.7,3043500
2010-05-04,24.23,24.5,23.86,23.97,19.22,3297400
2010-05-05,23.83,24.05,23.41,23.49,18.83,3574800
2010-05-06,23.39,23.61,21.64,22.53,18.07,6066800
2010-05-07,22.52,22.74,22.05,22.29,17.87,5682000
2010-05-10,22.96,23.28,22.74,23.01,18.45,4259800
2010-05-11,22.81,23.51,22.62,23.17,18.58,3761100
2010-05-12,23.21,23.53,23.04,23.48,18.83,2635300
2010-05-13,23.4,23.45,23.13,23.13,18.55,2890200
2010-05-14,22.97,23.11,22.63,22.79,18.27,3401400
2010-05-17,22.84,23.06,22.65,22.92,18.38,3658300
2010-05-18,23.09,23.27,22.42,22.48,18.03,3488800
2010-05-19,22.42,22.61,21.85,22.25,17.84,3738100
2010-05-20,21.83,22.09,21.41,21.41,17.17,4549900
2010-05-21,21.16,21.73,21.01,21.72,17.42,5279300
2010-05-24,21.72,21.75,21.33,21.34,17.11,2812600
2010-05-25,20.97,21.34,20.79,21.32,17.09,3359800
2010-05-26,21.43,21.51,21.11,21.19,16.99,2967900
2010-05-27,21.44,21.86,21.33,21.83,17.5,2988800
2010-05-28,21.84,22.03,21.6,21.81,17.49,4048700
2010-06-01,21.65,21.72,21.26,21.28,17.06,3664400
2010-06-02,21.41,21.73,21.27,21.73,17.42,3263700
2010-06-03,21.69,21.88,21.6,21.86,17.53,2733500
2010-06-04,21.38,21.66,20.9,20.99,16.83,4013000
2010-06-07,21.61,21.61,20.56,20.57,16.49,5285300
2010-06-08,20.66,20.94,20.21,20.89,16.75,5489600
2010-06-09,21.01,21.34,20.93,21.05,16.88,5147300
2010-06-10,21.28,21.71,21.19,21.71,17.41,4258000
2010-06-11,21.54,22.14,21.45,22.08,17.7,5161600
2010-06-14,23.41,23.89,22.75,22.85,18.32,9545600
2010-06-15,22.84,23.1,22.63,23.1,18.52,4317800
2010-06-16,22.81,23.16,22.76,23.15,18.56,3584900
2010-06-17,23.16,23.25,22.96,23.2,18.6,4512800
2010-06-18,23.21,23.38,22.96,23.14,18.55,4712700
2010-06-21,23.32,23.51,22.99,23.09,18.51,2246200
2010-06-22,23.14,23.24,22.87,22.95,18.4,3986100
2010-06-23,22.99,23.45,22.85,23.03,18.47,3443500
2010-06-24,22.98,23.1,22.81,22.91,18.37,5335200
2010-06-25,23.02,23.25,22.72,23.25,18.64,11789700
2010-06-28,23.19,25.32,23.1,23.24,18.63,3530800
2010-06-29,22.82,23.14,22.72,22.87,18.34,5882900
2010-06-30,22.79,22.99,22.51,22.55,18.08,4509700
2010-07-01,22.48,22.62,22.13,22.43,17.99,3293700
2010-07-02,22.47,22.61,22.21,22.38,17.94,2575100
2010-07-06,22.56,22.73,22.17,22.36,17.93,3037800
2010-07-07,22.39,22.91,22.15,22.87,18.5,3618400
2010-07-08,23.04,23.04,22.53,22.78,18.43,4368200
2010-07-09,22.77,23.13,22.68,23.11,18.7,3811200
2010-07-12,23.02,23.02,22.41,22.64,18.32,3985000
2010-07-13,22.86,23.34,22.83,23.26,18.82,4228500
2010-07-14,23.14,23.17,22.95,23.06,18.66,5008700
2010-07-15,23.06,23.09,22.72,23.03,18.63,2544400
2010-07-16,22.84,23.01,22.43,22.47,18.18,5312700
2010-07-19,22.55,22.6,22.3,22.56,18.25,2925800
2010-07-20,22.26,22.82,22.21,22.81,18.45,2563300
2010-07-21,23.06,23.06,22.33,22.42,18.14,3005600
2010-07-22,22.66,23.09,22.57,23.09,18.68,3757800
2010-07-23,23.01,23.25,22.93,23.22,18.79,2066300
2010-07-26,22.98,23.56,22.85,23.56,19.06,2466200
2010-07-27,23.7,23.73,23.34,23.53,19.04,2550200
2010-07-28,23.43,23.49,23.2,23.26,18.82,1945700
2010-07-29,23.42,23.5,22.96,23.2,18.77,2883500
2010-07-30,22.94,23.62,22.9,23.52,19.03,2570900
2010-08-02,23.87,23.97,23.69,23.88,19.32,2868600
2010-08-03,23.88,24.02,23.59,23.93,19.36,3258600
2010-08-04,23.85,24.05,23.73,23.96,19.39,2600700
2010-08-05,23.81,24.2,23.73,24.15,19.54,2388800
2010-08-06,23.88,24.12,23.65,23.99,19.41,2715200
2010-08-09,24.03,24.14,23.82,24.09,19.49,2080900
2010-08-10,23.85,24.17,23.75,24.1,19.5,1869800
2010-08-11,23.79,23.79,23.56,23.6,19.09,3110700
2010-08-12,23.35,23.66,23.17,23.62,19.11,2808900
2010-08-13,23.57,23.68,23.46,23.49,19.0,1764500
2010-08-16,23.39,23.47,23.17,23.31,18.86,1983300
2010-08-17,23.49,23.89,23.49,23.8,19.26,1888700
2010-08-18,23.75,24.12,23.43,23.91,19.34,2528300
2010-08-19,23.79,23.79,23.2,23.21,18.78,3873900
2010-08-20,23.01,23.17,22.85,23.14,18.72,4058700
2010-08-23,23.29,23.64,23.15,23.45,18.97,4168900
2010-08-24,23.18,23.41,23.08,23.27,18.83,3196000
2010-08-25,23.1,23.44,23.08,23.38,18.92,3513100
2010-08-26,23.42,23.53,23.32,23.35,18.89,2801700
2010-08-27,23.5,23.97,23.33,23.96,19.39,2623800
2010-08-30,23.83,23.89,23.64,23.67,19.15,2976300
2010-08-31,23.61,23.86,23.49,23.72,19.19,3856900
2010-09-01,23.99,24.34,23.9,24.33,19.68,3735000
2010-09-02,24.36,24.37,24.15,24.3,19.66,3439900
2010-09-03,24.53,24.61,24.36,24.58,19.89,2646500
2010-09-07,24.35,24.45,24.01,24.05,19.46,3870500
2010-09-08,24.11,24.28,24.07,24.16,19.55,2506500
2010-09-09,24.42,24.48,24.09,24.24,19.61,2224400
2010-09-10,24.31,24.34,24.09,24.12,19.51,3651300
2010-09-13,24.43,24.5,23.99,24.15,19.54,4574700
2010-09-14,24.05,24.13,23.87,24.04,19.45,5047900
2010-09-15,23.92,24.24,23.83,24.22,19.6,2900300
2010-09-16,24.12,24.12,23.92,24.04,19.45,2103100
2010-09-17,24.13,24.47,24.13,24.27,19.64,3718600
2010-09-20,24.29,24.51,24.23,24.48,19.81,2495200
2010-09-21,24.46,24.54,24.25,24.33,19.68,2397300
2010-09-22,24.3,24.34,23.81,23.89,19.33,2829800
2010-09-23,23.65,23.84,23.48,23.48,19.0,2252800
2010-09-24,23.74,24.34,23.72,24.34,19.69,3214700
2010-09-27,24.15,24.34,23.96,24.16,19.55,2479800
2010-09-28,24.15,24.38,23.95,24.33,19.68,2375600
2010-09-29,24.18,24.34,24.01,24.23,19.6,2082600
2010-09-30,24.27,24.72,24.11,24.12,19.51,3701100
2010-10-01,24.35,24.35,23.8,23.92,19.35,2535900
2010-10-04,23.83,23.88,23.57,23.65,19.13,3601200
2010-10-05,23.84,24.07,23.5,24.01,19.43,3740300
2010-10-06,23.75,23.82,23.64,23.77,19.4,2118100
2010-10-07,23.87,23.88,23.49,23.53,19.21,2271300
2010-10-08,23.5,23.8,23.4,23.72,19.36,2719500
2010-10-11,23.77,24.0,23.7,23.87,19.48,2404700
2010-10-12,23.76,23.98,23.59,23.95,19.55,2404600
2010-10-13,24.0,24.18,23.84,24.09,19.66,2978300
2010-10-14,24.01,24.17,23.88,24.0,19.59,3495900
2010-10-15,24.18,24.24,23.84,23.92,19.52,2749000
2010-10-18,23.95,24.36,23.94,24.35,19.87,2424200
2010-10-19,24.09,24.54,24.06,24.39,19.91,4187500
2010-10-20,24.44,24.8,24.34,24.76,20.21,2942600
2010-10-21,24.83,25.19,24.69,25.15,20.53,3957400
2010-10-22,25.14,25.29,25.03,25.19,20.56,3355300
2010-10-25,25.29,25.37,25.03,25.12,20.5,2373300
2010-10-26,25.01,25.21,24.88,24.92,20.34,2553400
2010-10-27,24.76,25.31,24.73,25.3,20.65,2798000
2010-10-28,25.32,25.44,24.91,25.25,20.61,2259200
2010-10-29,25.14,25.2,24.97,24.98,20.39,2480800
2010-11-01,25.09,25.4,24.98,25.15,20.53,1283200
2010-11-02,25.26,25.36,25.18,25.24,20.6,1369100
2010-11-03,25.22,25.45,25.17,25.38,20.72,1738700
2010-11-04,25.52,26.04,25.4,26.02,21.24,2099200
2010-11-05,26.0,26.34,25.8,25.97,21.2,2797600
2010-11-08,25.86,26.01,25.55,25.98,21.2,2753200
2010-11-09,26.16,26.49,25.06,25.15,20.53,6118500
2010-11-10,25.12,25.32,25.01,25.25,20.61,2881300
2010-11-11,25.08,25.24,25.03,25.24,20.6,2928700
2010-11-12,25.06,25.5,25.03,25.42,20.75,3280800
2010-11-15,25.48,25.8,25.42,25.46,20.78,3041500
2010-11-16,25.31,25.39,24.9,24.97,20.38,4045600
2010-11-17,24.95,25.08,24.71,24.89,20.32,2525500
2010-11-18,25.11,25.38,25.09,25.15,20.53,2410600
2010-11-19,25.01,25.27,24.93,25.21,20.58,2492400
2010-11-22,25.05,25.19,24.99,25.12,20.5,2742400
2010-11-23,24.88,24.98,24.72,24.77,20.22,3334400
2010-11-24,24.97,25.19,24.92,25.14,20.52,1943900
2010-11-26,24.91,25.12,24.87,25.07,20.46,909300
2010-11-29,24.83,25.13,24.71,25.07,20.46,2416100
2010-11-30,24.77,25.26,24.77,25.08,20.47,4142000
2010-12-01,25.4,25.77,25.39,25.77,21.03,2802800
2010-12-02,25.75,26.42,25.71,26.39,21.54,3455600
2010-12-03,26.25,26.39,25.98,26.09,21.29,3219000
2010-12-06,25.97,26.34,25.89,26.24,21.42,2687400
2010-12-07,26.5,26.75,26.45,26.51,21.64,2850600
2010-12-08,26.54,26.67,26.44,26.6,21.71,1513400
2010-12-09,26.7,26.96,26.6,26.83,21.9,1948700
2010-12-10,26.9,27.0,26.73,26.91,21.96,2292500
2010-12-13,26.99,27.01,26.74,26.74,21.83,2475900
2010-12-14,26.8,27.15,26.8,26.95,22.0,2328800
2010-12-15,26.77,27.28,26.74,26.89,21.95,2513000
2010-12-16,26.96,27.06,26.72,26.87,21.93,2082200
2010-12-17,26.74,27.19,26.74,27.09,22.11,4319900
2010-12-20,27.05,27.3,27.04,27.18,22.18,2392800
2010-12-21,27.22,27.28,27.05,27.13,22.14,2228700
2010-12-22,27.19,27.34,27.16,27.31,22.29,1394600
2010-12-23,27.28,27.35,27.22,27.3,22.28,930900
2010-12-27,27.19,27.4,27.16,27.37,22.34,1009000
2010-12-28,27.36,27.44,27.21,27.43,22.39,875200
2010-12-29,27.43,27.49,27.28,27.48,22.43,1034100
2010-12-30,27.5,27.5,27.29,27.38,22.35,1302400
2010-12-31,27.33,27.46,27.21,27.34,22.32,1145700
2011-01-03,27.51,27.61,27.36,27.46,22.41,3987100
2011-01-04,27.51,27.75,27.32,27.73,22.63,4292400
2011-01-05,27.53,27.82,27.46,27.7,22.61,2722400
2011-01-06,27.6,27.66,27.04,27.28,22.27,4736800
