Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.94,19.19,18.87,19.15,15.7,9214200
2010-01-05,19.23,19.29,19.11,19.17,15.72,9483300
2010-01-06,19.15,19.62,19.09,19.6,16.06,15233800
2010-01-07,19.54,19.54,19.22,19.48,15.97,7803000
2010-01-08,19.37,19.57,19.3,19.51,15.99,7585200
2010-01-11,19.67,19.71,19.35,19.51,15.99,10013000
2010-01-12,19.28,19.37,19.17,19.24,15.77,9018100
2010-01-13,19.23,19.26,18.87,19.17,15.72,9795900
2010-01-14,19.25,19.25,18.95,19.07,15.63,8469500
2010-01-15,19.03,19.03,18.5,18.87,15.47,14417000
2010-01-19,18.77,19.19,18.74,19.17,15.71,11069700
2010-01-20,19.02,19.26,18.86,19.2,15.74,12105900
2010-01-21,19.23,19.31,18.74,18.79,15.4,12399300
2010-01-22,18.62,18.79,18.22,18.24,14.95,11845700
2010-01-25,18.34,18.58,18.29,18.32,15.02,7210700
2010-01-26,18.2,18.41,18.0,18.13,14.87,9124500
2010-01-27,18.13,18.97,17.87,18.12,14.85,10633600
2010-01-28,18.16,18.28,17.85,18.0,14.75,12324200
2010-01-29,18.22,18.35,17.67,17.78,14.58,11986400
2010-02-01,18.0,18.29,17.9,18.28,14.99,9755500
2010-02-02,17.9,18.44,17.89,18.43,15.11,17208500
2010-02-03,18.39,18.41,17.98,18.12,14.85,10842000
2010-02-04,17.95,17.99,17.19,17.21,14.11,16487300
2010-02-05,17.12,17.19,16.49,16.98,13.92,20335900
2010-02-08,17.04,17.05,16.7,16.73,13.71,14588200
2010-02-09,16.96,17.27,16.84,17.07,14.0,11879700
2010-02-10,17.02,17.06,16.67,16.93,13.88,10912800
2010-02-11,16.88,17.28,16.8,17.2,14.1,9453800
2010-02-12,16.9,17.21,16.79,17.07,14.11,15203000
2010-02-16,17.57,17.76,17.45,17.71,14.64,12352000
2010-02-17,17.78,17.85,17.6,17.67,14.61,10593100
2010-02-18,17.66,17.88,17.6,17.87,14.77,7325200
2010-02-19,17.83,17.98,17.7,17.88,14.78,8888800
2010-02-22,17.98,18.01,17.53,17.6,14.55,10973600
2010-02-23,17.55,17.55,17.16,17.22,14.24,11364700
2010-02-24,17.29,17.44,17.11,17.4,14.38,8167600
2010-02-25,17.15,17.3,16.95,17.26,14.27,8107400
2010-02-26,17.33,17.4,17.1,17.27,14.28,9610200
2010-03-01,17.39,17.49,17.29,17.39,14.38,7777300
2010-03-02,17.5,17.63,17.42,17.51,14.48,9523000
2010-03-03,17.59,17.81,17.52,17.58,14.53,11756000
2010-03-04,17.61,17.69,17.47,17.64,14.59,10755400
2010-03-05,17.88,18.29,17.8,18.26,15.09,13035300
2010-03-08,18.31,18.44,18.28,18.37,15.19,10321700
2010-03-09,18.21,18.55,18.21,18.42,15.23,9741800
2010-03-10,18.47,18.79,18.43,18.78,15.53,14411200
2010-03-11,18.75,19.03,18.72,18.89,15.62,12716100
2010-03-12,18.97,19.02,18.71,18.78,15.52,8925700
2010-03-15,18.72,18.72,18.42,18.63,15.4,8566400
2010-03-16,18.73,18.93,18.59,18.92,15.64,9930200
2010-03-17,19.05,19.31,18.96,19.28,15.94,11200500
2010-03-18,19.27,19.35,18.99,19.15,15.83,7991700
2010-03-19,19.08,19.27,18.75,19.08,15.77,14576000
2010-03-22,18.71,18.97,18.63,18.89,15.61,10004000
2010-03-23,18.91,18.97,18.78,18.93,15.65,8036700
2010-03-24,18.68,18.93,18.6,18.72,15.47,11269500
2010-03-25,18.87,18.95,18.53,18.55,15.34,11358000
2010-03-26,18.66,18.72,18.33,18.4,15.21,9847400
2010-03-29,18.52,18.82,18.52,18.77,15.51,8640400
2010-03-30,18.81,18.83,18.66,18.73,15.48,7406000
2010-03-31,18.73,19.09,18.72,18.87,15.6,11941400
2010-04-01,19.05,19.27,18.97,19.14,15.82,10133700
2010-04-05,19.27,19.42,19.15,19.34,15.99,8234100
2010-04-06,19.26,19.6,19.18,19.43,16.07,8234700
2010-04-07,19.39,19.39,18.92,19.06,15.76,12830300
2010-04-08,18.75,19.09,18.64,19.01,15.72,14872000
2010-04-09,19.17,19.21,18.92,19.2,15.87,11756400
2010-04-12,19.15,19.32,19.11,19.21,15.88,9995800
2010-04-13,19.23,19.34,19.04,19.21,15.88,10963400
2010-04-14,19.31,19.59,19.27,19.58,16.18,10775500
2010-04-15,19.52,19.7,19.45,19.51,16.13,12140600
2010-04-16,19.37,19.43,18.94,19.1,15.79,12714500
2010-04-19,18.87,19.17,18.77,19.12,15.8,8549700
2010-04-20,19.24,19.52,19.19,19.45,16.08,8206700
2010-04-21,19.55,19.62,19.25,19.41,16.05,8882100
2010-04-22,19.19,19.4,19.05,19.37,16.02,7662300
2010-04-23,19.3,19.73,19.26,19.73,16.31,9614400
2010-04-26,19.71,19.8,19.58,19.71,16.29,9077900
2010-04-27,19.57,19.68,19.04,19.08,15.77,11096700
2010-04-28,19.21,19.27,18.89,19.21,15.88,11305100
2010-04-29,19.33,19.51,19.23,19.33,15.98,8421900
2010-04-30,19.39,19.49,19.12,19.18,15.85,11216200
2010-05-03,19.23,19.46,19.15,19.25,15.91,11300900
2010-05-04,19.49,19.61,18.88,19.18,15.85,19181300
2010-05-05,18.89,19.15,18.71,18.95,15.67,11113400
2010-05-06,18.86,18.94,17.28,18.29,15.12,19679900
2010-05-07,18.2,18.66,17.91,18.16,15.01,19759400
2010-05-10,18.81,18.96,18.53,18.84,15.57,16742600
