Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.63,67.65,66.32,67.01,52.26,721000
2010-01-05,66.8,68.39,66.7,68.21,53.2,779200
2010-01-06,68.43,70.9,68.15,70.49,54.98,1355100
2010-01-07,70.58,73.67,70.13,73.12,57.03,1827000
2010-01-08,72.56,74.35,72.43,73.84,57.59,1381700
2010-01-11,73.94,74.18,72.97,73.14,57.04,550400
2010-01-12,72.72,73.0,71.3,71.69,55.91,779500
2010-01-13,71.75,74.15,70.89,73.62,57.42,1475700
2010-01-14,73.61,75.68,73.47,75.34,58.76,942900
2010-01-15,74.9,75.28,72.94,73.16,57.06,1404200
2010-01-19,73.21,75.15,72.46,74.7,58.26,1286100
2010-01-20,73.65,78.32,73.65,77.69,60.59,3381000
2010-01-21,77.8,80.31,77.8,78.59,61.29,2716300
2010-01-22,78.37,78.6,75.27,75.59,58.95,1646200
2010-01-25,76.37,76.84,73.78,75.0,58.49,1181900
2010-01-26,74.46,75.52,73.27,73.73,57.5,1468300
2010-01-27,73.83,76.65,73.52,76.3,59.51,1356600
2010-01-28,76.34,77.1,75.25,75.72,59.06,1040700
2010-01-29,75.9,76.04,73.5,73.75,57.52,1837500
2010-02-01,74.23,75.26,74.23,74.9,58.42,857400
2010-02-02,75.13,75.8,74.45,75.0,58.49,667400
2010-02-03,74.46,74.49,72.08,72.17,56.29,1246000
2010-02-04,71.78,71.91,69.91,70.64,55.09,2136400
2010-02-05,70.65,72.75,70.09,72.67,56.68,1775800
2010-02-08,72.31,72.64,71.08,71.29,55.6,853000
2010-02-09,71.99,72.99,71.37,71.99,56.15,595900
2010-02-10,72.0,73.37,71.71,72.67,56.68,574100
2010-02-11,72.79,72.87,71.89,72.4,56.47,429900
2010-02-12,71.75,72.19,70.89,72.07,56.21,830700
2010-02-16,73.04,75.34,72.77,75.12,58.59,1116600
2010-02-17,75.37,75.64,73.8,74.49,58.1,1018500
2010-02-18,74.65,75.5,74.41,75.43,58.83,1454200
2010-02-19,75.37,76.65,75.23,76.6,59.74,1711800
2010-02-22,77.08,78.32,76.99,78.09,60.9,1179800
2010-02-23,78.09,78.09,75.91,77.22,60.23,1805100
2010-02-24,76.99,78.97,76.81,78.2,61.55,1590300
2010-02-25,77.33,77.33,75.55,76.58,60.27,1080300
2010-02-26,76.54,77.64,75.76,77.43,60.94,1042000
2010-03-01,77.35,78.12,77.0,77.8,61.23,829200
2010-03-02,77.97,79.09,77.86,78.46,61.75,694500
2010-03-03,78.54,78.68,76.14,76.6,60.29,832000
2010-03-04,75.87,76.59,75.27,76.16,59.94,1004500
2010-03-05,76.68,78.63,76.68,78.55,61.82,708100
2010-03-08,78.45,78.91,78.0,78.73,61.97,906200
2010-03-09,78.35,79.17,77.59,78.79,62.01,1177500
2010-03-10,78.79,80.0,78.44,79.56,62.62,1067500
2010-03-11,79.36,80.5,79.13,80.3,63.2,490800
2010-03-12,80.93,81.33,79.78,80.0,62.97,849900
2010-03-15,79.9,80.48,79.72,80.31,63.21,709900
2010-03-16,82.0,82.0,80.15,81.45,64.11,852000
2010-03-17,81.64,82.92,81.52,82.79,65.16,621100
2010-03-18,82.6,84.1,82.49,84.0,66.11,1273700
2010-03-19,83.28,85.0,83.02,83.28,65.55,1057600
2010-03-22,82.83,83.47,81.76,83.25,65.52,543300
2010-03-23,83.33,83.33,81.85,83.21,65.49,462000
2010-03-24,82.9,84.0,82.77,83.04,65.36,288100
2010-03-25,83.64,84.6,82.35,82.45,64.89,606700
2010-03-26,82.79,83.69,80.34,80.81,63.6,963200
2010-03-29,81.03,81.46,79.72,80.95,63.71,658900
2010-03-30,80.82,81.17,78.7,79.76,62.78,2020300
2010-03-31,79.52,80.13,78.75,79.38,62.48,1217400
2010-04-01,79.86,80.0,78.74,79.57,62.63,561900
2010-04-05,79.91,81.83,79.41,81.61,64.23,741800
2010-04-06,81.76,84.64,81.62,84.46,66.48,1411300
2010-04-07,84.32,84.99,82.71,83.35,65.6,1174100
