Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.92,20.43,19.9,20.24,17.75,2171500
2010-01-05,19.93,20.32,19.93,20.3,17.81,1481700
2010-01-06,20.2,20.36,20.16,20.29,17.8,2446700
2010-01-07,20.25,20.3,19.89,20.02,17.56,2832800
2010-01-08,20.03,20.3,19.88,20.23,17.75,1449200
2010-01-11,20.24,20.4,20.1,20.28,17.79,1788100
2010-01-12,20.16,20.3,19.82,19.93,17.48,1732800
2010-01-13,19.85,20.15,19.75,20.12,17.65,2277300
2010-01-14,20.02,20.29,19.93,20.25,17.76,1497900
2010-01-15,20.22,20.4,20.03,20.16,17.68,2327300
2010-01-19,20.16,20.24,20.04,20.13,17.66,1052300
2010-01-20,20.02,20.1,19.69,19.93,17.48,1920500
2010-01-21,19.99,19.99,18.9,18.97,16.64,4474300
2010-01-22,18.91,19.03,18.28,18.34,16.09,3887000
2010-01-25,18.59,18.59,18.25,18.35,16.1,2642600
2010-01-26,18.15,18.43,18.1,18.1,15.88,2569300
2010-01-27,18.12,18.42,18.09,18.35,16.1,3089100
2010-01-28,18.41,18.55,18.13,18.24,16.0,1790100
2010-01-29,18.27,18.47,17.99,17.99,15.78,3012900
2010-02-01,18.15,18.6,18.05,18.42,16.16,4002900
2010-02-02,18.46,18.72,18.4,18.58,16.3,1849600
2010-02-03,19.24,19.27,18.72,19.06,16.72,6138500
2010-02-04,18.93,18.93,18.33,18.36,16.1,3812000
2010-02-05,18.29,18.81,18.29,18.8,16.49,2936700
2010-02-08,18.87,18.95,17.99,18.05,15.83,4219400
2010-02-09,18.29,18.52,18.06,18.2,15.96,5746300
2010-02-10,18.15,18.26,17.92,18.09,15.87,3922900
2010-02-11,18.03,18.32,17.99,18.15,15.92,3077100
2010-02-12,18.03,18.4,17.87,18.29,16.04,4129200
2010-02-16,18.45,18.62,18.27,18.55,16.27,3088200
2010-02-17,18.61,18.69,18.38,18.57,16.29,2380900
2010-02-18,18.29,18.65,18.29,18.61,16.32,2217700
2010-02-19,18.6,18.73,18.49,18.63,16.34,2067300
2010-02-22,18.6,18.65,18.51,18.53,16.25,1220800
2010-02-23,18.6,18.66,18.39,18.44,16.17,2142800
2010-02-24,18.5,18.71,18.36,18.6,16.32,2183500
2010-02-25,18.3,18.7,18.28,18.67,16.38,1968800
2010-02-26,18.63,18.77,18.46,18.63,16.34,1901000
2010-03-01,18.7,18.81,18.57,18.8,16.49,1945500
2010-03-02,18.96,19.44,18.95,19.25,16.89,3351700
2010-03-03,19.35,19.57,19.26,19.44,17.05,2537400
2010-03-04,19.31,19.87,19.31,19.75,17.32,3462000
2010-03-05,19.69,20.11,19.69,20.03,17.57,3479400
2010-03-08,19.91,20.09,19.75,20.07,17.6,2695900
2010-03-09,19.93,20.24,19.9,20.15,17.67,2598100
2010-03-10,20.14,20.25,20.03,20.22,17.74,3057500
2010-03-11,20.01,20.27,20.01,20.24,17.75,1694800
2010-03-12,20.28,20.42,20.24,20.3,17.81,1339200
2010-03-15,20.3,20.31,19.84,20.28,17.79,2897700
2010-03-16,20.27,20.35,20.14,20.25,17.76,2897900
2010-03-17,20.35,20.68,20.21,20.51,17.99,2728000
2010-03-18,20.63,20.87,20.6,20.73,18.18,2430600
2010-03-19,20.86,21.07,20.62,21.03,18.45,4298900
2010-03-22,20.83,20.91,20.5,20.8,18.25,2298000
2010-03-23,20.74,20.96,20.71,20.94,18.37,1846100
2010-03-24,20.8,21.11,20.74,20.99,18.41,2316500
2010-03-25,21.02,21.21,20.94,20.97,18.39,2201000
2010-03-26,21.3,21.3,20.85,21.05,18.46,2047000
2010-03-29,21.08,21.23,21.04,21.16,18.56,1412100
2010-03-30,21.19,21.29,21.02,21.06,18.47,1518500
2010-03-31,20.9,21.33,20.9,21.12,18.53,1991400
2010-04-01,21.29,21.35,21.0,21.15,18.55,2004500
2010-04-05,21.27,21.67,21.21,21.61,18.96,2405500
2010-04-06,21.57,21.71,21.5,21.69,19.03,2696600
2010-04-07,21.58,21.66,21.32,21.42,18.79,2390700
2010-04-08,21.41,21.81,21.29,21.71,19.04,2217700
2010-04-09,21.68,21.91,21.54,21.91,19.22,2285300
2010-04-12,21.89,22.12,21.81,22.04,19.33,1843100
2010-04-13,22.04,22.07,21.72,21.99,19.29,2165500
2010-04-14,22.11,22.32,21.93,22.31,19.57,2008400
2010-04-15,22.24,22.28,21.97,22.18,19.46,2969800
2010-04-16,22.12,22.17,21.36,21.4,18.77,5995800
2010-04-19,21.28,21.58,21.13,21.58,18.93,3351100
2010-04-20,21.61,21.9,21.56,21.71,19.04,2835100
2010-04-21,21.71,21.89,21.57,21.84,19.16,3704900
2010-04-22,21.58,22.26,21.45,22.26,19.53,3637900
2010-04-23,22.16,22.78,22.14,22.68,19.89,3142800
2010-04-26,22.68,23.11,22.49,22.96,20.14,2983600
2010-04-27,22.42,22.58,21.75,21.77,19.1,5244400
2010-04-28,21.92,22.3,21.17,21.19,18.59,4816200
2010-04-29,21.45,21.94,21.22,21.84,19.16,4294000
2010-04-30,20.84,21.39,20.6,21.0,18.42,7057200
2010-05-03,21.28,21.42,20.78,21.11,18.52,2626900
2010-05-04,20.86,20.9,20.33,20.4,17.89,3348800
2010-05-05,20.13,21.03,19.92,20.86,18.3,4141600
2010-05-06,20.84,21.04,19.5,20.15,17.67,4389500
2010-05-07,20.07,20.21,18.97,19.12,16.77,9211100
2010-05-10,19.87,19.99,19.57,19.62,17.21,6522200
2010-05-11,19.5,19.99,19.28,19.61,17.2,4350500
2010-05-12,19.79,20.15,19.69,20.04,17.58,2223000
2010-05-13,20.05,20.15,19.83,19.83,17.39,1723700
2010-05-14,19.73,19.73,19.29,19.64,17.23,3536000
2010-05-17,19.73,19.85,19.22,19.65,17.24,2640600
2010-05-18,19.82,19.87,19.03,19.05,16.71,4037500
2010-05-19,19.03,19.36,18.66,19.12,16.77,3879700
2010-05-20,18.58,18.74,18.06,18.08,15.86,8111900
2010-05-21,17.8,18.77,17.79,18.77,16.46,6488400
2010-05-24,18.75,18.9,18.34,18.36,16.1,4731900
2010-05-25,17.79,18.34,17.54,18.3,16.05,4206200
2010-05-26,18.4,18.67,18.25,18.28,16.03,3544200
2010-05-27,18.55,18.93,18.47,18.93,16.6,2459300
2010-05-28,18.9,18.95,18.5,18.59,16.31,2793200
2010-06-01,18.58,18.89,18.35,18.39,16.13,3271000
2010-06-02,18.55,18.73,18.35,18.73,16.43,2492800
2010-06-03,18.86,18.9,18.6,18.77,16.46,2237900
2010-06-04,18.42,18.6,18.4,18.43,16.17,4293100
2010-06-07,18.54,18.82,18.21,18.22,15.98,3075600
2010-06-08,18.27,18.42,17.83,18.25,16.01,3309700
2010-06-09,18.3,18.7,18.25,18.3,16.05,3471300
2010-06-10,18.61,19.02,18.5,18.98,16.65,2425100
2010-06-11,18.7,19.2,18.66,19.15,16.8,1782100
2010-06-14,19.44,19.5,19.09,19.1,16.75,1989000
2010-06-15,19.34,19.7,19.27,19.69,17.27,2786200
2010-06-16,19.65,19.67,19.36,19.54,17.14,1657500
2010-06-17,19.53,19.55,19.07,19.33,16.96,1644000
2010-06-18,19.44,19.44,19.12,19.17,16.82,2402000
2010-06-21,19.35,19.43,18.91,19.0,16.67,2216600
2010-06-22,18.99,19.16,18.66,18.67,16.38,2078100
2010-06-23,18.79,18.92,18.53,18.58,16.3,1748200
2010-06-24,18.51,18.68,18.3,18.34,16.09,2261800
2010-06-25,18.47,19.02,18.4,18.89,16.57,3294600
2010-06-28,18.94,19.11,18.85,18.86,16.54,2177200
2010-06-29,18.52,18.57,17.99,18.05,15.83,2661400
2010-06-30,18.01,18.23,17.77,17.78,15.6,2840600
2010-07-01,17.89,18.17,17.45,17.7,15.53,3021700
2010-07-02,17.74,17.86,17.3,17.3,15.18,2083800
2010-07-06,17.52,17.75,17.18,17.36,15.23,2921100
2010-07-07,17.46,17.82,17.3,17.79,15.6,2921600
2010-07-08,17.96,18.06,17.76,17.96,15.75,1851800
2010-07-09,17.9,18.26,17.87,18.2,15.96,1894100
2010-07-12,18.15,18.24,18.02,18.15,15.92,1395200
2010-07-13,18.33,18.44,18.07,18.28,16.03,2987300
2010-07-14,18.28,18.3,17.95,18.12,15.89,1811700
2010-07-15,18.07,18.23,17.82,18.14,15.91,1195100
2010-07-16,17.94,18.1,17.54,17.61,15.45,2621200
2010-07-19,17.66,17.78,17.5,17.71,15.53,1437000
2010-07-20,17.51,18.18,17.42,18.15,15.92,2303900
2010-07-21,18.4,18.4,17.76,17.78,15.6,1922800
2010-07-22,18.0,18.49,17.95,18.4,16.14,1906100
2010-07-23,18.44,18.68,18.11,18.63,16.34,1592500
2010-07-26,18.7,19.03,18.53,19.0,16.67,1598100
2010-07-27,19.52,20.1,19.43,19.49,17.1,4258500
2010-07-28,19.84,19.89,19.3,19.34,16.96,2230800
2010-07-29,19.4,19.6,19.09,19.46,17.07,2094300
2010-07-30,19.26,19.54,19.09,19.47,17.08,3636200
2010-08-02,19.72,20.16,19.49,20.1,17.63,2490900
2010-08-03,20.06,20.15,19.95,20.04,17.58,2136500
2010-08-04,20.03,20.27,19.96,20.16,17.68,2451400
2010-08-05,19.99,20.37,19.86,20.31,17.82,2246300
2010-08-06,20.09,20.3,19.95,20.21,17.73,2027400
2010-08-09,20.21,20.5,20.15,20.48,17.96,2224500
2010-08-10,20.3,20.54,20.05,20.35,17.85,2832600
2010-08-11,20.02,20.14,19.65,19.76,17.33,2875300
2010-08-12,19.5,20.13,19.5,19.96,17.51,3158700
2010-08-13,19.89,20.24,19.89,19.94,17.49,2095000
2010-08-16,19.92,20.18,19.78,20.15,17.67,2594100
2010-08-17,20.32,20.4,20.13,20.13,17.66,2164500
2010-08-18,20.13,20.28,19.94,20.15,17.67,2366700
2010-08-19,20.02,20.15,19.67,19.7,17.28,3161500
2010-08-20,19.59,19.62,19.33,19.51,17.11,1645000
2010-08-23,19.55,19.63,19.37,19.42,17.03,1232200
2010-08-24,19.25,19.25,18.81,18.85,16.53,3504300
2010-08-25,18.68,18.77,18.39,18.67,16.38,4487200
2010-08-26,18.51,18.65,18.18,18.32,16.07,4101300
2010-08-27,18.5,18.55,18.17,18.54,16.26,3540900
2010-08-30,18.43,18.54,18.09,18.09,15.87,1782700
2010-08-31,18.0,18.08,17.81,17.91,15.71,3952200
2010-09-01,18.14,18.5,18.02,18.49,16.22,2283600
2010-09-02,18.5,18.8,18.41,18.75,16.45,1723100
2010-09-03,19.03,19.22,18.78,19.19,16.83,2144500
2010-09-07,19.13,19.14,18.63,18.66,16.37,1903200
2010-09-08,18.65,18.81,18.59,18.65,16.36,2175800
2010-09-09,18.87,19.06,18.75,18.82,16.51,1874700
2010-09-10,18.81,19.01,18.61,18.96,16.63,2071100
2010-09-13,19.24,19.37,19.12,19.35,16.97,1512200
2010-09-14,19.26,19.62,19.2,19.41,17.03,1913200
2010-09-15,19.29,19.57,19.17,19.5,17.1,1155200
2010-09-16,19.4,19.51,19.28,19.36,16.98,1265400
2010-09-17,19.48,19.63,19.37,19.43,17.04,1826100
2010-09-20,19.45,19.75,19.36,19.7,17.28,2082700
2010-09-21,19.73,19.74,19.35,19.52,17.12,1641300
2010-09-22,19.55,19.74,19.35,19.48,17.09,2235900
2010-09-23,19.27,19.74,19.16,19.34,16.96,2867400
2010-09-24,19.62,20.17,19.55,20.17,17.69,2607400
2010-09-27,20.11,20.15,19.68,19.74,17.32,1893900
2010-09-28,19.84,19.94,19.51,19.89,17.45,1128000
2010-09-29,19.82,19.93,19.7,19.82,17.39,1187500
2010-09-30,20.0,20.16,19.43,19.43,17.04,2690800
2010-10-01,19.54,19.72,19.07,19.3,16.93,2763700
2010-10-04,19.28,19.45,19.1,19.29,16.92,1578200
2010-10-05,19.5,20.02,19.28,19.88,17.44,1932100
2010-10-06,19.95,20.02,19.78,19.9,17.46,1079100
2010-10-07,19.93,19.97,19.66,19.77,17.34,1234300
2010-10-08,19.77,19.93,19.68,19.88,17.44,1058800
2010-10-11,19.83,20.03,19.77,19.9,17.46,1220700
2010-10-12,19.89,20.02,19.8,20.01,17.55,1652200
2010-10-13,20.08,20.21,19.92,20.12,17.65,2052000
2010-10-14,19.99,20.25,19.8,19.96,17.51,1616800
2010-10-15,20.26,20.26,19.81,19.91,17.46,1595900
2010-10-18,19.92,20.47,19.82,20.47,17.96,2457300
2010-10-19,20.14,20.5,20.05,20.17,17.69,2177200
2010-10-20,20.25,20.7,20.1,20.62,18.09,1828600
2010-10-21,20.71,20.82,20.43,20.48,17.96,1602000
