Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,48.9,49.18,48.19,48.45,40.91,5625400.0
2010-01-05,48.48,49.13,47.77,48.58,41.02,7190500.0
2010-01-06,49.17,50.09,49.12,49.61,41.89,8018700.0
2010-01-07,49.51,49.51,48.69,49.29,41.62,7620300.0
2010-01-08,49.51,49.79,48.56,49.62,41.9,5953700.0
2010-01-11,50.99,51.25,49.92,50.18,42.37,6421400.0
2010-01-12,49.65,49.82,47.93,48.52,40.97,8458000.0
2010-01-13,48.79,48.99,47.72,48.75,41.16,5554900.0
2010-01-14,48.8,48.94,47.86,48.42,40.89,5055000.0
2010-01-15,47.94,48.07,47.14,47.61,40.2,9045000.0
2010-01-19,47.54,48.49,47.48,48.44,40.9,6408300.0
2010-01-20,47.14,47.33,45.22,46.41,39.19,12139900.0
2010-01-21,46.04,46.2,44.35,44.44,37.53,15469500.0
2010-01-22,44.06,45.69,43.86,44.43,37.52,13058700.0
2010-01-25,45.06,45.06,44.02,44.13,37.26,8405600.0
2010-01-26,43.71,45.04,43.62,44.24,37.36,8376100.0
2010-01-27,44.25,44.55,43.41,44.19,37.31,8942000.0
2010-01-28,44.69,44.87,43.01,43.99,37.15,10195200.0
2010-01-29,43.87,44.44,42.8,42.86,36.19,8932100.0
2010-02-01,43.48,45.54,43.4,45.54,38.45,11549200.0
2010-02-02,45.9,46.05,45.0,45.27,38.23,8713400.0
2010-02-03,45.26,46.28,45.25,45.87,38.73,10948900.0
2010-02-04,44.81,45.04,43.39,43.54,36.77,12661700.0
2010-02-05,43.39,46.29,43.11,46.23,39.04,17170600.0
2010-02-08,45.82,45.97,44.38,44.41,37.5,10289000.0
2010-02-09,45.17,46.07,44.85,45.82,38.69,12685300.0
2010-02-10,45.32,45.83,44.33,45.33,38.28,8631200.0
2010-02-11,45.54,46.93,45.19,46.76,39.48,11208700.0
2010-02-12,45.97,46.68,45.49,46.53,39.29,8136000.0
2010-02-16,47.74,47.97,46.89,47.42,40.04,11204300.0
2010-02-17,47.32,47.86,46.92,47.24,39.89,12083800.0
2010-02-18,47.3,48.95,47.3,48.41,40.88,10410600.0
2010-02-19,47.76,49.0,47.47,48.54,40.99,8567900.0
2010-02-22,48.57,48.69,47.46,47.73,40.3,6265300.0
2010-02-23,47.56,47.96,46.09,46.58,39.33,8061600.0
2010-02-24,46.34,47.01,46.07,46.48,39.25,8617800.0
