Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.11,6.17,6.06,6.09,4.27,6905600.0
2010-01-05,6.11,6.14,6.02,6.08,4.26,8784300.0
2010-01-06,6.08,6.1,5.97,6.01,4.21,7382700.0
2010-01-07,5.99,6.01,5.9,5.93,4.16,7407200.0
2010-01-08,5.89,5.94,5.84,5.9,4.13,15739200.0
2010-01-11,5.91,5.99,5.87,5.98,4.19,7952100.0
2010-01-12,5.96,6.06,5.93,6.0,4.2,6515900.0
2010-01-13,6.04,6.1,5.98,6.09,4.27,6572700.0
2010-01-14,6.09,6.12,6.07,6.1,4.27,3255300.0
2010-01-15,6.06,6.08,5.94,6.01,4.21,5240100.0
2010-01-19,6.02,6.1,5.98,6.1,4.27,2950100.0
2010-01-20,6.06,6.07,6.0,6.07,4.26,3826100.0
2010-01-21,6.0,6.07,5.79,5.84,4.09,22677200.0
2010-01-22,5.84,5.89,5.72,5.73,4.01,11887600.0
2010-01-25,5.78,5.82,5.7,5.76,4.04,7603400.0
2010-01-26,5.77,5.85,5.73,5.82,4.08,6195000.0
2010-01-27,5.74,5.76,5.62,5.68,4.04,8991200.0
2010-01-28,5.69,5.72,5.6,5.62,4.0,9851100.0
2010-01-29,5.65,5.7,5.6,5.6,3.98,8842600.0
2010-02-01,5.63,5.89,5.6,5.83,4.15,14476900.0
2010-02-02,5.83,5.96,5.78,5.96,4.24,8762900.0
2010-02-03,5.89,5.97,5.89,5.94,4.22,6164400.0
2010-02-04,5.89,5.9,5.79,5.79,4.12,6140000.0
2010-02-05,5.78,5.8,5.67,5.77,4.1,7216000.0
2010-02-08,5.75,5.8,5.72,5.73,4.08,5735400.0
2010-02-09,5.78,5.9,5.76,5.82,4.14,8917100.0
2010-02-10,5.83,5.84,5.74,5.78,4.12,6094500.0
2010-02-11,5.74,5.82,5.7,5.81,4.13,7384500.0
2010-02-12,5.77,5.77,5.68,5.75,4.09,9643700.0
2010-02-16,5.82,5.9,5.79,5.9,4.2,7927600.0
2010-02-17,5.93,5.93,5.87,5.88,4.19,5236500.0
2010-02-18,5.86,5.94,5.86,5.89,4.19,8357700.0
2010-02-19,5.87,5.98,5.84,5.96,4.24,6267000.0
2010-02-22,5.99,6.01,5.95,5.98,4.25,6529100.0
2010-02-23,5.97,5.99,5.89,5.91,4.2,6139300.0
2010-02-24,5.91,5.94,5.82,5.9,4.2,7452200.0
2010-02-25,5.82,5.9,5.79,5.89,4.19,4593400.0
2010-02-26,5.91,5.96,5.87,5.9,4.2,23137800.0
2010-03-01,5.93,5.98,5.91,5.96,4.24,5208800.0
2010-03-02,5.98,6.0,5.84,5.95,4.23,6397600.0
2010-03-03,5.95,5.98,5.92,5.95,4.24,4486000.0
2010-03-04,5.97,5.99,5.89,5.95,4.23,5037300.0
2010-03-05,5.97,6.04,5.94,6.04,4.3,3692500.0
2010-03-08,6.03,6.07,6.03,6.07,4.32,2848600.0
2010-03-09,6.08,6.08,6.02,6.06,4.31,3165400.0
2010-03-10,6.08,6.11,6.04,6.11,4.35,4270500.0
2010-03-11,6.08,6.12,6.04,6.12,4.35,3670600.0
2010-03-12,6.15,6.16,6.06,6.09,4.33,3897900.0
2010-03-15,6.09,6.09,6.04,6.09,4.34,3363200.0
2010-03-16,6.09,6.16,6.07,6.16,4.38,4139900.0
2010-03-17,6.17,6.24,6.15,6.22,4.43,4089800.0
2010-03-18,6.21,6.22,6.15,6.19,4.41,3590200.0
2010-03-19,6.18,6.24,6.11,6.18,4.4,6254800.0
2010-03-22,6.15,6.18,6.12,6.17,4.39,2976600.0
2010-03-23,6.17,6.24,6.14,6.23,4.43,3827900.0
2010-03-24,6.2,6.23,6.16,6.17,4.39,3842100.0
2010-03-25,6.18,6.22,6.13,6.13,4.36,3191600.0
2010-03-26,6.15,6.26,6.15,6.2,4.41,14055200.0
2010-03-29,6.22,6.29,6.2,6.28,4.46,3453500.0
2010-03-30,6.28,6.3,6.26,6.28,4.47,2773500.0
2010-03-31,6.28,6.29,6.21,6.21,4.42,4810800.0
2010-04-01,6.23,6.35,6.23,6.35,4.52,4904200.0
2010-04-05,6.35,6.42,6.35,6.4,4.55,4303000.0
2010-04-06,6.37,6.48,6.36,6.46,4.6,2949100.0
2010-04-07,6.47,6.5,6.35,6.42,4.57,5088400.0
2010-04-08,6.4,6.4,6.33,6.37,4.53,3643100.0
2010-04-09,6.38,6.39,6.33,6.39,4.54,14332900.0
2010-04-12,6.4,6.43,6.39,6.4,4.55,2223800.0
2010-04-13,6.39,6.41,6.33,6.38,4.54,2213600.0
2010-04-14,6.39,6.43,6.36,6.42,4.57,7103000.0
2010-04-15,6.39,6.44,6.38,6.42,4.57,3487400.0
2010-04-16,6.42,6.47,6.39,6.41,4.56,8565700.0
2010-04-19,6.39,6.45,6.36,6.44,4.58,9150500.0
2010-04-20,6.48,6.51,6.44,6.47,4.6,6558200.0
2010-04-21,6.47,6.5,6.44,6.45,4.59,6986500.0
2010-04-22,6.42,6.46,6.37,6.45,4.59,5082800.0
2010-04-23,6.44,6.57,6.42,6.57,4.67,5356700.0
2010-04-26,6.58,6.6,6.52,6.52,4.64,4751700.0
