Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.65,20.01,19.65,19.95,13.13,1759600
2010-01-05,19.92,20.03,19.52,19.78,13.01,3324900
2010-01-06,19.82,19.93,19.7,19.89,13.09,1769400
2010-01-07,19.92,19.92,19.63,19.76,13.0,1609800
2010-01-08,19.75,19.9,19.6,19.87,13.07,1061300
2010-01-11,20.0,20.36,19.89,20.32,13.36,1793000
2010-01-12,20.23,20.3,19.94,20.02,13.17,1631200
2010-01-13,20.13,20.13,19.94,20.1,13.22,876900
2010-01-14,20.01,20.14,19.92,19.98,13.15,1537600
2010-01-15,19.92,19.92,19.54,19.66,12.94,1220700
2010-01-19,19.6,20.16,19.55,20.12,13.24,1614300
2010-01-20,20.02,20.14,19.7,20.12,13.24,1684000
2010-01-21,20.16,20.36,19.79,19.95,13.13,1651100
2010-01-22,19.94,19.97,19.57,19.61,12.9,910100
2010-01-25,19.71,19.9,19.6,19.8,13.02,1318500
2010-01-26,19.71,20.01,19.69,19.84,13.05,678000
2010-01-27,19.56,19.6,18.99,19.22,12.77,1484400
2010-01-28,19.3,19.33,18.97,19.02,12.63,867100
2010-01-29,19.06,19.13,18.47,18.47,12.27,2032800
2010-02-01,18.57,18.89,18.45,18.86,12.53,1332000
2010-02-02,18.84,18.99,18.74,18.95,12.59,1398000
2010-02-03,18.82,18.92,18.72,18.8,12.49,971500
2010-02-04,18.67,18.67,18.11,18.11,12.03,1161300
2010-02-05,18.12,18.12,17.49,17.84,11.85,1771300
2010-02-08,17.92,18.03,17.73,17.78,11.81,870300
2010-02-09,18.1,18.25,17.91,18.1,12.02,1080200
2010-02-10,18.11,18.2,17.8,17.99,11.95,962600
2010-02-11,17.93,18.22,17.85,18.22,12.1,753800
2010-02-12,18.0,18.24,17.85,18.24,12.12,1504500
2010-02-16,18.39,18.58,18.35,18.58,12.34,1426300
2010-02-17,18.62,18.7,18.53,18.7,12.42,2041300
2010-02-18,18.64,18.69,18.51,18.69,12.41,1192400
2010-02-19,18.65,18.84,18.6,18.82,12.5,1731800
2010-02-22,18.89,19.05,18.78,19.03,12.64,1776300
2010-02-23,19.16,19.16,18.6,18.81,12.49,1790500
2010-02-24,18.89,19.22,18.79,19.22,12.77,1343900
2010-02-25,19.0,19.34,18.89,19.34,12.84,850200
2010-02-26,19.37,19.52,19.27,19.41,12.89,1512000
2010-03-01,19.51,19.81,19.45,19.81,13.16,1043200
2010-03-02,19.87,19.98,19.81,19.95,13.25,1003900
2010-03-03,20.02,20.15,19.98,20.08,13.34,1202700
2010-03-04,20.57,20.63,20.14,20.51,13.62,3209500
2010-03-05,20.58,20.58,20.43,20.53,13.64,1418600
2010-03-08,20.32,20.51,20.24,20.3,13.49,1826300
2010-03-09,20.18,20.45,20.17,20.41,13.56,2058700
2010-03-10,20.35,20.54,20.32,20.53,13.64,1583000
2010-03-11,20.43,20.65,20.39,20.64,13.71,1667600
2010-03-12,20.72,20.72,20.34,20.43,13.57,53092100
2010-03-15,20.37,20.41,20.11,20.39,13.54,3636700
2010-03-16,20.42,20.5,20.28,20.42,13.56,2400600
2010-03-17,20.51,20.54,20.29,20.47,13.6,2482600
2010-03-18,20.48,20.57,20.38,20.49,13.61,2187000
2010-03-19,20.11,20.52,19.95,20.11,13.36,2966900
2010-03-22,19.91,20.09,19.79,20.07,13.33,1676900
2010-03-23,20.13,20.39,20.06,20.32,13.5,2357000
2010-03-24,20.24,20.33,20.12,20.2,13.42,1481400
2010-03-25,20.29,20.36,19.96,19.99,13.28,1356200
