Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,79.19,80.01,78.75,79.61,57.66,3630200
2010-01-05,79.69,79.74,78.59,79.04,57.24,3515300
2010-01-06,78.94,80.35,78.4,79.99,57.93,5578500
2010-01-07,79.47,80.12,78.92,79.39,57.5,4300500
2010-01-08,79.06,80.27,78.11,80.21,58.09,4336300
2010-01-11,80.62,81.27,78.85,79.48,57.56,4079300
2010-01-12,78.37,78.72,76.56,76.8,55.62,7071600
2010-01-13,76.97,77.32,75.3,76.29,55.25,7685400
2010-01-14,75.83,77.06,75.8,76.88,55.68,4717500
2010-01-15,76.68,76.9,75.06,75.61,54.76,8252800
2010-01-19,75.35,76.1,74.97,76.03,55.07,5699900
2010-01-20,75.3,75.3,73.59,74.93,54.27,6289600
2010-01-21,74.87,75.22,72.71,72.82,52.74,7607300
2010-01-22,73.38,74.88,72.54,72.91,52.8,10140600
2010-01-25,73.8,75.24,73.58,74.39,53.88,6724500
2010-01-26,73.01,74.7,73.01,73.44,53.19,9110000
2010-01-27,73.48,73.96,72.23,73.22,53.03,5282100
2010-01-28,74.21,75.51,71.26,74.25,53.77,11850700
2010-01-29,74.86,76.47,74.49,75.05,54.36,11222100
2010-02-01,75.77,76.57,75.64,76.48,55.39,6349100
2010-02-02,76.75,77.54,75.89,77.39,56.05,5384400
2010-02-03,77.28,77.73,76.3,76.77,55.6,3686500
2010-02-04,76.1,76.1,73.1,73.23,53.04,7981300
2010-02-05,73.18,73.92,71.16,73.49,53.23,10682800
2010-02-08,73.55,75.28,72.83,73.1,52.94,6923800
2010-02-09,74.15,75.59,73.27,74.64,54.06,8421700
2010-02-10,75.12,75.61,73.87,75.1,54.39,6153800
2010-02-11,75.17,77.14,74.49,77.09,55.83,6484200
2010-02-12,75.89,76.55,75.01,76.45,55.37,6458500
2010-02-16,77.6,78.04,76.53,77.78,56.33,6079700
2010-02-17,77.78,78.02,76.51,77.55,56.16,4957200
2010-02-18,77.24,77.78,76.44,77.59,56.2,4299100
2010-02-19,77.38,78.56,77.2,78.09,56.56,4047500
2010-02-22,78.56,78.68,76.49,76.65,55.52,5543100
2010-02-23,76.74,77.05,75.58,75.7,54.82,7660300
2010-02-24,76.42,76.6,75.47,76.21,55.2,3818700
2010-02-25,74.72,75.86,73.81,75.72,54.84,5354800
2010-02-26,76.19,76.74,75.37,76.5,55.41,4590500
2010-03-01,76.89,77.72,76.78,77.36,56.03,4347200
2010-03-02,77.82,78.43,77.51,77.79,56.34,4214900
2010-03-03,78.11,78.63,77.45,77.63,56.22,7052600
2010-03-04,77.53,78.42,77.44,77.84,56.38,4530200
2010-03-05,78.52,78.79,77.92,78.5,56.86,4004200
2010-03-08,78.34,78.64,77.63,78.07,56.77,3621300
2010-03-09,77.51,78.92,77.41,78.07,56.77,6393700
2010-03-10,77.93,78.78,77.59,78.53,57.11,4511200
2010-03-11,78.23,78.99,78.02,78.43,57.03,4072900
2010-03-12,78.93,79.03,78.01,78.41,57.02,4116600
2010-03-15,78.04,78.22,76.81,77.66,56.47,3329800
2010-03-16,78.16,78.99,77.54,78.92,57.38,5761200
2010-03-17,79.18,80.23,79.06,79.72,57.97,7288600
2010-03-18,79.4,79.8,78.11,79.05,57.48,4751700
2010-03-19,79.12,79.7,78.41,79.12,57.53,7077900
2010-03-22,78.12,79.37,77.85,79.11,57.52,3924200
2010-03-23,79.11,79.96,78.5,79.83,58.05,7832100
2010-03-24,79.39,80.05,78.91,79.47,57.79,5380500
2010-03-25,80.23,80.43,78.0,78.09,56.79,7057500
2010-03-26,78.48,78.62,77.74,78.3,56.94,8428900
2010-03-29,78.79,80.92,78.5,80.61,58.62,8497000
2010-03-30,81.15,81.25,80.48,80.74,58.71,5316300
2010-03-31,80.82,81.48,80.37,80.99,58.9,5715200
2010-04-01,81.67,83.32,81.67,82.97,60.33,5674200
2010-04-05,83.36,85.02,83.17,84.7,61.59,4804500
2010-04-06,84.39,85.08,84.19,84.78,61.65,4484300
2010-04-07,84.36,84.39,82.39,82.68,60.12,8814000
2010-04-08,82.17,83.14,81.15,82.95,60.32,5892000
2010-04-09,82.98,83.43,82.0,82.93,60.3,4725300
2010-04-12,83.07,83.36,82.69,83.15,60.46,5168500
2010-04-13,82.72,83.03,81.19,82.1,59.7,4652300
2010-04-14,82.56,82.58,81.44,82.55,60.03,5141500
2010-04-15,82.43,83.28,81.73,82.84,60.24,5035400
2010-04-16,82.19,82.97,81.04,81.49,59.26,7133700
2010-04-19,80.63,81.26,79.9,81.14,59.0,4885600
2010-04-20,82.0,83.88,81.81,82.96,60.32,5043700
2010-04-21,82.82,83.56,81.54,82.28,59.83,4495200
2010-04-22,81.48,81.84,80.68,81.72,59.43,4756000
2010-04-23,81.87,83.85,81.03,83.81,60.94,4830100
2010-04-26,83.98,85.06,83.52,83.74,60.9,4043100
2010-04-27,83.18,83.87,80.52,80.81,58.76,5735100
2010-04-28,81.31,81.74,80.35,81.34,59.15,5132600
2010-04-29,81.37,82.98,81.17,82.63,60.09,5679900
2010-04-30,83.01,86.64,82.8,84.94,61.77,10390600
2010-05-03,85.43,87.17,85.25,86.22,62.69,6950100
2010-05-04,84.32,84.41,81.67,82.91,60.29,6012800
2010-05-05,81.45,81.69,78.89,79.4,57.74,9211600
2010-05-06,78.89,80.13,71.09,77.05,56.03,12066900
2010-05-07,76.9,78.19,74.52,77.23,56.16,12910600
2010-05-10,79.74,81.71,79.16,80.63,58.63,8535800
2010-05-11,79.6,80.99,79.17,79.55,57.84,5616000
2010-05-12,79.69,81.44,79.69,81.2,59.04,5150800
2010-05-13,80.85,81.24,79.74,79.92,58.12,4875900
2010-05-14,79.26,79.76,76.91,78.52,57.1,5704100
2010-05-17,78.63,79.11,75.99,77.15,56.1,7276900
2010-05-18,78.56,79.3,77.19,77.54,56.38,8227500
2010-05-19,77.12,77.59,74.89,76.2,55.41,8239500
2010-05-20,74.36,76.26,73.4,74.4,54.1,11224500
2010-05-21,72.89,76.38,72.46,76.08,55.32,9469100
2010-05-24,76.17,76.3,74.51,74.63,54.27,5909400
2010-05-25,72.81,75.72,71.76,75.63,55.0,7879100
2010-05-26,76.56,77.03,74.66,74.9,54.47,6852900
2010-05-27,76.64,79.06,76.36,78.97,57.43,6592600
2010-05-28,78.95,80.36,78.2,79.05,57.48,6950600
2010-06-01,78.08,79.95,76.64,76.71,55.78,9831400
2010-06-02,77.34,78.49,76.09,78.42,57.02,7543800
2010-06-03,78.5,79.92,76.84,79.44,57.77,7397300
2010-06-04,77.39,78.34,74.34,75.13,54.63,8711100
2010-06-07,75.5,77.08,75.2,75.44,54.86,6097600
2010-06-08,75.25,76.93,74.82,76.73,56.07,5125800
2010-06-09,77.9,78.52,76.06,76.62,55.98,5995800
2010-06-10,77.94,80.14,77.75,79.99,58.45,5614100
2010-06-11,79.05,81.54,78.8,81.44,59.51,5943000
2010-06-14,82.14,83.54,81.06,81.16,59.3,6765600
2010-06-15,81.95,83.41,81.61,83.1,60.72,5179500
2010-06-16,82.45,84.1,81.87,83.43,60.96,4087300
2010-06-17,83.72,83.94,81.95,82.99,60.64,4324400
2010-06-18,83.04,83.88,82.57,83.33,60.89,5035200
2010-06-21,84.42,85.11,81.53,82.2,60.06,6672300
2010-06-22,82.43,82.73,79.89,80.15,58.57,5438900
2010-06-23,79.7,81.09,79.23,80.3,58.67,4360100
2010-06-24,80.07,80.47,77.68,78.04,57.03,5420400
2010-06-25,78.48,79.22,77.21,78.3,57.21,9883200
2010-06-28,78.71,79.03,77.26,77.52,56.64,3847200
2010-06-29,77.14,77.14,74.58,75.23,54.97,6227500
2010-06-30,75.43,76.16,73.84,73.91,54.01,6066800
2010-07-01,74.13,74.79,72.28,73.53,53.73,6779100
2010-07-02,73.67,74.56,72.53,73.17,53.46,3784200
2010-07-06,73.84,75.12,72.87,73.77,53.9,5170100
2010-07-07,74.16,76.28,74.02,76.24,55.71,5812800
2010-07-08,77.21,77.85,76.53,77.52,56.64,4626400
2010-07-09,77.4,78.06,77.08,77.71,56.78,4110200
2010-07-12,77.42,78.36,76.93,77.52,56.64,2748600
2010-07-13,78.47,79.2,78.21,78.85,57.61,3789700
2010-07-14,78.38,79.22,77.94,78.63,57.45,2814900
2010-07-15,79.15,79.2,76.9,78.66,57.47,3831700
2010-07-16,78.29,78.29,75.57,76.05,55.57,5704800
2010-07-19,76.35,77.07,75.61,76.19,55.67,3135900
2010-07-20,75.21,77.77,75.21,77.56,56.67,3634300
2010-07-21,77.94,78.44,76.15,76.69,56.04,4756600
2010-07-22,77.93,79.16,77.48,78.68,57.49,4374000
2010-07-23,78.33,78.72,77.31,78.7,57.5,4590600
2010-07-26,78.73,79.69,78.59,79.44,58.05,4203000
2010-07-27,79.53,79.53,76.05,76.59,55.96,6075800
2010-07-28,76.62,77.12,75.19,75.57,55.22,4519500
2010-07-29,76.16,76.45,73.96,74.43,54.39,6239400
2010-07-30,73.85,75.1,73.64,74.66,54.55,3875000
2010-08-02,76.26,77.5,75.94,76.83,56.14,4964600
2010-08-03,76.05,76.55,75.26,75.37,55.07,5761400
2010-08-04,75.26,76.22,75.08,75.49,55.16,5070800
2010-08-05,74.83,75.07,73.79,74.35,54.32,5790700
2010-08-06,73.59,74.12,72.19,73.13,53.43,6631500
2010-08-09,73.87,74.17,73.23,73.72,53.87,4754400
2010-08-10,72.69,74.86,72.67,74.55,54.47,6539300
2010-08-11,72.83,73.77,72.72,73.14,53.44,6442200
2010-08-12,72.34,74.01,72.33,73.25,53.53,4151800
2010-08-13,72.95,73.58,72.14,72.23,52.78,3651400
2010-08-16,71.99,72.83,70.8,72.72,53.13,4917800
2010-08-17,73.58,73.91,72.68,73.61,53.78,3913200
2010-08-18,73.21,73.32,71.97,72.45,52.94,4847700
2010-08-19,72.23,72.53,71.15,72.23,52.78,4881100
2010-08-20,71.62,72.62,71.35,71.91,52.55,5715600
2010-08-23,72.11,73.19,71.96,72.4,52.9,5146500
2010-08-24,71.51,72.1,70.67,70.92,51.82,5045400
2010-08-25,70.59,70.59,69.13,69.84,51.03,6634500
2010-08-26,70.45,71.01,69.1,69.2,50.56,4910100
2010-08-27,69.66,72.39,69.43,72.26,52.8,6032500
2010-08-30,71.87,72.09,70.67,70.7,51.66,4116900
2010-08-31,70.41,71.14,69.79,70.02,51.16,4573700
2010-09-01,71.3,73.77,71.3,73.64,53.81,5527100
2010-09-02,73.53,74.58,73.16,74.58,54.49,3442500
2010-09-03,75.05,75.61,74.23,75.04,54.83,3235900
2010-09-07,74.34,74.35,72.76,73.24,53.52,4007900
2010-09-08,72.83,74.06,72.83,73.98,54.33,3689600
2010-09-09,74.94,75.49,74.17,74.32,54.57,3319700
2010-09-10,74.51,75.81,74.51,74.92,55.02,3542900
2010-09-13,75.73,75.94,75.05,75.31,55.31,3367400
2010-09-14,75.32,75.84,74.78,75.08,55.14,2588600
2010-09-15,74.43,75.14,74.25,74.86,54.98,2766400
2010-09-16,74.7,74.97,72.89,73.24,53.79,5371700
2010-09-17,73.55,73.79,72.61,73.0,53.61,7425300
2010-09-20,73.17,74.35,73.03,73.99,54.33,3515900
